Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),COX(32),CH3X(22),HX(19),H2X(31),C2H6X(34),HOX(23),CH2X(58),CHX(26),C2H5X(33),C3H8X(38),CXHO(27),C2H4OX(44)
3.808877433558427e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799254896,0.099999999994530367,1.5084128198130089e-83,0.099999999998018604,3.6349386029122521e-72,3.1896149676970717e-51,2.514756859117863e-19,2.8866926884143804e-46,7.6572090547865276e-71,1.7866087056337661e-28,3.5542830370354058e-89,1.4306102463767613e-39,6.4087357386530561e-69,2.037954342783339e-72,6.6055930687501113e-55,4.2574272694455849e-70,2.8602453836040328e-65,0.0,5.4696418167974888e-12,1.9814012967845405e-12,2.7217215483767349e-19,2.0696468922943e-20,2.6867296206511726e-30,6.5058557767987504e-22,6.5058575634265365e-22,1.0499271512868397e-61,9.8413350217573495e-57,1.0040272110771633e-43,9.5394949948579125e-34,1.5717272747385244e-42,1.8328674351826318e-64,1.1818303665912129e-99,4.0807800518229313e-47,1.0138481920650627e-80
7.617756481530243e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968798509792,0.099999999989060728,1.2067308524531579e-82,0.099999999996037203,5.8159042244632835e-71,2.5516931806698677e-50,5.2358791226750574e-19,2.3093541084718483e-45,1.2493798819175788e-69,7.1464354116339434e-28,2.2746622168937381e-87,5.7224428041040077e-39,2.0507249976010092e-67,3.2607274661696978e-71,5.376394453243435e-54,6.9116606392936626e-69,2.2881968398694693e-64,0.0,1.0939284816425437e-11,3.9628032841091976e-12,5.4434442500737427e-19,2.0756512728255071e-20,1.1356085967576098e-29,1.3011710736892911e-21,1.3011717883404636e-21,1.6798841407227389e-60,1.574613508717897e-55,4.0161095274554743e-43,3.8157983061257996e-33,1.2573820078026265e-41,2.9324854680037853e-63,1.5126904592142541e-97,1.6527770447097086e-46,3.2952708299326771e-79
1.5235514577473874e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968797019584,0.099999999978121437,9.6538492045608029e-82,0.099999999992074401,9.3054467320285454e-70,2.0413550265919364e-49,1.067928040654215e-18,1.8474818487980315e-44,2.0107047481504124e-68,2.8585732728585519e-27,1.4556811525988804e-85,2.2889774850498349e-38,6.5618638207679136e-66,5.2171611605220925e-70,4.3224345750959e-53,1.1101987849986742e-67,1.8305573063161463e-63,0.0,2.1878567409161022e-11,7.9256068108957207e-12,1.0886889652579198e-18,2.0760924556726617e-20,4.6720722687637933e-29,2.6023409934348353e-21,2.602343852038635e-21,2.6878148176296588e-59,2.5193793084826386e-54,1.6064435914875219e-42,1.5263188411907963e-32,1.0059053474657288e-40,4.6916452690717869e-62,1.9361074195631986e-95,6.6323591848741002e-46,1.0590007372180298e-77
2.2853272673417506e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968795529376,0.099999999967182174,2.8659866836669301e-81,0.099999999988111599,3.547699408887719e-69,6.0214601238798487e-49,1.6122724186804766e-18,5.484708926618754e-44,7.4094868524828068e-68,6.0744665116366512e-27,8.2670173455469122e-85,4.8640773825109432e-38,3.0620218267499215e-65,1.9890422280169241e-69,1.2369801764198678e-52,4.2351484300905948e-67,5.2342492176503732e-63,0.0,3.2817846595377366e-11,1.1888409889819505e-11,1.6330335054196092e-18,2.0761086638761193e-20,1.0011142245663725e-28,3.9035098409079762e-21,3.9035159154393558e-21,1.0120638817942495e-58,9.5313189047062166e-54,3.4136920942593942e-42,3.2434266259679088e-32,2.8762600084154248e-40,1.7756326914347298e-61,1.2845624386387623e-94,1.4101960043016854e-45,4.9731334902331947e-77
3.047103076936114e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968794039168,0.099999999956242897,6.2448343814852121e-81,0.099999999984148796,9.5453376403356706e-69,1.3049764626063872e-48,2.1566169527288614e-18,1.1950885149726558e-43,1.8809219548186484e-67,1.0362322374086238e-26,3.1822523574351536e-84,8.2975439725214153e-38,9.3357399842729326e-65,5.3516625507577944e-69,2.6099987559382816e-52,1.1397991472401764e-66,1.1040546234426033e-62,0.0,4.3757122375075529e-11,1.5851212520880602e-11,2.1773780454924421e-18,2.0761092591792418e-20,1.7152818873637593e-28,5.204677616109596e-21,5.2046879785426275e-21,2.622912290989239e-58,2.4809955903979543e-53,5.8233561496249116e-42,5.5329027098929915e-32,6.0668641332493665e-40,4.6303329190904105e-61,5.4840013620691049e-94,2.4060357495582065e-45,1.5507179726032942e-76
4.5706546961248394e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968791058752,0.099999999934364356,1.8126828464716664e-80,0.099999999976223192,3.8607665174783784e-68,3.7512641638692723e-48,3.2453060387340401e-18,3.4689689865642163e-43,6.5890209519906291e-67,2.1453862006002144e-26,2.4353071007868934e-83,1.7179011226048192e-37,4.2725587271170002e-64,2.164569139532302e-68,7.1303592424972316e-52,4.6108998426346663e-66,3.0155149484980197e-62,0.0,6.5635665939585492e-11,2.3776816731896626e-11,3.2660671254295679e-18,2.0761086338599338e-20,3.5666779089822435e-28,7.8070106499599652e-21,7.8070321040510756e-21,9.5503429820574486e-58,9.1048937361921986e-53,1.2056515714182549e-41,1.1455166759202766e-31,1.6570481608737282e-39,1.7089792945020856e-60,4.8231908350866259e-93,4.9818750555009785e-45,7.6422912038698672e-76
6.094206315313566e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968788078336,0.099999999912485829,3.9641330249147372e-80,0.099999999968297587,1.0457742985181804e-67,8.1483189759321151e-48,4.3339951069996383e-18,7.5862358822073319e-43,1.6480777736359097e-66,3.6487383189504705e-26,9.2182391577321196e-83,2.9216998948262126e-37,1.2867363069341112e-63,5.8632182764337689e-68,1.4920367021102098e-51,1.2490346549007794e-65,6.3094647068063116e-62,0.0,8.7514196977121958e-11,3.1702419295962223e-11,4.3547562050399369e-18,2.0761097431942231e-20,6.0809565529318714e-28,1.0409339740692861e-20,1.0409376228465696e-20,2.4620844960803597e-57,2.3609649482639103e-52,2.0504969535312101e-41,1.9482229237208238e-31,3.4670978995816925e-39,4.4435577084621812e-60,2.074625078244638e-92,8.4729267775915276e-45,2.3981486402970051e-75
7.617757934502292e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968785097929,0.099999999890607316,7.4372531467271503e-80,0.099999999960371982,2.3492976189826818e-67,1.5219259212641902e-47,5.4226841946747943e-18,1.4232795374080626e-42,3.4991363003779033e-66,5.5744450130574894e-26,2.8243083199845112e-82,4.4636972885106436e-37,3.2165961159050406e-63,1.3171527878210758e-67,2.7162795100833417e-51,2.8059496796917055e-65,1.1486137026594232e-61,0.0,1.0939271459290816e-10,3.9628020095438416e-11,5.4434452843002119e-18,2.076108869460977e-20,9.305466463266709e-28,1.3011664606662939e-20,1.301172035170836e-20,5.3585670272581348e-57,5.1621901972031438e-52,3.1326950835487478e-41,2.9764429713496671e-31,6.3117171108297989e-39,9.7325075210021118e-60,7.0401410161879178e-92,1.2944437159413106e-44,6.1652009515259892e-75
1.0664861172879745e-16,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968779137108,0.099999999846850318,2.0349679877575195e-79,0.099999999944520773,9.1102611315167766e-67,4.1429159921412573e-47,7.6000623471999498e-18,3.8943412538087859e-42,1.2829076226793672e-65,1.0719447986716187e-25,2.5035759397023829e-81,8.5835316109587901e-37,1.767762032725749e-62,5.1077368812183685e-67,7.1715837946439544e-51,1.0880427409638011e-64,3.0326771646678853e-61,0.0,1.5314970871620148e-10,5.5479216289783649e-11,7.6208234417484835e-18,2.0761092755291914e-20,1.7929791910799071e-27,1.8216301398979614e-20,1.8216408594604205e-20,2.0463651494171178e-56,1.9856024825991317e-51,6.0240572967679036e-41,5.7235877804925724e-31,1.6664779003504998e-38,3.7450378444812386e-59,9.73281060798307e-91,2.4889492463968115e-44,3.478074424239882e-74
1.3711964411257197e-16,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968773176295,0.099999999803093376,4.2899601152422919e-79,0.099999999928669606,2.4241523054121795e-66,8.7132701932961739e-47,9.7774405020167209e-18,8.2097246881948803e-42,3.3322373207646181e-65,1.757984783871673e-25,1.0349161517252345e-80,1.4076969787488229e-36,5.8440390266304393e-62,1.359117897223357e-66,1.4867652030726529e-50,2.8949750061081535e-64,6.287495797097737e-61,0.0,1.969066483267602e-10,7.1330405317201129e-11,9.7982015977748311e-18,2.0761092813976191e-20,2.9438741251339022e-27,2.3420921032384392e-20,2.3421096832740115e-20,5.4180148379140318e-56,5.274257958556056e-51,9.8794316805513331e-41,9.3866588661342694e-31,3.455023018714407e-38,9.9477737444473095e-59,4.9161590651756879e-90,4.081465576046974e-44,1.1566698173450359e-73
