Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH3OO(77),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),C2H4X(65)
5.533546735464129e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679725313,0.118669966027249,0.022821567693014803,0.0,1.03163554399563e-48,1.525101672648048e-24,0.0,7.1167314942776701e-37,0.0,4.8837938631141479e-14,6.7796741655370715e-72,4.8837938121994741e-14,4.8085777792905131e-49,1.2642371985022509e-48,0.0,0.0,3.6319527208696627e-38,1.0225010772786052e-56,2.6671738735133343e-12,7.8970277962082502e-14,3.1614450624856706e-16,4.5915563391920018e-26,3.1614400002666243e-16,1.7129348676470432e-25,5.5255393206483125e-35,7.5669748129265653e-64,6.2311158644576929e-48,6.481178781802698e-75,8.8270533241052204e-68
1.1067098161777924e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679450633,0.11866996602453267,0.022821567692975317,0.0,1.6392916621123735e-47,6.1004105681338635e-24,0.0,5.6933905116453501e-36,0.0,9.7675919670690428e-14,4.3389977157615864e-70,9.7675917634104763e-14,7.6937320248409016e-48,2.008288174943113e-47,0.0,0.0,2.885495924801177e-37,3.2720065473478421e-55,5.3343500068257803e-12,1.5794062286660433e-13,6.3228928629585717e-16,1.8230290063549448e-25,6.3228726140834417e-16,6.8517402593585215e-25,4.4204347273566073e-34,4.8428683350660002e-62,9.9697953844771962e-47,8.2959165503635091e-73,5.6491517169883736e-66
2.213420101440551e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678901278,0.11866996601910001,0.022821567692896345,0.0,2.5873379164140255e-46,2.4401650021648198e-23,0.0,4.5547141583911177e-35,0.0,1.95351884773587e-13,2.7769602587915212e-68,1.9535187662726603e-13,1.230997592310696e-46,3.1678173396050361e-46,0.0,0.0,2.2769240937718688e-36,1.0470423594852794e-53,1.0668702269868331e-11,3.1588131267100163e-13,1.2645788637968113e-15,7.1855864241173605e-25,1.2645707642555476e-15,2.740694121029518e-24,3.5363490806152978e-33,3.0994362638380504e-60,1.5951679264980629e-45,1.0618775058552195e-70,3.6152431983825298e-64
4.4268406719660684e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677802568,0.11866996600823469,0.022821567692738406,0.0,4.0304227804543849e-45,9.7606615537054146e-23,0.0,3.6437714224876406e-34,0.0,3.907038270744703e-13,1.77725475882979e-66,3.9070379448935347e-13,1.9695960810837451e-45,4.9287943496298879e-45,0.0,0.0,1.7731268240684618e-35,3.3505344905742731e-52,2.1337406781624089e-11,6.3176269226126358e-13,2.5291580884767918e-15,2.792410114267778e-24,2.5291256904008381e-15,1.0962755395001761e-23,2.8290797686158484e-32,1.9836382312109971e-58,2.5522687819844375e-44,1.3592025440555253e-68,2.3134799724377547e-62
8.853681813017104e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675605142,0.11866996598650405,0.022821567692422523,0.0,6.1245071176900255e-44,3.9042649266686265e-22,0.0,2.915016210166892e-33,0.0,7.8140776005566283e-13,1.1374427068539571e-64,7.8140762971658783e-13,3.151352264376427e-44,7.4723995241385799e-44,0.0,0.0,1.3467388209950498e-34,1.0721699184962707e-50,4.2674815747818184e-11,1.2635254513680297e-12,5.0583168169297686e-15,1.0564781957415207e-23,5.0581872254196692e-15,4.3850842413172238e-23,2.2632639919512414e-31,1.2695266869185379e-56,4.0836287472188284e-43,1.7397768263579706e-66,1.4802738266440516e-60
1.7707364095119174e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727671210297,0.11866996594304276,0.022821567691790761,0.0,8.9007419866291277e-43,1.5617060286470119e-21,0.0,2.3320110512899409e-32,0.0,1.5628158195283521e-12,7.2796265717729265e-63,1.562815298183294e-12,5.0421579323085704e-43,1.0812855735502069e-42,0.0,0.0,9.7799045301732468e-34,3.4309358766553625e-49,8.5349633450936706e-11,2.5270509692890614e-12,1.0116635392724584e-14,3.8091351784388971e-23,1.0116117033766392e-14,1.754019154246935e-22,1.8106112250398196e-30,8.1249463041948096e-55,6.5338005250452537e-42,2.2269076487158737e-64,9.4692307724833745e-59
3.5414728659323312e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727662420606,0.11866996585612019,0.022821567690527237,0.0,1.2021603923578269e-41,6.2468242060850596e-21,0.0,1.8656056014784937e-31,0.0,3.1256327124557897e-12,4.6589517020474981e-61,3.1256306271656588e-12,8.0674336815964788e-42,1.4493211215417141e-41,0.0,0.0,6.5972398670245062e-33,1.0978943360371396e-47,1.7069926794009512e-10,5.0541020039753024e-12,2.0233277034047962e-14,1.2689347790224805e-22,2.0231203662861092e-14,7.0159598632018386e-22,1.4484889296719573e-29,5.1999337435674389e-53,1.0454062297926645e-40,2.8504243674012733e-62,6.05452747286416e-57
5.312209322352746e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727653630914,0.11866996576919762,0.022821567689263713,0.0,4.1571672995737247e-41,1.3274501466784651e-20,0.0,5.5385111144358569e-31,0.0,4.6884503793066546e-12,2.645212701848297e-60,4.688445948196974e-12,3.0520705786557761e-41,5.1200897113587539e-41,0.0,0.0,1.7202148231133827e-32,5.1216432796222503e-47,2.560489015121749e-10,7.5811530375159911e-12,3.0349923175087873e-14,2.3946065113816862e-22,3.0345517363520273e-14,1.490874311268673e-21,4.141772919822204e-29,2.9078424131339077e-52,3.9549807150808356e-40,1.8665683369560805e-61,3.384640360246446e-56
7.08294577877316e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727644841223,0.11866996568227506,0.022821567688000189,0.0,1.0057435163613909e-40,2.2644737788455166e-20,0.0,1.2068111416363693e-30,0.0,6.2512688200212774e-12,1.0172944984448357e-59,6.2512612612772422e-12,7.9445135051212856e-41,1.273793246484054e-40,0.0,0.0,3.353462198234242e-32,1.5595416668156429e-46,3.4139853416717612e-10,1.0108204069917785e-11,4.0466573822876122e-14,3.6876248140134551e-22,4.0459058194897172e-14,2.5432292196710772e-21,8.7361983819330101e-29,1.0178844839327208e-51,1.0294783344167438e-39,7.4026684551202403e-61,1.1844371158725882e-55
1.0624418691613989e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727627261841,0.11866996550842993,0.022821567685473138,0.0,3.2964756803682772e-40,4.6883053054053587e-20,0.0,3.5029927534165714e-30,0.0,9.3769075174771559e-12,7.7423987918095119e-59,9.3768918687771549e-12,2.9155179254802235e-40,4.41243952831497e-40,0.0,0.0,8.1137663393274811e-32,7.1052967055384244e-46,5.1209779732485121e-10,1.5162306132062515e-11,6.0699885709676737e-14,6.5247998324224251e-22,6.0684326164246398e-14,5.2653398774270024e-21,2.3861266104853841e-28,5.6650030495376995e-51,3.778033417628908e-39,4.9609135260774853e-60,6.5885652740330844e-55
