Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24),COX(47),CHOX(50),CH4OX(57)
6.088141805379377e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14582271559064791,0.097219804411730171,0.077778268538399267,5.7016136338672145e-07,9.6766127660686968e-05,3.5274299105228577e-13,1.5636343161562213e-07,2.4363937142717176e-10,6.1046404961240685e-30,9.7088866144440517e-12,2.4092500017611435e-31,1.7454280942986174e-18,6.4681622143090146e-22,4.7163840138297799e-10,2.0902331778499289e-26,4.037869949883455e-26,4.4672972037769338e-13,1.5108676676214967e-25,0.002727594962117841,0.044285120649612181,3.1427542574971942e-08,1.1642525327543577e-07,3.2705250393849893e-09,2.9539884702282728e-14,8.7501913963223125e-12,5.6696752833255612e-09,8.3263691133061564e-06,5.1835673561956042e-05,1.6658576159140288e-10,1.5028329127822772e-10,1.1160715407294531e-14,3.6291196277713816e-11
6.127340180326625e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14563184203557877,0.097222776364424307,0.077680544388959452,5.8273642667062409e-07,9.779341356088617e-05,3.5276859804650112e-13,1.5838377191033197e-07,2.4674917013387802e-10,6.1990442831367118e-30,9.7813361766690556e-12,2.5161389001000417e-31,1.7447665060196407e-18,6.6561984012451372e-22,4.7844798251214931e-10,2.1230339045960605e-26,4.1178762576914054e-26,4.5067762188550005e-13,1.5656568098156973e-25,0.0027240746260977296,0.044478911117684587,3.1497911782604944e-08,1.170245194824641e-07,3.2655186748166125e-09,2.9658317453370268e-14,8.7488710686663595e-12,5.6621866124869874e-09,8.3954230495564e-06,5.236938073915546e-05,1.6906850882083578e-10,1.5202815506858366e-10,1.1273082333031013e-14,3.6827690273202662e-11
6.156826264867194e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14548875324776092,0.097225001913676348,0.077607282632968677,5.923181964255705e-07,9.856832885092942e-05,3.5278700461757006e-13,1.5991071908295766e-07,2.4909758051199525e-10,6.270585469387016e-30,9.8357498957067475e-12,2.5991163603297869e-31,1.7442749023380457e-18,6.8003209130327696e-22,4.8360359794106264e-10,2.1478797884471025e-26,4.1787063731240544e-26,4.5365273706799705e-13,1.6079147146843319e-25,0.0027214354716606419,0.044624184151945863,3.1550358525888931e-08,1.1747481213186898e-07,3.2617734102701416e-09,2.97470311179059e-14,8.7478990637780415e-12,5.6565741161945715e-09,8.4473979346257034e-06,5.2771816865036144e-05,1.7094786652812492e-10,1.5334476753270295e-10,1.13578110352008e-14,3.723366059331051e-11
6.186312349407763e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14534608418140732,0.097227218894352277,0.077534233522367796,6.0200573511121264e-07,9.9345089947728714e-05,3.5280469392524052e-13,1.6144382297266227e-07,2.5145377992511956e-10,6.3425803538625296e-30,9.890090165873581e-12,2.6843555353798399e-31,1.7437884550065993e-18,6.9467680903369442e-22,4.887877543881632e-10,2.1728734597094217e-26,4.2400939949638524e-26,4.5663244944840911e-13,1.6510851178848256e-25,0.0027188039504578913,0.044769028982926042,3.1602391134495124e-08,1.1792468081523599e-07,3.2580456875625804e-09,2.9835424920738417e-14,8.7469449139112225e-12,5.6509792636701874e-09,8.4993984364264906e-06,5.3175076743848626e-05,1.7283730731488817e-10,1.546648562466164e-10,1.1442712967502539e-14,3.764168955881348e-11
6.212849825494275e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14521803920189266,0.097229206885552935,0.077468670282349217,6.1081541396474527e-07,0.00010004574479495699,3.528200137626115e-13,1.6282886673869058e-07,2.5358097872452502e-10,6.4077638679995552e-30,9.9389331531547373e-12,2.7630445079337258e-31,1.7433550255143628e-18,7.0805780076000906e-22,4.9347788359317797e-10,2.1954940197841375e-26,4.2958208737594007e-26,4.5931809451714915e-13,1.6907307936861493e-25,0.0027164420774691712,0.044899024934330845,3.1648869275297006e-08,1.1832919883400679e-07,3.2547055922290907e-09,2.9914707216486392e-14,8.7461012051602632e-12,5.6459588959515728e-09,8.5462202850321138e-06,5.3538710089728542e-05,1.7454640961616195e-10,1.5585588943581113e-10,1.1519271802471379e-14,3.8010671118168185e-11
6.239387301580788e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14509033107532293,0.097231188000663812,0.077403277703099349,6.1971162437831276e-07,0.0001007478793284926,3.5283477608635144e-13,1.6421887191495163e-07,2.557144117607049e-10,6.4733152571016041e-30,9.9877158044809543e-12,2.843640384351152e-31,1.7429257063533576e-18,7.2163079662763716e-22,4.9819110437393426e-10,2.2182340958740317e-26,4.3520018394560393e-26,4.6200741372888695e-13,1.7311382827940145e-25,0.00271408633111694,0.045028677228748058,3.1695017300956083e-08,1.1873337103765585e-07,3.2513794410491744e-09,2.9993732938446626e-14,8.7452715122456993e-12,5.6409526579516786e-09,8.593061946821642e-06,5.3903001663784035e-05,1.7626365037404481e-10,1.5704970339284959e-10,1.159596913026435e-14,3.838131150404285e-11
6.2659247776673e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14496295833720316,0.097233162269928258,0.07733805504238643,6.2869477196032191e-07,0.00010145148631188894,3.5284899170805668e-13,1.6561382645298869e-07,2.5785404378509204e-10,6.5392346945613058e-30,1.0036437733227606e-11,2.9261794083660483e-31,1.7425004660287708e-18,7.3539756154112243e-22,5.0292740372827491e-10,2.2410935953262838e-26,4.4086380665944598e-26,4.6470038372195984e-13,1.7723184885948423e-25,0.0027117366849931782,0.045157987361747851,3.1740837701938153e-08,1.1913719631535436e-07,3.2480671110192392e-09,3.007250326433532e-14,8.7444556262290171e-12,5.63596047392976e-09,8.6399229847519988e-06,5.4267947234903058e-05,1.7798901580804286e-10,1.5824628168331363e-10,1.1672804298123804e-14,3.8753606585595467e-11
6.292462253753812e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14483591953194133,0.097235129723406852,0.077273001562489799,6.3776526157495891e-07,0.00010215655855072386,3.5286267124832607e-13,1.6701371833299126e-07,2.5999983969108851e-10,6.6055223498062117e-30,1.0085098560540099e-11,3.010698312916697e-31,1.7420792730058559e-18,7.493598663039425e-22,5.0768676841583913e-10,2.2640724243441125e-26,4.4657307214439248e-26,4.6739698121610224e-13,1.814282414405197e-25,0.0027093931128495149,0.045286956819809529,3.1786332945958915e-08,1.1954067357389098e-07,3.2447684815264684e-09,3.0151019366581866e-14,8.7436533484876224e-12,5.6309822717666368e-09,8.6868029658787476e-06,5.4633542595757702e-05,1.7972249206094418e-10,1.594456079626514e-10,1.1749776471862743e-14,3.9127552219045673e-11
6.318999729840324e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14470921321277821,0.097237090390978803,0.077208116530164184,6.4692349733837823e-07,0.00010286308889229031,3.5287582514096691e-13,1.6841853556372007e-07,2.6215176451434621e-10,6.6721783883389273e-30,1.0133697915222461e-11,3.0972343237479737e-31,1.7416620957272172e-18,7.6351948757718851e-22,5.124691849609371e-10,2.2871704879710911e-26,4.5232809618096336e-26,4.7009718301249719e-13,1.8570411638091779e-25,0.0027070555885959613,0.045415587080393956,3.1831505478229661e-08,1.1994380174970468e-07,3.2414834335222302e-09,3.0229282413880258e-14,8.7428644835814757e-12,5.6260179761105294e-09,8.7337014613081193e-06,5.4999783562638913e-05,1.8146406519568772e-10,1.6064766597558558e-10,1.1826884339633667e-14,3.9503144248052381e-11
6.345537205926836e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.14458283794171914,0.097239044302343675,0.077143399216605263,6.5616988261519249e-07,0.00010357107022529775,3.5288846363666536e-13,1.6982826618243159e-07,2.6430978343293648e-10,6.7392029717439312e-30,1.0182235433633227e-11,3.1858251629943087e-31,1.741248902626832e-18,7.7787820783845169e-22,5.1727463965540969e-10,2.3103876901343361e-26,4.5812899372930134e-26,4.7280096599402142e-13,1.9006059409843408e-25,0.0027047240862997008,0.045543879612012492,3.187635772171059e-08,1.203465797886954e-07,3.2382118485826768e-09,3.0307293558672531e-14,8.7420888277932614e-12,5.6210675118864716e-09,8.7806180461695818e-06,5.5366665975288349e-05,1.8321372120832296e-10,1.6185243955548824e-10,1.1904127530936037e-14,3.9880378504067775e-11
