Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),COX(58)
1.0744351339420466e-06,0.09977366400000001,0.80000000000000004,0.0,0.22509190334235354,0.095710693328991611,0.06896823618071328,3.2840301007645629e-13,0.00041125498292377157,0.0013348590779662312,0.00090811792220326639,1.8820874297625996e-09,1.2968443776413141e-10,3.0393676354525027e-07,6.5197791756414743e-19,8.0306829999425382e-09,5.0730112922833987e-14,6.5375789482369189e-10,4.8551242287012454e-15,8.9551025585861782e-19,7.116833160577706e-10,2.8394545880845073e-15,0.00338050087290647,0.0607434778938837,1.1134760426059779e-07,5.2658833674657686e-07,0.00011255303357039285,8.197782104446321e-12,7.7713916689279827e-08,5.9329994592818018e-08,1.3069240841975114e-07,1.4266713796614079e-05,1.7764074885720108e-08,2.9895561032983564e-10
1.0755733665039544e-06,0.09977366400000001,0.80000000000000004,0.0,0.22505180349044351,0.095709809122928161,0.068946444375217519,3.2988978392955622e-13,0.00041261612980242611,0.0013365150620372778,0.00090963927946659869,1.8867683117854787e-09,1.2997102594600026e-10,3.0429583496135912e-07,6.5597718017971456e-19,8.0342571450775105e-09,5.0914466313286931e-14,6.5571322742854913e-10,4.8708784199760512e-15,8.9806651792146323e-19,7.1277068062878738e-10,2.8533622411969026e-15,0.0033798631040531392,0.0607841782139786,1.1141514380234828e-07,5.2713452791376495e-07,0.00011257428773539406,8.2021286596081058e-12,7.7723672664467095e-08,5.931566378214963e-08,1.3087596833230331e-07,1.4281913908740822e-05,1.7817298626746835e-08,2.994030999863715e-10
1.0767115990658621e-06,0.09977366400000001,0.80000000000000004,0.0,0.22501173583353201,0.095708923805777335,0.068924667212823351,3.3138132042369046e-13,0.00041397989139051931,0.0013381697939218104,0.00091116128777507337,1.8914548752881339e-09,1.3025786180176256e-10,3.0465477772159677e-07,6.5999570448004247e-19,8.0378243139319557e-09,5.1099238312871187e-14,6.5767177113146013e-10,4.8866624212759099e-15,9.0062717993887681e-19,7.1385780442754066e-10,2.8673204006412932e-15,0.0033792257954474649,0.06082484598243585,1.1148261632163412e-07,5.2768028831332914e-07,0.00011259545637789834,8.2064656455749296e-12,7.7733369215671212e-08,5.930134392636008e-08,1.3105955206436206e-07,1.4297096373522896e-05,1.7870605973585627e-08,2.9985066835011531e-10
1.07784983162777e-06,0.09977366400000001,0.80000000000000004,0.0,0.2249717003368428,0.095708037379032815,0.068902904676399174,3.328776277199216e-13,0.0004153462678876091,0.0013398232712985283,0.00091268394610371573,1.8961471180848778e-09,1.3054494505740626e-10,3.0501359169566144e-07,6.6403355607902937e-19,8.0413845156505541e-09,5.1284429194836578e-14,6.5963352560424883e-10,4.9024762382404448e-15,9.0319224429300222e-19,7.1494468569135032e-10,2.8813291810102859e-15,0.0033785889466207922,0.060865481234344328,1.1155002190453371e-07,5.2822561769514284e-07,0.00011261653966662804,8.2107930745868133e-12,7.7743006477180304e-08,5.9287035014094431e-08,1.3124315951609495e-07,1.4312261178508685e-05,1.792399688705362e-08,3.0029831513794454e-10
1.0788742409334867e-06,0.09977366400000001,0.80000000000000004,0.0,0.22493569585810952,0.095707238647492657,0.06888333088468479,3.3422839006499318e-13,0.00041657824264110162,0.0013413103264237965,0.00091405489352106332,1.900374990589507e-09,1.3080353128802326e-10,3.0533641405310756e-07,6.6768420168343985e-19,8.0445827478487468e-09,5.1451459358209412e-14,6.6140184956195822e-10,4.9167341705078377e-15,9.0550456817681208e-19,7.1592267000890403e-10,2.8939804590038786e-15,0.0033780161754009804,0.060902025188373836,1.1161062976959316e-07,5.287160454135976e-07,0.00011263544178825148,8.214679604224985e-12,7.7751629430839561e-08,5.9274166344462947e-08,1.3140842641830208e-07,1.4325894393673665e-05,1.7972120126075606e-08,3.0070126406621401e-10
1.0798986502392036e-06,0.09977366400000001,0.80000000000000004,0.0,0.2248997173757443,0.095706439019474926,0.068863768913701898,3.3558302931288407e-13,0.00041781233576144961,0.0013427963618499062,0.00091542636588134811,1.904607459951935e-09,1.310623174911428e-10,3.0565913189503496e-07,6.7135060364130064e-19,8.0477753507255026e-09,5.1618829234990305e-14,6.6317277372497693e-10,4.9310162619912838e-15,9.0782046161498583e-19,7.1690045517237724e-10,2.906672916469938e-15,0.0033774437758822564,0.06093854285789075,1.1167118354840374e-07,5.2920612362829582e-07,0.00011265427503241893,8.2185584098856936e-12,7.7760204563833889e-08,5.9261306528396711e-08,1.3157371238091821e-07,1.4339513285501577e-05,1.8020310993304736e-08,3.0110427608398699e-10
1.0809230595449204e-06,0.09977366400000001,0.80000000000000004,0.0,0.224863764864497,0.09570563849606345,0.068844218751018746,3.3694155140665457e-13,0.00041904854737865005,0.0013442813759076883,0.00091679836244114407,1.9088445245725966e-09,1.3132130346729493e-10,3.0598174512814991e-07,6.7503281003016638e-19,8.0509623309331833e-09,5.1786539022644919e-14,6.6494629784169793e-10,4.945322516660131e-15,9.1013992633990613e-19,7.1787803990799349e-10,2.9194066371011741e-15,0.0033768717477242415,0.060975034268372155,1.1173168330346299e-07,5.2969585216187866e-07,0.00011267303952160221,8.2224295014538009e-12,7.7768731972311876e-08,5.9248455559192185e-08,1.317390173312151e-07,1.4353117845159153e-05,1.8068569459740261e-08,3.0150735098648222e-10
1.0819474688506373e-06,0.09977366400000001,0.80000000000000004,0.0,0.22482783829914937,0.09570483707834046,0.068824680384221765,3.3830396228733032e-13,0.00042028687761782826,0.0013457653669352314,0.00091817088245821203,1.9130861828499904e-09,1.3158048901710006e-10,3.0630425365969049e-07,6.7873086900489011e-19,8.0541436951197155e-09,5.1954588918092373e-14,6.6672242165662923e-10,4.9596529384390378e-15,9.1246296408263366e-19,7.18855422945509e-10,2.932181704638861e-15,0.003376300090586956,0.061011499445262775,1.1179212909719248e-07,5.3018523083866153e-07,0.00011269173537810628,8.2262928872379531e-12,7.7777211752920698e-08,5.9235613431265582e-08,1.3190434119728449e-07,1.4366708063889745e-05,1.8116895496249594e-08,3.0191048856942226e-10
1.0829718781563541e-06,0.09977366400000001,0.80000000000000004,0.0,0.22479193765451527,0.095704034767386592,0.068805153800915161,3.3967026789388898e-13,0.00042152732659924634,0.0013472483332778657,0.00091954392519150011,1.9173324331806918e-09,1.3183987394126955e-10,3.0662665739742498e-07,6.8244482879758464e-19,8.0573194499285637e-09,5.2122979117705661e-14,6.6850114491040419e-10,4.9740075312080326e-15,9.1478957657291005e-19,7.1983260301820864e-10,2.9449982028727094e-15,0.0033757288041308198,0.061047938413975093,1.1185252099193184e-07,5.3067425948453383e-07,0.00011271036272407001,8.230148575412766e-12,7.7785644001822085e-08,5.9222780138795801e-08,1.3206968390766161e-07,1.4380283933013158e-05,1.8165289073565517e-08,3.0231368862903609e-10
1.083996287462071e-06,0.09977366400000001,0.80000000000000004,0.0,0.22475606290544034,0.095703231564280955,0.06878563898872124,3.4104047416324719e-13,0.00042276989443831148,0.0013487302732881543,0.00092091748990114281,1.9215832739593556e-09,1.3209945804060591e-10,3.0694895624964931e-07,6.8617473771758531e-19,8.0604896019987624e-09,5.2291709817312081e-14,6.702824673397908e-10,4.9883862988025672e-15,9.1711976553915882e-19,7.2080957886290181e-10,2.9578562156407296e-15,0.0033751578880166517,0.061084351199889364,1.1191285904993812e-07,5.3116293792694364e-07,0.00011272892168146664,8.2339965742760016e-12,7.7794028814756622e-08,5.9209955675754495e-08,1.3223504539086023e-07,1.439384544392544e-05,1.8213750162284978e-08,3.0271695096205776e-10
