Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CHOX(50),H2X(46),H2OX(23),CO2X(24),COX(47),C2H6X(49)
1.0236266643134503e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039621992,0.099999999997370456,0.099999999999424771,1.9224480460122506e-77,5.9853630663964535e-46,4.4626818008269853e-37,6.8532041076805658e-60,2.0004795774330603e-39,1.1138602286385534e-103,5.0726018587304933e-31,7.0506647112723837e-107,3.3823296664583223e-31,6.9992491462901669e-68,2.3649269760033419e-54,9.4518924461077969e-92,1.2707127812517149e-93,4.4199658625221445e-48,7.8768351594094346e-82,2.6295323238436412e-12,1.1504940907797231e-12,2.0657000096383744e-17,3.3084846906157752e-26,2.0657001120637757e-17,5.0273238939806133e-25,1.7280027565968704e-26,8.462347971851047e-30,2.8165002310568589e-47,1.6018088021490106e-69,1.7673347331494165e-47,5.7341774653316487e-37,1.9406546326230845e-70,6.846152116332921e-71,2.0492142725965134e-50
2.047254196366711e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039243986,0.099999999994740907,0.099999999998849523,9.5445178975541508e-75,9.5046927741081653e-45,3.4624272909966794e-36,8.5147577100552737e-58,1.6003851741939662e-38,1.1070227662443029e-100,1.3525766666383191e-30,5.6656157244751839e-105,6.7646737355952573e-31,1.1198810023158667e-66,3.7534572050297513e-53,3.663070477232792e-89,3.1577769388646045e-91,3.5085472802748356e-47,2.5205899051660606e-80,5.2590668741144764e-12,2.3009891567771871e-12,4.1314016728819863e-17,1.3123982909761867e-25,4.1314020892015202e-17,1.9459513535521528e-24,1.3400206528351796e-25,1.313787780275093e-28,1.7494738876875033e-45,3.9798802155251822e-67,2.7451335870750792e-46,4.5517620169123935e-36,4.8173092801501359e-68,1.7012983909441037e-68,3.2787461636271083e-49
4.094509260473233e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038487972,0.099999999989481794,0.099999999997699027,4.6060805695997054e-72,1.4982474579848104e-43,2.611889994861785e-35,1.0293577168125775e-55,1.2803086596226307e-37,1.0704245380145112e-97,4.0573775705428804e-30,5.1020725595730601e-103,1.3529396480206746e-30,1.7918104002113811e-65,5.9103563143264324e-52,1.5210877502381518e-86,7.6357985706856114e-89,2.7639282232321219e-46,8.0658914353972036e-79,1.0518135966685548e-11,4.6019792885650869e-12,8.2628047068335811e-17,5.1636412491031165e-25,8.2628064206456763e-17,7.3085249957753224e-24,1.0098325404072691e-24,1.983962303902626e-27,1.057240340662392e-43,9.6204907802760184e-65,4.1494704027338104e-45,3.5857414684906727e-35,1.1623230282171408e-65,4.1138939986565588e-66,5.245996171434575e-48
8.189019388686276e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036975942,0.099999999978963569,0.099999999995398034,2.1131310424705482e-69,2.3282424517977721e-42,1.8745122823997021e-34,1.1853475502569596e-53,1.0242470003942125e-36,9.8573864797609493e-95,1.3523650572919267e-29,5.1547047462171106e-101,2.7058980394808731e-30,2.8668969107526272e-64,9.1653669720071472e-51,6.4286276344670059e-84,1.7589566078350325e-86,2.1454489741703219e-45,2.5810855325635905e-77,2.1036274119945286e-11,9.2039595513128108e-12,1.6525609604594445e-16,1.9997599456598789e-24,1.652561678987751e-16,2.6020042063849075e-23,7.2328047467233254e-24,2.8521777832825976e-26,6.0847481593367027e-42,2.2147280174249104e-62,5.9769381495036332e-44,2.7833665351946786e-34,2.6659065557470021e-63,9.4765910523155272e-64,8.3935945944859418e-47
1.6378039645112364e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575033951886,0.099999999957927133,0.099999999990796049,8.9271682763221041e-67,3.5222886848912122e-41,1.2418872088087412e-33,1.2619148705657033e-51,8.1939741273644026e-36,8.3893403436562245e-92,4.8682876756512104e-29,7.8495573203902101e-99,5.4118701925793444e-30,4.5870340998066313e-63,1.3810176016461822e-49,2.6133899968892568e-81,3.7465390164104297e-84,1.6198404715342503e-44,8.259472061496826e-76,4.2072550298935165e-11,1.8407920073496341e-11,3.3051214719548246e-16,7.5178420899156777e-24,3.3051245441021586e-16,8.5022582483045876e-23,4.7724150649885149e-23,3.7873023678808633e-25,3.2365784689971481e-40,4.7118071563678913e-60,7.967467245478277e-43,2.101476090244048e-33,5.6301591781444472e-61,2.0184631669802606e-61,1.3429748319284247e-45
3.2756080157964534e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575027903771,0.099999999915854246,0.099999999981592091,3.3541763762668927e-64,5.0808604255400375e-40,7.3708969850486871e-33,1.2040471993651008e-49,6.5551750850606909e-35,6.3954187097555711e-89,1.8390801304364742e-28,9.5051575090668654e-97,1.082403597973146e-29,7.3392500378428116e-62,1.9772976540297233e-48,9.7291615567868953e-79,7.1537886113456133e-82,1.1642669140731344e-43,2.643029465720677e-74,8.4145102146796504e-11,3.6815841104617511e-11,6.610240622719552e-16,2.6809322052945089e-23,6.6102539041875287e-16,2.4705118608605397e-22,2.8094848411682331e-22,4.502031925661689e-24,1.5423843969547885e-38,8.9786055179193564e-58,9.5450190439049592e-42,1.5104444439536421e-32,1.0573886906032352e-58,3.8539049750983341e-59,2.1487583339603192e-44
6.551216118366889e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575015807547,0.099999999831708486,0.099999999963184164,1.0941618362622795e-61,6.7876217632756516e-39,3.8711536197678771e-32,1.0122799558363465e-47,5.2441328349020632e-34,4.2915843965219272e-86,7.1398472693478927e-28,1.1806095285924864e-94,2.1649253479996547e-29,1.1742784424119398e-60,2.6075907349582384e-47,3.2257111302787115e-76,1.2040193225520059e-79,7.7306260504102003e-43,8.4576832207884135e-73,1.6829020380204566e-10,7.3631683113887006e-11,1.3220471435353935e-15,8.7819338592152557e-23,1.3220528614565996e-15,6.3138445019166657e-22,1.4515131242408164e-21,4.7107896321907672e-23,6.4743891875085844e-37,1.5059802697798946e-55,1.0143587562759301e-40,1.0029212905072252e-31,1.723948817395253e-56,6.4847934541096005e-57,3.4380085220072279e-43
9.826824220937323e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575003711321,0.099999999747562726,0.099999999944776263,8.5496087943926381e-61,2.3031606422653255e-38,9.0175788329080524e-32,5.9535471787990474e-47,1.5568507011040471e-33,3.808653088194266e-85,1.5036875877802302e-27,6.5862247416906535e-94,3.2475356908453912e-29,4.4425309917998195e-60,9.1516324624270023e-47,2.5342519198616583e-75,8.2439305273986883e-79,1.9997679370128571e-42,3.9454884975632895e-72,2.5243530341682127e-10,1.1044752507019339e-10,1.9830694759102293e-15,1.6406116192408771e-22,1.9830819995629761e-15,1.0363496795013273e-21,3.3446281025910836e-21,1.4528184247048357e-22,3.1984027460065498e-36,1.0375359932382333e-54,3.1548911582568904e-40,2.5943691797825583e-31,1.1782837102566615e-55,4.439730602195453e-56,1.300667573510361e-42
1.3102432323507757e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574991615094,0.099999999663416966,0.099999999926368349,4.3215300926751709e-60,5.4499001812430369e-38,1.6213183383961924e-31,2.257393659520704e-46,3.3922928696255223e-33,2.3087410758418147e-84,2.5530163012177548e-27,3.3808969366139977e-93,4.3302346267387764e-29,1.1563875261776608e-59,2.2623863906139298e-46,1.2854214765372802e-74,3.4942700429028593e-78,3.8738936195254085e-42,1.2014037151895248e-71,3.3658040099112343e-10,1.4726336697353816e-10,2.6440910593973692e-15,2.5064799931199987e-22,2.6441128441823829e-15,1.4483768456939669e-21,5.9528715723082725e-21,3.200148396266333e-22,1.0758110581613081e-35,4.8508188480854765e-54,7.003467628929444e-40,5.0257381477691885e-31,5.4786816369059114e-55,1.8814935330998608e-55,3.3856279614107881e-42
1.9653648528648627e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957496742264,0.099999999495125447,0.099999999889552507,5.7977263308090128e-59,1.7103609847406152e-37,3.5451499415373289e-31,1.5533289504190641e-45,9.8467624413683415e-33,5.5430970124130889e-83,5.2609987955438514e-27,4.4511882151191406e-92,6.49584042170734e-29,4.2437731812573455e-59,7.7511619003543624e-46,1.7294414166400542e-73,2.8159957467550623e-77,9.2908071248950117e-42,5.4736262093317737e-71,5.048705913508614e-10,2.2089505065593883e-10,3.9661324687808872e-15,4.3867451434727167e-22,3.9661786230647068e-15,2.2770901103380108e-21,1.2796405430599793e-20,9.1238829658132553e-22,6.2634948784079811e-35,5.9799414915790413e-53,2.0229906813345459e-39,1.2053289725321809e-30,6.7102155268634085e-54,1.5145295522846281e-54,1.2424759110749272e-41
