Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2X(36),CXHO(27),OCX(21),COX(37),H2OX(35),C2H6X(39),CO2X(34),HO2X(135),CH3OHX(46),HOCXO(25)
1.1383503305164974e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039671214,0.099999999997075775,0.099999999999818207,1.9031933560219003e-85,5.4679218497872456e-54,9.8300291937090401e-45,9.3194831798899462e-68,1.4968891276807667e-38,7.3861219729799847e-83,9.137531255838585e-31,0.0,5.76464993443552e-39,5.8544872048544954e-82,1.0998689224558512e-54,3.9284460320021784e-69,3.5148155687208996e-77,4.2274653499644198e-49,1.2355702001840872e-117,2.9242388192647329e-12,3.6359971453173822e-13,2.4941027597964394e-18,3.7440015451220857e-29,2.4941028184840215e-18,2.9361176837997983e-26,5.8492667543537398e-31,4.324837473137398e-55,5.7548656647694477e-55,3.580082957676144e-59,1.0352686431676293e-78,7.7876917959057058e-65,1.7052074401833455e-49,1.6833619444154875e-96,2.5247813660470414e-55,1.1745974021692423e-65,2.2393340548124488e-88
2.2767016260253447e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503934243,0.099999999994151531,0.099999999999636408,4.8717946436699131e-83,8.7486835181808633e-53,7.8640313042072163e-44,1.1928004075207563e-65,1.1975124600882451e-37,9.4534935949441671e-81,3.6550147891003345e-30,0.0,2.3058614628328797e-38,3.7611150698825514e-80,1.7597919572388512e-53,2.5140077172588106e-67,4.4986104757689981e-75,3.3819742390467239e-48,1.5589014036851171e-115,5.8484797984878799e-12,7.2719973727362668e-13,4.9882075750106491e-18,1.4976013095229352e-28,4.9882078097634642e-18,1.1744244121013297e-25,4.6793298258313904e-30,6.9197466118643896e-54,1.8414109704254883e-53,2.2910728790016363e-57,2.6500804725098274e-76,2.492063815461364e-63,2.7283346530150605e-48,8.6181408117987399e-94,4.0396540914400194e-54,3.7587153204162033e-64,5.7398359207602907e-86
4.553404217043039e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038684861,0.099999999988303043,0.099999999999272809,1.2469816346072234e-80,1.3997897176858779e-51,6.2912284291769126e-43,1.5265425385490169e-63,9.5801039957907495e-37,1.2098541514661966e-78,1.4620063507745531e-29,0.0,9.2234489676481464e-38,2.4072578499263471e-78,2.8156677169771294e-52,1.6087089239902285e-65,5.7573025752970497e-73,2.7055795154759887e-47,2.0008962117450211e-113,1.1696960800079e-11,1.4543997827051799e-12,9.9764170288556164e-18,5.9904050569880617e-28,9.9764179678858755e-18,4.697511887249564e-25,3.7433259787335647e-29,1.1071598276688866e-52,5.8915699742231354e-52,1.4660533225204634e-55,6.7831324755157273e-74,7.9746057960442608e-62,4.3653373022207141e-47,4.4117887816674101e-91,6.4634480375698761e-53,1.2027891114995735e-62,1.4691627295512e-83
9.106809399078428e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037369724,0.099999999976606066,0.099999999998545613,3.1912567162345665e-78,2.2396627765216579e-50,5.0329844274929028e-42,1.9533534081652784e-61,7.664084415959841e-36,1.548117449394313e-76,5.8480260956176749e-29,0.0,3.6893803208959675e-37,1.5406468868784405e-76,4.5050663844112839e-51,1.0292451959840022e-63,7.3669869390087504e-71,2.1644626070504999e-46,2.5905304821450117e-111,2.3393918975841809e-11,2.9087998733593917e-12,1.9952835230211812e-17,2.3961607353340802e-27,1.9952838986482993e-17,1.8788552666345464e-24,2.9944385298671481e-28,1.7714554997268666e-51,1.8846960437159241e-50,9.3797473303625267e-54,1.7359308670505205e-71,2.5518726247899667e-60,6.9845400764087296e-46,2.2581172323080663e-88,1.0341512826416024e-51,3.8489231076367766e-61,3.7598084360790292e-81
1.3660214581113816e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036054588,0.099999999964909117,0.099999999997818417,2.4160773193655495e-77,8.5387123175333211e-50,1.4941674234995122e-41,1.2815404255826576e-60,2.2752751068663243e-35,1.0245012832244695e-75,1.2427055686044067e-28,0.0,7.8399337649622938e-37,7.7491230578301707e-76,1.7175561219388472e-50,5.7684242375330894e-63,4.8752891488183003e-70,6.1890082513793712e-46,3.4646035558132699e-110,3.5090873324186453e-11,4.3631999638047088e-12,2.9929252725234301e-17,5.091839350534299e-27,2.9929260707530632e-17,3.9923476489030392e-24,8.5618571291847124e-28,6.7017751756534066e-51,8.8159112884454821e-50,5.2568971767622035e-53,1.3080384116434348e-70,1.1976852239399927e-59,2.6423932948950525e-45,1.9320757284600172e-87,3.9427008190934727e-51,1.8064374703888096e-60,2.3132422582542658e-80
1.8213619763149205e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034739451,0.099999999953212154,0.099999999997091221,1.2164293980674873e-76,2.2974029089464277e-49,3.2557124582773042e-41,5.2463701350617574e-60,4.9577046334900674e-35,4.6253159925168667e-75,2.1199094966522942e-28,0.0,1.3374005325744477e-36,3.3732307314724717e-75,4.6212099996020146e-50,2.1055710551069796e-62,2.2011484734401612e-69,1.3054406770925874e-45,1.7038315669049227e-109,4.6787823845114157e-11,5.8176000540411293e-12,3.9905669513923146e-17,8.6860752567235881e-27,3.9905683131126915e-17,6.8101300707126806e-24,1.8058736697620421e-27,1.7444680569932304e-50,2.8437701720387229e-49,1.9188551407102486e-52,5.9522304824427054e-70,3.7335446638925669e-59,6.8781343589026984e-45,1.0522652040682581e-86,1.0608124380016948e-50,5.6312082105771491e-60,1.40719062011116e-79
2.732043012721998e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575032109177,0.099999999929818242,0.099999999995636815,1.6676258689948213e-75,9.2922331088112727e-49,9.4503302510471715e-41,4.0052201186617209e-59,1.4390686144772578e-34,5.3461230561990598e-74,4.3890032521671643e-28,0.0,2.7689181062321092e-36,3.2539259907240487e-74,1.8691260495471256e-49,1.3711679927138804e-61,2.5445624049291697e-68,3.5655614448663624e-45,6.2673024231106271e-109,7.0181715904260234e-11,8.7264002340237058e-12,5.9858501433579161e-17,1.7983402622766204e-26,5.9858529627462515e-17,1.4098315749468522e-23,4.9320827414628767e-27,6.401950277217896e-50,1.5650486717835136e-48,1.2495767988774114e-51,5.2862102276313666e-69,1.8395577726013664e-58,2.5241779273782591e-44,1.5791431129991888e-85,4.2906344880969941e-50,2.7745569246289688e-59,3.0367748094624249e-78
3.642724049129076e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575029478903,0.099999999906424344,0.099999999994182409,8.1941287994038933e-75,2.517009367484009e-48,2.0666808639188183e-40,1.6487871094639759e-58,3.1470805286681052e-34,2.4051393168045216e-73,7.4645447567278572e-28,0.0,4.7092047159575134e-36,1.3295804250561585e-73,5.0629459589713491e-49,5.0405104569816637e-61,1.1447886517175145e-67,7.4603435908185826e-45,3.9048374522858406e-108,9.3575593888639612e-11,1.16352004132381e-11,7.9811330755794843e-17,3.0585036533424227e-26,7.9811378708135307e-17,2.3975610996888286e-23,1.0318976016213472e-26,1.66007333436043e-49,5.0218777781783831e-48,4.5935326163000493e-51,2.4008448714745608e-68,5.7720490854109621e-58,6.5453815600870508e-44,8.7515848730353042e-85,1.1622143733960583e-49,8.7058304359034668e-59,1.6401809389973919e-77
4.553405085536154e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575026848638,0.09999999988303046,0.099999999992728003,3.2620944091213201e-74,5.6543810363422619e-48,3.8773749682735638e-40,5.4090338994793837e-58,5.9043508867966303e-34,8.5658897562187132e-73,1.1404137317021263e-27,0.0,7.1946010719043234e-36,4.331179261223224e-73,1.1373745133368655e-48,1.4842614969030427e-60,4.0772450939005675e-67,1.3581263647115819e-44,1.6336014839741901e-107,1.1696945679292014e-10,1.4544000591629444e-11,9.976415729503908e-17,4.6726991568631317e-26,9.9764230558396691e-17,3.6626295700036532e-23,1.8784207492821523e-26,3.6297110850675845e-49,1.3119919390794834e-47,1.3526414887769103e-50,8.6720589916038144e-68,1.4838335022067186e-57,1.431132292933372e-43,3.7664479492295669e-84,2.6108773152255344e-49,2.2380270915701004e-58,7.0878780077062936e-77
6.374767158350309e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575021588101,0.099999999836242734,0.099999999989819205,7.6053510836717734e-73,2.1926926588311339e-47,1.0609206978048393e-39,6.9580582655411349e-57,1.6155376072968917e-33,1.2279034407719793e-71,2.1929749566070534e-27,0.0,1.3834964087567892e-35,3.7634303321803081e-72,4.4105837277235227e-48,1.2447177184114069e-59,5.8447988002349987e-66,3.5858491934680712e-44,1.267790898407068e-106,1.6375713641399727e-10,2.0361600945891277e-11,1.3966980184980548e-16,8.98541978284694e-26,1.3966994274609733e-16,7.0417594504348488e-23,4.9587960921521555e-26,1.3961476407115413e-48,7.334286327481735e-47,1.1343397338237608e-49,1.7563748065247093e-66,8.3712045132104176e-57,5.5047701106196515e-43,1.4819575321023966e-82,1.0124628634093371e-48,1.2626065631598537e-57,1.5508184082064365e-75
