Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH3OO(77),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),C2H4X(65),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
2.218874560133544e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42496157974903448,0.09396904697908591,0.012071394788118585,0.0,2.6731100797577273e-08,0.010815110973605969,0.0010976124668841116,0.0017117263720166167,9.1372175216312422e-13,0.0126288689116124,8.9493157871374451e-09,0.00030552785930928783,8.0987638635970489e-08,3.3338204707118652e-09,6.1009739267201364e-11,1.2110733443283146e-11,1.8541650734525902e-09,0.00019797994516648803,0.0064758761020278716,0.020402613864407323,0.00023288055527300648,8.3669280071863003e-09,3.1753018409074115e-07,3.7926414617511276e-08,0.0002077300179944771,0.00031328906783697206,4.5289906306499981e-06,2.1223442131951876e-05,5.3612801557942032e-11,2.656101091049813e-09,3.4710733466529229e-07,1.6509863732949526e-07,2.3338326403843504e-12,3.2633683648099996e-09
2.221713044012231e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42494569422990014,0.093953363642143045,0.012061941668574133,0.0,2.6805792455533193e-08,0.010828119502815555,0.0010997402747795794,0.0017139151027691774,9.1759851457778985e-13,0.012636130456505428,8.9688303614984314e-09,0.00030553185795326681,8.1105269928945752e-08,3.3401856089651142e-09,6.1128780480513541e-11,1.2140365038212187e-11,1.8554788021510883e-09,0.00019858101424890008,0.0064745473339496689,0.020419392211062076,0.00023300385737260883,8.3785544895179875e-09,3.1769541398903874e-07,3.7918504964907532e-08,0.00020797232970416304,0.00031424025264414261,4.5346169737013943e-06,2.128799101035745e-05,5.3773560377174351e-11,2.6578837928889221e-09,3.4714804043484371e-07,1.6502445040451329e-07,2.3381718890327917e-12,3.2695724531797686e-09
2.224267679503049e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4249314108740796,0.093939259483252061,0.012053440793832713,0.0,2.6873104545896825e-08,0.010839824218308832,0.0011016559787154342,0.0017158826863747168,9.210968854241842e-13,0.012642654109839812,8.9863910115034824e-09,0.00030553551557157773,8.1211060019221908e-08,3.3459117442597634e-09,6.1235969510834001e-11,1.2167053039254696e-11,1.8566592007628146e-09,0.00019912267369343701,0.0064733524705701045,0.020434478180525274,0.0002331147315016522,8.389015539339067e-09,3.1784382158267654e-07,3.791134368465928e-08,0.00020819034403042635,0.00031509742245345278,4.5396744397658127e-06,2.1346158869380899e-05,5.3918423443950911e-11,2.6594860688766879e-09,3.4718450215963415e-07,1.649577400777595e-07,2.3420783407062747e-12,3.2751578454247104e-09
2.226822314993867e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42491714039972056,0.093925165592276025,0.012044946480862826,0.0,2.6940501501666902e-08,0.010851526127503466,0.0011035723219928173,0.0017178481141274821,9.246040619901056e-13,0.012649166658668319,9.003949268788455e-09,0.00030553922875452055,8.1316776029110518e-08,3.3516355057350372e-09,6.1343207668404355e-11,1.2193759535961733e-11,1.8578377467037483e-09,0.00019966499304921242,0.0064721585802168715,0.02044955038710463,0.00023322551316614569,8.399473945683986e-09,3.1799194604428121e-07,3.7904142184549082e-08,0.0002084082956236294,0.00031595563662205632,4.5447259887529705e-06,2.1404396634395409e-05,5.4063456974256237e-11,2.6610863044477245e-09,3.4722079990697291e-07,1.6489108451967536e-07,2.3459858573239676e-12,3.2807448549290877e-09
2.2293769504846848e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42490288279377492,0.093911081963726578,0.01203645872370231,0.0,2.7007983306281116e-08,0.010863225229117434,0.0011054893028159031,0.0017198113846240758,9.2812005362975568e-13,0.012655668117263071,9.0215050798370547e-09,0.00030554299733165526,8.1422417847268518e-08,3.3573568783038457e-09,6.1450494878584284e-11,1.2220484489616005e-11,1.8590144414526376e-09,0.00020020797167839125,0.0064709656621525832,0.020464608844520081,0.00023333620251107939,8.4099297030409008e-09,3.1813978778693838e-07,3.7896900590853728e-08,0.00020862618447856394,0.00031681489414059284,4.549771617844651e-06,2.1462704233343399e-05,5.4208660789086174e-11,2.6626845015297679e-09,3.4725693402835543e-07,1.648244836396788e-07,2.3498944354383977e-12,3.2863334765810784e-09
2.2319315859755027e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42488863804321125,0.093897008592110962,0.012027977516395838,0.0,2.7075549943108098e-08,0.010874921521873509,0.0011074069193920792,0.0017217724964738133,9.3164486968541671e-13,0.012662158499875426,9.039058391264107e-09,0.00030554682113307394,8.1527985362958527e-08,3.3630758469233454e-09,6.1557831066816044e-11,1.2247227861520798e-11,1.8601892864871222e-09,0.00020075160894243171,0.0064697737156401191,0.020479653566474673,0.00023344679968106201,8.4203828059212085e-09,3.1828734722273926e-07,3.7889619029459883e-08,0.00020884401059008772,0.00031767519399855356,4.5548113242553313e-06,2.1521081594099949e-05,5.4354034709223223e-11,2.6642806626627422e-09,3.4729290487637632e-07,1.6475793734552026e-07,2.3538040716054772e-12,3.2919237052736154e-09
2.2344862214663207e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4248744061350157,0.093882945471932072,0.012019502852994898,0.0,2.7143201395447587e-08,0.01088661500449927,0.0011093251699319454,0.0017237314482986964,9.3517851948744163e-13,0.012668637820736003,9.0566091498155668e-09,0.00030555069998939991,8.1633478466045827e-08,3.36879239659491e-09,6.1665216158624416e-11,1.2273989613000026e-11,1.8613622832837371e-09,0.0002012959042020699,0.0064685827399426103,0.020494684566654636,0.00023355730482033503,8.4308332488516733e-09,3.1843462476359561e-07,3.7882297626012518e-08,0.00020906177395312535,0.00031853653518430379,4.5598451052321086e-06,2.157952864447306e-05,5.4499578555352579e-11,2.6658747898858053e-09,3.4732871279494959e-07,1.6469144555199194e-07,2.3577147623882603e-12,3.2975155359141306e-09
2.2370408569571387e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42486018705619072,0.093868892597688547,0.012011034727557796,0.0,2.7210937646530582e-08,0.010898305675727086,0.0011112440526493089,0.0017256882387333581,9.3872101235424056e-13,0.012675106094054773,9.0741573023685121e-09,0.00030555463373178394,8.1738897046993148e-08,3.3745065123640563e-09,6.1772650079615851e-11,1.2300769705398306e-11,1.8625334333179221e-09,0.0002018408568173186,0.0064673927343234594,0.020509701858729319,0.00023366771807278332,8.4412810263755285e-09,3.1858162082099397e-07,3.7874936505943698e-08,0.00020927947456266766,0.00031939891668510015,4.5648729580545384e-06,2.1638045312204359e-05,5.4645292148071265e-11,2.667466884522937e-09,3.4736435812829266e-07,1.6462500817415377e-07,2.3616265043617863e-12,3.3031089634260771e-09
2.2395954924479566e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4248459807937558,0.093854849963874637,0.012002573134149642,0.0,2.7278758679519491e-08,0.010909993534294133,0.0011131635657611746,0.0017276428664250369,9.4227235759227253e-13,0.012681563334021068,9.0917027959311623e-09,0.00030555862219190416,8.1844240996863572e-08,3.3802181793204177e-09,6.1880132755478564e-11,1.2327568100081023e-11,1.8637027380640271e-09,0.00020238646614749832,0.0064662036980463154,0.020524705456351319,0.00023377803958191291,8.4517261330633675e-09,3.1872833580493508e-07,3.7867535794248474e-08,0.00020949711241377214,0.00032026233748706637,4.5698948800345726e-06,2.1696631524969401e-05,5.4791175307716848e-11,2.6690569489006941e-09,3.4739984123074761e-07,1.6455862511783766e-07,2.3655392941052376e-12,3.3087039827341511e-09
2.2421501279387746e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42483178733474752,0.093840817564980222,0.011994118066842332,0.0,2.7346664477508238e-08,0.010921678578942388,0.001115083707487739,0.0017295953300335341,9.4583256449603416e-13,0.012688009554803684,9.1092455776428578e-09,0.00030556266520196366,8.194951020732194e-08,3.3859273825976884e-09,6.1987664111983265e-11,1.2354384758434387e-11,1.8648701989953201e-09,0.00020293273155124443,0.0064650156303750952,0.020539695373156405,0.00023388826949085237,8.4621685635071579e-09,3.1887477012479483e-07,3.786009561552178e-08,0.00020971468750156293,0.00032112679657519857,4.5749108685164437e-06,2.1755287210378101e-05,5.4937227854420034e-11,2.6706449860725195e-09,3.4743516244687491e-07,1.6449229629400755e-07,2.3694531281964512e-12,3.3143005887671199e-09
