Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),COX(32),CH3X(22),HX(19),H2X(31),C2H6X(34),CH2X(58),CHX(26),CXHO(27),HOX(23),C2H5X(33),C2H4OX(44),C3H8X(38),CH2OX(35),H2OX(30),CH4OX(41),C2H3OX(43),CH3OX(40)
2.910976653864564e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108294901574967,0.099975558479017582,1.1450917740502893e-59,0.099987702536768377,8.049757635757335e-42,3.7832239695278174e-29,1.1229949372511212e-10,2.9784370609124949e-24,2.931682942678237e-43,6.8170450961886476e-15,7.6562574458580287e-47,4.6040921577770717e-25,4.9214189544364814e-35,5.2225825922694166e-43,4.9905535787581195e-34,8.0941244421474428e-41,1.4448776000253941e-42,0.0,2.4441520946023077e-05,1.2297350925706667e-05,1.1230587643063716e-10,6.0540467791181683e-17,6.3221650570946025e-15,2.9708292396859007e-14,3.6529373927168855e-14,3.4871393293845906e-33,2.9703375998233595e-28,1.8601482187279149e-18,1.0537739592643003e-19,3.3749038379236887e-32,9.974769556083088e-28,2.6639592258145381e-36,6.0740422349946307e-45,5.564098931741097e-51,1.5642631619079917e-47,3.6487548655020092e-46,3.449599331178894e-47,6.5871009352009266e-33,3.1842764605987517e-32
2.9344528568240745e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108276778366214,0.099975456408739977,1.1730174005307611e-59,0.099987623374958715,8.2862398726786948e-42,3.8754835523558696e-29,1.1320494269415302e-10,3.0437738465159387e-24,3.0034066322928647e-43,6.920010654523745e-15,7.9465952036846153e-47,4.6786433502958876e-25,5.0744634297180293e-35,5.3693338743282527e-43,5.0716434780897381e-34,8.2818421639349232e-41,1.4757153112739648e-42,0.0,2.4543591223325883e-05,1.2376511829815447e-05,1.1321142190606756e-10,6.0540483238440471e-17,6.4186714311799643e-15,2.9899812093529766e-14,3.6823921002630235e-14,3.5944401277729443e-33,3.0552354839829654e-28,1.8873883570106027e-18,1.0782408117048221e-19,3.4022328620388768e-32,1.0097892026183759e-27,2.7232354091456507e-36,6.2573280140185472e-45,5.8158823340346232e-51,1.6138412525101678e-47,3.784435761210226e-46,3.5725867520439468e-47,6.6865939436957843e-33,3.2579878787736331e-32
2.957929059783585e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108258780166028,0.099975355313375702,1.2013933566017745e-59,0.099987544488321395,8.5275472641274325e-42,3.9692308514024151e-29,1.1411038894878028e-10,3.1099515135107296e-24,3.0762908128804101e-43,7.0236366799749218e-15,8.2452675629302799e-47,4.7537931540333054e-25,5.2308978910607927e-35,5.5188405981703076e-43,5.1533873620966857e-34,8.4722876198075703e-41,1.5069318022486237e-42,0.0,2.4644686587311273e-05,1.2455397561609439e-05,1.1411696530904071e-10,6.0540499479515654e-17,6.5158197608135833e-15,3.0090670392152519e-14,3.7118467563657937e-14,3.7041033438859038e-33,3.1417644029625501e-28,1.9147832408595008e-18,1.1030643491420261e-19,3.4295627089267325e-32,1.0221328236166154e-27,2.7832856878531228e-36,6.4444995836435442e-45,6.076693632533924e-51,1.6645631642116107e-47,3.9239280240551068e-46,3.6987992738579225e-47,6.78672521088245e-33,3.3327678991187493e-32
2.9814052627430955e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108240905947603,0.099975255183613637,1.23022324326607e-59,0.099987465875899531,8.7737338285258335e-42,4.0644777622925578e-29,1.1501583250270681e-10,3.1769725060541381e-24,3.1503448043649933e-43,7.1279208909710411e-15,8.5524349385601429e-47,4.82954156631428e-25,5.3907663862242414e-35,5.6711271664384717e-43,5.235785250286424e-34,8.6654760513478618e-41,1.5385280291512552e-42,0.0,2.4744816349091955e-05,1.2534009077931065e-05,1.1502250665139992e-10,6.0540516508672963e-17,6.6136081764907981e-15,3.0280869580857381e-14,3.7413013615696832e-14,3.816160031746816e-33,3.2299391899385106e-28,1.9423320110310748e-18,1.1282465861692684e-19,3.4568933907398104e-32,1.0345073314700397e-27,2.8441123512234684e-36,6.6356032080705205e-45,6.3467698137473306e-51,1.7164453992945364e-47,4.0673033427235258e-46,3.8282896343511804e-47,6.8874925343319493e-33,3.4086224557825144e-32
3.004881465702606e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108223154693378,0.099975156010231589,1.2595106615075603e-59,0.099987387536739622,9.0248536428149369e-42,4.161236180598091e-29,1.1592127336955443e-10,3.2448392229942137e-24,3.2255779269663619e-43,7.2328610138340805e-15,8.8682591877853251e-47,4.9058885844747978e-25,5.5541130918020599e-35,5.8262178885799337e-43,5.31883716245779e-34,8.8614226158061613e-41,1.5705049333334818e-42,0.0,2.4843989730855261e-05,1.261234733229259e-05,1.1592804594490305e-10,6.0540534320226561e-17,6.7120348141642518e-15,3.0470411939826703e-14,3.77075591641406e-14,3.9306413608078746e-33,3.3197746078250524e-28,1.9700338116798301e-18,1.1537895261823995e-19,3.4842249196777923e-32,1.0469122467663206e-27,2.9057176456201991e-36,6.8306852097020568e-45,6.6263516691518238e-51,1.7695045509004252e-47,4.2146340459091462e-46,3.9611108378180425e-47,6.9888937192538873e-33,3.4855574493392902e-32
3.0283576686621166e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108205525394921,0.099975057784095406,1.2892592122914776e-59,0.099987309469891511,9.2809608406569525e-42,4.2595180018382317e-29,1.1682671156285481e-10,3.3135540182809602e-24,3.3019995012046053e-43,7.3384547827517226e-15,9.1929036024023699e-47,4.9828342058617635e-25,5.720982310794397e-35,5.9841369801114534e-43,5.402543118702127e-34,9.0601423865273371e-41,1.6028634415320231e-42,0.0,2.4942215866712346e-05,1.2690413274887742e-05,1.1683358320122309e-10,6.0540552908538631e-17,6.8110978152278327e-15,3.0659299741323111e-14,3.8002104214332305e-14,4.0475786147046228e-33,3.4112853482896551e-28,1.9978877903459195e-18,1.179695161424097e-19,3.5115573079871233e-32,1.0593470976914298e-27,2.9681037748771055e-36,7.0297919662879039e-45,6.9156838098394791e-51,1.8237573025276396e-47,4.3659930999393078e-46,4.0973161502882438e-47,7.0909265784696604e-33,3.5635787469509188e-32
3.051833871621627e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108188017052856,0.099974960496158297,1.319472496564516e-59,0.099987231674408233,9.5421096106804829e-42,4.3593351214803387e-29,1.1773214709605019e-10,3.383119201374332e-24,3.3796188479048936e-43,7.444699939750031e-15,9.5265329010323989e-47,5.0603784278329017e-25,5.8914184702023457e-35,6.1449085619184476e-43,5.4869031394043952e-34,9.2616503533754551e-41,1.6356044661003334e-42,0.0,2.5039503803539426e-05,1.276820785260327e-05,1.1773911843194911e-10,6.0540572268018603e-17,6.910795326500648e-15,3.0847535249717237e-14,3.8296648771564791e-14,4.1670031900239024e-33,3.5044860307955252e-28,2.025893097942815e-18,1.2059654730280372e-19,3.5388905679606365e-32,1.0718114199092197e-27,3.0312729006884511e-36,7.2329699081055692e-45,7.2150146806847273e-51,1.8792204275319395e-47,4.5214541063809815e-46,4.2369590947170949e-47,7.1935889323857421e-33,3.6426921825275307e-32
3.0753100745811376e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108170628676776,0.099974864137459721,1.3501541152549739e-59,0.09998715414934628,9.8083541947676822e-42,4.4606994349406331e-29,1.1863757998249393e-10,3.4535370376490686e-24,3.4584452882022193e-43,7.551594234666237e-15,9.8693132212626978e-47,5.13852124775666e-25,6.0654661186445255e-35,6.3085566595870279e-43,5.5719172452442779e-34,9.4659614231566141e-41,1.6687289052365653e-42,0.0,2.5135862501810846e-05,1.2845732009030519e-05,1.1864465164858668e-10,6.0540592393123237e-17,7.0111255002110653e-15,3.1035120721515409e-14,3.8591192841081215e-14,4.2889465950851043e-33,3.599391201670642e-28,2.0540488887450056e-18,1.2326024310629015e-19,3.5662247119372576e-32,1.0843047564429135e-27,3.0952271429961271e-36,7.4402655151756464e-45,7.5245965740339239e-51,1.9359107886298953e-47,4.6810912996267339e-46,4.3800934461951516e-47,7.2968786089670631e-33,3.722903556887653e-32
3.098786277540648e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108153359285159,0.099974768699124833,1.3813076692728918e-59,0.099987076893765292,1.0079748886382422e-41,4.5636228375849008e-29,1.1954301023545143e-10,3.5248097487963838e-24,3.5384881435461544e-43,7.659135425121599e-15,1.0221412111693652e-46,5.2172626630120963e-25,6.2431699239955716e-35,6.475105202768162e-43,5.6575854571972845e-34,9.6730904200399056e-41,1.7022376432079181e-42,0.0,2.523130083642427e-05,1.2922986684476886e-05,1.195501828625588e-10,6.054061327835559e-17,7.1120864939807821e-15,3.1222058405387333e-14,3.888573642807548e-14,4.4134404487345865e-33,3.6960153332029546e-28,2.0823543203757522e-18,1.2596079945762272e-19,3.5935597523017621e-32,1.0968266575584721e-27,3.1599685803737713e-36,7.6517253145115367e-45,7.8446856429187588e-51,1.9938453374051658e-47,4.8449795444615676e-46,4.5267732271781616e-47,7.4007934437105101e-33,3.804218637917584e-32
3.145738683459669e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108119173573173,0.099974580548469388,1.4450449868408211e-59,0.09998692318730143,1.0638206014313773e-41,4.7741944916404701e-29,1.2135386289353326e-10,3.6699284664362698e-24,3.7022603867737118e-43,7.8761495618931392e-15,1.0954242804026014e-46,5.3765412690867372e-25,6.6097252592422553e-35,6.8169988610814243e-43,5.8308842848303278e-34,1.009586108111209e-40,1.7704114843821635e-42,0.0,2.5419451491259887e-05,1.3076691337305557e-05,1.2136123932778979e-10,6.0540657307447187e-17,7.3158935990565302e-15,3.1593999365012486e-14,3.9474822175029761e-14,4.6702065227097266e-33,3.8944779920079373e-28,2.1394107532867297e-18,1.3147327193842248e-19,3.6482325719598014e-32,1.1219543901305769e-27,3.2918211500682974e-36,8.0873238168233621e-45,8.5174292975724249e-51,2.1135152457228416e-47,5.1858117852300815e-46,4.8309863758929185e-47,7.61048996717295e-33,3.9701828278204011e-32
3.187995848786788e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108088803691657,0.099974414273213658,1.5040587154325086e-59,0.09998678576374255,1.1158976468524909e-41,4.9691603986010474e-29,1.2298362141058468e-10,3.8034803920125569e-24,3.8539090645298395e-43,8.0736523306075832e-15,1.1647369387934952e-46,5.521939184508869e-25,6.9525795851595255e-35,7.1348607545717915e-43,5.9890904891284455e-34,1.0486139025664762e-40,1.8330908369243796e-42,0.0,2.5585726746466917e-05,1.3214113266228351e-05,1.2299118341030968e-10,6.0540699479062639e-17,7.5014590253535292e-15,3.1926553193141011e-14,4.0004997748176265e-14,4.9103379448203108e-33,4.0791168699339052e-28,2.1912649319502878e-18,1.3656250315024546e-19,3.6974413004669796e-32,1.144662672856426e-27,3.4132006886023486e-36,8.4940716323189882e-45,9.1614823392629939e-51,2.2256451455601888e-47,5.5078632617226013e-46,5.1174504291499308e-47,7.8013333181886734e-33,4.1233824703060532e-32
3.230253014113907e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108058804452667,0.099974250845739521,1.564657515018285e-59,0.099986649198827299,1.1697279832319285e-41,5.1693627490139765e-29,1.2461337159749428e-10,3.9398347091478285e-24,4.0096439091045834e-43,8.2732165203204911e-15,1.2373357486214886e-46,5.6692765085196266e-25,7.3079797398359667e-35,7.4624878000012883e-43,6.149416337079457e-34,1.0885773866645475e-40,1.8970284560656657e-42,0.0,2.5749154220076207e-05,1.3350676551546917e-05,1.2462112117813926e-10,6.0540744030092591e-17,7.6890399008078338e-15,3.2257042804417774e-14,4.0535171836524634e-14,5.1592294836395075e-33,4.2695467791251852e-28,2.243590998027038e-18,1.4177415933521653e-19,3.7466531279341465e-32,1.1674568296548843e-27,3.537161214356796e-36,8.9150368831271308e-45,9.8437400725791668e-51,2.3420738546288507e-47,5.8448809939572911e-46,5.4162526374726551e-47,7.9941688607668239e-33,4.2802463360834886e-32
3.272510179441026e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24108029170442535,0.099974090217276976,1.6268623854634316e-59,0.099986513487189024,1.2253434404205732e-41,5.3748709149187091e-29,1.2624311352853455e-10,4.0790028470357861e-24,4.1695192951982524e-43,8.4748293313963112e-15,1.3133234181753275e-46,5.8185532262046719e-25,7.6761902350352638e-35,7.8000160134736694e-43,6.3118619618509707e-34,1.1294849125391994e-40,1.962229023429108e-42,0.0,2.5909782682090379e-05,1.3486386559893022e-05,1.2625105269499918e-10,6.0540790930111294e-17,7.8786256736027293e-15,3.2585481033325646e-14,4.1065344468645389e-14,5.4170693825479348e-33,4.4658493347530914e-28,2.296384158263524e-18,1.4710934373124203e-19,3.795868128199724e-32,1.1903344848518301e-27,3.6637134033030311e-36,9.3504922637824283e-45,1.0565837547177238e-50,2.4629033838198557e-47,6.1973240603995306e-46,5.7277163834766338e-47,8.1889842404091657e-33,4.4408068934376848e-32
3.314767344768145e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410799989633447,0.099973932339891214,1.6906943264523446e-59,0.099986378623494659,1.2827758904129087e-41,5.5857542678785484e-29,1.2787284727710862e-10,4.2209958072790623e-24,4.3335896011974305e-43,8.6784780437817141e-15,1.3928040705235034e-46,5.9697693227534255e-25,8.0574766534555428e-35,8.1475803635593565e-43,6.4764274998009333e-34,1.1713447488693195e-40,2.0286970911003806e-42,0.0,2.6067660067310058e-05,1.3621248624328333e-05,1.2788097802379614e-10,6.0540840149148628e-17,8.070205847285094e-15,3.2911880634249454e-14,4.1595515672628026e-14,5.68404695343422e-33,4.6681053112107754e-28,2.3496396535982743e-18,1.5256914835094966e-19,3.8450863755565751e-32,1.2132933301205978e-27,3.7928675267615475e-36,9.8007107543232757e-45,1.1329451231130279e-50,2.588236638508119e-47,6.5656579572969443e-46,6.0521672737926893e-47,8.3857671796029053e-33,4.6050962774150101e-32
3.357024510095264e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24107970976887119,0.099973777166468381,1.7561743374909793e-59,0.099986244602444513,1.342057244812045e-41,5.8020821789925845e-29,1.2950257291576303e-10,4.3658241709673771e-24,4.5019092092669697e-43,8.8841500165088959e-15,1.4758832271089666e-46,6.1229247834573093e-25,8.452105607674071e-35,8.5053147640539601e-43,6.6431130904970931e-34,1.2141650816432504e-40,2.0964370853022162e-42,0.0,2.6222833489641957e-05,1.3755268044554923e-05,1.2951089722663528e-10,6.0540891657683802e-17,8.2637699804726229e-15,3.3236254281981124e-14,4.2125685476089061e-14,5.9603525560248647e-33,4.8763946291042732e-28,2.403352758937701e-18,1.5815465406186232e-19,3.8943079447456852e-32,1.2363311225717598e-27,3.9246334581662474e-36,1.0265965573874701e-44,1.2136299181601333e-50,2.7181774096964445e-47,6.9503545501715105e-46,6.3899330529370316e-47,8.5845054773358096e-33,4.7731462927165561e-32
3.3992816754223826e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24107942406943111,0.099973624650701323,1.8233234179092526e-59,0.099986111418772033,1.4032194524082547e-41,6.0239240189073206e-29,1.3113229051619987e-10,4.5134981056552406e-24,4.6745325054424035e-43,9.0918326872020243e-15,1.5626677911076263e-46,6.2780195937080337e-25,8.8603446997889871e-35,8.873352067582729e-43,6.8119188767361555e-34,1.257954014916924e-40,2.1654533099632486e-42,0.0,2.6375349256158432e-05,1.3888450087124417e-05,1.311408103648319e-10,6.0540945426639208e-17,8.4593076865626863e-15,3.355861457222135e-14,4.2655853906180072e-14,6.246177577619868e-33,5.09079634300703e-28,2.4575187829334698e-18,1.6386693066603626e-19,3.9435329109498169e-32,1.2594456828978142e-27,4.0590206797318009e-36,1.0746530135305253e-44,1.2988141199821952e-50,2.85283036525317e-47,7.3518920249329609e-46,6.7413435181008319e-47,8.7851870086145021e-33,4.9449884165678964e-32
3.4415388407495015e-11,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24107914181427689,0.099973474747076047,1.8921625668634075e-59,0.099985979067243616,1.4662944968636374e-41,6.2513491578280471e-29,1.3276200014928887e-10,4.6640273722428803e-24,4.8515138797227647e-43,9.3015135715868262e-15,1.6532660305716296e-46,6.4350537389959033e-25,9.2824624817331905e-35,9.2518240599875235e-43,6.9828450045626933e-34,1.3027195715659656e-40,2.2357499501864079e-42,0.0,2.6525252880918064e-05,1.4020799985645825e-05,1.3277071749892385e-10,6.05410014273708e-17,8.6568086334427497e-15,3.3878974022078082e-14,4.3186020989595562e-14,6.5417144132176347e-33,5.311388629939818e-28,2.5121330677612905e-18,1.6970703697917918e-19,3.9927613497877553e-32,1.2826348935701007e-27,4.1960382890274191e-36,1.1242678000916202e-44,1.3886778970877415e-50,2.992301041240464e-47,7.7707548386609904e-46,7.1067304348653673e-47,8.9877997239859013e-33,5.1206538015659875e-32
