Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),H2X(46),OCX(25),CHOX(50)
9.810917400751822e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039630691,0.099999999997444675,0.099999999999448669,0.0,1.071508878180767e-42,6.7503396676455444e-26,1.7201758231434411e-58,1.7611780059329739e-39,7.7062127261149712e-96,4.7944429632188078e-31,6.0018125298887577e-107,3.2511627830736055e-31,5.9059511423069425e-68,1.4026330050831227e-44,2.1586605612932329e-87,3.0688107193883385e-92,2.7344405463857217e-38,6.3702850959448755e-82,2.5202669422126802e-12,1.102687423863087e-12,3.5067723083354333e-14,3.507219817339981e-14,2.1837021296811269e-20,1.4761522266607367e-18,7.3991008469999099e-22,3.0651358142418862e-26,5.0887840987987353e-37,2.735918293538144e-36,2.2968897646438411e-39,1.2051621262143367e-61
1.4716380259540122e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039446036,0.099999999996167002,0.099999999999173,0.0,4.0851963289817231e-42,1.440618192170522e-25,9.6687330561010017e-58,5.2283815988086677e-39,6.6390631112001035e-95,8.1620417015058981e-31,3.3878651088851805e-106,4.8826123656858603e-31,2.2343009394406923e-67,5.34761029740004e-44,1.6422766003187959e-86,2.0186275774060673e-91,7.8189805982528872e-38,2.9716791496942273e-81,3.7804014807848516e-12,1.6540316031536048e-12,5.2600662821808286e-14,5.2610186285066842e-14,3.2863127129541332e-20,3.1497726480603206e-18,2.1245590624385938e-21,6.5136208115690808e-26,1.4551094986583665e-36,7.8570854014657135e-36,1.0778959940690093e-38,7.9948047040938806e-61
2.4527305977116723e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039076726,0.099999999993611657,0.09999999999862165,0.0,3.3598866823587148e-41,3.9991839110816649e-25,2.43200033686268e-56,2.4488958754892718e-38,1.34780153066685e-92,1.7225953618874528e-30,1.3045687123931743e-104,8.159594162892112e-31,1.7632046263893761e-66,4.3976859596118677e-43,1.5156853363649273e-84,8.8182550616187614e-90,3.5935665308687194e-37,3.9819596428529957e-80,6.3006705560969071e-12,2.7567199616808937e-12,8.7664294477844086e-14,8.7690663216781833e-14,5.4913925262687406e-20,8.7399188616986186e-18,9.8085762333727351e-21,1.8009635170230797e-25,6.6876144822403037e-36,3.6290002806442402e-35,1.5834474488824324e-37,4.202425548933456e-59
3.326889133042741e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038747667,0.09999999999133484,0.099999999998130404,0.0,9.6818940335383473e-41,7.0917642968494314e-25,9.7468785770565333e-56,5.6012895804694913e-38,9.7364419557907554e-92,2.7144443779501377e-30,6.403695669242391e-104,1.1090546000737792e-30,4.8859836838832442e-66,1.2671777905576998e-42,8.4762695532727961e-84,3.924261995115019e-89,8.0175990296152236e-37,1.2994370276902431e-79,8.5462432833938129e-12,3.7392209693546426e-12,1.1890439241210752e-13,1.1895111111487634e-13,7.4560181531590076e-20,1.5494004554784134e-17,2.1912131885402007e-20,3.1892284986089269e-25,1.492072315812999e-35,8.10896091300719e-35,5.5887674513898069e-37,2.1849494075036817e-58
4.20104766837381e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038418608,0.099999999989058022,0.099999999997639158,0.0,2.2061458819951336e-40,1.1049758261434245e-24,3.0211314530573793e-55,1.074377738786011e-37,4.0764889127882755e-91,3.9024493607708502e-30,1.9811587603119512e-103,1.4033364478945964e-30,1.1144036110437511e-65,2.8873003210587054e-42,3.383362568870665e-83,1.4111768909367521e-88,1.510216854656728e-36,3.4799317025664087e-79,1.0791816009147125e-11,4.7217219769789445e-12,1.5014259692625356e-13,1.5021535313069975e-13,9.4205247067523033e-20,2.4134220099090367e-17,4.130529801684469e-20,4.9650658278559659e-25,2.8105081711273733e-35,1.5289420584423667e-34,1.4714676083737407e-36,7.4481707125059697e-58
5.075206203704879e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038089549,0.099999999986781204,0.099999999997147912,0.0,4.3487544065313084e-40,1.5820373732693389e-24,7.6011642727460843e-55,1.8217345921774978e-37,1.4675578894498836e-90,5.2746443758696719e-30,5.6660697285203504e-103,1.6987327572909712e-30,2.1661985582168849e-65,5.6911256608434936e-42,1.0714538970155069e-82,3.9453587635206763e-88,2.5179453403974613e-36,7.6716139997000114e-79,1.3037388733450934e-11,5.7042229845547869e-12,1.8137902352297407e-13,1.8148315917642463e-13,1.1384919450771439e-19,3.4544153967070652e-17,6.8896949082286022e-20,7.1049168111111006e-25,4.6858872806530834e-35,2.5508322872364291e-34,3.3228605668722476e-36,2.16931595878694e-57
6.823523274367017e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037431431,0.099999999982227569,0.099999999996165406,0.0,1.2101058522288127e-39,2.7210587848567803e-24,2.9944943260154037e-54,4.0127278456958276e-37,1.4070307890394482e-89,8.4381277478613911e-30,3.1217621971558924e-102,2.2920616822596749e-30,5.7215505679601781e-65,1.5834562098255543e-41,6.6304018270303867e-82,1.7693573519560629e-87,5.3566291856476616e-36,2.3979087679298012e-78,1.7528534178760203e-11,7.6692249995889377e-12,2.4384783136528923e-13,2.4402688451321968e-13,1.5313454534993457e-19,5.9386826888465911e-17,1.466247869142597e-19,1.2213157581257879e-24,9.9686677649433297e-35,5.4305592191941646e-34,1.1538039846089813e-35,1.2591464668187275e-56
8.571840345029155e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036773313,0.099999999977673934,0.099999999995182901,0.0,2.7029252181929405e-39,4.160706829509298e-24,8.7644001935931591e-54,7.5019170491494991e-37,6.3817343671237359e-89,1.2283016015167601e-29,1.0595648292242862e-101,2.8895151021477611e-30,1.2378911138536591e-64,3.5364830647749202e-41,2.6014089889329961e-81,5.7427800178981304e-87,9.7215484729361364e-36,5.9140147941144855e-78,2.201967961870638e-11,9.6342270144246927e-12,3.0631006186124685e-13,3.0658380630851194e-13,1.9241575983426877e-19,9.0765061175614393e-17,2.6613533400834128e-19,1.8668827742827481e-24,1.8091766941009611e-34,9.8602085214074418e-34,2.9966238507458625e-35,4.4092261667003425e-56
1.0320157415691292e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036115189,0.099999999973120299,0.099999999994200395,0.0,5.332123480695263e-39,5.9211569842553031e-24,2.2035712088364345e-53,1.2677453702307647e-36,2.382094719680069e-88,1.6855039203806661e-29,3.0952709890161155e-101,3.4913711182867038e-30,2.388100185902332e-64,6.9757094039948173e-41,8.4215548908954362e-81,1.5944220227386059e-86,1.6059828962848324e-35,1.2837721922778429e-77,2.6510825052928976e-11,1.1599229029035521e-11,3.6876527359602696e-13,3.6915481960116431e-13,2.3169256036393339e-19,1.2910806346523807e-16,4.3963661956676933e-19,2.6562911838321264e-24,2.9887284242783227e-34,1.6293933406551976e-33,6.7607751601898196e-35,1.3029731486247195e-55
1.381679155701557e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034798942,0.099999999964013014,0.099999999992235397,0.0,1.6966494297649486e-38,1.0422254283792845e-23,1.2999903989946723e-52,3.0077403402475284e-36,5.3594827390674939e-87,2.8220814817789374e-29,2.5025414718516141e-100,4.708543407352214e-30,7.4868257752125004e-64,2.2189602817939898e-40,1.1106605763770337e-79,1.3252248546344795e-85,3.6969041871558921e-35,5.3493166882571059e-77,3.5493115903882421e-11,1.5529233057486652e-11,4.9365425154501258e-13,4.9433996206011255e-13,3.1023267477619824e-19,2.2701470113010651e-16,1.0115192303310551e-18,4.6749611675575093e-24,6.879925453116783e-34,3.7521056132387933e-33,2.8998317175845877e-34,1.1805728270959513e-54
