Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),C2H4(47),OCX(25),CHOX(53),COX(50),O(29),H2OX(23)
5.869212630989052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,0.0,1.2560994222768203e-36,1.7354391449849592e-24,7.3642381949718056e-53,8.2818877592770958e-37,5.4726346769106027e-85,5.1800455843366376e-14,9.4142637381311427e-72,5.1800455837452374e-14,5.9352861905910071e-49,3.6337956171075927e-48,7.7346187468321367e-71,8.9682711065448494e-72,6.1800985419922294e-26,1.3386438675882658e-56,2.8289650988088896e-12,8.3760628588729154e-14,3.3532606588625829e-16,3.3531779577504573e-16,3.9968133301712682e-21,9.1245459591844411e-23,4.3722186242078163e-26,1.927051647161901e-25,6.6640136683260107e-35,1.0507510358656043e-63,2.447472354037871e-45,1.2423343284412491e-66,1.3621381061436403e-64,7.9507400901200283e-23,1.1302779706772176e-46
1.1738430237375515e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,0.0,1.004880285538559e-35,7.0173346840738203e-24,7.1298621580664612e-51,6.625516735618052e-36,2.1175193230732058e-82,1.0360095559861787e-13,6.0251377187494048e-70,1.0360095557496182e-13,9.4964677201313246e-48,5.8140795877515257e-47,1.4968115304477462e-68,1.7355489019131126e-69,2.472040988272483e-25,4.2836646205513737e-55,5.6579325944198648e-12,1.6752132818042831e-13,6.7066113160678042e-16,6.7062770105692258e-16,1.5636882305188851e-20,7.1483626459672249e-22,5.3102108919658442e-25,7.708207160250417e-25,5.385537087021134e-34,6.7248130858627159e-62,1.1861884352754833e-43,2.4071472516026893e-64,2.6360219147837764e-62,1.5913847126375238e-22,1.8084427605050185e-45
2.3476865450148443e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,0.0,8.0390453010573802e-35,2.8638184804860608e-23,7.4792070799856776e-49,5.3004159704836098e-35,8.8797527670843656e-80,2.0720195510929288e-13,3.8560908466070712e-68,2.0720195501466877e-13,1.5194355610048716e-46,9.3025326195124605e-46,3.1390450014009887e-66,3.6397127774189672e-67,9.8881670948067629e-25,1.3707731434987377e-53,1.1315867581611683e-11,3.350427273574172e-13,1.3413593477729381e-15,1.3412229883977481e-15,5.9910177105385409e-20,5.4904953973986983e-21,6.979855675782275e-24,3.0832803809368919e-24,4.3903717122875882e-33,4.3038814561723838e-60,6.2265459574101579e-42,5.0527309719383766e-62,5.5281366368938866e-60,3.1877141833193236e-22,2.893498590476852e-44
4.69537358756943e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,0.0,6.4312374833443787e-34,1.1860252597855468e-22,8.1205328761238486e-47,4.2403337623228154e-34,3.8555282356314415e-77,4.1440395413133079e-13,2.467898816172583e-66,4.1440395375283512e-13,2.4310972880572189e-45,1.4884056410688109e-44,6.8153149898526239e-64,7.9023302752170502e-65,3.955267465278029e-24,4.386473432446482e-52,2.2631737539874796e-11,6.7008552567984459e-13,2.6828797180927848e-15,2.6823154773637276e-15,2.208630866214209e-19,4.0661808944911309e-20,9.4821841698235714e-23,1.2333095777624961e-23,3.6294303091033878e-32,2.7544832173953952e-58,3.3813305862744442e-40,1.0978972500383194e-59,1.2002337111440193e-57,6.3952053783919265e-22,4.6295635369283754e-43
9.390747672678601e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,0.0,5.1449905271468592e-33,5.005445703185219e-22,8.6619506639823813e-45,3.3922673292733334e-33,1.6452388066822017e-74,8.2880795217815548e-13,1.5794552126782914e-64,8.2880795066417727e-13,3.8897553647004218e-44,2.3814493620428114e-43,1.4540629119851076e-61,1.6859775467894963e-62,1.5821071107917649e-23,1.4036705209105351e-50,4.5263477391918941e-11,1.340171122151192e-12,5.3664868971569997e-15,5.3641081698265396e-15,7.6225737689063236e-19,2.8287046449946103e-19,1.2636524766396841e-21,4.9332165381103173e-23,3.0558602775180558e-31,1.7628673529879732e-56,1.8030867122890767e-38,2.3431298778872558e-57,2.5607100536442249e-55,1.2869516783261068e-21,7.4071899663404283e-42
1.8781495842896944e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,0.0,4.1159926796735774e-32,2.1462776155652045e-21,8.6316265877012723e-43,2.7138138713031164e-32,6.5611898550790346e-72,1.6576159482827798e-12,1.010851012446783e-62,1.6576159422269024e-12,6.2236063993231665e-43,3.8103192444162173e-42,2.898911384540399e-59,3.3612608705804439e-60,6.3284286862040233e-23,4.4917384890273409e-49,9.0526956838078856e-11,2.6803423140214109e-12,1.0736316507232408e-14,1.0726124871895859e-14,2.3805706469268331e-18,1.7885874422637143e-18,1.5708544576387462e-20,1.9732689618792299e-22,2.6149699177657189e-30,1.1282324307097451e-54,8.9778848699630386e-37,4.671168169109401e-55,5.1051298286413247e-53,2.6055455650998288e-21,1.1851144684429396e-40
2.817224401311529e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727666015674,0.11866996589167238,0.022821567691044028,0.0,1.1769166788289528e-31,4.718857547976304e-21,5.2897529291202087e-42,8.0566348023192242e-32,5.3013169215538265e-71,2.486423944398379e-12,5.7393120080573191e-62,2.4864239315296689e-12,2.3545162961793433e-42,1.4526842350200536e-41,2.0575329191000129e-58,2.3856882761374017e-59,1.3447911102934073e-22,2.095384776596208e-48,1.3579043602631039e-10,4.0205135043145597e-12,1.6108979066841877e-14,1.6086573349983043e-14,4.3254282241039504e-18,4.5144503268525259e-18,5.1935955054046376e-20,4.1931705497129935e-22,7.6924367381338854e-30,6.3091695606079915e-54,4.6508349794147479e-36,3.3339019244551132e-54,3.6234072361873864e-52,3.947871057583327e-21,4.361944583593898e-40
3.756299218333363e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,0.0,2.4824581593918355e-31,8.2457074879334431e-21,2.0840309169826327e-41,1.7554982746937654e-31,2.5669018094962924e-70,3.3152319405249116e-12,2.2072226346346815e-61,3.3152319185724824e-12,6.1287915118081779e-42,3.9085541395806077e-41,9.0216131590696849e-58,1.046045287113553e-58,2.2940554355411537e-22,6.3804594582814612e-48,1.8105391495661358e-10,5.3606846925260435e-12,2.1484611669639498e-14,2.1445454062851881e-14,6.469291950065258e-18,8.5769613043173912e-18,1.2052311751809926e-19,7.1530147812616847e-22,1.6564776065080895e-29,2.2085150313394919e-53,1.6338325104118585e-35,1.6146180977438986e-53,1.5887405372518155e-51,5.3139281556866619e-21,1.1062689828876406e-39
5.634448852377032e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652031361,0.11866996575337942,0.022821567689033772,0.0,6.7803632275027323e-31,1.7585473312858394e-20,1.5400927054047325e-40,5.0956696176083616e-31,2.5452448299733948e-69,4.9728479328035429e-12,1.6798693191027777e-60,4.9728478873541534e-12,2.2491793380480609e-41,1.5808815877134476e-40,7.7516081388008791e-57,8.9878417247180639e-58,4.7495504028914214e-22,2.9069540671846903e-47,2.7158087221187786e-10,8.0410270620862821e-12,3.2243095683429476e-14,3.2159537462166657e-14,1.1007389354993767e-17,2.0019652091632693e-17,3.6826900757838017e-19,1.4809267231724963e-21,4.6465580357341616e-29,1.2291447194101555e-52,1.0285373451354163e-34,2.1566936586398721e-52,1.3650744509955307e-50,8.1017389770473654e-21,3.8685899878613618e-39
7.5125984864207e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642708474,0.11866996566118411,0.022821567687693601,0.0,1.4186787973104813e-30,3.053699208263768e-20,6.0185748477847075e-40,1.11436541013306e-30,1.2234258910625828e-68,6.6304639251222089e-12,6.3431799194871375e-60,6.6304638478251994e-12,5.8322889727874021e-41,4.2821736239411852e-40,3.3859171268147319e-56,3.9258935954689771e-57,8.0777412453277618e-22,8.7315115260892508e-47,3.6210782851864753e-10,1.0721369418977914e-11,4.3013066440076344e-14,4.2867859438570071e-14,1.5798220649088982e-17,3.6759370575754934e-17,8.2859123741903058e-19,2.5186456029627303e-21,9.906061601243448e-29,4.2014487673022078e-52,3.5106608748885113e-34,1.0233249800006281e-51,5.9626355849008035e-50,1.0976819375564113e-20,9.666375154144306e-39
