Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),C2H4X(65),CH4OX(60),H2X(49)
2.2226160112715496e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33259368063714961,0.11411731310459386,0.022610948299589647,0.0,5.1448380661194729e-10,6.0451051533856981e-10,0.0,1.7397360952156423e-13,0.0,4.483916420638524e-07,6.7818301170847521e-28,1.960050931722187e-09,2.7881735929488814e-21,2.0060811839982186e-13,0.0,0.0,8.1927801115926542e-10,9.6969721058365538e-22,0.0045522029973911029,0.00042123320374528168,1.4584991183041216e-09,4.0945376277621966e-09,4.4080142855758074e-07,1.0408052488577411e-13,7.7289932428681465e-11,3.85047089465372e-16,3.7210403738284407e-25,2.9321686807691364e-28,3.4580695288260517e-18,7.1439493676227494e-12
2.2369211537800152e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33257885257638509,0.11410515227752913,0.022609614588868961,0.0,5.3043557533880358e-10,6.1999537424056031e-10,0.0,1.7858175997483634e-13,0.0,4.5305389054796989e-07,7.1085034866648443e-28,1.9713596160676728e-09,2.8761033176903657e-21,2.0608566935961215e-13,0.0,0.0,8.3740535722517943e-10,1.0059803709784233e-21,0.0045643591539856962,0.00042390052255433303,1.4658996197441417e-09,4.1614696699986191e-09,4.4531226180771659e-07,1.0683239640763243e-13,7.8096396389297286e-11,3.9562039984276314e-16,3.8612384772401826e-25,3.0417465022719479e-28,3.5523600547202002e-18,7.336251958444839e-12
2.2512262962884807e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33256414588250571,0.11409311241863559,0.022608281075935401,0.0,5.4680150228841747e-10,6.3578975332625305e-10,0.0,1.8328534447644152e-13,0.0,4.5773849998503693e-07,7.4489436436504196e-28,1.9826582586866075e-09,2.9662986931391962e-21,2.1168098601490324e-13,0.0,0.0,8.5582399652771508e-10,1.0434045551836942e-21,0.0045763943200415828,0.00042656744437992715,1.4733024975046027e-09,4.2290976487245808e-09,4.498430296305951e-07,1.0964738891117666e-13,7.8906686926335995e-11,4.0642077897004182e-16,4.0058754098802067e-25,3.1547657330279438e-28,3.6486745094612393e-18,7.5326062349579314e-12
2.2655314387969463e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33254955935316072,0.11408119232750845,0.022606947759793918,0.0,5.6359029189007478e-10,6.5189809078126781e-10,0.0,1.8808580527934953e-13,0.0,4.6244546750777606e-07,7.803650337156789e-28,1.9939469630743117e-09,3.0588058529344225e-21,2.1739593099871692e-13,0.0,0.0,8.7453685881834482e-10,1.0819990854960924e-21,0.0045883096959664976,0.00042923397119746723,1.4807077652801624e-09,4.2974245823515574e-09,4.5439369671187009e-07,1.1252670286067826e-13,7.9720802846767288e-11,4.1745178514122019e-16,4.1550659761618392e-25,3.2713145606943948e-28,3.7470448465063692e-18,7.7330737838591335e-12
2.279836581305412e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33253509179793755,0.11406939081566102,0.022605614639459457,0.0,5.8081078800952064e-10,6.6832486221115486e-10,0.0,1.9298459868917773e-13,0.0,4.6717479029634801e-07,8.1731386642669941e-28,2.005225832225285e-09,3.1536716536775465e-21,2.2323238594854152e-13,0.0,0.0,8.9354688504834432e-10,1.121793879897193e-21,0.0046001064702498465,0.00043190010496231486,1.4881154365267743e-09,4.3664534750237354e-09,4.5896422743311331e-07,1.1547156505329751e-13,8.0538742966338717e-11,4.2871701258746889e-16,4.3089273259641872e-25,3.3914830370682768e-28,3.8475033452778884e-18,7.9377167520752354e-12
2.2941417238138774e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33252074203824422,0.11405770670640657,0.022604281713956783,0.0,5.9847197547870473e-10,6.8507458068022807e-10,0.0,1.9798319512993846e-13,0.0,4.7192646557754116e-07,8.5579394614195206e-28,2.0164949686350159e-09,3.2509436840084257e-21,2.2919225160188533e-13,0.0,0.0,9.1285702730488591e-10,1.1628194613740986e-21,0.004611785819581206,0.00043456584760998251,1.4955255244632966e-09,4.4361873235422643e-09,4.6355458586099025e-07,1.1848323635111572e-13,8.1360506109427321e-11,4.4022009165127916e-16,4.4675789914714359e-25,3.51536327657806e-28,3.9500826122409557e-18,8.146597847750343e-12
2.308446866322343e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33250650890719102,0.11404613883474068,0.022602948982320435,0.0,6.1658298168521599e-10,7.0215179674773268e-10,0.0,2.0308307920978998e-13,0.0,4.7670049062397185e-07,8.9585997039864981e-28,2.0277544743017391e-09,3.3506702737953226e-21,2.3527744789258753e-13,0.0,0.0,9.3247024874856059e-10,1.205106967357093e-21,0.0046233489089676349,0.00043723120105633722,1.5029380420734872e-09,4.5066291122422337e-09,4.6816473574847405e-07,1.2156297088976994e-13,8.2186091108893107e-11,4.5196468896063177e-16,4.6311429244746309e-25,3.6430489140787354e-28,4.0548155820410576e-18,8.3597803411992974e-12
2.3227520088308085e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33249239124947416,0.11403468604722534,0.022601616443594583,0.0,6.3515307794152537e-10,7.1956109850433636e-10,0.0,2.0828574978679239e-13,0.0,4.814968627532967e-07,9.3756829141856969e-28,2.0390044507281719e-09,3.452900503440716e-21,2.414899140087771e-13,0.0,0.0,9.5238952354956393e-10,1.2486881592756919e-21,0.0046347968918498293,0.00043989616719780096,1.510353002112513e-09,4.5777818089855898e-09,4.7279464053526477e-07,1.2471204365679221e-13,8.3015496805935008e-11,4.6395450760317152e-16,4.7997435341417374e-25,3.7746354850800606e-28,4.1617355195949617e-18,8.5773280658262817e-12
2.337057151339274e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33247838792126116,0.11402334720187389,0.022600284096832967,0.0,6.5419168099339545e-10,7.3730711160375096e-10,0.0,2.1359272003466865e-13,0.0,4.8631557932743581e-07,9.8097695774717989e-28,2.0502449989232041e-09,3.5576842133044732e-21,2.4783160848183511e-13,0.0,0.0,9.7261783682189577e-10,1.2935954322346637e-21,0.0046461309102171049,0.00044256074791153608,1.5177704171089831e-09,4.6496483741841446e-09,4.7744426333492617e-07,1.2793177454199052e-13,8.3848722049948654e-11,4.7619328730038659e-16,4.9735077252618789e-25,3.9102208069340099e-28,4.2708760212669931e-18,8.7993054190084693e-12
2.3513622938477397e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33246449779007631,0.11401212116803706,0.022598951941098785,0.0,6.7370835468554466e-10,7.5539449929035803e-10,0.0,2.1900551750856788e-13,0.0,4.9115663775180737e-07,1.0261457567554858e-27,2.0614762194035588e-09,3.665072013246066e-21,2.5430450929251318e-13,0.0,0.0,9.9315818455931787e-10,1.3398618248116554e-21,0.0046573520947212526,0.00044522494505564001,1.525190299365391e-09,4.7222317573529792e-09,4.8211356693434858e-07,1.312234749854287e-13,8.4685765698386289e-11,4.8868480458179625e-16,5.1525649369697551e-25,4.0499042333481042e-28,4.3822710156769724e-18,9.025777362944419e-12
