Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(85),C2H6X(60)
7.313902563477122e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362530276986,0.099999999769890491,0.099999999966440448,2.1119892782687011e-90,2.189853742291388e-34,7.7786577308603197e-31,7.0961324885584189e-51,2.816780663901429e-34,4.4515447882181605e-33,9.0253650430794393e-21,1.9180863299543945e-77,3.7850997364950594e-21,4.5821142565522431e-50,5.2754737779009112e-39,1.6757576824967076e-51,5.8045722839158602e-75,1.0514792914519758e-30,3.4336668014654247e-60,2.301079952815125e-10,6.7119133671827027e-11,1.5211055022599729e-15,9.5424115124665425e-22,1.5211097882846938e-15,1.4276291811494298e-30,1.106778027445809e-29,2.145131824414661e-43
9.751870106164192e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362520369311,0.099999999693187319,0.099999999955253924,1.276678179058433e-89,5.5537955555087562e-34,1.3270989499275607e-30,1.6487362554608543e-50,6.1376099657596488e-34,8.5453657043498786e-33,1.3986071125710986e-20,8.7580620432458707e-77,5.0467998461161147e-21,1.2744055019792416e-49,1.4193888854093063e-38,3.8935045972560977e-51,1.5970919291937783e-74,2.217005469583439e-30,1.0903281201465563e-59,3.0681065813083108e-10,8.9492178388678414e-11,2.0281390758756739e-15,1.6277993641048449e-21,2.0281463873487212e-15,3.0111563306253211e-30,2.124615848900491e-29,5.5837608215418731e-43
1.462780519153833e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362500553967,0.099999999539780976,0.099999999932880876,2.1721402723560682e-88,1.9421172191937906e-33,2.7481704117859887e-30,5.194454653483782e-50,1.7815547127180853e-33,2.0980501761643393e-32,2.6077809225910534e-20,1.1844877595044074e-75,7.5702002724858753e-21,5.8197567497857582e-49,5.7408172439786002e-38,1.2266748554217241e-50,6.3225669086832232e-74,6.0528578597961419e-30,5.9075717417936091e-59,4.602159805812495e-10,1.3423826778015266e-10,3.0422044462917869e-15,3.3700696712435742e-21,3.0422195838325127e-15,8.2238238063572656e-30,5.2163365636567501e-29,2.0491575471969036e-42
1.950374027691247e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362480738623,0.099999999386374633,0.099999999910507828,1.0738901373054675e-87,4.8526533254404284e-33,4.6749024351364791e-30,1.2151455297719181e-49,3.8960515967198435e-33,4.1003846058502879e-32,4.1570169203074416e-20,5.6093143300083299e-75,1.0093601023398508e-20,1.7164911379628271e-48,1.5550024093951686e-37,2.8695764363252605e-50,1.7319747988675839e-73,1.2661500852034962e-29,1.985901386716979e-58,6.1362129794211929e-10,1.7898435710546014e-10,4.056267032667491e-15,5.7314729074348325e-21,4.0562927777645068e-15,1.7205917567103326e-29,1.0194696537010362e-28,5.3136106254316289e-42
2.9255610447660743e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362441107936,0.099999999079562002,0.099999999865761732,2.7638384257983946e-86,2.2468639825997733e-32,1.0190741171008812e-29,4.9991151102849834e-49,1.2960046299079373e-32,1.1717215623327178e-31,8.3721285526516075e-20,1.4110287543127699e-73,1.5140403590909089e-20,1.0801667213349952e-47,7.7976224354860082e-37,1.1805452580541941e-49,1.0477870154888572e-72,3.9966925551335947e-29,1.9494541743026806e-57,9.2043191595156153e-10,2.6847653553880669e-10,6.0843830636605102e-15,1.2487015633347085e-20,6.0844391575288254e-15,5.4321268048002883e-29,2.9132252198979066e-28,2.6261176218037597e-41
3.900748061840902e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362401477248,0.099999998772749385,0.099999999821015637,1.8150624078147045e-85,6.5145253797330991e-32,1.7899918975581216e-29,1.3654436739723596e-48,3.0150002186953251e-32,2.5230089749070969e-31,1.4059192060457258e-19,8.9897267673436413e-73,2.0187207563209197e-20,3.797492238242901e-47,2.3393168506914174e-36,3.2245067767915358e-49,3.585320396035247e-72,9.0888326254964294e-29,8.4685599813767478e-57,1.227242511930805e-09,3.5796871368574972e-10,8.1124870440184984e-15,2.1921833960121137e-20,8.1125855268995143e-15,1.2353663349962334e-28,6.272900132125902e-28,7.8288206916514371e-41
5.8511220959905576e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362322215895,0.099999998159124193,0.099999999731523459,5.3396331025704201e-84,3.3091699733249823e-31,3.9944107969388757e-29,6.4047732187564073e-48,1.0265937570227227e-31,7.890267800951655e-31,2.9869472740439012e-19,2.4836725978585049e-71,3.0280819741593011e-20,2.6775450448628758e-46,1.2101329521648203e-35,1.512492610452037e-48,2.5803024131469259e-71,3.0337405537797256e-28,9.4925332422983757e-56,1.8408636374942322e-09,5.3695306911646917e-10,1.2168658686734438e-14,4.8864110140732767e-20,1.2168878236534391e-14,4.1230908403933459e-28,1.9617387810335944e-27,4.0936189796750499e-40
9.751870164289867e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362163693206,0.099999996931874099,0.099999999552539104,3.7591360203816768e-82,2.7364325357888016e-30,1.1064262290595703e-28,4.9351088825137991e-47,4.8825553203779629e-31,3.5024161622041451e-30,7.9238876462152265e-19,1.6264301269908451e-69,5.0468061037808739e-20,3.4062246796537882e-45,9.8873071827115314e-35,1.1654301374474857e-47,3.5832180762855571e-70,1.4260204693017717e-27,2.2495058476480416e-54,3.0681056229732383e-09,8.9492177652437692e-10,2.0280856666083834e-14,1.3503312605830501e-19,2.0281463553666042e-14,1.9371741902751533e-27,8.7079687949652994e-27,3.4470168074553552e-39
1.7553366300888486e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934361846647927,0.099999994477374968,0.099999999194570394,4.8346628748751415e-80,3.1069401124571245e-29,3.593176364520469e-28,5.3533257888742112e-46,2.93352228564232e-30,2.0130438231797595e-29,2.4898977125884985e-18,1.9273099015650415e-67,9.0842611406243589e-20,6.4787173251419807e-44,1.0950484461991715e-33,1.2641924198784085e-46,7.5443915709706436e-69,8.5229236379732657e-27,8.381508928530508e-53,5.5225885310546064e-09,1.6108591775224739e-09,3.650467126786525e-14,4.364280263373114e-19,3.6506633894959214e-14,1.1564328094890332e-26,5.0049723120531463e-26,3.9477978462322574e-38
3.315635857408573e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934361212557813,0.099999989568380951,0.099999998478633029,8.6853837817665423e-78,4.1711712480380379e-28,1.2922444415517551e-27,7.0213247445714349e-45,2.0195668023839249e-29,1.352061688599458e-28,8.725292699871995e-18,3.2554717669219026e-65,1.7159198325497217e-19,1.5663660798255098e-42,1.4421516911307283e-32,1.6580918073218959e-45,1.9880961653541574e-67,5.8531093200865884e-26,4.0210269511334108e-51,1.0431550095590551e-08,3.0427339242471398e-09,6.8949975165000568e-14,1.5545388363564131e-18,6.8956974326998174e-14,7.9218337585232109e-26,3.3615812087005361e-25,5.3294253406054714e-37
