Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),OX(20),CH3X(22)
1.344603636134601e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029464668862592,0.099964261718182429,0.099978540425019344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573828181750974e-05,4.2919149961263283e-05,0.0
1.351570566159592e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029442432097293,0.099964261648825839,0.099978429275871167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738351174096837e-05,4.3141448257615724e-05,0.0
1.358537496184583e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029420195951111,0.099964261584893674,0.099978318127106308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738415106238177e-05,4.3363745787309965e-05,0.0
1.365504426209574e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029397960397551,0.099964261526121118,0.099978206978724796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738473878826488e-05,4.3586042550362802e-05,0.0
1.372471356234565e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029375725411407,0.099964261472256108,0.099978095830726574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738527743819337e-05,4.3808338546790358e-05,0.0
1.379438286259556e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1902935349096872,0.099964261423059059,0.099977984683111684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738576940870752e-05,4.4030633776608251e-05,0.0
1.386405216284547e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029331257046689,0.099964261378302,0.099977873535880071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738621697931948e-05,4.4252928239831512e-05,0.0
1.393372146309538e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029309023623639,0.099964261337768104,0.099977762389031735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738662231822936e-05,4.4475221936474661e-05,0.0
1.400339076334529e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029286790678937,0.099964261301251134,0.099977651242566704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738698748775951e-05,4.4697514866551746e-05,0.0
1.40730600635952e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029264558192965,0.099964261268554969,0.099977540096484949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738731444952542e-05,4.4919807030076306e-05,0.0
1.414272936384511e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029242326147072,0.099964261239492994,0.099977428950786457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738760506935322e-05,4.5142098427061466e-05,0.0
1.421239866409502e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.190292200945235,0.099964261213887712,0.099977317805471227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738786112195754e-05,4.5364389057519878e-05,0.0
1.428206796434493e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029197863305369,0.099964261191570397,0.099977206660539261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738808429538999e-05,4.5586678921463862e-05,0.0
1.435173726459484e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1902917563247663,0.099964261172380386,0.099977095515990558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738827619527166e-05,4.5808968018905308e-05,0.0
1.442140656484475e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029153402022003,0.099964261156165052,0.099976984371825076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738843834881841e-05,4.6031256349855751e-05,0.0
1.449107586509466e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029131171926952,0.099964261142779065,0.099976873228042856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738857220866904e-05,4.6253543914326365e-05,0.0
1.456074516534457e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029108942177678,0.099964261132084273,0.099976762084643844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738867915652734e-05,4.6475830712327992e-05,0.0
1.463041446559448e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029086712761026,0.099964261123949252,0.099976650941628081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738876050662598e-05,4.6698116743871168e-05,0.0
1.4700083765844389e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029064483664493,0.09996426111824902,0.099976539798995526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573888175090214e-05,4.6920402008966146e-05,0.0
1.4769753066094299e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19029042254876188,0.09996426111486463,0.099976428656746205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573888513527271e-05,4.7142686507622888e-05,0.0
1.4839422366344209e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1902902002638481,0.099964261113683034,0.099976317514880078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738886316869523e-05,4.7364970239851043e-05,0.0
1.4909091666594119e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028997798179584,0.099964261114596664,0.099976206373397172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738885403265105e-05,4.7587253205660063e-05,0.0
1.4978760966844029e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028975570250292,0.099964261117503145,0.099976095232297474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738882496779066e-05,4.7809535405059103e-05,0.0
1.5048430267093938e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028953342587193,0.099964261122305179,0.099975984091580983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738877694734494e-05,4.8031816838057129e-05,0.0
1.5118099567343848e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028931115181036,0.099964261128910215,0.099975872951247671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738871089702068e-05,4.8254097504662848e-05,0.0
1.5187768867593758e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028908888023011,0.099964261137230184,0.099975761811297567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738862769732064e-05,4.847637740488477e-05,0.0
1.5257438167843668e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028886661104744,0.099964261147181335,0.099975650671730656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738852818575052e-05,4.8698656538731238e-05,0.0
1.5327107468093578e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028864434418261,0.099964261158684009,0.099975539532546912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738841315891962e-05,4.8920934906210336e-05,0.0
1.5396776768343488e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028842207955993,0.099964261171662475,0.099975428393746332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738828337453692e-05,4.9143212507330004e-05,0.0
1.5466446068593398e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028819981710732,0.099964261186044581,0.099975317255328947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738813955331144e-05,4.9365489342098044e-05,0.0
1.5536115368843308e-09,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19028797755675614,0.099964261201761842,0.09997520611729474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5738798238075813e-05,4.958776541052203e-05,0.0
