Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53)
1.3871578401992592e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31386379448945512,0.11239986914637795,0.013359148767729558,0.0,7.6676709571692866e-12,0.0015524021073562324,0.00081613153068547462,1.3619690970685672e-10,3.7784873155249105e-15,7.1141661853140339e-07,8.511382936588014e-22,1.9876293124660989e-07,2.5618237470800055e-17,7.1099414833051154e-17,2.084186002368542e-13,7.426782892905964e-16,3.4765203614358011e-13,7.392343080074824e-16,0.00545213852758448,0.018108665154910074,3.0977201086346666e-08,1.1613570189437738e-10,0.00011932423615948647,1.7235615017313215e-11,2.269634594767762e-07,8.1613750360644573e-07,4.0407238020454789e-08,2.2525539665629183e-05,6.3118702609923437e-10,2.2649090478900466e-12
1.3899062370497705e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31383992874662436,0.11239758651173688,0.013345672771992658,0.0,7.716080692351033e-12,0.0015578578633738992,0.0008189382723635156,1.3691203912497925e-10,3.8094736094574176e-15,7.1272931445452593e-07,8.601333051702979e-22,1.9906332128517565e-07,2.5783164882620012e-17,7.1606867952478761e-17,2.0945374004642315e-13,7.4691174449589927e-16,3.4870365205216139e-13,7.4556290739575558e-16,0.0054516111296797169,0.018132810271382114,3.1017481171801274e-08,1.1646360058554778e-10,0.00011949273362825451,1.7304612757141993e-11,2.2762050143362363e-07,8.1728390776945855e-07,4.0538050052256604e-08,2.2603089391985385e-05,6.3330957463715798e-10,2.2756229946091844e-12
1.3926546339002818e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31381609730035798,0.11239530002261681,0.013332212414939665,0.0,7.7646915159599456e-12,0.001563320439397048,0.00082174844041561855,1.3762926295477826e-10,3.8406500357642782e-15,7.1404051952880022e-07,8.6920283271512887e-22,1.9936354092135864e-07,2.594878562925382e-17,7.2116672888488022e-17,2.104917577371917e-13,7.5116070722930833e-16,3.4975503161419931e-13,7.5193220373440242e-16,0.0054510841604095694,0.018156920683970533,3.1057699162218449e-08,1.167916412546544e-10,0.00011966111915658283,1.7373776237077905e-11,2.2827833050137165e-07,8.1843040237468463e-07,4.0669001063832048e-08,2.2680728786255485e-05,6.354345120373573e-10,2.2863647063022211e-12
1.395128191065742e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31379467827985508,0.11239323889218229,0.013320111445664289,0.0,7.8086134929557729e-12,0.0015682425792294895,0.00082428051633567836,1.3827655531694885e-10,3.8688720117854807e-15,7.1521932971880568e-07,8.7742948044900335e-22,1.9963359311777096e-07,2.6098438071293649e-17,7.2577511375832736e-17,2.1142843498941866e-13,7.5499805291046178e-16,3.5070106611826366e-13,7.5769950754537533e-16,0.0054506102540723038,0.018178590426361333,3.1093842337957215e-08,1.1708699849617208e-10,0.00011981257058499791,1.7436165185744796e-11,2.2887104939630181e-07,8.1946232517190192e-07,4.0786975582333783e-08,2.2750680765846487e-05,6.3734899440819906e-10,2.2960559895997894e-12
1.397601748231202e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31377328696064111,0.11239117464957959,0.01330802310837122,0.0,7.8526989194347519e-12,0.0015731702252318788,0.00082681535854541087,1.389255445057255e-10,3.8972491675008036e-15,7.1639693288613106e-07,8.8571716074490727e-22,1.9990350769319316e-07,2.624865391649172e-17,7.3040260858966015e-17,2.1236744470126618e-13,7.5884799744683527e-16,3.5164689984368846e-13,7.6350003904267467e-16,0.0054501366940421219,0.018200232138383458,3.112993535740684e-08,1.1738246934319776e-10,0.00011996393164282024,1.7498688585248093e-11,2.2946440538760017e-07,8.2049432183768834e-07,4.0905062265642722e-08,2.2820705113568511e-05,6.3926540475047664e-10,2.3057697692643895e-12
1.4000753053966622e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31375192330543045,0.11238910729951498,0.013295947386360838,0.0,7.8969480638964605e-12,0.001578103368882531,0.00082935296275743096,1.3957623067852507e-10,3.9257820596083583e-15,7.1757332931009648e-07,8.9406619456663923e-22,2.0017328483833336e-07,2.6399434015518854e-17,7.3504924174341728e-17,2.1330878751587621e-13,7.6271055870383263e-16,3.5259252839554472e-13,7.6933392317489131e-16,0.0054496634798999501,0.018221845857723729,3.1165978287019095e-08,1.176780531383251e-10,0.00012011520247201342,1.7561346526793363e-11,2.3005839825150507e-07,8.2152639265997505e-07,4.1023260920501044e-08,2.2890801705278755e-05,6.4118373975473988e-10,2.315506048175388e-12
1.4025488625621223e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31373058727700248,0.11238703684668726,0.013283884262962764,0.0,7.9413611945299704e-12,0.0015830420016731271,0.00083189332469104033,1.4022861398649085e-10,3.9544712456459149e-15,7.1874851927742524e-07,9.0247690379009833e-22,2.0044292474320021e-07,2.6550779217198474e-17,7.3971504147424325e-17,2.1425246407093138e-13,7.6658575453426014e-16,3.5353794739691578e-13,7.7520128507889291e-16,0.0054491906112274042,0.01824343162200379,3.1201971193162936e-08,1.1797374922438768e-10,0.00012026638321409279,1.7624139104387396e-11,2.3065302777022944e-07,8.225585379234959e-07,4.1141571354242424e-08,2.2960970417075744e-05,6.4310399611836059e-10,2.3252648293689948e-12
1.4050224197275825e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31370927883820071,0.11238496329578794,0.01327183372153579,0.0,7.9859385792135306e-12,0.0015879861151086839,0.00083443644007221199,1.4088269457451372e-10,3.9833172839901925e-15,7.1992250308217011e-07,9.1094961120281603e-22,2.0071242759710771e-07,2.6702690368505701e-17,7.4440003592684995e-17,2.1519847499867334e-13,7.704736027783344e-16,3.5448315248884421e-13,7.8110225007941236e-16,0.0054487180876067716,0.018264989468780277,3.1237914142140186e-08,1.1826955694600492e-10,0.00012041747401013518,1.768706641550621e-11,2.312482937243774e-07,8.2359075792045575e-07,4.1259993374450437e-08,2.3031211125298722e-05,6.4502617054504109e-10,2.3350461159645127e-12
1.4074959768930426e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31368799795193353,0.1123828866515012,0.013259795745467829,0.0,8.0306804855142941e-12,0.0015929357007075328,0.00083698230463359093,1.4153847258125416e-10,4.0123207338555478e-15,7.210952810256435e-07,9.1948464050348218e-22,2.0098179358867991e-07,2.6855168314566398e-17,7.4910425313598615e-17,2.1614682092591902e-13,7.7437412126368047e-16,3.5542813933027571e-13,7.8703694368863848e-16,0.0054482459086210239,0.018286519435544917,3.1273807200080505e-08,1.1856547565119172e-10,0.00012056847500078277,1.7750128548891454e-11,2.318441958926235e-07,8.2462305293763687e-07,4.1378526789029889e-08,2.3101523706527114e-05,6.4695025974444673e-10,2.3448499106088131e-12
1.4099695340585027e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31366674458117294,0.11238080691850386,0.013247770318175837,0.0,8.0755871806881421e-12,0.0015978907500012877,0.00083953091411447347,1.4219594813916287e-10,4.041482155292015e-15,7.2226685341634389e-07,9.2808231630145095e-22,2.0125102290585595e-07,2.7008213898656334e-17,7.5382772102640961e-17,2.1709750247407586e-13,7.7828732780532522e-16,3.5637290359800608e-13,7.9300549160580749e-16,0.0054477740738537988,0.018308021559724715,3.1309650433015109e-08,1.1886150468874129e-10,0.0001207193863262394,1.7813325594516557e-11,2.3244073405710797e-07,8.2565542325828201e-07,4.1497171406376751e-08,2.3171908037579873e-05,6.4887626043286498e-10,2.3546762160131896e-12
1.4124430912239629e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31364551868895585,0.11237872410146536,0.013235757423105746,0.0,8.1206589316792282e-12,0.0016028512545348237,0.00084208226426078444,1.4285512137450324e-10,4.0708021091858342e-15,7.2343722056988774e-07,9.3674296411626196e-22,2.0152011573589446e-07,2.7161827962200249e-17,7.5857046741285269e-17,2.1805052025916128e-13,7.8221324020571624e-16,3.5731744098662583e-13,7.9900801971679006e-16,0.0054473025828894158,0.018329495878682059,3.1345443907006532e-08,1.1915764340647567e-10,0.00012087020812627354,1.7876657658101357e-11,2.330379080028071e-07,8.2668786917299038e-07,4.1615927035246609e-08,2.3242363995514962e-05,6.5080416933355116e-10,2.3645250356009316e-12
1.414916648389423e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31362432023838255,0.11237663820504797,0.013223757043732399,0.0,8.1658960051198815e-12,0.0016078172058662491,0.00084463635082508172,1.4351599240737192e-10,4.1002811572572326e-15,7.2460638280893836e-07,9.454669103771355e-22,2.0178907226537852e-07,2.7316011344771031e-17,7.633325200000007e-17,2.1900587489181719e-13,7.861518762547113e-16,3.5826174720846711e-13,8.0504465409368314e-16,0.0054468314353128657,0.018350942429714901,3.1381187687916159e-08,1.1945389115772736e-10,0.00012102094054023005,1.7940124830732367e-11,2.3363571750848674e-07,8.277203909719272e-07,4.1734793484560689e-08,2.3312891457628741e-05,6.5273398317511368e-10,2.3743963719677029e-12
1.4173902055548831e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31360314919261745,0.1123745492339065,0.013211769163559499,0.0,8.2112986673305163e-12,0.001612788595566879,0.00084719316956654678,1.4417856135171973e-10,4.129919862057271e-15,7.2577434046313611e-07,9.542544824224743e-22,2.0205789268022034e-07,2.7470764884088896e-17,7.6811390638246817e-17,2.1996356697732026e-13,7.9010325372955989e-16,3.5920581799354904e-13,8.111155209943975e-16,0.0054463606307098089,0.018372361250056854,3.1416881841273171e-08,1.1975024730088829e-10,0.00012117158370702546,1.8003727177627477e-11,2.3423416235408485e-07,8.2875298893413286e-07,4.1853770563815356e-08,2.338349030145537e-05,6.5466569869176583e-10,2.3842902265023117e-12
1.4198637627203433e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31358200551488852,0.11237245719268862,0.01319979376611953,0.0,8.2568671843191356e-12,0.0016177654152212096,0.00084975271625094219,1.4484282831537284e-10,4.15971878696854e-15,7.2694109386902983e-07,9.6310600849934481e-22,2.023265771656656e-07,2.7626089416020533e-17,7.7291465404477079e-17,2.209235971156064e-13,7.9406739039492219e-16,3.6014964908952399e-13,8.1722074686224881e-16,0.0054458901686665834,0.018393752376877379,3.1452526432865552e-08,1.2004671118544108e-10,0.00012132213776513632,1.8067464812687554e-11,2.3483324233355588e-07,8.2978566334315259e-07,4.1972858083139681e-08,2.3454160404766241e-05,6.5659931262662085e-10,2.394206603031765e-12
1.4223373198858034e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31356088916848734,0.11237036208603465,0.013187830834973692,0.0,8.3026018217808376e-12,0.0016227476564268936,0.00085231498665061913,1.4550879340005589e-10,4.189678496206798e-15,7.2810664337000985e-07,9.7202181776296108e-22,2.0259512590629831e-07,2.7781985774578337e-17,7.7773479036129915e-17,2.2188596590129236e-13,7.9804430400290039e-16,3.6109323626162407e-13,8.2336045832554466e-16,0.0054454200487701844,0.018415115847281911,3.1488121528572917e-08,1.2034328216554277e-10,0.00012147260285263128,1.8131337860796389e-11,2.3543295722583938e-07,8.3081841449762851e-07,4.2092055852252217e-08,2.3524901645569412e-05,6.5853482172803e-10,2.4041455055363015e-12
1.4245635213347176e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31354190779472285,0.11236847387292767,0.013177074842060351,0.0,8.3439052478457901e-12,0.0016272363020044555,0.00085462335529805714,1.4610961394892599e-10,4.2167801721131807e-15,7.2915460887146215e-07,9.80101281003062e-22,2.0283670386308204e-07,2.7922782096862104e-17,7.8208951288171953e-17,2.2275409783910425e-13,8.0163446519798511e-16,3.6194225267568801e-13,8.2891578863365341e-16,0.0054449972330581587,0.018434319355026457,3.152011484945755e-08,1.2061028709164161e-10,0.00012160794547527459,1.8188939413417993e-11,2.3597324329863944e-07,8.317479563834674e-07,4.2199427951612254e-08,2.3588629484212075e-05,6.6027839760224259e-10,2.4131097774956216e-12
1.4265671026387403e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31352484343922293,0.11236677236415984,0.013167403060733761,0.0,8.3811937215547179e-12,0.0016312798268622187,0.00085670276792680394,1.4665152859717051e-10,4.2412837638388522e-15,7.3009694451558582e-07,9.8741774519110387e-22,2.0305403025195725e-07,2.804989588213158e-17,7.8602222601131023e-17,2.2353703697367209e-13,8.0487448191214823e-16,3.6270619306682333e-13,8.3393963324237409e-16,0.0054446169353374908,0.01845158340648204,3.1548874644320466e-08,1.2085066486822647e-10,0.00012172969239708049,1.8240874682334489e-11,2.3645994019552984e-07,8.325845975920069e-07,4.2296138949606653e-08,2.364603364770763e-05,6.6184892418572414e-10,2.4211932246597953e-12
1.428570683942763e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31350779695074593,0.11236506885238635,0.013157739429407912,0.0,8.4185916582939232e-12,0.0016353268939031961,0.00085878396008981137,1.4719455754358758e-10,4.2658938520693972e-15,7.3103849091033705e-07,9.9477697380158813e-22,2.0327126790471024e-07,2.8177386319665636e-17,7.8996770834823089e-17,2.243215115346474e-13,8.0812291310085097e-16,3.6346996594732614e-13,8.3898632960384265e-16,0.0054442368613672213,0.018468829378328451,3.1577602081107222e-08,1.2109111177243097e-10,0.00012185138118936865,1.8292898956136892e-11,2.3694705327870829e-07,8.3342128965572132e-07,4.2392921946287202e-08,2.370348426837953e-05,6.6342068842620621e-10,2.4292914554905956e-12
1.4305742652467856e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31349076830990508,0.11236336334005939,0.013148083939401464,0.0,8.4560991986631657e-12,0.0016393774986871992,0.00086086692955294141,1.4773870083060348e-10,4.2906107382415584e-15,7.3197924825106336e-07,1.0021791435034982e-21,2.034884169181843e-07,2.8305253849126988e-17,7.9392597422872325e-17,2.2510752182786708e-13,8.113797681741006e-16,3.6423356910020996e-13,8.4405594536716712e-16,0.0054438570109291403,0.018486057290162606,3.160629719438042e-08,1.2133162746995403e-10,0.00012197301192471284,1.8345012266185461e-11,2.3743458243038906e-07,8.3425803272881512e-07,4.2489776841403275e-08,2.3760981281848404e-05,6.6499368860636703e-10,2.437404470373798e-12
1.4325778465508083e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31347375749734052,0.11236165582962802,0.013138436582045287,0.0,8.4937164831273567e-12,0.0016434316367796476,0.00086295167408486772,1.4828395849806096e-10,4.3154347241444038e-15,7.3291921673591391e-07,1.0096244313555996e-21,2.0370547738894725e-07,2.8433498909378862e-17,7.9789703794159487e-17,2.2589506815690245e-13,8.1464505653646018e-16,3.649970003159427e-13,8.4914854826021378e-16,0.0054434773838053299,0.018503267161554201,3.1634960018460281e-08,1.2157221162749085e-10,0.00012209458467550522,1.8397214630227112e-11,2.3792252753737365e-07,8.3509482695833607e-07,4.2586703535147274e-08,2.3818524623835583e-05,6.6656792301167387e-10,2.4455322691778918e-12
1.434581427854831e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31345676449371951,0.11235994632353824,0.013128797348682494,0.0,8.5314436520160443e-12,0.0016474893037515682,0.00086503819145706564,1.4883033058321994e-10,4.3403661119244623e-15,7.3385839656584441e-07,1.017113014806457e-21,2.0392244941329144e-07,2.8562121938484298e-17,8.0188091372820972e-17,2.2668415082307323e-13,8.17918787587101e-16,3.65760257392448e-13,8.542642060896252e-16,0.0054430979797781562,0.018520459012045624,3.1663590588110089e-08,1.2181286389968803e-10,0.0001222160995139526,1.8449506135043149e-11,2.3841088849393363e-07,8.3593167249157782e-07,4.2683701927731782e-08,2.3876114230163021e-05,6.6814338993315454e-10,2.453674855104376e-12
1.4365850091588537e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3134397892797362,0.11235823482423295,0.01311916623066837,0.0,8.5692808455231734e-12,0.0016515504951795791,0.00086712647944380927,1.4937781712077522e-10,4.365405204085383e-15,7.3479678794456597e-07,1.0246450716939845e-21,2.0413933308723689e-07,2.8691123373706598e-17,8.0587761578247589e-17,2.2747477012545708e-13,8.2120097071981007e-16,3.6652333813506251e-13,8.5940298674048213e-16,0.0054427187986302644,0.018537632861152144,3.1692188938314363e-08,1.2205358394371973e-10,0.00012233755651209395,1.8501886878250415e-11,2.3889966518572511e-07,8.3676856948554702e-07,4.2780771919056656e-08,2.3933750036752947e-05,6.6972008766375495e-10,2.461832231582822e-12
1.4385885904628764e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31342283183611463,0.11235652133415157,0.013109543219371725,0.0,8.6072282036931749e-12,0.0016556152066465022,0.00086921653582249544,1.4992641814256934e-10,4.3905523035191218e-15,7.3573439107885541e-07,1.0322207802883224e-21,2.043561285065009e-07,2.8820503651419289e-17,8.0988715824565854e-17,2.2826692636065494e-13,8.244916153223136e-16,3.6728624035735865e-13,8.6456495818499e-16,0.005442339840144618,0.018554788728358838,3.1720755102846775e-08,1.2229437144425725e-10,0.00012245895574178968,1.8554356802124479e-11,2.393888574883856e-07,8.3760551809482729e-07,4.287791340975114e-08,2.3991431979638374e-05,6.7129801449348598e-10,2.4700043946358471e-12
1.440592171766899e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31340589214360187,0.11235480585573102,0.013099928306171762,0.0,8.6452858664544107e-12,0.0016596834337399254,0.00087130835837289755,1.5047613367825989e-10,4.4158077134208171e-15,7.3667120617780452e-07,1.0398403191925674e-21,2.0457283576657098e-07,2.8950263207317447e-17,8.1390955521839787e-17,2.2906061982343374e-13,8.2779073077771031e-16,3.6804896187921523e-13,8.6975018846224065e-16,0.0054419611041044277,0.018571926633127636,3.1749289116368726e-08,1.2253522605355368e-10,0.00012258029727473365,1.8606916011242264e-11,2.3987846530112285e-07,8.3844251846124158e-07,4.2975126300562223e-08,2.4049159994937376e-05,6.7287716872240896e-10,2.4781913483718641e-12
1.442313941031907e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31339134925616252,0.11235333007982967,0.013091672233579708,0.0,8.6780787907116748e-12,0.001663182253096529,0.00087310736671062565,1.5094941985661339e-10,4.4375976064123716e-15,7.3747562493009566e-07,1.046423291024865e-21,2.047589918909144e-07,2.9062074882870204e-17,8.1737646564595735e-17,2.2974390533162159e-13,8.3063258652546291e-16,3.6870425742974339e-13,8.742247281332484e-16,0.0054416358164117657,0.018586639684771297,3.1773784042801284e-08,1.2274225681918412e-10,0.00012268452557659908,1.8652153926300409e-11,2.4029953960927072e-07,8.3916183271283443e-07,4.3058722760818333e-08,2.4098805084078205e-05,6.742351876320095e-10,2.4852385907700376e-12
1.4440357102969151e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31337681945109919,0.11235185283892841,0.013083422129420418,0.0,8.7109533640290309e-12,0.0016666836626095512,0.00087490767627984936,1.5142352911126333e-10,4.4594679010659146e-15,7.3827946203056701e-07,1.0530388765159299e-21,2.049450830424189e-07,2.9174167242549928e-17,8.2085288807204351e-17,2.3042832644452564e-13,8.3348071066098296e-16,3.6935941655953912e-13,8.7871653746543127e-16,0.0054413106926924949,0.018601339498264306,3.1798255273744925e-08,1.2294933668638659e-10,0.00012278871136894563,1.8697457838407327e-11,2.4072092060478952e-07,8.3988118539679781e-07,4.3142371812025816e-08,2.4148484109052091e-05,6.755941106120587e-10,2.4922967570374203e-12
