Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),COX(58),CHOX(61)
8.144671010680076e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559669013,0.099999999997437541,0.099999999999626291,1.3072142843655717e-102,2.3289160896217865e-48,1.8799030840049631e-34,9.1138741190643492e-55,4.422100046702079e-40,2.7478763245962224e-37,4.2151286529256338e-23,6.2464686651070522e-88,4.2150394818109341e-23,1.550741782825367e-56,8.0035524785705176e-54,1.3614007523077954e-57,5.882175273578311e-76,2.7478775806646631e-37,1.6194660748358263e-68,2.5624541280844077e-12,7.4743033333453883e-13,1.6938888336621411e-17,3.0829482084197478e-26,1.6938891149358737e-17,1.4150694605715228e-24,4.1765860706166107e-27,1.6259884883057211e-30,1.8645229297698654e-48,7.5290296188797473e-45,6.2676228240563355e-67,8.8777193673862606e-51
1.6289348925689168e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559338023,0.099999999994875063,0.099999999999252576,1.3250494082257094e-99,1.8632519518908914e-47,1.0936654482725724e-33,1.1561578247429853e-52,3.5376830311052322e-39,1.0991711609579722e-36,8.4304392345534151e-23,1.9993031794658502e-86,8.4300825498912298e-23,1.2408462262530329e-55,7.2245884478826245e-53,1.0891402054575177e-56,1.8824519665898376e-74,1.0991717358597912e-36,2.5916569629806422e-67,5.1249104263303771e-12,1.4948613002476272e-12,3.387778844175607e-17,6.8792187849908013e-26,3.3877799763878311e-17,5.6436598248957657e-24,3.3308166411748706e-26,2.5936372869016819e-29,1.1896777972745731e-46,8.65867152599209e-44,1.5896002789430112e-64,7.1019690708197806e-50
3.257870475570735e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558676041,0.099999999989750121,0.099999999998505146,1.3482283221346984e-96,1.4906912313500564e-46,7.085930467126332e-33,1.4704963197541431e-50,2.8301470163699604e-38,4.3968454999053809e-36,1.6861595464366297e-22,6.4005288155318309e-85,1.6860168725451125e-22,9.930799908777153e-55,6.148460734239034e-52,8.7134256068301624e-56,6.028812863828575e-73,4.396847972048177e-36,4.1482805384468814e-66,1.0249823016643641e-11,2.9897232339942294e-12,6.7755580879706889e-17,1.4525722678151607e-25,6.7755626430306031e-17,2.2442761321430288e-23,2.6480615472135775e-25,4.1247581772992027e-28,7.5683006968073859e-45,1.1110266133217336e-42,4.043507509578491e-62,5.6812387038175865e-49
6.515741641574372e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557352072,0.099999999979500223,0.099999999997010286,1.3644234656513174e-93,1.192649963185445e-45,4.9682595491215344e-32,1.8599695500013331e-48,2.2641168800714169e-37,1.7588660462032138e-35,3.3726048189239044e-22,2.0499326685332789e-83,3.3720341234168188e-22,7.9510822583116592e-54,5.0718545654375523e-51,6.9712229471405038e-55,1.9424341708525134e-71,1.7588670724945693e-35,6.6424577122804778e-65,2.0499648172555453e-11,5.9794471011691357e-12,1.3551113466635034e-16,2.9829183445960095e-25,1.355113181942996e-16,8.8733064946485071e-23,2.0923246784801059e-24,6.5208008845218999e-27,4.7863027638000404e-43,1.5476629753776104e-41,1.0229084963749841e-59,4.5444500966680265e-48
1.3031483973581646e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362554704135,0.099999999959000441,0.099999999994020566,2.1529112679560488e-90,9.5425566526659472e-45,3.6402246772430137e-31,2.3256338669620601e-46,1.8112916594594901e-36,7.0364852768498571e-35,6.74635146921144e-22,6.5715997372966803e-82,6.7440686881992447e-22,6.3711714519546845e-53,4.1193354284705058e-50,5.5777487396802794e-54,6.5498884076179346e-70,7.0364894590278212e-35,1.0644596874172746e-63,4.0999298385520245e-11,1.1958894834245759e-11,2.7102211788272906e-16,6.0437143298627132e-25,2.7102286069902966e-16,3.468919194213402e-22,1.6333671174004782e-23,1.0188942766659001e-25,2.9920312201256165e-41,2.2598906920239301e-40,2.5580945885812725e-57,3.6346941493508962e-47
2.606296863759619e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436254940826,0.099999999918000876,0.099999999988041113,2.1076647525338329e-87,7.6361375738175032e-44,2.6977023369795279e-30,2.8440174833102337e-44,1.4490301075151652e-35,2.8154106477420015e-34,1.349726918475188e-21,2.1103125766893535e-80,1.3488138069920777e-21,5.1134259848364e-52,3.3202694325950589e-49,4.4634309643679674e-53,2.9130975426272934e-68,2.8154123355604852e-34,1.7084680474892962e-62,8.1998598416014443e-11,2.3917790295306232e-11,5.4204358688885543e-16,1.2165311844069142e-24,5.4204662089604267e-16,1.3271714129081163e-21,1.2458035998894681e-22,1.5566805064640245e-24,1.829146319428775e-39,3.3461254593401552e-39,6.2569880135744896e-55,2.906370931361426e-46
5.212593796562529e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436253881651,0.099999999836001732,0.099999999976082221,1.9800044414765414e-84,6.1122260074925797e-43,1.9597577624414521e-29,3.3376162132428513e-42,1.159218826473503e-34,1.1268174196941947e-33,2.701280222540203e-21,6.8003941017284909e-79,2.6976277841996407e-21,4.1171248950286742e-51,2.6661378615037463e-48,3.5727156217196536e-52,2.8398811941056817e-66,1.1268180972288564e-33,2.7506142649044037e-61,1.6399719689526144e-10,4.7835581197056137e-11,1.0840845352025913e-15,2.4408508324994755e-24,1.0840971185987171e-15,4.8802930923894561e-21,9.1011615693283238e-22,2.2812484326816758e-23,1.0729315439591184e-37,4.8678858220213913e-38,1.4687630228403874e-52,2.3228863543883955e-45
7.818890729365438e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362528224761,0.099999999754002589,0.099999999964123329,1.4307698058975241e-83,1.7482889832917892e-42,5.3374640589479022e-29,2.1274783935298758e-41,3.4414219854180253e-34,2.3954463252611977e-33,4.0542032825329296e-21,3.2613632728615886e-78,4.0464418622711204e-21,1.2265993986835837e-50,7.9234649488513639e-48,1.0218970858308865e-51,1.9181304443919328e-65,2.3954477658441417e-33,1.0436417576800635e-60,2.4599579379276703e-10,7.1753372078434977e-11,1.6261234938258019e-15,3.6651706568355907e-24,1.6261508376673764e-15,9.8000435577750409e-21,2.4724774903246754e-21,8.0557295661908287e-23,5.815753788112655e-37,1.7214402485727275e-37,1.0790987052811861e-51,6.638378429049886e-45
1.0425187662168348e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362517633011,0.099999999672003445,0.099999999952164437,1.0758255476227221e-82,3.6887454517992312e-42,1.080146372136955e-28,8.7012583742075202e-41,7.4986567569020358e-34,4.0878563996397216e-33,5.4084960934241981e-21,1.082554049593667e-77,5.3952560412071669e-21,2.6815186262519866e-50,1.7274772376157399e-47,2.1560962582407503e-51,8.3096510850510959e-65,4.0878588570286641e-33,2.7238663493990636e-60,3.2799438910853131e-10,9.5671162939442763e-11,2.1681604627665123e-15,4.8894906576133679e-24,2.1682079941256141e-15,1.5892540751464697e-20,4.9833850868204314e-21,1.9694444185118769e-22,2.1314115164728418e-36,4.2200134230709769e-37,4.8917825979257524e-51,1.3995336529976836e-44
1.5637781527774166e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362496449517,0.099999999508005172,0.099999999928246652,3.5383937345381661e-81,1.0080146499553873e-41,2.7647250080370558e-28,6.9224361206347709e-40,2.1766163362899715e-33,8.4685945906024417e-33,8.1202964211026811e-21,6.3603080993714345e-77,8.092884635804417e-21,7.8277840363788698e-50,5.0173158503905356e-47,5.8917848785801804e-51,7.2845992167302369e-64,8.4685996754869838e-33,1.004304882876096e-59,4.9199157602780992e-10,1.435067446136487e-10,3.2522297310097854e-15,7.3381311886354588e-24,3.2523309522941798e-15,3.0333058702628673e-20,1.2647080672839954e-20,6.4846469405999816e-22,1.4556081577643308e-35,1.3981392615787832e-36,4.4947093600607384e-50,3.8194152202071829e-44
