Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
6.814803465219854e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,1.8785595362282447e-76,6.5569308290819542e-51,4.8085749175836685e-30,1.1460492251893086e-54,1.9023599237452712e-39,1.2409472082747884e-92,6.9296775882162499e-19,1.3354270050507058e-83,6.9296774073005712e-19,3.1119004676976858e-56,8.4307770178194726e-53,1.1746186075089949e-76,7.0975551920557481e-78,8.6430400512607653e-42,9.8069215995165748e-66,2.7482111771924732e-12,1.3213643565786238e-13,5.0932513520670394e-17,2.8728674515699177e-26,5.0932529943966917e-17,8.1924474431477887e-24,1.6342108836072652e-26,5.3260702327647751e-30,7.743587984758957e-49,1.7950308256552187e-40,1.0397400888030518e-66,6.3397293565145989e-70,4.4634830317183863e-70
1.3629612707425081e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,9.4017831333180063e-74,8.4029470108586621e-50,1.9246980529513037e-29,1.4634355133696288e-52,1.5218889873313441e-38,6.3408584933990216e-90,1.3859361411574602e-18,8.5467434030304263e-82,1.3859360687911519e-18,4.9790445764911791e-55,1.0801986289303534e-51,2.9998567460584671e-74,1.8126349457809226e-75,5.5813615015374023e-41,3.1382174500171315e-64,5.4964246823308054e-12,2.6427298332571342e-13,1.0186505383762186e-16,9.1345348241321667e-26,1.0186511961961997e-16,3.2704658974320819e-23,1.304518761296911e-25,8.5011982481053016e-29,4.9440178010214614e-47,1.4369086993836507e-39,2.6553751495462901e-64,1.6190268638609062e-67,1.1169142886860156e-67
2.7259231191835536e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,4.6071746246982849e-71,9.5565755365571256e-49,7.7088733397991512e-29,1.8651194285687062e-50,1.2175110610310669e-37,3.2349750344684237e-87,2.7718730140621112e-18,5.4699169402484014e-80,2.7718727245968632e-18,7.9664709101787608e-54,1.2280928382515219e-50,7.6466461399345285e-72,4.6203692706842861e-73,3.2107607452224114e-40,1.0042295590494001e-62,1.0992851687376673e-11,5.2854607865082511e-13,2.0373008533218419e-16,2.5683905359885417e-25,2.0373034908799519e-16,1.3030035566835422e-22,1.0390790586400608e-24,1.3542682474031565e-27,3.1504781459389786e-45,1.1509325591483817e-38,6.7684820163659341e-62,4.1265023582117197e-65,2.7365019345400182e-65
5.451846816065645e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,2.1708892646112394e-68,9.6029630888512782e-48,3.0915239279907765e-28,2.3674364114537637e-48,9.74007920223171e-37,1.6449848067839996e-84,5.5437471928028909e-18,3.5007443716916927e-78,5.5437460349423726e-18,1.2746342007338447e-52,1.2335460569554376e-49,1.9412786469078669e-69,1.1729656557082162e-70,1.6363338086673386e-39,3.2135317902233772e-61,2.1985705676545238e-11,1.0570922692587985e-12,4.0745995176413647e-16,6.3674586691960678e-25,4.0746101129409622e-16,5.1710061740997019e-22,8.2408468295335445e-24,2.1485591030921473e-26,1.9994207477393032e-43,9.2297052056269028e-38,1.7182960738311467e-59,1.0474016493205229e-62,6.4466376812105788e-63
1.0903694209829827e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,9.557617329212951e-66,8.7402238564020809e-47,1.2428502901487433e-27,2.9807515766568047e-46,7.7920456143347259e-36,8.3096830067192492e-82,1.1087497282007101e-17,2.24047225227258e-76,1.108749265056974e-17,2.0394102471313771e-51,1.1222657736694809e-48,4.8887276084771214e-67,2.9537702850898193e-68,7.5505493005601135e-39,1.0283279594442519e-59,4.3971413571189667e-11,2.1141846503059054e-12,8.1491889840088235e-16,1.4316023856848425e-24,8.1492316997643037e-16,2.0363085794086974e-21,6.4802984521404389e-23,3.3808518143102181e-25,1.2586168994425209e-41,7.4186050162628938e-37,4.3269874605636421e-57,2.6366352701891634e-60,1.418895233822016e-60
2.1807388997358194e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,3.7850829783065216e-63,7.4736714421708979e-46,5.0192137570329413e-27,3.6939046775795437e-44,6.2336069397463302e-35,4.1440006699646287e-79,2.217500438727928e-17,1.4338963517991543e-74,2.2174985861569877e-17,3.2630414302342378e-50,9.5933016661772815e-48,1.2118431397884674e-64,7.3214017551543586e-66,3.2627684416712278e-38,3.2906346287717246e-58,8.7942829025707707e-11,4.2283694117248887e-12,1.6298336467779215e-15,3.0351012334643126e-24,1.6298509854888303e-15,7.8993458735803033e-21,5.0119923027603639e-22,5.2352888845344232e-24,7.797724379736428e-40,5.9883454616380407e-36,1.0724957849007915e-54,6.5306822865989714e-58,2.8088959617902811e-58
4.3614778572414927e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,1.298259428393836e-60,6.1801408566621997e-45,2.0428621281552677e-26,4.4417138662051044e-42,4.9868378071492913e-34,2.0170522290202656e-76,4.4350046305064623e-17,9.1768599499117758e-73,4.4349972202551831e-17,5.2208178816462968e-49,7.9312142548418637e-47,2.9151506138503128e-62,1.760933174368461e-63,1.3582391020644156e-37,1.0529934746803772e-56,1.7588565859566063e-10,8.4567389318619846e-12,3.259650564043727e-15,6.2449512862732017e-24,3.2597217910994206e-15,2.9788317195143628e-20,3.7560221183307087e-21,7.8634624637533623e-23,4.6869963544204108e-38,4.8695610506006706e-35,2.5794617979212203e-52,1.5685294312022321e-55,4.8152818665988277e-56
6.542216814747166e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,1.0185299004567552e-59,1.850723179158386e-44,4.3893326135353052e-26,2.8504821711792118e-41,1.480459404128996e-33,1.6942709121323346e-75,6.6525115929877789e-17,5.210333010168944e-72,6.6524958462515471e-17,1.9751326258284978e-48,2.3764382500583451e-46,2.1546331723244006e-61,1.3014785273860572e-62,2.9206454459310899e-37,4.9121730403171519e-56,2.6382848682653032e-10,1.2685108449298212e-11,4.8894549019189047e-15,9.4549495026266652e-24,4.889608857932347e-15,6.0818723513381328e-20,1.034900659180219e-20,2.8087211172106616e-22,2.5604872772514014e-37,1.4045725162892636e-34,1.9064227031473874e-51,1.1647080267551218e-54,3.3058670239845991e-55
1.0903694729758513e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,1.0626023531485687e-57,8.7498865297490405e-44,1.2434262055550198e-25,1.1529077480878902e-39,6.9346543313428096e-33,2.2290822054762985e-73,1.108753660058973e-16,1.4006571663017033e-70,1.1087493065837072e-16,1.5587670843491e-47,1.1237745944608636e-45,1.5292657140578695e-59,9.2336275283192468e-61,8.1672407237680371e-37,6.582516694100721e-55,4.3971413793193717e-10,2.1141847473367193e-11,8.1490132608863717e-15,1.5874963656976616e-23,8.1494554667338371e-15,1.5276609929249077e-19,4.2812588023971572e-20,1.954131841970343e-21,5.9822268550188767e-36,6.6034865113854177e-34,1.3524710045663389e-49,1.0061203869829708e-52,1.9574295832828806e-53
1.4829024853268724e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,6.4846764009001639e-57,2.0246762375658739e-43,2.2460242526251989e-25,5.3038017584669689e-39,1.6002235775022934e-32,1.2515697942759966e-72,1.5079068059379647e-16,6.0818027057052347e-70,1.507899053728698e-16,4.3743696976332263e-47,2.6012695928793606e-45,7.7143062791397949e-59,4.6569384562945796e-60,1.4603060669779966e-36,2.184675520124508e-54,5.9801121960019253e-10,2.8752912586302705e-11,1.1082575140822513e-14,2.1652979075409737e-23,1.1083380621439146e-14,2.5565052515264166e-19,9.0954018774978168e-20,5.1410495423192096e-21,2.4592998285434708e-35,1.5034442882962731e-33,6.8210540853892451e-49,6.0183397270891426e-52,1.1079949854611354e-52
1.8754354976778936e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756240729974,0.11866996527364282,0.022821567674872298,2.4834370171810051e-56,3.9051027020403919e-43,3.5511313782432463e-25,1.8054702908194164e-38,3.0811018855319766e-32,5.624184943629654e-72,1.9070608993474706e-16,1.8415628926272605e-69,1.9070487981028983e-16,1.0015292127499359e-46,5.0184923401551269e-45,3.0356116043933695e-58,1.8323693507366347e-59,2.2852993013394759e-36,5.8702031743680378e-54,7.5630829668881878e-10,3.6363977690001315e-11,1.4016094001511244e-14,2.7430996618436038e-23,1.4017377536788601e-14,3.7590175054804732e-19,1.6215062125542721e-19,1.1024577446600593e-20,7.1275578962420119e-35,2.8723523305595926e-33,2.6838277588653568e-48,2.2101101910678262e-51,3.572333973756205e-52
2.267968510028915e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756224138573,0.11866996511534277,0.022821567671066766,7.9349244049110723e-56,6.6468810248231079e-43,5.1471364374451608e-25,4.9355305854538982e-38,5.2385751956938023e-32,1.8955945716127981e-71,2.3062158877877547e-16,4.7808623354912322e-69,2.306198539859808e-16,1.9530264040611054e-46,8.5439718455601306e-45,9.1617861650250699e-58,5.5295621207230609e-59,3.2816547784925548e-36,1.2986196733597523e-53,9.1460536945150032e-10,4.3975042784974698e-11,1.6949572226517179e-14,3.320901646449701e-23,1.695144570610935e-14,5.0991091792048691e-19,2.5694954966877614e-19,2.0277352904472449e-20,1.7630925215500817e-34,4.8455175601312707e-33,8.0988785091499478e-48,6.950902914275639e-51,1.0636771356183645e-51
3.0530345347309572e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756190955772,0.1186699647987427,0.022821567663455701,5.4624013672718998e-55,1.4712348756619121e-42,9.0147336154569664e-25,2.2266220252950374e-37,1.1582312184325001e-31,1.2002532777035459e-70,3.1045279057343151e-16,2.1146448623058332e-68,3.1044980174049732e-16,5.1851280856566613e-46,1.8920399217908621e-44,4.6550937333983203e-57,2.8082075757353394e-58,5.6651545200532595e-36,4.0858151151330244e-53,1.2311995051116258e-09,5.9197172955023737e-11,2.2816436009206406e-14,4.4765062904983168e-23,2.2819753324697775e-14,8.0302889427155928e-19,5.0413133381571346e-19,4.8980644663756317e-20,7.0831182880952286e-34,1.0485549440399302e-32,4.1129461148292971e-47,4.7449010244022877e-50,7.0429061283018379e-51
3.8381005594329996e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756157772971,0.11866996448214263,0.022821567655844636,2.1250148670687884e-54,2.7580387349736933e-42,1.3990300446465175e-24,7.0923194273825812e-37,2.1698902556333286e-31,4.8495118608541433e-70,3.9028432319760835e-16,6.3630527147651768e-68,3.9027974852756218e-16,1.1247085918835396e-45,3.5482830497569782e-44,1.6367979561079315e-56,9.8707384496020856e-58,8.682079782350309e-36,1.0106212937967553e-52,1.5477936247812997e-09,7.4419303092820772e-11,2.868314959055869e-14,5.6321118079570953e-23,2.8688348600608713e-14,1.1301855340172119e-18,8.4790150455042007e-19,9.7605077450859438e-20,2.0023203062540274e-33,1.9286084791943219e-32,1.4456561674645702e-46,1.7891742773152915e-49,2.339918314627813e-50
