Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),C2H6X(52)
1.575149765924076e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31144405214801807,0.1126945238647812,0.012486111887047584,0.0,1.7111643215572448e-05,0.00023406024525223203,0.0,2.1280672743231141e-05,0.0,0.00050847675120530066,1.3911914759335532e-12,7.7765721849824996e-08,5.8470266662212834e-11,6.0347457614809423e-08,0.0,0.0,2.9454311823095041e-09,1.577701376785951e-09,0.0054238377830686307,0.02065352538437867,3.4713029305698538e-07,1.1206459588486539e-07,4.226038391569133e-05,7.6090206721412264e-10,3.3743957587503826e-06,4.9233016194136881e-08,5.3149069882728829e-08
1.5803311778981466e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31139827428248296,0.11269381685370858,0.012462743028023519,0.0,1.7269850919840954e-05,0.00023465203771540376,0.0,2.14908833420868e-05,0.0,0.00050959800330454815,1.4189390584229953e-12,7.7840579782210082e-08,5.9183479266321055e-11,6.0889667441742738e-08,0.0,0.0,2.956336105413748e-09,1.6050171373194542e-09,0.0054230010746893495,0.020700103962176065,3.4752639925485152e-07,1.1240468816498857e-07,4.2287061892518126e-05,7.6771697461040442e-10,3.3824531677056033e-06,4.9249278458235357e-08,5.3666787621265932e-08
1.585512589872217e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31135259670255189,0.11269311392436358,0.012439424749811721,0.0,1.7428824065812367e-05,0.00023524022874505792,0.0,2.1702016923222887e-05,0.0,0.00051071135642832659,1.4470856455196406e-12,7.7914942960939219e-08,5.9900961792621821e-11,6.1434134162053512e-08,0.0,0.0,2.9672188139294684e-09,1.632665078738456e-09,0.0054221663351362252,0.020746580613473994,3.4791865085451006e-07,1.1274388496844307e-07,4.2313467904772382e-05,7.7456270655744338e-10,3.3904571553239381e-06,4.9264572321979935e-08,5.4186679912880423e-08
1.5906940018462876e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31130701913818132,0.11269241505891275,0.012416156916175513,0.0,1.7588561880676245e-05,0.00023582482954478766,0.0,2.1914068966114243e-05,0.0,0.00051181684313136248,1.4756342948706618e-12,7.7988814646591598e-08,6.0622695446642639e-11,6.198085107666337e-08,0.0,0.0,2.9780793015736357e-09,1.6606471796007821e-09,0.0054213335587178085,0.020792955611507923,3.483070774039973e-07,1.1308218737074997e-07,4.2339604244012487e-05,7.8143921765909818e-10,3.3984079107107894e-06,4.927890597508044e-08,5.4708734902215117e-08
1.595875413820358e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31126154132027634,0.11269172023927852,0.012392939391352548,0.0,1.7749063580107795e-05,0.00023640585145647783,0.0,2.2127034934874851e-05,0.0,0.00051291449623848938,1.504588054339952e-12,7.8062198078874098e-08,6.1348661217313617e-11,6.2529811469049716e-08,0.0,0.0,2.988917563461642e-09,1.6889654096858203e-09,0.0054205027397476024,0.020839229228576187,3.486917083370345e-07,1.134195964785601e-07,4.2365473183792481e-05,7.883464621353858e-10,3.4063056247694934e-06,4.9292287588462817e-08,5.5232940704485597e-08
1.6010568257944286e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31121616298068616,0.11269102944714603,0.012369772040052709,0.0,1.7910328368429093e-05,0.00023698330595655481,0.0,2.2340910279013221e-05,0.0,0.0005140043488359743,1.5339499617468324e-12,7.8135096476779171e-08,6.2078839882729748e-11,6.3081008606071301e-08,0.0,0.0,2.9997335960798151e-09,1.7176217298954696e-09,0.0054196738725443361,0.020885401736044047,3.4907257297083761e-07,1.1375611342567829e-07,4.2391076979791229e-05,7.9528439382396269e-10,3.4141504901466257e-06,4.9304725313465088e-08,5.5759285407352244e-08
1.606238237768499e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31117088385219976,0.11269034266397009,0.012346654727456031,0.0,1.807235543876574e-05,0.00023755720465227636,0.0,2.2555690434180047e-05,0.0,0.00051508643426293431,1.5637230446088985e-12,7.8207513038735427e-08,6.28132120158994e-11,6.363443573878423e-08,0.0,0.0,3.0105273972582924e-09,1.7466180921573856e-09,0.0054188469514322348,0.020931473404347683,3.4944970050747805e-07,1.1409173937219139e-07,4.2416417869944175e-05,8.0225296617100068e-10,3.4219427011779087e-06,4.9316227280895732e-08,5.6287757072773901e-08
1.6114196497425696e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31112570366854142,0.1126896598709818,0.012323587319210613,0.0,1.8235143973208973e-05,0.00023812755927807801,0.0,2.2771370822905625e-05,0.0,0.00051616078610283516,1.5939103198901158e-12,7.827945094275986e-08,6.3551757990449615e-11,6.4190086103251836e-08,0.0,0.0,3.0212989661443888e-09,1.7759564393311953e-09,0.0054180219707412793,0.020977444502998193,3.498231200266371e-07,1.1442647551019556e-07,4.2441498074495733e-05,8.0925213226377873e-10,3.4296824538349773e-06,4.9326801600221074e-08,5.6818343738833819e-08
1.6166010617166401e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31108062216436699,0.11268898104919534,0.012300569681430564,0.0,1.839869314297694e-05,0.0002386943816919605,0.0,2.2987946855329211e-05,0.0,0.00051722743817513906,1.6245147937532151e-12,7.8350913346605763e-08,6.4294457986305075e-11,6.4747952921338135e-08,0.0,0.0,3.0320483031763293e-09,1.8056387051170805e-09,0.0054171989248074717,0.021023315300585595,3.501928604849254e-07,1.1476032305843561e-07,4.2466319796119181e-05,8.1628184484639488e-10,3.4373699456728068e-06,4.9336456358933949e-08,5.7351033421542142e-08
1.6217824736907106e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31103563907525889,0.11268830617941425,0.012277601680693934,0.0,1.8563002108560419e-05,0.00023925768387193523,0.0,2.3205413929918511e-05,0.0,0.00051828642452709313,1.6555394613172288e-12,7.8421903387910125e-08,6.5041291995334493e-11,6.5308029401484846e-08,0.0,0.0,3.0427754100571128e-09,1.8356668139672016e-09,0.0054163778079730895,0.021069086064782756,3.505589507272107e-07,1.1509328325399133e-07,4.2490885220089872e-05,8.2334205626369315e-10,3.4450053757780241e-06,4.9345199621650394e-08,5.7885814116613229e-08
