Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57)
1.577209427743896e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559359045,0.099999999995037808,0.099999999999276321,9.6456435591566109e-100,3.6062312063466364e-47,3.8712303063259508e-34,9.2638746333234815e-53,3.2112635013466073e-39,1.0306263064597851e-36,8.1641548119657797e-23,1.7021459962995133e-86,8.1623923299130445e-23,1.1267071889185624e-55,9.6295583730852941e-49,9.8878240641551196e-57,1.8549756535830303e-78,1.0320410753890788e-36,2.2785148605371707e-67,4.9621731831222228e-12,1.44739323018849e-12,3.2802032067699006e-17,4.6389549763244907e-25,3.2802033642178801e-17,1.0087334370080452e-24,1.0934050479283381e-27,8.2423830378500505e-31,3.5442033796058588e-48,3.0943304150786419e-44
3.1544195239965743e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255871808,0.099999999990075597,0.099999999998552622,9.8639267831397499e-97,4.3801274764256746e-46,1.5655457059156174e-33,1.1832425534899007e-50,2.5690119896338634e-38,4.1232694011254681e-36,1.6331838099098257e-22,5.4515980441552439e-85,1.6324788168749503e-22,9.0201423471477522e-55,1.5219376906727842e-47,7.9116284006165797e-56,4.7384824426226155e-76,4.1344543964143059e-36,3.6481622370798134e-66,9.9243484617651572e-12,2.8947870737620959e-12,6.5604076919468115e-17,1.8321990155570204e-24,6.5604083245150098e-17,4.0305668977185844e-24,8.731827085128134e-27,1.3165290889365749e-29,2.2643881126834804e-46,2.5009305805900326e-43
6.308839716501931e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557436155,0.099999999980151175,0.099999999997105224,1.0083390474979058e-93,5.8106918943048406e-45,6.3981961595100014e-33,1.5093353415003441e-48,2.0552099689527113e-37,1.6499183144939893e-35,3.2677779719220572e-22,1.7475386817537929e-83,3.264957999416977e-22,7.2264858342091244e-54,2.3770088905010973e-46,6.3314898394364128e-55,1.2088806409225628e-73,1.6586603773136301e-35,5.845179224564378e-65,1.9848698995880983e-11,5.7895747606083549e-12,1.3120816326525794e-16,7.1481891284820095e-24,1.3120818878359122e-16,1.6087430811578753e-23,6.9608916384615877e-26,2.0992737787323445e-28,1.4442371177379189e-44,2.041370172764149e-42
1.2617680101512642e-16,0.09977366400000001,0.80000000000000004,0.0,0.289343625548723,0.099999999960302344,0.099999999994210442,1.6306293189056359e-90,8.0858921068397545e-44,2.6674331829179761e-32,1.9188012596778477e-46,1.6441679689770735e-36,6.604556117604875e-35,6.5411963138555906e-22,5.6138277260132033e-82,6.5299164235999765e-22,5.7977887068491061e-53,3.6294310745801981e-45,5.0686898536448551e-54,3.0737139158614055e-71,6.6714087849214661e-35,9.3782767271538752e-64,3.9697399971432465e-11,1.1579150133097709e-11,2.6241632252584644e-16,2.7243532731391285e-23,2.6241642622794196e-16,6.4072693730992689e-23,5.5297017706786219e-25,3.3360642589866667e-27,9.179980980838753e-43,1.6977179534627546e-41
2.523536087153407e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549744591,0.099999999920604682,0.099999999988420865,1.6640652562392479e-87,1.1271965628869873e-42,1.1524625138563766e-31,2.4229211672132603e-44,1.3153341213743501e-35,2.6457284196396128e-34,1.3104953065887991e-21,1.8096337386728936e-80,1.3059833508361874e-21,4.6648082061521199e-52,5.317874495270524e-44,4.0605480902059561e-53,7.7627273527387007e-69,2.6948601772519712e-34,1.5088463478609955e-62,7.9394801551814793e-11,2.3158300873269884e-11,5.2483258732307893e-16,9.9499254738565916e-23,5.2483301383534877e-16,2.5410102684032763e-22,4.362293796209551e-24,5.265924286479272e-26,5.7955914972178316e-41,1.4603727912221068e-40
5.047072241157691e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539489178,0.099999999841209358,0.099999999976841711,1.6853085310654673e-84,1.5016705190870375e-41,5.2776536758881904e-31,3.0189951941413982e-42,1.052266793443706e-34,1.0614160820150438e-33,2.6300146814846521e-21,5.8757158455658684e-79,2.611966862347021e-21,3.7744293881948824e-51,7.2694950572068649e-43,3.2573921757151022e-52,1.9345972932714356e-66,1.0951885995348238e-33,2.4408212532722106e-61,1.5878960322969685e-10,4.6316602334422134e-11,1.0496649020219283e-15,3.3824739802583849e-22,1.0496666855346287e-15,9.9929906698952278e-22,3.3944373503919145e-23,8.202573102671018e-25,3.6103093175385479e-39,1.3280877818010277e-39
7.570608395161977e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362529233765,0.099999999761814035,0.099999999965262557,1.2243354767231162e-83,5.3088537015839339e-41,1.2176944590365656e-30,1.9570690305056576e-41,3.1239161656773025e-34,2.2600985792491146e-33,3.956302078093176e-21,2.8238703472988628e-78,3.9179504684164092e-21,1.1276131386046205e-50,2.5888854199819732e-42,9.3288128383070525e-52,1.4425336802446938e-65,2.3490079370247126e-33,9.2820212122723482e-61,2.3818440342469638e-10,6.9474903776416422e-11,1.5744970018253228e-15,6.4623417313644012e-22,1.5745008902018361e-15,2.0988755077527225e-21,9.5529012980647083e-23,2.9804940531863779e-24,1.9953725765946315e-38,4.0553911447378424e-39
1.0094144549166262e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362518978352,0.099999999682418711,0.099999999953683402,9.409975066981889e-83,1.3248461390624432e-40,2.2258307433137785e-30,8.1419380881963645e-41,6.8068468493569823e-34,3.8626709115315523e-33,5.2893574936375587e-21,9.4097500805874287e-78,5.2239341690444596e-21,2.4723692011664028e-50,6.4917323213572921e-42,1.9705307121792754e-51,6.6390201673046045e-65,4.0373349990608721e-33,2.4281821674497553e-60,3.1757920213681339e-10,9.2633205199259554e-11,2.099328886733424e-15,1.00509272789757e-21,2.0993356575889353e-15,3.5423846226322724e-21,1.9862310937196952e-22,7.4720397735130923e-24,7.4561052715349532e-38,9.0406444665580264e-39
1.5141216857174831e-15,0.09977366400000001,0.80000000000000004,0.0,0.2893436249846752,0.099999999523628064,0.099999999930525107,3.2730046395280897e-81,4.6277830988928093e-40,5.1108363700780849e-30,6.7232996544705244e-40,1.9758164105303155e-33,8.0220812638641211e-33,7.9713524421865919e-21,5.5884772626226325e-77,7.8359017922242981e-21,7.2612586573660527e-50,2.280624983315834e-41,5.3949308785031114e-51,6.307647653204935e-64,8.4493150277819504e-33,8.9960464178455815e-60,4.7636879608081299e-10,1.3894980800003385e-10,3.1489921522040288e-15,1.8032639387589666e-21,3.1490065868750412e-15,7.2053877513235544e-21,5.2973518823294791e-22,2.5626375066972532e-23,5.3095549410080506e-37,2.6866719395614146e-38
2.0188289165183402e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362477956688,0.099999999364837416,0.099999999907366813,2.1152690503380649e-80,1.1341832757972171e-39,9.487863396251999e-30,2.7882492310269598e-39,4.3208853341150828e-33,1.3683772921053706e-32,1.0678235787157018e-20,1.8786010095467687e-76,1.0447869763131007e-20,1.6039124287595111e-49,5.6061039738876089e-41,1.1311756868973078e-50,2.911884048352817e-63,1.4497809408890262e-32,2.3508347844969363e-59,6.3515838457172481e-10,1.8526641073047757e-10,4.1986546274293347e-15,2.6969362276213231e-21,4.1986797700938759e-15,1.2050772266277447e-20,1.085213386043939e-21,6.3013124454023274e-23,1.9310608604501488e-36,6.0181956750612013e-38
