Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),H2OX(23),COX(57)
6.713837832277469e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,1.4896282176946439e-98,1.3467438450271366e-42,7.5341152917342863e-32,6.4267274882545423e-53,1.8190525871743938e-39,4.1645610391697289e-35,1.4199766932603752e-20,2.0973328154748397e-80,1.4199694096558147e-20,2.3825334151201435e-51,7.7417038051875976e-50,1.779861615733111e-53,6.7663898473248015e-77,4.1647529398237721e-35,1.0645653481413471e-62,2.7074946866445087e-12,1.3017875060811431e-13,5.0177922163679723e-17,3.7124568178796535e-26,5.0177926034034444e-17,1.9159624717696023e-24,9.0580533712817549e-28,2.9069346345128987e-31,4.1019240050797763e-50,2.7708188438852848e-42,7.2075117744677676e-37,6.0973905919682301e-65
1.3427681355950613e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,1.1442031438403304e-96,2.1508856270490329e-41,3.0153424423487742e-31,6.3802163067192972e-52,1.4552434031948362e-38,1.6658327991821395e-34,2.8399691582969219e-20,6.7115682099972566e-79,2.8399400238611294e-20,1.906048199513704e-50,1.2365060711177894e-48,1.4238961920576818e-52,1.328372932755644e-75,1.6659860606781735e-34,1.7033232970285232e-61,5.4149916667703331e-12,2.6035761156672913e-13,1.0035588295605895e-16,1.4822981071447676e-25,1.0035589844138179e-16,7.6602333134563679e-24,7.2409293015397992e-27,4.6473323843224872e-30,2.6230546249228121e-48,2.2178200256922558e-41,5.7562699813229108e-36,1.1970340262375106e-63
2.6855368403296898e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,2.6831678676505845e-94,3.4298932150442698e-40,1.2074910966810197e-30,2.0935763195375429e-50,1.1641951290092027e-37,6.663391910245187e-34,5.6799977925206822e-20,2.1477631730558186e-77,5.6798812547482464e-20,1.5248706456215358e-49,1.971507876813686e-47,1.1391267254055573e-51,8.4065072122740011e-74,6.6646138766650402e-34,2.7253729118777201e-60,1.0829985621945032e-11,5.2071533347349769e-13,2.0071179281774916e-16,5.9078182479629519e-25,2.0071185479018642e-16,3.0612009714179943e-23,5.7839303051593742e-26,7.4245135604759144e-29,1.6761566394382091e-46,1.7761155884609035e-40,4.5895039041941192e-35,7.575323931695208e-62
5.371074249798947e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830496,0.02282156769253357,2.1634172205113114e-91,5.45202923605195e-39,4.8407664631333193e-30,2.1875976322595957e-48,9.3135606270231275e-37,2.6654040639838606e-33,1.1360229877529962e-19,6.8732272512914549e-76,1.1359763726428449e-19,1.2199469498846242e-48,3.1325421152379002e-46,9.113165081791018e-51,1.7374534381793516e-71,2.6663750997901966e-33,4.3607712328742462e-59,2.1659973511986649e-11,1.0414307772452006e-12,4.0142356564886809e-16,2.3461983812208966e-24,4.0142381378717288e-16,1.2221720299021289e-22,4.6130876877222876e-25,1.1844082626531419e-27,1.0694839316337547e-44,1.4238593936801927e-39,3.6470227369621265e-34,1.5656583303615254e-59
1.0742149068737461e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664457,0.022821567692012854,3.4165903336900861e-88,8.6114209778284876e-38,1.9449023247384106e-29,2.7447246759749278e-46,7.4508450902179929e-36,1.066199211304335e-32,2.2721393313468937e-19,2.1997210325571954e-74,2.2719528709412702e-19,9.7603789408780284e-48,4.943444089926785e-45,7.290772083189349e-50,4.3561593425272942e-69,1.0669657805923305e-32,6.9777898549096e-58,4.3319949210838724e-11,2.0828616646213827e-12,8.0284692374214884e-16,9.252043479387027e-24,8.0284791827923108e-16,4.8703172514529416e-22,3.6681281359886893e-24,1.8839333732969517e-26,6.8034777623903751e-43,1.1438101079997044e-38,2.8790429656300062e-33,3.9253994709247821e-57
2.148429870661449e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.11866996594332382,0.022821567690971423,3.4577305450834466e-85,1.3434057333341319e-36,7.8476554884936452e-29,3.4683779699662406e-44,5.9606695086128521e-35,4.2650970223116517e-32,4.5446517246413263e-19,7.0408173622993713e-73,4.5439058833876874e-19,7.8095871193388394e-47,7.6982714101231568e-44,5.8330008835523046e-49,1.1008993379598505e-66,4.2710715690404556e-32,1.1166240465675178e-56,8.6639900283618277e-11,4.1657234387054644e-12,1.6056928896535975e-15,3.5987231272360069e-23,1.6056968835859771e-15,1.933583610751373e-21,2.8992268012670722e-23,2.9792127152176447e-25,4.3022154738665688e-41,9.2252766958435419e-38,2.2438234640270911e-32,9.9201962127118924e-55
4.2968597982368547e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668231,0.022821567688888562,3.4623604641424637e-82,2.0470731530232921e-35,3.192375670884822e-28,4.335154220256654e-42,4.7685246630876405e-34,1.706278848567537e-31,9.0907953335647631e-19,2.2541546071874047e-71,9.0878119716789384e-19,6.2497236872996283e-46,1.16903296126601e-42,4.6670135287036492e-48,2.7521657096983743e-64,1.7108237196162656e-31,1.7871669014381372e-55,1.7327980112947902e-10,8.3314469842052757e-12,3.2113818203817564e-15,1.3638364619631934e-22,3.2113979210632942e-15,7.6203885945599378e-21,2.2644098344162893e-22,4.6573907709413326e-24,2.6885840820374988e-39,7.497504212771096e-37,1.7067865491128044e-31,2.479889485805156e-52
6.445289725812261e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.1186699657700408,0.0228215676868057,2.5261874642818225e-81,7.3627167288970397e-35,6.8607724996019774e-28,2.8128292315700823e-41,1.4156539001550585e-33,3.6261950823698704e-31,1.363805776273017e-18,1.0785801450044176e-70,1.3631718123368793e-18,1.8557325074409934e-45,4.3540364017152081e-42,1.3345748317896873e-47,2.0537936056866665e-63,3.6388261205331904e-31,6.7622479075941647e-55,2.5991970067564136e-10,1.2497170527041192e-11,4.8170677500208887e-15,2.7937792076788858e-22,4.8171021459689371e-15,1.6028813541455435e-20,6.3863164676975215e-22,1.6952398547125569e-23,1.4875113362091312e-38,2.1627863723956929e-36,4.7433085376512817e-31,1.850591702277288e-51
1.0742149580963071e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756274595578,0.1186699655967578,0.022821567682639977,1.1435830261076067e-78,5.2434863133808092e-34,1.9496947704863325e-27,1.2134629678560787e-39,6.6311910303642428e-33,1.0027875922035141e-30,2.2737057885296945e-18,1.6281624932940332e-69,2.2719530680344114e-18,8.6981481451318133e-45,3.2658584881093917e-41,6.1346075808915408e-47,1.5551048685930602e-61,1.0081431891813456e-30,5.340042604162951e-54,4.3319949456917274e-10,2.082861760208541e-11,8.0284276049887617e-15,7.069803778554523e-22,8.028523973786372e-15,4.3184499431718473e-20,2.8174298755775965e-21,1.2543527940446758e-22,3.7052716594445692e-37,1.0193918252063305e-35,2.0109645281620839e-30,1.4011586001948402e-49
1.46093234505988e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756258249987,0.11866996544080309,0.022821567678890826,1.0186386690935183e-77,1.3946164062147286e-33,3.5325947935670186e-27,5.694843636505929e-39,1.5302103943084712e-32,1.7859642367195689e-30,3.0929772906168183e-18,5.9427181253188306e-69,3.0898562186466411e-18,2.007958852942377e-44,9.0909319015286024e-41,1.3810685786963945e-46,7.9749470300217549e-61,1.7975019955431981e-30,1.4990461253125282e-53,5.891513048739933e-10,2.8326919961058385e-11,1.0918641777936132e-14,1.1886768570750052e-21,1.0918814866806694e-14,7.5600095581760212e-20,6.1996473498606297e-21,3.3932322988231136e-22,1.5599637702109641e-36,2.3257127646558117e-35,4.3320296521130797e-30,7.1854017882502212e-49
