Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24),H2OX(23)
1.5649704027010577e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32898944829983323,0.11291332685554563,0.02140933316696601,6.5932673142518196e-13,1.5814260631431618e-11,1.5911318499822532e-05,1.4139199179578236e-05,2.7258973672371321e-13,4.6692354536717754e-19,4.1252071030979645e-08,3.1127114146317013e-27,3.0580373430056491e-08,1.5748311529794724e-20,2.0768133173381885e-18,5.2901251505225112e-16,1.3040916015605431e-18,3.397931825086671e-15,5.0558202394790549e-20,0.0057422476803319494,0.0028103286844035815,4.9982733451233556e-09,4.8232891986178038e-11,2.5091796379296195e-05,4.9056117184183538e-13,1.083069650722948e-08,1.9410894934684804e-07,1.0917481602102715e-09,2.3564918587012622e-07,1.1461687314060865e-11,1.2276536796535966e-14,1.179017954742191e-16,1.2844639088302643e-15
1.570180585667647e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32898061961543751,0.11291338443655032,0.021404832932778992,6.668962808417909e-13,1.5980735264242411e-11,1.6057430159874614e-05,1.4229367304902863e-05,2.7518790801772103e-13,4.7364990280113717e-19,4.1455468852991063e-08,3.1737594394391208e-27,3.0704415239978004e-08,1.5927938628411632e-20,2.1032638800702e-18,5.3465550450504452e-16,1.3168740524582863e-18,3.4336489188369227e-15,5.1297549354413435e-20,0.0057420997082716866,0.0028192389785224909,5.0135078382024785e-09,4.8510754620408974e-11,2.5155947552277211e-05,4.9234270096225424e-13,1.085712356822258e-08,1.9408113536746506e-07,1.097345552523441e-09,2.3784055245346807e-07,1.1534472411560075e-11,1.2371358493024105e-14,1.1888519332653816e-16,1.2955973194693797e-15
1.5753907686342365e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32897179381805258,0.11291344184747788,0.021400333885958425,6.745287616279984e-13,1.6148292103960163e-11,1.6204150554186332e-05,1.4319807264828348e-05,2.7780244178087725e-13,4.8044541007573618e-19,4.1659218891296308e-08,3.2358065872530715e-27,3.0828300503709701e-08,1.6109024195329683e-20,2.1299476850649118e-18,5.4033493614512109e-16,1.3297381320351141e-18,3.4695875561587934e-15,5.2045315648465527e-20,0.0057419516339909035,0.0028281466260593755,5.028737837406228e-09,4.8789082386303285e-11,2.5219951192238219e-05,4.9412408630668206e-13,1.0883489529536822e-08,1.9405348490419592e-07,1.1029555756709195e-09,2.4004113252846089e-07,1.1607474042721752e-11,1.2466576866769746e-14,1.1987373670973762e-16,1.3067879334582152e-15
1.5806009516008258e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32896297090019649,0.1129134990836302,0.02139583602606793,6.8222450135925694e-13,1.6316933917274054e-11,1.635147863982897e-05,1.4410518965366023e-05,2.8043338826163693e-13,4.8731050967695295e-19,4.1863320236312662e-08,3.2988659237297221e-27,3.0952028666658625e-08,1.6291575057820735e-20,2.1568658943753879e-18,5.4605087300486586e-16,1.3426840886267014e-18,3.505748002999871e-15,5.2801569520183151e-20,0.0057418034622834652,0.0028370516279809846,5.043963343977333e-09,4.9067875662941388e-11,2.5283809038673849e-05,4.9590533568638842e-13,1.0909795140992435e-08,1.9402599631555609e-07,1.1085782241889566e-09,2.4225090895067632e-07,1.1680692115287845e-11,1.256219272395592e-14,1.208674367193217e-16,1.3180358830978944e-15
1.5858111345674152e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32895415085458291,0.11291355614048132,0.021391339352671519,6.8998382830641109e-13,1.6486663474555623e-11,1.6499413385219457e-05,1.4501502312549032e-05,2.8308079769830234e-13,4.9424564574880481e-19,4.2067771979756703e-08,3.3629506410949777e-27,3.1075599199435536e-08,1.6475598050015543e-20,2.1840196722250737e-18,5.5180337791017947e-16,1.3557121705040879e-18,3.5421305228472851e-15,5.3566379531671367e-20,0.0057416551977710938,0.0028459539852532609,5.0591843591626243e-09,4.9347134828917087e-11,2.5347522808154698e-05,4.9768645687006936e-13,1.0936041142192297e-08,1.9399866798251891e-07,1.114213492618025e-09,2.4446986475335301e-07,1.1754126537038035e-11,1.2658206871367602e-14,1.21866304437774e-16,1.3293413008994651e-15
1.5910213175340046e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32894533367411455,0.11291361301367124,0.021386843865333599,6.9780707143483092e-13,1.6657483549876779e-11,1.6647953770052071e-05,1.4592757212432764e-05,2.8574472031900264e-13,5.0125126409864189e-19,4.2272573214660916e-08,3.4280740589195219e-27,3.1199011597383678e-08,1.666110001291629e-20,2.211410185008835e-18,5.5759251348526695e-16,1.3688226258737421e-18,3.5787353767514632e-15,5.4339814564224438e-20,0.0057415068449095108,0.0028548536988413442,5.0744008842128726e-09,4.9626860261879492e-11,2.5411094194466515e-05,4.9946745758135854e-13,1.0962228262590918e-08,1.9397149830811987e-07,1.1198613755026974e-09,2.4669798314652425e-07,1.1827777215790011e-11,1.2754620116280165e-14,1.228703509346371e-16,1.3407043195771296e-15
1.596231500500594e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32893651935187801,0.112913669699,0.021382349563618945,7.0569456040354245e-13,1.6829396921025438e-11,1.6797098785226769e-05,1.4684283571095266e-05,2.8842520634167126e-13,5.0832781220230913e-19,4.247772303538987e-08,3.4942496248956847e-27,3.1322265380113244e-08,1.6848087794409166e-20,2.2390386012937453e-18,5.6341834215732266e-16,1.3820157028776358e-18,3.6155628233494784e-15,5.5121943818646925e-20,0.0057413584079943659,0.002863750769709589,5.0896129203826719e-09,4.9907052338093599e-11,2.5474524868756056e-05,5.0124834549600315e-13,1.0988357221569382e-08,1.9394448571706333e-07,1.1255218673916823e-09,2.4893524751608523e-07,1.190164405939977e-11,1.2851433266336573e-14,1.2387958726643813e-16,1.3521250720416241e-15
1.6014416834671833e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32892770788113679,0.11291372619242197,0.021377856447092728,7.1364662556436181e-13,1.7002406369519027e-11,1.6946847432774442e-05,1.4776081294637633e-05,2.9112230597402535e-13,5.1547573920916654e-19,4.2683220537656046e-08,3.5614909156161409e-27,3.1445360091040931e-08,1.7036568249277136e-20,2.2669060918196111e-18,5.6928092616110986e-16,1.3952916495933096e-18,3.652613118887973e-15,5.5912836815575235e-20,0.0057412098911669585,0.0028726451988215691,5.1048204689302946e-09,5.0187711432019574e-11,2.55378164796834e-05,5.0302912823972045e-13,1.1014428728508933e-08,1.9391762865534527e-07,1.1311949628376796e-09,2.511816414228024e-07,1.1975726975761843e-11,1.2948647129445852e-14,1.2489402447680078e-16,1.3636036913937506e-15
1.6066518664337727e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32891889925532675,0.11291378249004028,0.02137336451532049,7.2166359796102759e-13,1.7176514680615843e-11,1.7097198725779148e-05,1.4868150289184379e-05,2.9383606941354298e-13,5.2269549594698751e-19,4.2889064818535306e-08,3.6298116373544207e-27,3.1568295296935102e-08,1.7226548239212775e-20,2.2950138294992696e-18,5.7518032754344213e-16,1.4086507140339401e-18,3.6898865172456846e-15,5.6712563395800078e-20,0.0057410612984197468,0.002881536987140092,5.1200235311175707e-09,5.046883791590992e-11,2.5600970653580284e-05,5.0480981338555404e-13,1.1040443482871603e-08,1.9389092558987601e-07,1.1368806563974452e-09,2.5343714860126957e-07,1.2050025872809549e-11,1.3046262513662969e-14,1.2591367359632725e-16,1.3751403109180616e-15
1.611862049400362e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32891009346804928,0.1129138385881016,0.021368873767868123,7.2974580932833639e-13,1.7351724643324406e-11,1.7248151688297504e-05,1.4960490460883813e-05,2.9656654684744126e-13,5.2998753492671567e-19,4.3095254976481993e-08,3.6992256268472501e-27,3.1691070587466329e-08,1.7418034632831241e-20,2.3233629894186295e-18,5.8111660816756228e-16,1.4220931441484085e-18,3.7273832699555686e-15,5.7521193720588996e-20,0.0057409126336016554,0.0028904261356272054,5.1352221082097633e-09,5.0750432159424545e-11,2.5663988994614185e-05,5.0659040845209201e-13,1.1066402174277539e-08,1.9386437500812064e-07,1.1425789426316177e-09,2.5570175295881276e-07,1.2124540658515227e-11,1.3144280227099197e-14,1.2693854564276472e-16,1.3867350640766884e-15
