Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),H2OX(23),CO2X(24)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,2.1430411616317748e-75,2.1103500976357915e-42,1.7634014577682175e-24,4.6766982137058618e-53,8.8482668270793963e-37,3.5629018012493611e-85,5.2514978646514876e-14,1.0480067173719998e-71,5.2514978636718391e-14,6.4286554058294927e-49,7.1196631660643155e-50,4.9712327710638367e-71,5.7641319601627194e-72,2.7831003032922294e-37,1.4699181292254517e-56,2.8679871504166266e-12,8.4916002182262065e-14,3.3994744566181525e-16,5.3418047293205775e-26,1.9805808443618344e-25,3.3994701717173735e-16,2.1067118198877878e-22,2.4440660519102555e-25,6.7839805291370532e-29,3.8763517340343624e-48,6.8699393219232297e-35,1.1697081927510323e-63,8.754801944886412e-65,4.0043751355260316e-68,1.0608726798816537e-36,1.8564374680258141e-68
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,1.0739563704383141e-72,3.3725522308455733e-41,7.0536208866653002e-24,5.8589975308446971e-51,7.0786202560639674e-36,1.785251559061452e-82,1.0503000181818891e-13,6.7072527623770603e-70,1.0503000177900293e-13,1.0285859023742117e-47,1.1376995173994723e-48,1.2455059553667886e-68,1.4441607640431293e-69,2.2237538692572793e-36,4.7037425534061045e-55,5.7359767306774536e-12,1.6983207634697627e-13,6.7989560950180758e-16,2.1339180977847258e-25,7.9223239040431187e-25,6.7989389456391639e-16,8.417090246982898e-22,1.9526193760849782e-24,1.0628641874918218e-27,2.4285208545245747e-46,5.495963212660245e-34,7.486139425352971e-62,2.1934497839611266e-62,1.0033875396097212e-65,8.4765712283535032e-36,4.6518156134382972e-66
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,5.4284837081106947e-70,5.3832965902616238e-40,2.821457681022783e-23,7.40383252120574e-49,5.6628986750241453e-35,9.0234032221903277e-80,2.1006004818440418e-13,4.2926445688318594e-68,2.100600480276603e-13,1.6457381477828701e-46,1.8157037576366127e-47,3.1477063642004807e-66,3.6497555690626714e-67,1.7746544062865192e-35,1.5051980504211271e-53,1.1471955887057029e-11,3.3966422467101901e-13,1.3597932330247889e-15,8.5133161844411416e-25,3.1689269607694791e-24,1.3597863654811363e-15,3.359052525747924e-21,1.5578940596967503e-23,1.6792739835255327e-26,1.5345291758125783e-44,4.3967844478567431e-33,4.7911301856026911e-60,5.5433898447071164e-60,2.53583859833342e-63,6.7646522377079317e-35,1.1756873194322706e-63
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,2.7506726337571542e-67,8.5726356557955296e-39,1.1285899518570147e-22,9.3793553409669936e-47,4.53031953194944e-34,4.5723629440142727e-77,4.2012014100830351e-13,2.7472930032254747e-66,4.2012014038132812e-13,2.6331811965388939e-45,2.8904601732563644e-46,7.9751085317330737e-64,9.2471060656636693e-65,1.4128140025243157e-34,4.8166325791562139e-52,2.2943914183247862e-11,6.7932852129757447e-13,2.7195937040584643e-15,3.3875704808578805e-24,1.2675680992125959e-23,2.7195661718665171e-15,1.3374336480234116e-20,1.2396362317625055e-22,2.6594678055818265e-25,9.720087775295254e-43,3.5174476834245434e-32,3.0663219803704318e-58,1.4044828990911697e-57,6.4242321426678431e-61,5.3853389351072538e-34,2.9786832396795324e-61
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,1.3901534699612589e-64,1.3587960879018157e-37,4.5144130809080945e-22,1.1851563496323422e-44,3.6242552285166051e-33,2.3110578406508124e-74,8.4024032702197268e-13,1.7582671421097641e-64,8.4024032451407647e-13,4.2130887526166388e-44,4.5784659837129544e-45,2.0154605463509782e-61,2.3369147885949685e-62,1.1193504743696511e-33,1.5413210358506294e-50,4.5887830709356267e-11,1.3586571144646411e-12,5.4392158629547527e-15,1.3410286248884747e-23,5.0702497073831273e-23,5.4391052429967345e-15,5.3008673716236374e-20,9.8116101627948815e-22,4.2007090090995745e-24,6.1409275882736899e-41,2.8139891779572494e-31,1.9624435354770626e-56,3.5493713759574736e-55,1.6231155725206806e-58,4.2666485479005971e-33,7.5268960303989369e-59
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.022821567691695629,6.9632595702685702e-62,2.1341426216426602e-36,1.8058065698078773e-21,1.4843846432530129e-42,2.8994030099150532e-32,1.1578872338855241e-71,1.680480700512774e-12,1.1252901661751235e-62,1.6804806904812233e-12,6.7409369470367457e-43,7.181629988828271e-44,5.0488407199755947e-59,5.854083653631155e-60,8.7851888113696416e-33,4.9322174095128589e-49,9.1775663496480062e-11,2.7173143004553285e-12,1.0878547555088746e-14,5.2553006008738153e-23,2.0280814898445317e-22,1.0878101219941783e-14,2.0822368752498797e-19,7.6848334191540032e-21,6.5765020814688019e-23,3.8454226734764033e-39,2.2512394776780156e-30,1.2559603598034816e-54,8.8912615934800997e-53,4.0638027276006574e-56,3.3485542075251579e-32,1.8850724358062388e-56
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661097042,0.11866996584303129,0.022821567690336973,3.4216125766939094e-59,3.2935294981446996e-35,7.2235404308695684e-21,1.8241815517872382e-40,2.3195203163185356e-31,5.69247832110431e-69,3.360961453348053e-12,7.2018457448510391e-61,3.3609614132221188e-12,1.07854818613347e-41,1.1054955088370199e-42,1.2410212479471032e-56,1.4389437974135184e-57,6.7711833064301508e-32,1.5783030697839094e-47,1.8355132801035547e-10,5.4346286710681576e-12,2.1757579573331321e-14,2.019846549789504e-22,8.1121783347366059e-22,2.175576452254275e-14,8.0389422215451855e-19,5.8977857946220411e-20,1.0101662155446957e-21,2.3624828363655979e-37,1.8010648369559972e-29,8.0381006277208928e-53,2.1854460571744915e-50,9.9780712858908388e-54,2.5807245680277824e-31,4.631263256824461e-54
5.712169059686803e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727651645569,0.11866996574956426,0.022821567688978316,2.8919459200396905e-58,1.1916241114324311e-34,1.5350466161519732e-20,1.1779920205088377e-39,6.8860723491779321e-31,4.7909469453803499e-68,5.0414422120370087e-12,4.0889925685850572e-60,5.0414421267696148e-12,4.0803637406305895e-41,4.1422001763826992e-42,9.2225096929785505e-56,1.0693331031941768e-56,1.8956513384608927e-31,7.3627369616392886e-47,2.7532699146385874e-10,8.1519430403186e-12,3.2636998471706135e-14,4.1767942995155209e-22,1.7238162006121732e-21,3.26330991838283e-14,1.6673919386538266e-18,1.6468904474579961e-19,3.6468939830582082e-21,1.299937631481822e-36,5.1500356775335547e-29,4.4949676022790702e-52,1.6240787982765921e-49,7.4495444486293502e-53,7.2246784324034797e-31,3.4582538126151563e-53
9.520281799771516e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727632742623,0.11866996556263021,0.022821567686261,4.6091521263955062e-56,8.6484715837273866e-34,4.2442419789443793e-20,4.9405823104351847e-38,3.2255754508014003e-30,6.2618955588633917e-66,8.4024037528271753e-12,1.0992295938646625e-58,8.4024035170910291e-12,3.2202548129464473e-40,3.1777718337684162e-41,6.7873204024525798e-54,7.8696449252060333e-55,8.1976785356985256e-31,9.8664735020840662e-46,4.5887831412937675e-10,1.3586571773396327e-11,5.4397517660331759e-14,1.0800747405312837e-21,4.7656900863271204e-21,5.4386454020900602e-14,4.3424116789298703e-18,7.0641696573987636e-19,2.6262890728359398e-20,3.148594743551611e-35,2.3669135916382551e-28,1.0342178656875107e-50,1.1951840950129164e-47,6.6842086395245074e-51,3.123919908556051e-30,3.1060676060370115e-51
1.2947583265847759e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727615729971,0.11866996539438958,0.022821567683815418,2.9690328805261753e-55,2.3197094804568511e-33,7.5580582824185385e-20,2.2984058156939781e-37,7.4433344542406718e-30,3.4242633011693335e-65,1.1427269158448971e-11,4.7729970555570522e-58,1.1427268738676219e-11,9.0370731005893199e-40,8.9451917946503057e-41,3.4553237255385551e-53,4.0062843983812013e-54,1.7848483911619281e-30,3.2746047299452182e-45,6.2407450110225434e-10,1.8477737628809528e-11,7.398343196053265e-14,1.8411792326590644e-21,8.486099436501361e-21,7.3963411647687979e-14,7.4362377277607602e-18,1.5306332080895308e-18,7.0179130919401286e-20,1.3117904140080169e-34,5.3280745099782517e-28,3.9526903456123826e-50,6.0844173545677946e-47,4.0449344475449172e-50,6.8011294292504328e-30,1.879850430856298e-50
1.6374884731924002e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727598717319,0.11866996522614896,0.022821567681369836,1.2832731123879789e-54,5.0775100773299011e-33,1.1798708060338174e-19,7.9011430388141719e-37,1.4331675705073636e-29,1.5541242054546652e-64,1.4452134584086372e-11,1.4452650628213429e-57,1.4452133928820244e-11,2.0690889961583682e-39,1.9879296589454843e-40,1.3723713190962293e-52,1.5911953156934651e-53,3.2611360774789901e-30,8.7988740353232929e-45,7.8927068444868707e-10,2.3368903479632467e-11,9.3570976673617364e-14,2.7541358910496322e-21,1.3246633350809989e-20,9.3539245527991434e-14,1.117169357389679e-17,2.7820204558069393e-18,1.5295837307369361e-19,3.8413051824654168e-34,1.0070736455391522e-27,1.2327769659270533e-49,2.4165492669329624e-46,1.496957043692333e-49,1.2425612751663687e-29,6.960080745267663e-50
