Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(58)
8.016400458666333e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559674226,0.099999999997477898,0.099999999999632189,1.3045925573605446e-102,4.3476074938694209e-42,1.8080858319539431e-34,8.1591412918021123e-55,4.2164418582256918e-40,2.6620033365933741e-37,4.1487414402316693e-23,5.7698144562091945e-88,4.1486550557182748e-23,1.4786157176628681e-56,5.2046061627652235e-48,1.2980849468812107e-57,8.3071415777690184e-81,3.4545557324503644e-37,1.5198255248886903e-68,2.5220979976823005e-12,7.3565904124404378e-13,1.6672117537525505e-17,1.2138428583774722e-25,1.6672120170782434e-17,1.3709118338042477e-24,3.9825414047392324e-27,1.5260257526794279e-30,1.6952112594796682e-48,2.2191806460621561e-36,5.5228249182732598e-67
1.6032807712925297e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559348448,0.099999999994955777,0.099999999999264358,1.5120490223897208e-99,6.9560648977444489e-41,1.0490891322369582e-33,1.0346906695903123e-52,3.3731563486779984e-39,1.0648210169288147e-36,8.2976591792716467e-23,1.846734517466621e-86,8.2973136410206808e-23,1.1831298394263011e-55,8.3272535336483888e-47,1.0384860274168861e-56,2.1060994608485425e-78,1.69885420578285e-36,2.4321931141540694e-67,5.0441981313801802e-12,1.4713187060885739e-12,3.334424669838186e-17,4.8552990518482898e-25,3.3344257247291534e-17,5.4678001760638928e-24,3.176222754799392e-26,2.4343001548216889e-29,1.0816981684486631e-46,1.7753166009108558e-35,1.4001928250334935e-64
3.2065622221443226e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558696891,0.099999999989911548,0.099999999998528696,1.9265650013063404e-96,1.11293521487195e-39,6.7821996929063969e-33,1.3160964384621442e-50,2.6985256550538158e-38,4.2594374641947343e-36,1.6596013003058392e-22,5.9120585358016494e-85,1.659463084979358e-22,9.4688209421586186e-55,1.3323210734749443e-45,8.3081680946645896e-56,5.3577226284349028e-76,9.3315576922547397e-36,3.8930140844550485e-66,1.0088398392790349e-11,2.942638035699818e-12,6.6688497490662677e-17,1.9420598658308498e-24,6.6688539812443349e-17,2.1745423639834904e-23,2.525403283897877e-25,3.8717236589251206e-28,6.8820253535353118e-45,1.4202070369743759e-34,3.5619499369719329e-62
6.413125123847907e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557393772,0.099999999979823076,0.099999999997057373,2.7356783508815652e-93,1.7805830927584106e-38,4.74856890471489e-32,1.6649835140050677e-48,2.1588198445232712e-37,1.7038968904522977e-35,3.3194794032522449e-22,1.8934619741387058e-83,3.3189265420011801e-22,7.5811027589660837e-54,2.1315855392292937e-44,6.6469785788170734e-55,1.3556316660077061e-73,5.7613583828313626e-35,6.2336339589442303e-65,2.0176798891668316e-11,5.8852766946110426e-12,1.333769689575117e-16,7.7677577616803808e-24,1.3337713923982711e-16,8.5991480926567701e-23,1.9957929884154483e-24,6.1219219223675759e-27,4.3531073364657068e-43,1.1360910138755604e-33,9.0125257325731142e-60
1.2826250927255076e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436255478754,0.099999999959646146,0.099999999994114741,1.0586763444542297e-89,2.8485700299054094e-37,3.4770655737296688e-31,2.0825874980731573e-46,1.7270541478699238e-36,6.8165611745704027e-35,6.6400649611520201e-22,6.0698200180722312e-82,6.6378535171138565e-22,6.0745538192301881e-53,3.410124769162077e-43,5.3182919485795648e-54,3.3914439764843072e-71,3.9272489677227167e-34,9.9892073223590453e-64,4.0353599793654793e-11,1.1770554011188442e-11,2.6675379142047842e-16,3.1067170697284054e-23,2.6675448029860533e-16,3.3629178523815772e-22,1.5585952800681495e-23,9.5691588368325524e-26,2.7222236905641672e-41,9.087531936253676e-33,2.2546748254785825e-57
2.565250253406942e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549575071,0.099999999919292273,0.099999999988229463,1.8932075420690963e-86,4.5565506387943427e-36,2.5770105488765078e-30,2.5485559606076004e-44,1.3816402976978191e-35,2.7274030339656322e-34,1.3284553478985223e-21,1.9490706056002519e-80,1.3275707711615936e-21,4.875117414049715e-52,5.4548810336578173e-42,4.2557675025529924e-53,8.3012604544675399e-69,2.8686122755869533e-33,1.6031988240382783e-62,8.0707201214549873e-11,2.3541108639363051e-11,5.3350695446444117e-16,1.2423779593227618e-22,5.3350976878403364e-16,1.2874671029325393e-21,1.189622195889527e-22,1.4629983918412878e-24,1.6653569631609074e-39,7.2681113135267994e-32,5.5186419682024173e-55
5.13050057476981e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539150132,0.099999999838584541,0.099999999976458906,3.3887151842097373e-83,7.2867666472416376e-35,1.8736213593201212e-29,2.9946285937308535e-42,1.1053073027430977e-34,1.091583998106468e-33,2.6586800074832951e-21,6.2801126673174907e-79,2.6551417077732207e-21,3.9248547320314864e-51,8.7235921866042682e-41,3.4064280702438385e-52,1.9511764519422112e-66,2.1848927893241514e-32,2.5808813226783963e-61,1.6141440252402857e-10,4.7082217875791679e-11,1.0670113530321193e-15,4.9670423120453658e-22,1.0670230361136146e-15,4.7398922558262169e-21,8.7019905051025573e-22,2.1466460921059502e-23,9.7808763211461213e-38,5.8114279654511415e-31,1.2970674017223532e-52
7.695750896132677e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362528725194,0.099999999757876809,0.099999999964688349,2.1390458991473252e-82,2.6813683236659308e-34,5.1055534279473633e-29,1.9095150901450087e-41,3.2813726977057599e-34,2.3205306902576734e-33,3.9902316182908884e-21,3.0117304523970718e-78,3.9827127420966179e-21,1.1692529111793538e-50,3.3251406787478784e-40,9.7432349341254178e-52,1.4339856314432364e-65,6.1657747779901162e-32,9.7919724431505337e-61,2.4212160230119582e-10,7.062332709229972e-11,1.6005138240872021e-15,1.055133986156548e-21,1.6005392279910189e-15,9.5254644461878052e-21,2.3657307616197087e-21,7.5848038128128533e-23,5.303793578584678e-37,1.6612026359703338e-30,9.5324570530471678e-52
1.0261001217495545e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362518300255,0.099999999677169077,0.099999999952917792,2.2373250704359962e-81,6.7990751656190404e-34,1.0337040529448942e-28,7.812529070893356e-41,7.1499190518918033e-34,3.959989064406203e-33,5.3231101755260145e-21,9.9964734943069833e-78,5.3102838741323958e-21,2.5560207703095553e-50,8.9444220021929817e-40,2.0557005246421864e-51,6.502650552146236e-65,1.2908912205324647e-31,2.5555626742655897e-60,3.2282880054605169e-10,9.4164436288887507e-11,2.1340143676373097e-15,1.7993653364589546e-21,2.1340585520435017e-15,1.545761351417555e-20,4.771202887941337e-21,1.8552472350622956e-22,1.9445560257034374e-36,3.502996343724359e-30,4.3226036647740202e-51
1.539150186022128e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362497450378,0.099999999515753613,0.099999999929376679,1.2497973302054864e-79,2.376829411396175e-33,2.6478431447222176e-28,6.220053170213861e-40,2.0753893014439129e-33,8.2036193472897249e-33,7.9919815371449582e-21,5.8725769555666443e-77,7.965426367530955e-21,7.4607849690162603e-50,3.615864762698127e-39,5.6173490215064184e-51,5.9789603730522707e-64,3.4983259019020179e-31,9.4218233401997186e-60,4.8424319343952247e-10,1.4124665463531219e-10,3.2010109310250192e-15,3.7233919029522776e-21,3.2011051077469752e-15,2.9533431313850573e-20,1.2120422080421061e-20,6.113542273465663e-22,1.3291159352741603e-35,9.563399712287313e-30,3.9744087302366671e-50
