Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CHOX(50),H2X(46),CO2X(24),COX(47),C2H6X(49)
1.2032890098430054e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.051728413797902141,0.097129788404993478,0.027185797277720667,0.00085404268851642742,0.0037096816438777643,6.1512948646728253e-06,1.1116249171776126e-05,1.3392588775264917e-07,2.7661183969684076e-20,2.1584085596417577e-10,2.1472690871012765e-25,7.4863458945976121e-15,9.0236491063472575e-19,3.8344602908192421e-11,1.1920235117751558e-20,5.3328738166238235e-19,1.0552478968669239e-15,5.6085228128244466e-21,0.00096254883037789028,0.13906081074438095,1.3542205381286431e-07,6.1055352593014022e-07,5.1088463017529914e-06,9.8757681068890864e-14,9.007847121035952e-09,1.7329320197111806e-09,0.0010420770397791413,9.6004222410363372e-05,9.8870034337660252e-10,1.7852745770446927e-08,7.3950146137114301e-09,3.7973044801174272e-09,1.6862471976221343e-10
1.2087363398197986e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.051638834452138946,0.097124214846593532,0.027126118320835287,0.00086086127264997853,0.0037240679125125501,6.1605756749904428e-06,1.1141595890514484e-05,1.3472581878522213e-07,2.7841909875387693e-20,2.1631838843354129e-10,2.1928684839776677e-25,7.4915368926288861e-15,9.1461625105127646e-19,3.8610290895714997e-11,1.1958085221339493e-20,5.3750776024761593e-19,1.0583528533351615e-15,5.7139384450762316e-21,0.00096082434340364503,0.13915146618804169,1.3544697673443101e-07,6.1137817603332208e-07,5.103559537662809e-06,9.8762457911525563e-14,8.9943404472743418e-09,1.7291246777075557e-09,0.0010425295267945016,9.6204564426675322e-05,9.8982017085731391e-10,1.7848717129763336e-08,7.4096914026626256e-09,3.799372972721354e-09,1.6933833197535255e-10
1.2136389367989125e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.051558774568408468,0.097119197648888086,0.02707269486916896,0.00086700597185001204,0.0037369968177484243,6.1689043922454974e-06,1.1164168124857352e-05,1.3544600671979232e-07,2.8004576836078174e-20,2.1674615407847079e-10,2.2345227448375845e-25,7.4961948997151707e-15,9.2572743968533711e-19,3.8849757439480926e-11,1.1991893540563338e-20,5.4131080686081307e-19,1.0611407209654411e-15,5.8100325697284778e-21,0.00095928293175778908,0.13923250178510496,1.3546896480173906e-07,6.1211729025454904e-07,5.0988371830127886e-06,9.8766552712261875e-14,8.9822657938960284e-09,1.7257213784955792e-09,0.0010429194000267038,9.6384353328486671e-05,9.9081023563740669e-10,1.784513648270058e-08,7.422754218903221e-09,3.801168715329266e-09,1.6997976505978761e-10
1.2185415337780264e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.051479241308080161,0.097114179563932451,0.027019541253423707,0.00087315809213535747,0.0037499080582153285,6.1772106139743972e-06,1.1186514407310057e-05,1.361664269377913e-07,2.8167254669901016e-20,2.1717202313100576e-10,2.2767649155621226e-25,7.5008398975098862e-15,9.3691929320138049e-19,3.9089551214554731e-11,1.2025459506660523e-20,5.4511823404857608e-19,1.0639223834369523e-15,5.9072912639865152e-21,0.00095775148657363258,0.13931301752302913,1.3549053884492256e-07,6.1285352368345062e-07,5.0941483929886648e-06,9.8770456782407201e-14,8.9702675429796688e-09,1.7223399386526566e-09,0.001043292998984322,9.6563655586002548e-05,9.9178361085198095e-10,1.7841598557283509e-08,7.4356794870651286e-09,3.8029026722436417e-09,1.7062042741260805e-10
1.2234441307571403e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.05140022958135361,0.097109160644255635,0.026966654965904845,0.00087931750655162108,0.0037628017159700867,6.1854945806931166e-06,1.1208635935049e-05,1.3688707509130262e-07,2.8329941423093373e-20,2.1759600611841888e-10,2.3196002828910451e-25,7.5054720291607519e-15,9.4819196013204447e-19,3.9329670461682456e-11,1.2058784002740697e-20,5.4892996761416383e-19,1.0666978798901595e-15,6.0057229596029534e-21,0.0009562299118787875,0.13939301841390636,1.3551170384577599e-07,6.1358690339452885e-07,5.0894928931444205e-06,9.8774172841481447e-14,8.9583450567046842e-09,1.7189801465446569e-09,0.001043650492870742,9.6742475918186441e-05,9.9274044465392877e-10,1.7838103318161805e-08,7.4484682127483772e-09,3.8045754622643177e-09,1.712603229917041e-10
1.2283467277362543e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.051321734364548052,0.097104140941425443,0.02691403353183881,0.0008854840891547544,0.0037756778725686886,6.1937565298788747e-06,1.1230533907504304e-05,1.3760794688302665e-07,2.8492635167975804e-20,2.1801811348440312e-10,2.3630341505836895e-25,7.5100914357068504e-15,9.5954558776102349e-19,3.9570113437768259e-11,1.2091867920432191e-20,5.5274593400363333e-19,1.0694672490654847e-15,6.1053361037770009e-21,0.00095471811294274946,0.13947250940381692,1.3553246471379971e-07,6.1431745611273023e-07,5.0848704119232902e-06,9.877770356598214e-14,8.946497704111125e-09,1.7156417932829252e-09,0.0010439920495959336,9.6920818984983414e-05,9.936808842842391e-10,1.7834650726547564e-08,7.4611213982359683e-09,3.8061876997339115e-09,1.7189945573309246e-10
1.2332493247153682e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.0512437506989952,0.097099120506067643,0.026861674508812078,0.00089165771500702398,0.003788536609068774,6.2019966960169974e-06,1.1252209526180977e-05,1.3832903806558094e-07,2.8655334002663949e-20,2.1843835559008561e-10,2.407071839305696e-25,7.51469825611647e-15,9.709803221306787e-19,3.9810878415678471e-11,1.2124712159621654e-20,5.5656606030235879e-19,1.0722305293086805e-15,6.206139159023776e-21,0.00095321599625620035,0.13955149537395034,1.3555282628976817e-07,6.1504520821819105e-07,5.0802806805738577e-06,9.8781051600436003e-14,8.9347248609336496e-09,1.7123246726709435e-09,0.0010443178357824954,9.7098689388507649e-05,9.9460507603665089e-10,1.7831240740778044e-08,7.4736400420367768e-09,3.807739994704096e-09,1.7253782955291387e-10
1.2381519216944821e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.051166273689987198,0.097094099387883409,0.026809575486238198,0.00089783826017286034,0.0038013780060322947,6.2102153106470638e-06,1.1273663994486769e-05,1.3905034444083342e-07,2.8818036050787806e-20,2.188567427149945e-10,2.4517186865161922e-25,7.5192926273228399e-15,9.8249630804955467e-19,4.005196368405219e-11,1.215731762820459e-20,5.6039027423152388e-19,1.0749877585759841e-15,6.3081406030455492e-21,0.00095172346951132079,0.13962998114166991,1.3557279334270798e-07,6.1577018575600343e-07,5.0757234331595701e-06,9.878421953331247e-14,8.9230259095343268e-09,1.7090285811875298e-09,0.0010446280167718228,9.7276091674008955e-05,9.9551316533917977e-10,1.7827873315388852e-08,7.4860251399349529e-09,3.8092329525448065e-09,1.7317544834433009e-10
1.243054518673596e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.051089298505752709,0.097089077635667043,0.026757734084838961,0.00090402560171465882,0.003814202143528568,6.2184126024066099e-06,1.1294898517561621e-05,1.3977186185924273e-07,2.8980739461215706e-20,2.1927328505798336e-10,2.4969800463552549e-25,7.5238746842588869e-15,9.9409368909984157e-19,4.0293367547114831e-11,1.2189685241841775e-20,5.6421850414460314e-19,1.0777389744391558e-15,6.4113489286040131e-21,0.00095024044158261909,0.13970797146154892,1.3559237057152027e-07,6.1649241443905217e-07,5.0711984065285149e-06,9.8787209902886135e-14,8.911400238845106e-09,1.7057533179318468e-09,0.0010449227566303218,9.7453030330477012e-05,9.9640529674049689e-10,1.7824548401527297e-08,7.4982776845107845e-09,3.8106671741188694e-09,1.7381231597786882e-10
1.24795711565271e-05,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.051012820376402965,0.097084055297323515,0.026706147956110357,0.00091021961768860879,0.0038270091011372571,6.226588797075096e-06,1.1315914302108227e-05,1.4049358621918547e-07,2.9143442407773208e-20,2.196879927382169e-10,2.5428612895311349e-25,7.5284445598947057e-15,1.0057726076448881e-18,4.053508832448975e-11,1.2221815923708696e-20,5.680506790238392e-19,1.0804842140907084e-15,6.5157726433915271e-21,0.00094876682250720934,0.13978547102643762,1.3561156261350446e-07,6.1721191964721357e-07,5.0667053402293253e-06,9.8790025244453874e-14,8.8998472443187205e-09,1.7024986845319197e-09,0.0010452022181555688,9.7629509791296792e-05,9.9728161376437658e-10,1.7821265948620315e-08,7.5103986631977176e-09,3.8120432564452443e-09,1.7444843630584593e-10
