Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(57),H2X(56)
6.713837832277469e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,1.4986811841320405e-98,1.3491828125311794e-42,7.8338581376360045e-32,6.4266214271502659e-53,1.8190521814778622e-39,4.1645471335288923e-35,1.4199711616781608e-20,2.0973117446581983e-80,1.4199694096558147e-20,2.3825160901298186e-51,3.317192836952534e-48,1.7798560689017377e-53,6.7662845501315037e-77,4.1987219417468928e-35,1.0645578566886083e-62,2.7074946866445087e-12,1.3017875060811423e-13,5.017791616850439e-17,3.7191555199352082e-26,5.0177932099189048e-17,7.9517277664559307e-24,1.5626966814432311e-26,5.0175814994711519e-30,7.080516149120212e-49,7.2196490972732382e-37,6.0972957055931233e-65,2.8737160938087312e-42
1.3427681355950613e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,1.1570916718450253e-96,2.1582868411996703e-41,3.2546937745510166e-31,6.377048357948244e-52,1.4552427540798029e-38,1.6658216746612296e-34,2.839947031954017e-20,6.7114333558525064e-79,2.8399400238611288e-20,1.9060204794267317e-50,5.3074614625154967e-47,1.4238873171204395e-52,1.3277459040626799e-75,1.6931612811750317e-34,1.7032993242913474e-61,5.4149916667703331e-12,2.6035761156672858e-13,1.0035585897534628e-16,1.487647975930551e-25,1.0035592276047529e-16,3.1744627610457509e-23,1.2474723717185198e-25,8.0090186495648727e-29,4.5207900444256837e-47,5.7756577758903075e-36,1.1964689929462853e-63,2.38216132811014e-41
2.6855368403296898e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,2.7256403028762729e-94,3.4528773346704051e-40,1.3982669973020185e-30,2.0849886408683357e-50,1.1641940904250745e-37,6.6633029140450844e-34,5.6799092871210943e-20,2.1476768654386317e-77,5.6798812547482488e-20,1.5248262932230581e-49,8.4917732376841178e-46,1.1391125255003546e-51,8.3725065975154384e-74,6.8820156819477845e-34,2.7252961986754002e-60,1.0829985621945032e-11,5.2071533347349396e-13,2.0071169689490057e-16,5.9504723758012931e-25,2.0071195253212708e-16,1.2648284556467247e-22,9.9370415063256283e-25,1.2759389216054012e-27,2.8809577839226831e-45,4.6204226796252585e-35,7.5446850814603037e-62,2.0381245231165261e-40
5.371074249798947e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830496,0.02282156769253357,2.2213613269635952e-91,5.5241157900633516e-39,6.3558090356590269e-30,2.1654654148236239e-48,9.313544009688763e-37,2.6653328670108048e-33,1.1359875855876681e-19,6.8726748708697025e-76,1.1359763726428457e-19,1.2198759852720447e-48,1.358629731378318e-44,9.1129378832633281e-51,1.7199264391986817e-71,2.8402964496278146e-33,4.3605257479852898e-59,2.1659973511986649e-11,1.0414307772451725e-12,4.0142318195767409e-16,2.3800921985261732e-24,4.0142420844397557e-16,5.0200887515405156e-22,7.8819861804297721e-24,2.0245361250974205e-26,1.8285963346017598e-43,3.6961704311705568e-34,1.5498643572331952e-59,1.8401056533937084e-39
1.0742149068737461e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664457,0.022821567692012854,3.7834480309566933e-88,8.837610484845256e-38,3.1394439368335958e-29,2.6889328791022726e-46,7.4508185025372908e-36,1.0661422537210111e-32,2.2719977226753963e-19,2.1993348057415471e-74,2.2719528709412924e-19,9.7592434751057976e-48,2.1736331806649415e-43,7.2904085655113453e-50,4.2677899443094031e-69,1.2061024713292271e-32,6.9770042815728471e-58,4.3319949210838724e-11,2.0828616646211209e-12,8.0284538897933553e-16,9.5195925985449009e-24,8.02849525863866e-16,1.9773271752915793e-21,6.1996551244819002e-23,3.1864659252059845e-25,1.1513636999089652e-41,2.956667213086094e-33,3.8457685004538599e-57,1.8005005028311964e-38
2.148429870661449e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.11866996594332382,0.022821567690971423,4.185622311188075e-85,1.4137527288263384e-36,1.7135438465707905e-28,3.3308217669002646e-44,5.960626968497822e-35,4.264641361630383e-32,4.5440852899413918e-19,7.0383419900894262e-73,4.5439058833878771e-19,7.8077702835289007e-47,3.4772555172637807e-42,5.8324192552463905e-49,1.0573219609038607e-66,5.3841526087128132e-32,1.1163726507416779e-56,8.6639900283618277e-11,4.1657234387033859e-12,1.6056867506187766e-15,3.8072157710245989e-23,1.6057035371903305e-15,7.6738898816130366e-21,4.7972562225307056e-22,4.936586889746908e-24,7.1365894230240381e-40,2.3649029288831985e-32,9.5275207605570451e-55,1.9446468014010353e-37
4.2968597982368547e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668231,0.022821567688888562,4.8669355414060039e-82,2.261194428351363e-35,1.0225981941265659e-27,4.0084014388507349e-42,4.768456599467059e-34,1.7059143200243896e-31,9.0885295947885176e-19,2.2525700140440341e-71,9.0878119716805582e-19,6.2468164616104812e-46,5.5618249182010087e-41,4.6660829234159799e-48,2.5451212351112429e-64,2.6012505860108987e-31,1.7863623562435536e-55,1.7327980112947902e-10,8.3314469841894252e-12,3.2113572643753976e-15,1.5223894300700659e-22,3.2114261988086628e-15,2.8961503047371319e-20,3.5983512031794478e-21,7.4212954099332999e-23,4.2933779949868246e-38,1.8912331796768242e-31,2.2933282452264787e-52,2.3005949965975264e-36
6.445289725812261e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.1186699657700408,0.0228215676868057,3.3675138207926302e-81,8.3213295725704755e-35,2.63595631393966e-27,2.5730316181135672e-41,1.4156279509867929e-33,3.6251527585794307e-31,1.3633243067903602e-18,1.0777132751350539e-70,1.3631718123373356e-18,1.8546240924612218e-45,2.1201383727332378e-40,1.3342323072487628e-47,1.8814629864409896e-63,6.1848070601316004e-31,6.7584717841733613e-55,2.5991970067564136e-10,1.249717052699697e-11,4.8170155687029513e-15,3.2343480281527273e-22,4.8171645422354554e-15,5.9162392901264842e-20,9.9196047847697977e-21,2.651872509895091e-22,2.3461235654800061e-37,5.4066132584528952e-31,1.6953112889872212e-51,7.7295770680845225e-36
1.0742149580963071e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756274595578,0.1186699655967578,0.022821567682639977,2.1205108691702205e-78,6.3986990672416935e-34,1.0162036567942387e-26,1.0421543113820243e-39,6.6309776445827095e-33,1.0023085789401976e-30,2.2723746670830887e-18,1.6255931927966137e-69,2.2719530680367588e-18,8.6890312376103539e-45,1.7423993161529624e-39,6.1319721686350455e-47,1.3367415771315278e-61,2.1780091792688538e-30,5.3347766414510822e-54,4.3319949456917274e-10,2.0828617601898542e-11,8.0282833403883229e-15,8.9368244969169169e-22,8.0287111011851863e-15,1.4878388652155942e-19,4.1091800936876995e-20,1.847398944045221e-21,5.4890632564128802e-36,2.4831083963703366e-30,1.2044119121502108e-49,4.9588774157911302e-35
1.46093234505988e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756258249987,0.11866996544080309,0.022821567678890826,2.1273634538614377e-77,1.7617590548157397e-33,2.1161039323178514e-26,4.7963502796464822e-39,1.5301481599801152e-32,1.7848859827045666e-30,3.0906069577864664e-18,5.9310741518824517e-69,3.0898562186521573e-18,2.0052995427153243e-44,5.0801615020178569e-39,1.3803427758478528e-46,6.7442085363994247e-61,4.4306003904959854e-30,1.4972408598687522e-53,5.891513048739933e-10,2.8326919960656201e-11,1.091838488707407e-14,1.5907706382976851e-21,1.0919163936500928e-14,2.4917447343814801e-19,8.7362692069772681e-20,4.8630954801606049e-21,2.2577162388757981e-35,5.5874917193097342e-30,6.076507413603414e-49,1.2774070269239979e-34
1.847649732023453e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756241904395,0.11866996528484838,0.022821567675141676,8.0525265299473156e-77,3.9667963942319111e-33,3.7374841783818651e-26,1.6333530635941245e-38,2.9461777512715155e-32,2.7863446087208204e-30,3.9089312992627279e-18,1.5905119587470773e-68,3.9077593909521277e-18,3.8614735851167882e-44,1.1621316542819142e-38,2.6090209525971558e-46,2.6546165031060242e-60,7.7853793030735611e-30,3.4283217398343929e-53,7.4510311073388016e-10,3.5825222310253995e-11,1.3808444679686796e-14,2.48225055402174e-21,1.3809685955075067e-14,3.6663305166496198e-19,1.5585997977546807e-19,1.0434834178613491e-20,6.5459723886509855e-35,1.0556837632529143e-29,2.3917489893741815e-48,2.7060864498454625e-34
2.2343671189870263e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756225558804,0.1186699651288937,0.022821567671392526,3.7276056595436414e-76,7.6219770784301458e-33,5.9014179144637107e-26,4.4667482401818553e-38,5.009174214013282e-32,3.9945813514583808e-30,4.7273425912830569e-18,3.6546335567135762e-68,4.7256625837361499e-18,6.5661227705891643e-44,2.2975351552005589e-38,4.3610091981560109e-46,8.0136210299656051e-60,1.2347884011466243e-29,6.6859898216139996e-53,9.0105491239505562e-10,4.3323524651199783e-11,1.669846503168385e-14,3.557169133323454e-21,1.6700276674706284e-14,4.9764448099892019e-19,2.4713977859049422e-19,1.9202847017298215e-20,1.6199521664669426e-34,1.7639304355868589e-29,7.2199675366126044e-48,4.9456095611589475e-34
3.0078018929141722e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756192867632,0.11866996481698433,0.022821567663894222,5.743364287133479e-75,1.970174326677256e-32,1.1585315123577162e-25,2.0166172991132666e-37,1.1075117680693302e-31,6.8826709361675986e-30,6.3643634610723998e-18,1.3181722724753796e-67,6.3614690160196212e-18,1.4520463740268128e-43,6.4229574922144981e-38,9.3107057875758916e-46,4.0723784048584686e-59,2.4707738146276171e-29,1.7753601702648732e-52,1.2129585061423234e-09,5.8320129313361325e-11,2.2478415793613774e-14,6.1248013078085391e-21,2.2481623285425297e-14,7.8446648368276706e-19,4.8536628217785053e-19,4.6422461357657001e-20,6.5135696127230601e-34,3.7636979648720496e-29,3.6689720313146179e-47,1.1897937383343056e-33
3.7812366668413186e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756160176454,0.11866996450507497,0.022821567656395918,2.9360482357591948e-74,4.1707085811987406e-32,1.9593271195965568e-25,6.4266819055878831e-37,2.0748703889102092e-31,1.0535278741263248e-29,8.0017057256288105e-18,3.5181522078780755e-67,7.9972755240259963e-18,2.7208614207550808e-43,1.4375383391260663e-37,1.6931277364600896e-45,1.4320945785277228e-58,4.2934025195293357e-29,3.8515137714135348e-52,1.5248620843694472e-09,7.331673394354292e-11,2.8258220771455948e-14,9.368941035102466e-21,2.8263247337680446e-14,1.1049993959625582e-18,8.1707201154324742e-19,9.2572487361791613e-20,1.8423166848824477e-33,6.8402876715168451e-29,1.2902077993971376e-46,2.3721716768903485e-33
4.554671440768465e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756127485288,0.11866996419316563,0.022821567648897621,1.3405633326831096e-73,7.8873318625755204e-32,3.0276362417934213e-25,1.7327879369343438e-36,3.5114555943616899e-31,1.5004409888265236e-29,9.6393911763468381e-18,8.1308742969810223e-67,9.6330821128962102e-18,4.6056216691762954e-43,2.8389563715598577e-37,2.8008931861405286e-45,4.2478093157182204e-58,6.8574395232907447e-29,7.4445326972392989e-52,1.8367656460237311e-09,8.8313338539576768e-11,3.4037870080689387e-14,1.333419798427394e-20,3.404518370392352e-14,1.4515787061089597e-18,1.2524355880939689e-18,1.6504616571661765e-19,4.4698756540358778e-33,1.1309141433600573e-28,3.8268734850411418e-46,4.2414394384665847e-33
