Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),H2X(49),CHOX(53)
6.814803465219854e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,0.0,1.431681206411725e-42,4.8085749175836685e-30,1.1460496088903222e-54,1.9023599237452712e-39,1.2409476225281195e-92,6.9296775882162499e-19,1.3354270050507058e-83,6.9296774073005712e-19,3.1119004676976858e-56,3.5212803880078926e-48,1.1746190000042579e-76,7.0975575636823703e-78,3.57399129934996e-37,9.8069215995165748e-66,2.7482111771924732e-12,1.3213643565785279e-13,5.0932513520670394e-17,3.8318566144314035e-26,5.0932529934377006e-17,8.1924474431478167e-24,1.6342108836073435e-26,5.3260702327650162e-30,7.7435905875614627e-49,7.5502873615675951e-37,1.0397404362290611e-66,1.7950308256552187e-40,6.3397314822699986e-70
1.3629612707425081e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,0.0,2.290666121972539e-41,1.924698052951304e-29,1.4634364932969021e-52,1.5218889873313441e-38,6.3408627268147186e-90,1.3859361411574602e-18,8.5467434030304263e-82,1.3859360687911519e-18,4.9790445764911791e-55,5.6339978001626993e-47,2.9998587508444382e-74,1.8126361571537765e-75,2.8591675245806208e-36,3.1382174500171315e-64,5.4964246823308054e-12,2.6427298332565157e-13,1.0186505383762186e-16,1.5327277472934218e-25,1.0186511955768757e-16,3.2704658974323394e-23,1.3045187612970322e-25,8.5011982481060662e-29,4.9440211246376153e-47,6.0401645361127327e-36,2.6553769241172746e-64,1.4369086993836509e-39,1.6190279494743039e-67
2.7259231191835536e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,0.0,3.664985241446987e-40,7.7088733397991422e-29,1.8651219263744709e-50,1.2175110610310669e-37,3.2349793540725959e-87,2.7718730140621112e-18,5.4699169402484014e-80,2.7718727245968632e-18,7.9664709101787608e-54,9.0142185076716857e-46,7.6466563603515267e-72,4.6203754462150724e-73,2.2872906520844457e-35,1.0042295590494001e-62,1.0992851687376673e-11,5.2854607865046887e-13,2.0373008533218419e-16,6.1307859580104175e-25,2.0373034873175049e-16,1.3030035566828351e-22,1.0390790586393191e-24,1.3542682474025491e-27,3.1504823818067473e-45,4.8320216906515266e-35,6.7684910630387854e-62,1.1509325591483804e-38,4.1265078912593589e-65
5.451846816065645e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,0.0,5.8637151337878311e-39,3.0915239279964839e-28,2.3674427525653058e-48,9.74007920223171e-37,1.6449891998344538e-84,5.5437471928028909e-18,3.5007443716916927e-78,5.5437460349423726e-18,1.2746342007338447e-52,1.4422167852021963e-44,1.9412838363071746e-69,1.172968791263588e-70,1.829762119517511e-34,3.2135317902233772e-61,2.1985705676545238e-11,1.0570922692569829e-12,4.0745995176413647e-16,2.4522131947632141e-24,4.0746100947862416e-16,5.1710061741166704e-22,8.2408468295662893e-24,2.1485591031000345e-26,1.999426124394538e-43,3.8654393111162274e-34,1.7183006671561984e-59,9.229705205641816e-38,1.047404457693139e-62
1.0903694209829827e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,0.0,9.3811055058720573e-38,1.2428502901493231e-27,2.9807675446782667e-46,7.7920456143347259e-36,8.3097273895575802e-82,1.1087497282007101e-17,2.24047225227258e-76,1.108749265056974e-17,2.0394102471313771e-51,2.3073589494024381e-43,4.8887537455119402e-67,2.953786077090529e-68,1.4636966576842074e-33,1.0283279594442519e-59,4.3971413571189667e-11,2.1141846502975294e-12,8.1491889840088235e-16,9.8080410269958325e-24,8.1492316159998688e-16,2.0363085794104273e-21,6.4802984521499709e-23,3.3808518143156644e-25,1.2586236689009833e-41,3.0920657555544841e-33,4.327010594315978e-57,7.4186050162674158e-37,2.6366493972922079e-60
2.1807388997358194e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,0.0,1.5007083318088468e-36,5.0192137570335361e-27,3.693944255984005e-44,6.2336069397463302e-35,4.1440449367446558e-79,2.217500438727928e-17,1.4338963517991543e-74,2.2174985861569877e-17,3.2630414302342378e-50,3.6911735422625089e-42,1.2118560978592714e-64,7.3214800418757107e-66,1.1707763432332656e-32,3.2906346287717246e-58,8.7942829025707707e-11,4.2283694116886987e-12,1.6298336467779215e-15,3.9225666921883071e-23,1.6298509492982598e-15,7.8993458735824534e-21,5.0119923027647602e-22,5.2352888845392641e-24,7.7978082684362916e-40,2.4731952570324072e-32,1.0725072529480897e-54,5.9883454616391158e-36,6.5307522668640294e-58
4.3614778572414927e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,0.0,2.4002741867837493e-35,2.0428621281553245e-26,4.4418090551339923e-42,4.9868378071492913e-34,2.017095321454857e-76,4.4350046305064623e-17,9.1768599499117758e-73,4.4349972202551824e-17,5.2208178816462968e-49,5.9039555495472719e-41,2.9152129573739744e-62,1.7609708337401757e-63,9.3633156679345861e-32,1.0529934746803772e-56,1.7588565859566063e-10,8.4567389317113795e-12,3.259650564043727e-15,1.5685070495837279e-22,3.2597216404936618e-15,2.9788317195147998e-20,3.7560221183349984e-21,7.8634624637622326e-23,4.687097221125865e-38,1.9778246512295723e-31,2.5795169623755718e-52,4.8695610506008972e-35,1.5685630494744559e-55
6.542216814747166e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,0.0,8.8331397694003089e-35,4.3893326133624346e-26,2.8505525229477733e-41,1.4804594041289961e-33,1.6943113793050788e-75,6.6525115929877789e-17,5.210333010168944e-72,6.6524958462515459e-17,1.9751326258284978e-48,2.2505518636902609e-40,2.1546853893656692e-61,1.301510068567935e-62,2.6768476956204962e-31,4.9121730403171519e-56,2.6382848682653032e-10,1.2685108448974402e-11,4.8894549019189047e-15,3.3323145746004739e-22,4.8896085341561094e-15,6.0818723513389646e-20,1.034900659159381e-20,2.8087211171708279e-22,2.5605520077945953e-37,5.6541411479177186e-31,1.9064689051331317e-51,1.4045725162531468e-34,1.1647362629292038e-54
1.0903694729758513e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,0.0,6.7922063564283424e-34,1.243426205537696e-25,1.1529576565760955e-39,6.9346543313428096e-33,2.2291778234706358e-73,1.108753660058973e-16,1.4006571663017038e-70,1.108749306583707e-16,1.5587670843491002e-47,1.8495603929409959e-39,1.5293315044039356e-59,9.2340247650591955e-61,1.2295201176374257e-30,6.582516694100721e-55,4.3971413793193717e-10,2.1141847472462286e-11,8.1490132608863717e-15,9.2074353698404316e-22,8.1494545618655321e-15,1.5276609929248827e-19,4.2812588023855498e-20,1.9541318419618234e-21,5.9824886431102333e-36,2.5967664649703186e-30,1.3525291887888367e-49,6.6034865112768666e-34,1.0061640877565272e-52
1.4829024853268724e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,0.0,1.8700968430227044e-33,2.2460242526223401e-25,5.3040534660443118e-39,1.6002235775022937e-32,1.2516268431925797e-72,1.5079068059379647e-16,6.081802705705236e-70,1.5078990537286938e-16,4.3743696976332268e-47,5.3925758396983235e-39,7.7146633316155949e-59,4.6571539947772313e-60,2.7668138989774368e-30,2.1846755201245083e-54,5.9801121960019253e-10,2.8752912584685415e-11,1.1082575140822517e-14,1.6389303684730113e-21,1.1083379004115247e-14,2.5565052515349711e-19,9.0954018774868186e-20,5.1410495422632139e-21,2.4594202585367236e-35,5.843214362386379e-30,6.8213697872658784e-49,1.5034442882921437e-33,6.0186311616990334e-52
1.8754354976778936e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756240729974,0.11866996527364282,0.022821567674872298,0.0,4.21071288436457e-33,3.5511313781034116e-25,1.8055693275425645e-38,3.0811018855319826e-32,5.624474018072131e-72,1.9070608993474706e-16,1.8415628926272618e-69,1.9070487981029301e-16,1.001529212749937e-46,1.2335942630995283e-38,3.0357722057794871e-58,1.8324662949688654e-59,5.2278260825592749e-30,5.8702031743680425e-54,7.5630829668881878e-10,3.6363977687471118e-11,1.4016094001511253e-14,2.5573844356521361e-21,1.4017375007244409e-14,3.7590175053736491e-19,1.6215062125995912e-19,1.1024577446939712e-20,7.1279678394371089e-35,1.1039931224437732e-29,2.6839697514658671e-48,2.8723523304963874e-33,2.2102283176341085e-51
