Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53)
5.869212630989052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,0.0,2.0020095280814513e-42,1.7157419238863013e-24,4.251468584042055e-53,8.4919880803504537e-37,3.1514149372279758e-85,5.1800455847045901e-14,9.653090920454407e-72,5.1800455837514177e-14,6.0858564001019726e-49,1.5545510942307731e-47,4.4577427577489666e-71,5.1687415878529748e-72,6.1599228519352775e-35,1.3726034584601852e-56,2.8289650988088896e-12,8.3760628588712317e-14,3.3532209194094104e-16,5.2042424342256765e-26,1.9270516472792298e-25,3.3532167503485329e-16,2.0498060074708071e-22,2.3456978815742386e-25,6.4258065296234196e-29,3.5724868536537591e-48,6.5933185381200907e-35,1.07740717378348e-63,1.0194014962615189e-36,7.8504984934627667e-65,3.5907407547561169e-68
1.1738430237375515e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,0.0,3.2031954277031863e-41,6.8629822047452151e-24,5.3249247425813572e-51,6.7935969877960177e-36,1.5786687594109053e-82,1.0360095561333594e-13,6.177987193501639e-70,1.0360095557520904e-13,9.7373800681377042e-48,2.4872697414227744e-46,1.1165721578377621e-68,1.294662383571176e-69,4.9279160462754784e-34,4.3923353141549646e-55,5.6579325944198648e-12,1.6752132818050174e-13,6.7064488649756407e-16,2.0816865791758019e-25,7.7082071611890465e-25,6.7064321793557507e-16,8.1898595253465842e-22,1.8740651728879404e-24,1.0065004620884753e-27,2.2375911065697219e-46,5.274666012343879e-34,6.8954123690077763e-62,8.1551591712926517e-36,1.9663856281559053e-62,8.9951654416559251e-66
2.3476865450148443e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,0.0,5.125043159890789e-40,2.7452018453085219e-23,6.7282431253796606e-49,5.4348799652581388e-35,7.9784126691341424e-80,2.072019551681652e-13,3.9539143891786653e-68,2.0720195501565761e-13,1.5579814795106194e-46,3.9795863798160272e-45,2.8215637440649436e-66,3.2715942669216811e-67,3.9422928749084698e-33,1.405547710136846e-53,1.1315867581611683e-11,3.350427273588372e-13,1.3412917362932904e-15,8.3266552211071887e-25,3.0832803816878186e-24,1.3412850545689331e-15,3.2684730012965064e-21,1.4952743847973571e-23,1.5900622025754657e-26,1.4137398251574348e-44,4.2197459698724325e-33,4.4130648157665933e-60,6.5240356016522307e-35,4.9690240002920944e-60,2.2730950782832823e-63
4.69537358756943e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,0.0,8.1998416965500679e-39,1.0980873440728238e-22,8.5234989463789367e-47,4.3479045471992059e-34,4.0428384291859467e-77,4.1440395436681503e-13,2.5305056574059905e-66,4.1440395375679033e-13,2.4927705256896349e-45,6.3671881296500694e-44,7.1487795529604514e-64,8.2889811308385349e-65,3.1537686079236406e-32,4.4977516002842388e-52,2.2631737539874796e-11,6.7008552569453512e-13,2.6825905175900275e-15,3.3305876259837279e-24,1.2333095783632328e-23,2.6825637311819717e-15,1.301449934218731e-20,1.189895516229714e-22,2.5181865888279161e-25,8.9549820418651126e-43,3.3758158395499715e-32,2.8243602767513819e-58,5.2190788060154986e-34,1.2589596047108514e-57,5.7586134638591954e-61
9.390747672678601e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,0.0,1.3119015309098965e-37,4.3924005271856109e-22,1.0771235248854522e-44,3.4783232677387474e-33,2.0436247997070249e-74,8.2880795312010761e-13,1.6195232796810487e-64,8.288079506799975e-13,3.9884317633645752e-44,1.0187003110236441e-42,1.8068177864200114e-61,2.0949948079732412e-62,2.5229090838915777e-31,1.4392792349348496e-50,4.5263477391918941e-11,1.3401711222820402e-12,5.3652087149768979e-15,1.3321751666349512e-23,4.9332165429160579e-23,5.3651010979428844e-15,5.158883802984886e-20,9.4192736006822386e-22,3.9779672621226365e-24,5.6581415761375092e-41,2.7006820614263905e-31,1.8075882801083569e-56,4.1750224192601605e-33,3.1819369692199183e-55,1.4550992901041348e-58
1.8781495842896944e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,0.0,2.0988081173458209e-36,1.7569999121285851e-21,1.3494194948265293e-42,2.7826575061755249e-32,1.0241577544022329e-71,1.6576159520506032e-12,1.0364941691392676e-62,1.6576159422901801e-12,6.3814861047865328e-43,1.6297628448439567e-41,4.5273295365839346e-59,5.2493967424514389e-60,2.0181577233318368e-30,4.60568443248366e-49,9.0526956838078856e-11,2.6803423151214888e-12,1.0730530055889181e-14,5.3282210221471257e-23,1.9732689657237895e-22,1.0730095886800515e-14,2.0269527428197928e-19,7.3796244053076084e-21,6.2293776542873001e-23,3.5440114163231385e-39,2.1605912494582162e-30,1.1568533177734299e-54,3.3396325220453409e-32,7.9728569666188064e-53,3.6440932413806286e-56
3.756299218333363e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,0.0,3.3573430750448663e-35,7.028301558410103e-21,1.6591762981976082e-40,2.226124025793162e-31,5.03761730229736e-69,3.3152319556070677e-12,6.633552403066848e-61,3.3152319165656166e-12,1.0210361660605783e-41,2.6071161135230981e-40,1.1134048196634619e-56,1.2909748537599731e-57,1.6142548630284418e-29,1.4738130308292553e-47,1.810539146986852e-10,5.3606846994581636e-12,2.1461530906430336e-14,2.130904663775313e-22,7.892934184449993e-22,2.1459765695429891e-14,7.8291083334666131e-19,5.6666297308103418e-20,9.5734172874089033e-22,2.1784349004421805e-37,1.7285424390801464e-29,7.4038197388264872e-53,2.6710893370259856e-31,1.9607140733971141e-50,8.9522741306097128e-54
5.634448852377032e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652031361,0.11866996575337942,0.022821567689033772,0.0,1.235607223062904e-34,1.4935566542072019e-20,1.0715966145001462e-39,6.6088023038913509e-31,4.2402887180527274e-68,4.9728479648586641e-12,3.7663326373788923e-60,4.9728478818961249e-12,3.8627842940491366e-41,9.9387827719867157e-40,8.2752211428153227e-56,9.5949691172323902e-57,4.6153144621935761e-29,6.8752941875780713e-47,2.7158087152757812e-10,8.0410270824526142e-12,3.2192907493145913e-14,4.5276089727857506e-22,1.6772276923656294e-21,3.2189115744544348e-14,1.6243746309007807e-18,1.5828306878967796e-19,3.4570427481693013e-21,1.1988723135800164e-36,4.9426609643008883e-29,4.1402729686763838e-52,7.6366333968146684e-31,1.4572629378726579e-49,6.6845739947885127e-53
9.39074812046437e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727633385609,0.11866996556898882,0.02282156768635343,0.0,9.5034469512388009e-34,4.1295235995903949e-20,4.4983428003395225e-38,3.0956966343693148e-30,5.5471813939711798e-66,8.2880800061420822e-12,1.0124900940969404e-58,8.2880797767774417e-12,3.0485395440358866e-40,8.1699581419927005e-39,6.0956162251630223e-54,7.0676426155908828e-55,2.1204085739061885e-28,9.2132742218080401e-46,4.5263478105851032e-10,1.3401711843072984e-11,5.3657292269971903e-14,1.25134918742133e-21,4.6368927928420453e-21,5.3646536881271905e-14,4.2334895837325672e-18,6.7952629768884452e-19,2.4916209458634045e-20,2.9063652799490904e-35,2.2716043496011422e-28,9.5260861394762177e-51,3.5081073237753703e-30,1.0733829621172221e-47,6.003459534766711e-51
1.2771417461742973e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727616604433,0.11866996540303727,0.022821567683941123,0.0,2.6168845230868566e-33,7.3537670772049711e-20,2.0932468340291548e-37,7.1436263443950963e-30,3.0340041664715562e-65,1.1271788861696858e-11,4.3963630030042557e-58,1.1271788453269357e-11,8.555184867975812e-40,2.3823354423944353e-38,3.1038983288368973e-53,3.5988251674164542e-54,4.7722461179862415e-28,3.0578131551186967e-45,6.155832963028576e-10,1.8226328123294971e-11,7.2976642174098945e-14,2.2278083930916696e-21,8.2567569702733476e-21,7.2957182870170795e-14,7.253142366607202e-18,1.4730691984592652e-18,6.6605586768505923e-20,1.2112691078497365e-34,5.1135255665447008e-28,3.6407870624447924e-50,7.8949591256483865e-30,5.4656076614266826e-47,3.6340229346807387e-50
