Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(84),CH2X(27),CHX(28),CX(26),OCX(25)
4.2312550327530345e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932801,0.022821567688952167,1.6312117709998278e-81,2.1274658427661608e-35,2.9908130964468569e-28,2.7162203489014616e-42,4.5534309309408022e-34,1.6620266453699954e-31,8.9990403853676454e-19,2.118346276176281e-71,8.9490586001280527e-19,6.0264943123794753e-46,6.6536828874093045e-40,4.4752286727354943e-48,1.6992535877363605e-64,1.3068061371874004e-30,1.6964869449231181e-55,1.7063415267314775e-10,8.2042418505004354e-12,3.1623527953006208e-15,1.4771494055646581e-22,3.1623585279397989e-15,1.8069454690975793e-31,1.8960232907016745e-28,4.3994189466737523e-22,7.4399822313203489e-25,1.505566521325501e-26,5.7235098099464365e-42
6.346882577152047e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400936,0.022821567686901106,1.031009759343805e-80,7.8302316419421566e-35,6.3555043273354377e-28,1.6846758221396802e-41,1.3517986183602962e-33,3.5376219158793893e-31,1.3529799303485423e-18,1.0157366121322328e-70,1.3423588061920978e-18,1.7944075025591319e-45,2.5366891825866019e-39,1.2812706413223648e-47,1.218896827687205e-63,3.6151332572248559e-30,6.4337104623559881e-55,2.5595122803926439e-10,1.2306362825756223e-11,4.7435259036251077e-15,3.1388903907583995e-22,4.7435380860644527e-15,5.1664935148477151e-31,4.0356821003996789e-28,9.3431963962296885e-22,2.1142783032936051e-24,5.5138449747368037e-26,3.0058018140995686e-41
1.0578137665950072e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275288818,0.11866996560337205,0.022821567682798985,8.6442557796722431e-78,6.0238989779824246e-34,1.7571284436366632e-27,5.8862280345091034e-40,6.3320901668183112e-33,9.8219406707663931e-31,2.2666289701386696e-18,1.5583688481390607e-69,2.2372647231414809e-18,8.4904468679556116e-45,2.0859148855049298e-38,5.9109463824256902e-47,7.4520658205033255e-62,1.5969660351800697e-29,5.1263153628449933e-54,4.2658537373024358e-10,2.0510604765878295e-11,7.9058641756535447e-15,8.677737196660932e-22,7.9058978607266053e-15,2.3739935485043659e-30,1.1204757061349963e-27,2.579157569921807e-21,9.539108196634015e-24,4.1682593762821142e-25,6.08132756383722e-40
1.4386267245868294e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756259192794,0.11866996544979846,0.022821567679107077,9.1166495531835946e-77,1.6589216711983238e-33,3.1289476850151811e-27,2.650639260614966e-39,1.4611913516093404e-32,1.7538902398814069e-30,3.0949690478200041e-18,5.7334030472491687e-69,3.0426800682593003e-18,1.9713340901452472e-44,6.0835147847779756e-38,1.3333840322606735e-46,3.6989676314137623e-61,3.5489797804383181e-29,1.4456188234052206e-53,5.8015610078002055e-10,2.7894422503595981e-11,1.0751962203177111e-14,1.5452040485718715e-21,1.0752022191363881e-14,5.3434173490489804e-30,2.0008166312303631e-27,4.5880467746835976e-21,2.1254617268683131e-23,1.1387516114084473e-24,2.4331377213837879e-39
1.8194396825786517e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756243096769,0.11866996529622491,0.022821567675415169,3.4174274640887175e-76,3.7361417842657803e-33,4.8843671478548424e-27,8.5299895393665061e-39,2.8134308004615264e-32,2.7455547328681755e-30,3.9297191996225948e-18,1.5456389292120333e-68,3.8480954344021022e-18,3.8166952828878196e-44,1.3919994125128778e-37,2.5258065790534466e-46,1.3857104413131043e-60,6.6507170630093635e-29,3.3257541652081042e-53,7.3372682351955849e-10,3.527824023243072e-11,1.359805343813566e-14,2.4120162827099038e-21,1.3598147088618748e-14,1.0098577090745831e-29,3.1320935140783221e-27,7.1546653861585541e-21,3.9748514507411113e-23,2.5420762857998831e-24,6.59273427900656e-39
2.200252640570474e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756227000745,0.11866996514265134,0.022821567671723261,1.6140605940779439e-75,7.1803587407476098e-33,7.0021451013031377e-27,2.263238430846741e-38,4.7835158590461669e-32,3.9464840305577482e-30,4.7705243324079749e-18,3.57705894504706e-68,4.6535108204052323e-18,6.5262270958870244e-44,2.7527197855762729e-37,4.2305499173033993e-46,4.0562364745980256e-60,1.1051935438009054e-28,6.5152934797114537e-53,8.8729754218761906e-10,4.2662057952874593e-11,1.6444138256811229e-14,3.457706541903884e-21,1.6444272522780739e-14,1.687809647137414e-29,4.5020956103928442e-27,1.0246718021402553e-20,6.5787304301640635e-23,4.8463986292400797e-24,1.5894135048973453e-38
2.9618785565541185e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756194808701,0.11866996483550422,0.022821567664339442,2.6622026266983714e-74,1.856667629090533e-32,1.2064076951194092e-26,1.0046634022190249e-37,1.0576369029855444e-31,6.8298462030481928e-30,6.46594283218104e-18,1.3125116222693327e-67,6.2643416377026194e-18,1.4584675017798672e-43,7.6995127582472168e-37,9.0620582072579038e-46,2.0140748694964929e-59,2.343429746414041e-28,1.744073758391109e-52,1.1944389702388108e-09,5.7429693374627204e-11,2.2136293261988998e-14,5.9569768750973849e-21,2.2136524620446443e-14,3.6028339657504173e-29,7.7913886538718237e-27,1.7625032827286609e-20,1.382369891947068e-22,1.2373327175478719e-23,6.3462505225330034e-38
3.723504472537763e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756162616658,0.1186699645283571,0.022821567656955623,1.3912335147071222e-73,3.9316656943735249e-32,1.8465499511482044e-26,3.1022147248932957e-37,1.9814626572869801e-31,1.0499225799019206e-29,8.1837428932052876e-18,3.5468972128826123e-67,7.8751725284119039e-18,2.7596065837135617e-43,1.7239881172719597e-36,1.6530398066499991e-45,6.9179158453925877e-59,4.2419377438047095e-28,3.8122247216849781e-52,1.5015803832401652e-09,7.2197328765363895e-11,2.7828424550096207e-14,9.117341523277806e-21,2.7828778717254403e-14,6.5505951852811545e-29,1.1977351983354269e-26,2.6933809809624677e-20,2.4765021943076043e-22,2.5902038218568146e-23,1.704782131680395e-37
4.4851303885214075e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756130424614,0.11866996422121,0.022821567649571804,6.3681562014875943e-73,7.4376489709251681e-32,2.6297317177928231e-26,8.1028658148447184e-37,3.3534276625717134e-31,1.5018195003206981e-29,9.9254425128320133e-18,8.3048715824239413e-67,9.4860034975124774e-18,4.7178165893974731e-43,3.4061597486625326e-36,2.7431988618679948e-45,1.997790238963351e-58,6.9932724297546672e-28,7.425332411119223e-52,1.8087217801708875e-09,8.6964964122981025e-11,3.352053051255914e-14,1.2983549203058315e-20,3.3521034961088428e-14,1.0834673237480697e-28,1.7132504737434125e-26,3.8294375378245777e-20,4.0354187668075592e-22,4.8436137943016958e-23,4.0059079758599702e-37
6.0083822204886966e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756066040539,0.11866996360691587,0.022821567634804169,1.8904935489772957e-71,2.2536705787117873e-31,4.6333055409261034e-26,5.1056222719166655e-36,7.97480852530668e-31,2.6718620279353225e-29,1.3481886550811423e-17,3.8781703612617806e-66,1.2707665675304992e-17,1.1491267831064062e-42,1.0868256656364741e-35,6.3781150268700043e-45,1.785597696841222e-57,1.6050730763390779e-27,2.3880782114877134e-51,2.4230045249148722e-09,1.1650023473699094e-10,4.4904665034123052e-14,2.2872678147471009e-20,4.4905554093563643e-14,2.4984724772933623e-28,3.0480088686059958e-26,6.7225319414759587e-20,8.9740421096047668e-22,1.4212001910336189e-22,1.7986695349760471e-36
