Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52),CH4OX(60),COX(50),C2H4X(205),C2H4X(65),acetyl(43)
1.5277067481130627e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44434932225385659,0.095760368768612839,0.015317572039940462,0.0,0.0091359462594378261,0.0043294554201016942,0.0040274832222536158,0.00086482449040356112,1.0481401017194798e-12,0.0090970336467057107,3.7160285077658975e-09,0.00029427154885207428,4.741822025308674e-08,0.00065855202001861737,2.1569294357398816e-10,3.5238235608181865e-11,0.00042052659804615844,8.4639114864248444e-05,0.0069011370502252353,0.00076324824281648633,0.00015788046132949861,1.7328214352050835e-06,3.4666459476091436e-08,5.7301166541109222e-07,4.1255575370787712e-07,8.6863364706856456e-05,0.00013393169543656104,2.0230053441866073e-08,1.1472229189422926e-05,2.2815119788307343e-05,6.6428017910220262e-11,2.3921728095649266e-06,7.3228596546726891e-09,1.2520596360016353e-08,9.387352519312215e-06,2.3965872914330569e-11,9.1683813293490904e-11
1.5284042178855499e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435017278652555,0.095754985825990971,0.015314456298904853,0.0,0.0091401469500922809,0.0043324000637685097,0.0040301855973269886,0.00086519968927849407,1.0498093662697238e-12,0.0090987207395703314,3.7184975966888088e-09,0.00029427370338873734,4.7437485836824264e-08,0.00065866465104064641,2.1583925432015312e-10,3.5267933354821134e-11,0.00042037118982601667,8.4726867206097434e-05,0.0069007605907995739,0.00076262008975420243,0.00015793328842480023,1.7319701116781172e-06,3.4665835801606178e-08,5.7313069781808659e-07,4.1274493753972383e-07,8.6922674421341424e-05,0.00013407056187308449,2.0259472459824727e-08,1.1485287030664649e-05,2.2833491957156998e-05,6.6471039273410001e-11,2.3932164348208096e-06,7.3241261116288488e-09,1.2529021498431116e-08,9.3973258219495546e-06,2.3990766231814748e-11,9.1762346342579693e-11
1.529101687658037e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435102246968361,0.095749604293874593,0.015311341023864708,0.0,0.0091443462708852841,0.0043353454681580878,0.0040328879221730209,0.00086557473058314371,1.0514805880221887e-12,0.0091004068417629529,3.7209660823170497e-09,0.00029427586329187926,4.7456742716987181e-08,0.00065877695731413792,2.1598556840685514e-10,3.5297635439073578e-11,0.00042021584048491126,8.4814652834844077e-05,0.0069003842189811889,0.00076199269013216676,0.00015798610070919127,1.7311193904594104e-06,3.4665206792943097e-08,5.7324968775500865e-07,4.1293406060041209e-07,8.6981999590131031e-05,0.0001342094809900301,2.0288912784822042e-08,1.1498349526397768e-05,2.2851863287891113e-05,6.6514058973964822e-11,2.3942596229400308e-06,7.3253889482514446e-09,1.2537446488913419e-08,9.4073030487623438e-06,2.4015669023850776e-11,9.1840891067864386e-11
1.5297991574305241e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435187130405529,0.095744224171660633,0.015308226215098026,0.0,0.009148544222349354,0.0043382916312344512,0.0040355901957828347,0.00086594961443071505,1.053153768208455e-12,0.0091020919545298732,3.723433964882054e-09,0.00029427802854045237,4.7475990905356716e-08,0.00065888893915892689,2.1613188577245716e-10,3.5327341848157311e-11,0.00042006055020138883,8.4902471732246034e-05,0.0069000079347408321,0.00076136604337175614,0.00015803889816148222,1.7302692721094984e-06,3.4664572458367428e-08,5.7336863528847319e-07,4.1312312291286793e-07,8.70413401722275e-05,0.0001343484527585248,2.031837437956008e-08,1.1511416655734231e-05,2.2870233748044357e-05,6.6557076996415969e-11,2.3953023742308255e-06,7.3266481680810229e-09,1.2545871328298215e-08,9.4172841975393488e-06,2.4040581285224122e-11,9.191944743821921e-11
1.5304966272030113e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435271929036685,0.095738845458745711,0.015305111872881761,0.0,0.0091527408050197899,0.0043412385509607986,0.0040382924171486314,0.00086632434093459286,1.0548289080587567e-12,0.0091037760791156386,3.7259012446191948e-09,0.00029428019911346222,4.749523041371438e-08,0.00065900059689528577,2.1627820635537397e-10,3.5357052569295378e-11,0.00041990531915323995,8.4990323880092855e-05,0.0068996317380492474,0.00076074014889290602,0.0001580916807605597,1.7294197571803101e-06,3.4663932806129491e-08,5.7348754048482917e-07,4.1331212450014047e-07,8.7100696126616152e-05,0.00013448747714974666,2.0347857206488228e-08,1.1524488397764173e-05,2.2888603305156024e-05,6.660009332533377e-11,2.3963446890019613e-06,7.3279037746631951e-09,1.2554296013423917e-08,9.4272692660730477e-06,2.4065503010729624e-11,9.1998015422554195e-11
1.5311940969754984e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435356642934526,0.095733468154526324,0.015301997997492284,0.0,0.0091569360194334211,0.0043441862252998984,0.0040409945852632355,0.00086669891020826428,1.0565060088025778e-12,0.0091054592167638271,3.7283679217660321e-09,0.00029428237498994555,4.7514461253842171e-08,0.00065911193084372695,2.1642453009403483e-10,3.5386767589713565e-11,0.00041975014751783409,8.5078209260191627e-05,0.006899255628877176,0.00076011500611475357,0.00015814444848535634,1.728570846219553e-06,3.4663287844473776e-08,5.7360640341024287e-07,4.13501065385386e-07,8.7160067412273042e-05,0.00013462655413490189,2.0377361228097284e-08,1.153756473157447e-05,2.2906971926753472e-05,6.6643107945294823e-11,2.397386567562505e-06,7.3291557715461771e-09,1.2562720541130853e-08,9.4372582521579564e-06,2.4090434195166534e-11,9.2076594989785676e-11
1.5318915667479856e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435441272171849,0.09572809225839865,0.015298884589205045,0.0,0.0091611298661295141,0.0043471346522138167,0.0040436966991204311,0.00086707332236537582,1.0581850716682004e-12,0.0091071413687164593,3.7308339965635969e-09,0.0002942845561489862,4.7533683437521808e-08,0.00065922294132514771,2.1657085692691167e-10,3.5416486896642057e-11,0.00041959503547186929,8.5166127854378442e-05,0.0068988796071953566,0.00075949061445515953,0.00015819720131486439,1.727722539775185e-06,3.4662637581634236e-08,5.7372522413080457e-07,4.136899455918692e-07,8.7219453988159735e-05,0.00013476568368524163,2.0406886406947247e-08,1.1550645636233175e-05,2.2925339580367225e-05,6.6686120840872688e-11,2.3984280102219895e-06,7.3304041622824665e-09,1.2571144908262418e-08,9.4472511535918841e-06,2.411537483334215e-11,9.2155186108843742e-11
1.5325890365204727e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435525816821542,0.095722717769758797,0.015295771648295006,0.0,0.0091653223456486244,0.0043500838296642594,0.0040463987577145227,0.00086744757751965691,1.0598660978832787e-12,0.0091088225362147401,3.7332994692547362e-09,0.00029428674256969383,4.7552896976536234e-08,0.00065933362866064309,2.1671718679248366e-10,3.5446210477313374e-11,0.0004194399831916916,8.5254079644504175e-05,0.0068985036729745201,0.00075886697333132306,0.00015824993922815368,1.7268748383928779e-06,3.466198202583167e-08,5.7384400271252186e-07,4.1387876514286107e-07,8.7278855813230328e-05,0.00013490486577204036,2.0436432705313788e-08,1.1563731090765678e-05,2.2943706233559562e-05,6.6729131996661294e-11,2.3994690172901946e-06,7.3316489504270548e-09,1.2579569111663729e-08,9.4572479681743357e-06,2.414032492006884e-11,9.2233788748701946e-11
1.5332865062929599e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435610276956611,0.095717344688002581,0.015292659175036142,0.0,0.0091695134585338869,0.0043530337556122213,0.0040491007600408548,0.00086782167578500614,1.061549088674177e-12,0.0091105027204982057,3.7357643400859894e-09,0.0002942889342312293,4.7572101882667967e-08,0.00065944399317171458,2.1686351962927402e-10,3.5475938318964797e-11,0.00041928499085292864,8.5342064612449801e-05,0.0068981278261853957,0.00075824408215909706,0.00015830266220434627,1.7260277426094715e-06,3.466132118527797e-08,5.7396273922111728e-07,4.1406752406178954e-07,8.7338272846423836e-05,0.00013504410036662109,2.0466000085384673e-08,1.157682107420417e-05,2.2962071853868102e-05,6.677214139728807e-11,2.4005095890773973e-06,7.3328901395394706e-09,1.2587993148183141e-08,9.467248693708328e-06,2.4165284450167148e-11,9.2312402878344958e-11
1.533983976065447e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435694652650182,0.095711973012525584,0.01528954716970155,0.0,0.0091737032053307681,0.0043559844280180631,0.0040518027050957138,0.00086819561727547335,1.0632340452660987e-12,0.0091121819228049059,3.7382286093071916e-09,0.00029429113111279913,4.759129816769886e-08,0.00065955403518022356,2.1700985537584707e-10,3.550567040883795e-11,0.00041913005863056327,8.5430082740123835e-05,0.0068977520667987098,0.0007576219403531289,0.00015835537022264353,1.7251812529604885e-06,3.4660655068171635e-08,5.7408143372219345e-07,4.1425622237217602e-07,8.7397705046666154e-05,0.00013518338744034986,2.0495588509317902e-08,1.1589915565546767e-05,2.2980436408849871e-05,6.6815149027381881e-11,2.4015497258943161e-06,7.334127733183332e-09,1.2596417014672056e-08,9.4772533280000237e-06,2.4190253418465531e-11,9.2391028466785829e-11
1.5346814458379341e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435778943975462,0.095706602742723232,0.015286435632563588,0.0,0.0091778915865866235,0.0043589358448416398,0.0040545045918761544,0.00086856940210522913,1.0649209688832934e-12,0.0091138601443716584,3.7406922771708604e-09,0.00029429333319364812,4.7610485843410776e-08,0.00065966375500832583,2.1715619397079682e-10,3.5535406734177993e-11,0.00041897518669905051,8.5518134009457086e-05,0.0068973763947851804,0.00075700054732708759,0.00015840806326230237,1.7243353699775269e-06,3.4659983682700997e-08,5.7420008628120757e-07,4.1444486009762467e-07,8.7457152372872688e-05,0.00013532272696462804,2.0525197939164251e-08,1.1603014543777114e-05,2.2998799866065254e-05,6.6858154871590075e-11,2.4025894280520272e-06,7.3353617349256246e-09,1.2604840707984296e-08,9.4872618688581654e-06,2.4215231819798796e-11,9.2469665483059014e-11
1.5353789156104213e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44435863151005767,0.095701233877990705,0.015283324563893946,0.0,0.0091820786028505991,0.0043618880040423467,0.0040572064193799759,0.00086894303038855978,1.0666098607490989e-12,0.0091155373864341156,3.743155343932056e-09,0.0002942955404530562,4.7629664921585779e-08,0.00065977315297845358,2.1730253535274172e-10,3.5565147282233543e-11,0.00041882037523234181,8.560621840240168e-05,0.0068970008101155228,0.00075637990249371643,0.00015846074130263958,1.7234900941886511e-06,3.4659307037044551e-08,5.7431869696346748e-07,4.1463343726182104e-07,8.7516614783949071e-05,0.00013546211891089072,2.055482833688591e-08,1.1616117987860672e-05,2.3017162193082305e-05,6.6901158914574576e-11,2.4036286958619464e-06,7.3365921483365039e-09,1.261326422497606e-08,9.4972743140939422e-06,2.4240219649007914e-11,9.2548313896221431e-11
1.5367738551553956e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44436031312475183,0.095690500361315059,0.015277103833042595,0.0,0.0091904485426092392,0.0043677945414102399,0.0040626098925529873,0.0008696898177737183,1.0699935541149079e-12,0.0091188889369823757,3.7480796751811228e-09,0.00029429997042486675,4.7667997332452686e-08,0.00065999098463601611,2.1759522623223225e-10,3.5624640995504518e-11,0.00041851093438639533,8.5782486487049321e-05,0.0068962499026906775,0.00075514085505092249,0.00015856605230293335,1.7218013662874737e-06,3.465793799783489e-08,5.7455579295820572e-07,4.1501041000162992e-07,8.7635584696281975e-05,0.00013574105995529384,2.0614151883361509e-08,1.1642338189359141e-05,2.3053883326827022e-05,6.6987161535595584e-11,2.4057059296859191e-06,7.3390422244618109e-09,1.2630110717435816e-08,9.5173109089565802e-06,2.4290223570450696e-11,9.2705644789556588e-11
1.5381687947003699e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44436199137646809,0.095679772457656562,0.015270884979306051,0.0,0.009198813029038579,0.0043737040237870695,0.0040680131166132109,0.00087043598034772511,1.073385135130368e-12,0.0091222365843095076,3.7530016051498894e-09,0.00029430442086325127,4.7706295494552556e-08,0.00066020753273833273,2.1788792752383806e-10,3.568415144671503e-11,0.00041820173747340319,8.5958886850145424e-05,0.0068954993442898295,0.00075390479330669075,0.0001586713030593213,1.7201150734096567e-06,3.4656548015758617e-08,5.7479272222586499e-07,4.1538714078280611e-07,8.7754614454704308e-05,0.00013602021034577085,2.0673558842676864e-08,1.1668576001406266e-05,2.3090599550766775e-05,6.7073156768041484e-11,2.4077814298648871e-06,7.3414779901886366e-09,1.2646956466952133e-08,9.53736309513077e-06,2.4340265141653637e-11,9.2863020899705005e-11
1.5395637342453441e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44436366627110596,0.095669050162170019,0.01526466800483074,0.0,0.0092071720666019579,0.0043796164348304575,0.0040734160835723329,0.00087118151902936653,1.0767846135460125e-12,0.0091255803382545558,3.7579211359785054e-09,0.00029430889160386606,4.7744559502131789e-08,0.00066042279987564502,2.1818063873757209e-10,3.5743678533991473e-11,0.00041789278586510547,8.6135419348146039e-05,0.0068947491346785751,0.00075267171252674909,0.00015877649340862186,1.7184312196496927e-06,3.465513715586053e-08,5.750294852834669e-07,4.1576362979795511e-07,8.7873703730093557e-05,0.00013629956985513071,2.0733048907362809e-08,1.169483125508279e-05,2.3127310605700591e-05,6.7159144489754048e-11,2.4098551989034236e-06,7.3438994742014474e-09,1.2663801448467911e-08,9.5574308552029203e-06,2.4390344321584549e-11,9.3020441979950152e-11
1.5409586737903184e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44436533781458043,0.095658333470007198,0.015258452911750976,0.0,0.0092155256597939699,0.0043855317581906446,0.0040788187854553376,0.0008719264347394136,1.0801919990959588e-12,0.009128920208635715,3.7628382698515051e-09,0.00029431338248300456,4.7782789449427536e-08,0.00066063678864296163,2.1847335938395486e-10,3.5803222155523365e-11,0.00041758408092428553,8.6312083837885171e-05,0.0068939992736224472,0.00075144160796073811,0.0001588816231886703,1.716749809043857e-06,3.4653705483014115e-08,5.7526608264559349e-07,4.1613987724107463e-07,8.7992852193171967e-05,0.00013657913825678049,2.0792621768559995e-08,1.172110378119235e-05,2.3164016232554184e-05,6.7245124578821395e-11,2.411927239311955e-06,7.3463067052391745e-09,1.2680645636968403e-08,9.5775141718030821e-06,2.4440461069319441e-11,9.317790778394623e-11
1.5423536133352927e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44436700601282159,0.095647622376316854,0.015252239702189042,0.0,0.0092238738131400939,0.0043914499775108938,0.0040842212143005234,0.00087267072840058755,1.0836073014979065e-12,0.0091322562052504296,3.7677530089972337e-09,0.00029431789333759264,4.7820985430665723e-08,0.00066084950163997199,2.1876608897401461e-10,3.5862782209563956e-11,0.00041727562400481206,8.6488880176572647e-05,0.0068932497608869278,0.00075021447484244794,0.00015898669223831424,1.7150708455704874e-06,3.4652253061922207e-08,5.7550251482439837e-07,4.1651588330753921e-07,8.8112059514514599e-05,0.00013685891532472203,2.0852277116030351e-08,1.1747393410268112e-05,2.3200716172391212e-05,6.7331096913578698e-11,2.4139975536066607e-06,7.348699712094266e-09,1.2697489007481238e-08,9.5976130276047309e-06,2.4490615344041992e-11,9.3335418065719088e-11
