Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),C2H4(47),OCX(25),COX(50),CHOX(53),O(29),H2OX(23),HOX(22)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,0.0,1.3088025406238409e-36,1.7634514786468826e-24,4.987559585203741e-53,8.7029287851916189e-37,3.8011289882781567e-85,5.2514978644002044e-14,1.0307925840024128e-71,5.2514978636654872e-14,6.3230609192819207e-49,1.0120849363926094e-46,5.3029744577145981e-71,6.1487856158547713e-72,6.3517770090891461e-26,1.4457738501151814e-56,2.8679871504166266e-12,8.491600218222531e-14,3.3994780805555118e-16,3.3994665884002253e-16,5.6996691736746405e-22,1.7927525676679796e-24,5.3088234408403824e-28,1.9805808442806052e-25,6.8701212217803014e-35,1.1504950402982209e-63,3.0364724992578122e-47,9.3390298203640555e-65,1.1578447084302722e-67,8.06049707401599e-23,1.0621740568983166e-36,5.3488258346493657e-26
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,0.0,1.047045894162532e-35,7.0540198461470387e-24,6.0420837797566059e-51,6.9623497255607872e-36,1.8414176341485433e-82,1.0503000180813757e-13,6.5970821613877816e-70,1.0503000177874885e-13,1.0116907695403586e-47,1.6193331038908159e-45,1.2846028353456788e-68,1.4894934898611871e-69,2.540716044018387e-25,4.6264807949283988e-55,5.7359767306774536e-12,1.6983207634668223e-13,6.7989706523387241e-16,6.7989246123899356e-16,2.2727345836474457e-21,1.4296325476729023e-23,8.0479377649972248e-27,7.9223239033932512e-25,5.4962534025058904e-34,7.3631751494099376e-62,1.8399113057122897e-45,2.2623029614348271e-62,2.8057387676586243e-65,1.6133704526270524e-22,8.4973685140436977e-36,2.1395280948037822e-25
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,0.0,8.3764196198765698e-35,2.821774932647222e-23,7.4817835829869801e-49,5.5698822334230231e-35,9.1195229837705655e-80,2.1006004814419886e-13,4.222135354927213e-68,2.1006004802664402e-13,1.6187059302595264e-46,2.5909196121575959e-44,3.1811067469245145e-66,3.6884832066039595e-67,1.0162896406964107e-24,1.4804742865078625e-53,1.1471955887057029e-11,3.3966422466866696e-13,1.3597991047939106e-15,1.359780632202393e-15,9.0343621296276353e-21,1.1364556705032717e-22,1.2463768956854241e-25,3.1689269602496196e-24,4.3972460541142264e-33,4.7124330520262276e-60,1.139367058166393e-43,5.6022108771359501e-60,6.9488238184150382e-63,3.2318230082706303e-22,6.797848942458571e-35,8.5580863054854138e-25
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,0.0,6.7012159133365031e-34,1.1288407392623775e-22,9.3319677337277128e-47,4.4559064063503201e-34,4.5496856790047155e-77,4.2012014084748216e-13,2.7021671198789028e-66,4.2012014037726305e-13,2.5899296669115032e-45,4.1454251183746441e-43,7.9353086835393385e-64,9.2009582996358866e-65,4.0651824088718512e-24,4.7375165919265556e-52,2.2943914183247862e-11,6.7932852127875792e-13,2.7196175748541671e-15,2.7195432389299502e-15,3.5692621917884002e-20,8.9775842099560724e-22,1.9435983195762128e-24,1.2675680987966524e-23,3.518177764513316e-32,3.0159558607872747e-58,7.1060343037107384e-42,1.3974738143407147e-57,1.7333030113607391e-60,6.4839723803138619e-22,5.4382027412965714e-34,3.4232120322119024e-24
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,0.0,5.3610995835076273e-33,4.5163727496450899e-22,1.1582863126282511e-44,3.5647247944191719e-33,2.258903566779193e-74,8.4024032637868738e-13,1.7293866100354487e-64,8.4024032449781599e-13,4.1438863916373434e-44,6.6325066811212511e-42,1.9699067465193943e-61,2.2840954208379449e-62,1.6260916523865737e-23,1.5160039670049546e-50,4.5887830709356267e-11,1.3586571143141365e-12,5.4393143121497655e-15,5.4390135126997417e-15,1.3933189307221443e-19,7.0055728941085706e-21,3.0151735273897388e-23,5.0702497040558588e-23,2.8151310256506924e-31,1.9302092911586628e-56,4.4098394664934623e-40,3.4691478454879407e-55,4.3018227999606937e-58,1.3049248167307876e-21,4.3504387306258694e-33,1.3692664962213244e-23
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.022821567691695629,0.0,4.2890820223748957e-32,1.8073044267359559e-21,1.4106352891848461e-42,2.8517787777176663e-32,1.1005469932512672e-71,1.6804806979396334e-12,1.1068066737271251e-62,1.6804806904161815e-12,6.6302134681118991e-43,1.0611487260465653e-40,4.7985427016948175e-59,5.5638654321633194e-60,6.5045153392918798e-23,4.8512031071332407e-49,9.1775663496480062e-11,2.7173142992513578e-12,1.0878963532784121e-14,1.087773431039142e-14,5.3159917214050612e-19,5.3399000169239491e-20,4.5880471044024592e-22,2.0280814871827658e-22,2.2529875801607197e-30,1.2353305401933572e-54,2.6848745728558173e-38,8.4504742163355954e-53,1.0472863091813208e-55,2.6423707911991609e-21,3.4801529848624639e-32,5.4769188249267339e-23
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661097042,0.11866996584303129,0.022821567690336973,0.0,3.4315891082055268e-31,7.2345363720833246e-21,1.6512999096207727e-40,2.2814211183455355e-31,5.1545583489754415e-69,3.3609614430554939e-12,7.0835520257058043e-61,3.3609614129619544e-12,1.0608325268854263e-41,1.6976706623698111e-39,1.1236351678530859e-56,1.3028365587618346e-57,2.6019249554938972e-22,1.552378699233684e-47,1.8355132801035547e-10,5.4346286614370643e-12,2.1759399596927309e-14,2.1754296977523085e-14,1.9452035591429459e-18,3.898091976314781e-19,6.7070683767861574e-21,8.1121783134428774e-22,1.8036386029059807e-29,7.9060710348195069e-53,1.5709416175543402e-36,1.9787284358952034e-50,2.4494533345407703e-53,5.4148260076666457e-21,2.7838054671273349e-31,2.1906497087196904e-22
5.712169059686803e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727651645569,0.11866996574956426,0.022821567688978316,0.0,9.8127313563989321e-31,1.5380432842046913e-20,1.0521653926358578e-39,6.7729656731886069e-31,4.2931619913239233e-68,5.0414421901653234e-12,4.0218290213202673e-60,5.0414421262167681e-12,4.0133419803012361e-41,6.4721237333348169e-39,8.2525851302439883e-56,9.5687210542685156e-57,5.5292649925246813e-22,7.2418007326903943e-47,2.7532699146385874e-10,8.1519430117279164e-12,3.2641072742326167e-14,3.2629980787538231e-14,3.8936001858928666e-18,1.0587254421537657e-18,2.3670221725066785e-20,1.7238161945202665e-21,5.159147195481608e-29,4.4211357388722263e-52,8.5113994264878312e-36,1.4532755043462915e-49,1.807702166586079e-52,8.2848444909127783e-21,7.9594235046330128e-31,4.6549578430962428e-22
7.61622542972916e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642194096,0.11866996565609723,0.02282156768761966,0.0,2.0698908736332282e-30,2.6247345975665252e-20,4.3019883266496908e-39,1.4757928101200632e-30,2.1413802545809944e-67,6.7219229392687765e-12,1.5467129899562373e-59,6.7219228301806295e-12,1.0446698954221725e-40,1.7412768529916749e-38,3.7400817777100565e-55,4.3365440499525338e-56,9.4325495689934477e-22,2.2051307397110366e-46,3.6710265385698983e-10,1.0869257345917796e-11,4.3524069484238764e-14,4.3504785811564462e-14,6.2966316439796855e-18,2.1337330778760244e-18,5.7849383963489896e-20,2.9405935398372455e-21,1.0885461430411565e-28,1.5476101169515034e-51,3.1183130936741713e-35,6.5862156970222494e-49,9.0451567603758183e-52,1.1252426240188757e-20,1.6787734358151649e-30,7.9405392850989173e-22
1.1424338169813875e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072762329115,0.1186699654691632,0.022821567684902344,0.0,5.6539762562565164e-30,5.4373189699815412e-20,3.4211870331505332e-38,4.283766661175807e-30,2.256589700756299e-66,1.0082884442153806e-11,1.1771685339573724e-58,1.0082884216303069e-11,3.833785922176174e-40,7.0419901312699374e-38,3.435263638778791e-54,3.9830642956674916e-55,1.9529842499026333e-21,1.0046616746436608e-45,5.5065397615462366e-10,1.6303885960028441e-11,6.5293395782081415e-14,6.5252333623324114e-14,1.1966616749667423e-17,5.4158555045840668e-18,1.9043497409051518e-19,6.0880075946725492e-21,2.9745367155964391e-28,8.6131775996893085e-51,2.1287922670841564e-34,6.0493190194223656e-48,1.3044690611013612e-50,1.7416564748516593e-20,4.5847985902038573e-30,1.6438942529280049e-21
