Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),H2X(46),CHOX(50),CO2X(24),CH4OX(57),COX(47)
2.0472541809485744e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039243895,0.099999999994740449,0.099999999998849523,1.0296235669562148e-71,1.4834049204764149e-43,4.4113520897522626e-32,6.2650656474710021e-57,1.6003834597638173e-38,1.1915864264218031e-97,1.3525763257848354e-30,5.6656091107744507e-105,6.7649297708132463e-31,1.1198798320803851e-66,3.9476216696416149e-44,2.4154005875190105e-87,2.3256740795490824e-90,2.4844089827205061e-37,2.5205872928601787e-80,5.2590668345077294e-12,2.3009891394411172e-12,4.9987441791619687e-16,4.9987516824560434e-16,1.6322176590849174e-22,1.4115226109373982e-22,1.4069916625005998e-25,1.3345659114673415e-25,4.6234759090134485e-36,1.8808648047468235e-42,3.5558283553426788e-42,4.2828770453015584e-64,5.1942563403663758e-65,7.5819217481033774e-55,1.2529865532853116e-67
4.094509229636953e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038487788,0.099999999989480878,0.099999999997699027,3.6825373152583767e-69,2.3734537649787907e-42,2.432468528619842e-31,5.6036593948066459e-55,1.2803059454615611e-37,8.5213754841147166e-95,4.0573749150177649e-30,5.1020604048605217e-103,1.353042072433432e-30,1.7918067094360241e-65,6.3162019553234127e-43,8.5018881204495284e-85,4.1629301298708333e-88,1.9875300165201299e-36,8.0658750203689558e-79,1.0518135887471973e-11,4.6019792538508595e-12,9.997484388574123e-16,9.997516551119806e-16,4.3895505054815264e-22,7.7753648065507426e-22,1.5671252218831137e-24,5.3382713668128989e-25,3.6987859865621778e-35,8.401002265915683e-41,3.9643531142696776e-41,7.6558261803635321e-62,9.2859717754977567e-63,2.4262177802346286e-53,2.2428065942908168e-65
8.18901932701371e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036975576,0.099999999978961737,0.099999999995398034,1.1731953834122178e-66,3.7975422035237633e-41,1.1940141141920228e-30,4.4646580462426029e-53,1.0242426808835143e-36,5.427423381504601e-92,1.3523629552811345e-29,5.1546795574059318e-101,2.7063077584651752e-30,2.8668851866506708e-64,1.0105937832571131e-41,2.6862824350208242e-82,6.6384093428498918e-86,1.5900276573361703e-35,2.5810751241513273e-77,2.1036273961517859e-11,9.2039594815478325e-12,1.9994946541948661e-15,1.9995082363988641e-15,1.0478965552358976e-21,3.8087918331248349e-21,1.5541928095210201e-23,2.135313705442324e-24,2.9590355582912838e-34,3.3420664515584554e-39,3.9392746371444764e-40,1.2188232245642741e-59,1.4786697066702023e-60,7.7639081194120408e-52,3.5763280897562823e-63
1.6378039521767224e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575033951153,0.099999999957923455,0.099999999990796049,3.4089947973541019e-64,6.0761249073336234e-40,5.3668155126622552e-30,3.2442944958290045e-51,8.1939052005617521e-36,3.1522996308251651e-89,4.8682709370013922e-29,7.8494666536458576e-99,5.4135091167567393e-30,4.5869967209894814e-63,1.6169530315100356e-40,7.7707009226604007e-80,9.6553507436056925e-84,1.2720276026556748e-34,8.2594057588968577e-76,4.2072549982079244e-11,1.8407919931274648e-11,3.998979778716533e-15,3.9990360779486638e-15,2.2995244706305676e-21,1.7048709228400277e-20,1.4064844630362351e-22,8.5412940551296016e-24,2.3672386186691051e-33,1.2127868176687007e-37,3.578774984566762e-39,1.769479930392476e-57,2.147659031318072e-58,2.4844551417902718e-50,5.2007266168724247e-61
3.275607991127425e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575027902306,0.099999999915846904,0.099999999981592091,9.3036874098162967e-62,9.7219718746221466e-39,2.2836476095176705e-29,2.2140632137712245e-49,6.5550649510316225e-35,1.7189481391030563e-86,1.8390667680878203e-28,9.5049346934185493e-97,1.0830591817958505e-29,7.3391306475209722e-62,2.5871353875249782e-39,2.1145950477256537e-77,1.31938581901637e-81,1.0176307032723385e-33,2.6429871318636124e-74,8.4145101513080486e-11,3.6815840798643034e-11,7.9979208033604381e-15,7.9981510179038741e-15,4.8134555535707472e-21,7.1945208387897578e-20,1.196542385072522e-21,3.4165486007529964e-23,1.8938069064696021e-32,4.1345803931899828e-36,3.0682628111025836e-38,2.4119476156200187e-55,2.9299962385467849e-56,7.9502882652240974e-49,7.1016471144572394e-59
6.551216069028831e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575015804611,0.099999999831693803,0.099999999963184177,2.4360253869271838e-59,1.5555706600025456e-37,9.4286280374399936e-29,1.4495298591287155e-47,5.2439567413580603e-34,8.9853913847966281e-84,7.1397404806243286e-28,1.180553715782174e-94,2.1675477480883209e-29,1.1742402733995962e-60,4.1394500497639381e-38,5.5214718347830802e-75,1.7330238431749711e-79,8.141182991607273e-33,8.4574126062119279e-73,1.6829020253459682e-10,7.3631682329705116e-11,1.5995685956758626e-14,1.5996621205235629e-14,9.8430082710707237e-21,2.9220176037510131e-19,9.7734600661906779e-21,1.3666441405321487e-22,1.5150710370080789e-31,1.3525854186640131e-34,2.5449309368062196e-37,3.1516572538609785e-53,3.83527196350494e-54,2.5441124594705951e-47,9.3017022181068314e-57
9.826824146930236e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575003706916,0.099999999747540702,0.099999999944776263,1.851400150726319e-58,5.9173576917936317e-37,2.0224920451318068e-28,8.1354065939586674e-47,1.5567835758007658e-33,7.7305769819992505e-83,1.5036570609063456e-27,6.5858932135735732e-94,3.2531083730595415e-29,4.4423518839286762e-60,1.5781746492244602e-37,4.1938660005957757e-74,1.1398559640542716e-78,2.3278948706094949e-32,3.9453364424957355e-72,2.5243530151562707e-10,1.104475235566476e-10,2.3993334215975427e-14,2.3995334849452055e-14,1.4872560286780062e-20,6.1977190321525697e-19,2.7965453754511994e-20,2.904160450511081e-22,4.3322033536812785e-31,6.3354964591374698e-34,7.3457868533117494e-37,2.0870099489293064e-52,2.541017004822667e-53,1.194049193521393e-46,6.1108413719411455e-56
1.3102432224831641e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574991609221,0.099999999663387601,0.099999999926368349,9.1102343725644617e-58,1.5863929700331178e-36,3.4672737933454435e-28,2.9686100201301033e-46,3.3921122832683178e-33,4.5513841925134312e-82,2.552951920610032e-27,3.3806893497362226e-93,4.339741089745963e-29,1.1563317000457276e-59,4.2462130974710125e-37,2.0626870264957982e-73,4.6761593975202169e-78,4.9102557387243496e-32,1.2013495516244791e-71,3.3658039845617131e-10,1.4726336437902558e-10,3.1990865582718014e-14,3.199429500600293e-14,1.9902041854503038e-20,1.0515939225864328e-18,5.8832599983010655e-20,4.9542253767194881e-22,9.1379667793400342e-31,2.0421307270194864e-33,1.5576168086048578e-36,9.4190477439773311e-52,1.1472103861131045e-52,3.722224992161486e-46,2.5015110013681928e-55
1.965364838063445e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574967413836,0.099999999495081413,0.099999999889552507,1.1530470887125754e-56,6.3650325942320242e-36,7.2139148988501102e-28,1.9244537300302738e-45,9.846032127643305e-33,1.0252030839045546e-80,5.2608229788027534e-27,4.4507804253634333e-92,6.5155227607661406e-29,4.2434981670060607e-59,1.7174696979777175e-36,2.6088514002215639e-72,3.607203950535143e-77,1.3411684893140211e-31,5.4733051400533481e-71,5.0487058754836413e-10,2.2089504468071331e-10,4.7985653982018199e-14,4.7992803008569358e-14,2.9960833024717499e-20,2.1507530370557102e-18,1.5946710583305406e-19,1.0257360033769771e-21,2.4959092512530773e-30,1.1170108166715284e-32,4.2774841965040672e-36,1.0839328961208671e-50,1.3207258446923794e-51,1.8339954009336704e-45,1.903257006252142e-54
2.6204864536437264e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574943218449,0.099999999326775224,0.099999999852736665,5.882406724062095e-56,1.7172392789311313e-35,1.2303570329430546e-27,7.047212151661392e-45,2.1531748833516391e-32,6.2497049823597333e-80,8.9233478678877045e-27,2.0369833922751402e-91,8.6952471755070373e-29,1.1003546164959769e-58,4.6521888675931917e-36,1.3301794014554815e-71,1.4951769431359369e-76,2.8062227430870343e-31,1.6439786766084393e-70,6.7316076913696276e-10,2.9452672249666646e-10,6.3980012540183568e-14,6.3992241670778343e-14,4.0019353813250253e-20,3.6090950202562144e-18,3.3088695958415621e-19,1.7445533224534764e-21,5.2223692773641107e-30,3.5671564734350714e-32,8.9786406206322389e-36,4.8575121638737603e-50,5.9225195280564391e-51,5.7546344151812387e-45,7.8105717181762711e-54
