Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
4.503082804174679e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15438252712843789,0.096985836119012653,0.082062632397028115,8.6750643874651694e-07,0.00024215079378852588,1.7948016775480723e-10,1.7934005178880158e-11,4.2501284770797783e-18,1.7232479662056565e-39,6.6979711350482384e-14,3.8751031834257685e-41,7.0754556307984983e-18,1.7268670276475108e-29,9.4490238474243617e-14,9.2256704764390922e-30,1.1739605374855194e-34,6.1637919734016993e-13,4.1856810735830301e-33,0.0028823487075909371,0.035478359403973717,4.8047038120961561e-10,9.7310347524719316e-09,4.3772596520307503e-16,4.5415943422999767e-12,1.5250507259363448e-08,1.6799133655755664e-07,2.1389788763550783e-05,0.0001309316301260396,2.8321623860193772e-10
4.507935034721695e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15435466228586467,0.096986204843548487,0.082048302794431552,8.7013735116137418e-07,0.00024242512186024327,1.7929792412448937e-10,1.7960087931567081e-11,4.2543166588099986e-18,1.7277242756399309e-39,6.7107421499771171e-14,3.8990967899313006e-41,7.0665233472853651e-18,1.7323946795600651e-29,9.4626789010962542e-14,9.2355594745961639e-30,1.1770081486748986e-34,6.1708577574958359e-13,4.2035580877536522e-33,0.0028818339550367041,0.035506577826737558,4.8042296468828428e-10,9.7232461705443841e-09,4.3781502836513901e-16,4.5419690573333266e-12,1.5238739210535761e-08,1.680932581043543e-07,2.1407469914561673e-05,0.00013107503848232269,2.8375470805109736e-10
4.517639495815727e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15429897785994481,0.096986941456639761,0.082019666599041446,8.7541410203555689e-07,0.00024297381370803255,1.7893418991389174e-10,1.801227826847334e-11,4.2626905413972083e-18,1.7366931445660356e-39,6.7363155826535131e-14,3.9474523931099064e-41,7.0487345133722287e-18,1.7434853406681374e-29,9.4900098013840116e-14,9.2553171186472007e-30,1.1831166968319617e-34,6.1849925752841694e-13,4.23948381779741e-33,0.002880805275744594,0.035562968607372521,4.8032813855520035e-10,9.7077177345763259e-09,4.3799300982437845e-16,4.5427211088814189e-12,1.5215274947539325e-08,1.6829703051007818e-07,2.1442816850385471e-05,0.00013136185035981582,2.8483277711216991e-10
4.5273439569097593e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15424335368956998,0.096987676956806115,0.081991061037595556,8.8071077699832173e-07,0.00024352255297909896,1.7857145690124724e-10,1.8064501676565635e-11,4.2710611169694455e-18,1.7456836673664101e-39,6.7619308646175649e-14,3.9963024864866028e-41,7.0310460976171101e-18,1.754623227222277e-29,9.5173684023682254e-14,9.2750477236173933e-30,1.1892430222239612e-34,6.1991317150743792e-13,4.2756392963195083e-33,0.0028797776959090401,0.035619298059964069,4.8023332178630781e-10,9.692253920960343e-09,4.3817079841403043e-16,4.5434766231272413e-12,1.5191905957599017e-08,1.6850070849339998e-07,2.1478143313579384e-05,0.00013164865568477879,2.8591235087528191e-10
4.5370484180037914e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15418778966686733,0.09698841134610163,0.08196248605526206,8.8602740324156115e-07,0.00024407133945494191,1.7820972165614356e-10,1.8116758110934918e-11,4.2794283865112451e-18,1.7546958286775748e-39,6.7875879705133721e-14,4.045651054358298e-41,7.0134574329691057e-18,1.7658084380751504e-29,9.5447546761638817e-14,9.294751406443931e-30,1.1953871362740482e-34,6.2132751638931713e-13,4.3120255005482263e-33,0.0028787512135759899,0.035675566294448138,4.8013851456238616e-10,9.6768543150354712e-09,4.3834839447368508e-16,4.544235561308821e-12,1.5168631637473691e-08,1.6870429185021236e-07,2.1513449322890075e-05,0.00013193545433059229,2.8699342672633009e-10
4.5564573401918563e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15407684163434601,0.096989876800270394,0.081905427609294881,8.9672061808735998e-07,0.00024516905315002973,1.7748923081649893e-10,1.8221369879550036e-11,4.2961530114721562e-18,1.7727850058409578e-39,6.8390275527250036e-14,4.145859669045001e-41,6.9785767125101029e-18,1.7883212279133028e-29,9.5996101305922111e-14,9.334078474575088e-30,1.2077287759634145e-34,6.2415749366375209e-13,4.385494005323947e-33,0.0028767015336256902,0.035787919547453119,4.799489294673547e-10,9.6462460853548647e-09,4.3870301035717547e-16,4.5457635565186278e-12,1.512236461923663e-08,1.6911117388004357e-07,2.1584000054767065e-05,0.0001325090310800214,2.8916007425785059e-10
4.575866262379921e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15396613290479996,0.09699133783547538,0.081848490825229353,9.074939631146419e-07,0.00024626695305751873,1.7677269022829928e-10,1.8326113217751902e-11,4.3128644242773388e-18,1.7909605549922877e-39,6.8906341266318586e-14,4.2481105829911251e-41,6.9440871097914083e-18,1.8110245003079601e-29,9.6545759413637211e-14,9.3732992630969235e-30,1.2201417069763127e-34,6.2698917893924043e-13,4.4598971908947831e-33,0.0028746562203586941,0.035900029240369197,4.7975938469551694e-10,9.6158897986734069e-09,4.3905686017492621e-16,4.5473047926961412e-12,1.5076469168445408e-08,1.6951767501526402e-07,2.165446919566541e-05,0.00013308257960202146,2.9133269888187706e-10
4.595275184567986e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15385566262493558,0.0969927944679638,0.081791675269333175,9.1834765407427868e-07,0.00024736503745133559,1.7606007294389805e-10,1.8430987771093226e-11,4.3295626330196667e-18,1.8092223565511189e-39,6.9424074897209077e-14,4.3524365213220041e-41,6.9099834568022832e-18,1.8339190448219091e-29,9.7096518850061826e-14,9.412414715408262e-30,1.2326260201436494e-34,6.2982256177776328e-13,4.5352429487127519e-33,0.0028726152583173122,0.036011896242808497,4.7956988165580477e-10,9.5857822632156213e-09,4.3940994661380262e-16,4.5488589744805301e-12,1.5030940640205913e-08,1.6992379370977565e-07,2.1724856894975719e-05,0.00013365609889596811,2.9351127984361883e-10
4.614684106756051e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15374542994571394,0.096994246713901458,0.081734980510035846,9.2928190592976196e-07,0.00024846330461503923,1.7535135223245083e-10,1.853599318720196e-11,4.3462476458860486e-18,1.8275702924299563e-39,6.9943474396135764e-14,4.4588705910600274e-41,6.8762606585701679e-18,1.857005650448819e-29,9.7648377378938652e-14,9.4514257779400232e-30,1.2451818060526579e-34,6.3265763171733342e-13,4.6115392028631311e-33,0.0028705786321205941,0.036123521420046004,4.7938042174084271e-10,9.5559203411277566e-09,4.3976227234755633e-16,4.5504258128059523e-12,1.4985774467463054e-08,1.7032952845505132e-07,2.1795163301830033e-05,0.00013422958796665632,2.9569579645809862e-10
4.634093028944116e-07,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.15363543402232233,0.09699569458937321,0.081678406117914118,9.4029693286021194e-07,0.00024956175284175555,1.7464650157786481e-10,1.8641129115740109e-11,4.3629194711560982e-18,1.8460042460436061e-39,7.0464537740571682e-14,4.5674462838410145e-41,6.8429136920756076e-18,1.8802851056066376e-29,9.8201332762603576e-14,9.4903333998598243e-30,1.2578091550484003e-34,6.3549437827348392e-13,4.6887939100310179e-33,0.0028685463264638026,0.036234905633049291,4.7919100632711897e-10,9.5263009473440053e-09,4.401138400369121e-16,4.5520050247460778e-12,1.4940966159358513e-08,1.7073487777948361e-07,2.1865388565101049e-05,0.0001348030458242656,2.9788622810991665e-10
