Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24),H2OX(23)
4.671089849650964e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44412255477481766,0.11075378005688775,0.022498857385487358,6.9306970761827601e-13,1.6377125807580786e-10,0.0001304485584837466,2.0916990486433833e-05,2.1786099113489433e-07,3.8429248198698038e-17,0.0004056714556845299,2.907356873560028e-15,0.00024825458283443929,8.0892925134670448e-12,2.2209860700486674e-14,9.1111259096380026e-13,8.6351227671150498e-15,1.5866611524386407e-11,2.7215674448472815e-10,0.0074659278690154878,0.00062447325704639216,6.8671150794737706e-05,4.4314270224934553e-10,2.2703969151880872e-09,1.6060399280556829e-09,9.1568067502333572e-13,3.4653077619193453e-08,2.3168784689977125e-05,2.5136459487492027e-08,2.4190587622311184e-06,4.2848471636736633e-10,6.4972618946994695e-11,2.4110125360031711e-13,1.5957954209822557e-15,2.2120460917725434e-14
4.680476197477465e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411867977357339,0.11075022292731934,0.022498220775760018,6.9887916394589673e-13,1.648043630578981e-10,0.00013099463150932273,2.104315212417417e-05,2.1911916276694497e-07,3.8803187423181677e-17,0.00040645902333312598,2.9361116577895948e-15,0.00024853594167331959,8.1378511296487711e-12,2.2425822058184632e-14,9.1773855544367749e-13,8.7073856213459123e-15,1.5953885321604207e-11,2.7435608378359809e-10,0.0074685245748285561,0.00062562020113443432,6.8747741231322263e-05,4.4445536009562895e-10,2.2747408849453102e-09,1.6090562137100739e-09,9.1780857559414942e-13,3.47578165402735e-08,2.3212736681979579e-05,2.523865612415915e-08,2.4296560174880682e-06,4.3195196329990707e-10,6.5363991028648539e-11,2.4235361017601692e-13,1.6052402548119985e-15,2.2222704285622894e-14
4.689862545303966e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411482060330743,0.11074668080121373,0.022497584195132331,7.0472293776909212e-13,1.6584143020608926e-10,0.00013154159826278132,2.1169728341908496e-05,2.2038190488532642e-07,3.9179824516656687e-17,0.00040724642483624528,2.9650891517762146e-15,0.000248816707294784,8.186596782960428e-12,2.2643381987699717e-14,9.2439380814083112e-13,8.7800762145455116e-15,1.6041425882023752e-11,2.7656859573241079e-10,0.0074711061160071014,0.00062676667232472341,6.8824216338522648e-05,4.4576875587915701e-10,2.2790836783650248e-09,1.6120718409736773e-09,9.1993677900525353e-13,3.4862499589376538e-08,2.3256592143776855e-05,2.53409672242418e-08,2.44027162622666e-06,4.3544000526604069e-10,6.5756646812904293e-11,2.4360885893170925e-13,1.6147151069881283e-15,2.2325203861031243e-14
4.699248893130467e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44411097717722103,0.11074315359311923,0.022496947643557485,7.1060113778475791e-13,1.6688246526028217e-10,0.00013208945754076892,2.1296718955189153e-05,2.2164922354657516e-07,3.9559171732069384e-17,0.00040803365990552159,2.9942905867537071e-15,0.00024909688097118221,8.2355297565316879e-12,2.2862548502324857e-14,9.3107836993300901e-13,8.8531958894739058e-15,1.6129233317413635e-11,2.7879433092420965e-10,0.0074736725783480827,0.00062791267089581189,6.8900576750606632e-05,4.4708288916983096e-10,2.2834252939254623e-09,1.6150868088416044e-09,9.2206529426133438e-13,3.4967126445824223e-08,2.3300351191420573e-05,2.5443392284255222e-08,2.4509055623389764e-06,4.3894892225389622e-10,6.6150585722722081e-11,2.4486699586053031e-13,1.6242199693846143e-15,2.2427959210701974e-14
4.707696606174318e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441075314836696,0.1107399917904987,0.022496374771941829,7.1592104201266478e-13,1.6782279411013692e-10,0.0001325832930085135,2.1411364660422005e-05,2.2279372828074028e-07,3.9902911521523993e-17,0.00040874202892906473,3.0207643684965757e-15,0.00024934853221638905,8.2797298251004001e-12,2.3061178634806503e-14,9.3711955179982757e-13,8.9193715707151444e-15,1.6208488279237842e-11,2.808088403460313e-10,0.0074759695725687414,0.00062894366575265046,6.8969203576092585e-05,4.4826623997414502e-10,2.2873317396027851e-09,1.6177997151794982e-09,9.2398124837093461e-13,3.5061242313197847e-08,2.3339651998483365e-05,2.5535671861359407e-08,2.4604917532559412e-06,4.4212486189386631e-10,6.6506227329343264e-11,2.4600178491501352e-13,1.6327999951131866e-15,2.2520658436098032e-14
4.7161443192181684e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441040984103975,0.11073684194103135,0.022495801923787525,7.2126899868938659e-13,1.6876634579159673e-10,0.00013307784957919936,2.1526345735415822e-05,2.2394194930579849e-07,4.0248865406268964e-17,0.00040945026269868031,3.0474214458494106e-15,0.00024959970593841139,8.3240820575104714e-12,2.3261122477903848e-14,9.4318450540051702e-13,8.9858968722790603e-15,1.6287959580415479e-11,2.8283413862603075e-10,0.0074782544838970294,0.00062997427822226006,6.9037738460184545e-05,4.4945018660495578e-10,2.2912372288764818e-09,1.6205120857300459e-09,9.2589744613787097e-13,3.5155312180591222e-08,2.33788748951911e-05,2.5628042980038951e-08,2.4700927494113126e-06,4.4531783367044173e-10,6.6862907358670096e-11,2.4713890745287224e-13,1.6414043202152967e-15,2.2613565862862151e-14
4.724592032262019e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44410067789513408,0.11073370398342555,0.022495229099060959,7.2664508700657841e-13,1.6971312448505341e-10,0.00013357312638492182,2.1641662039414563e-05,2.2509389100902317e-07,4.0597042355392846e-17,0.00041015836100534946,3.074262724377251e-15,0.00024985040305933886,8.3685866589404662e-12,2.3462385914698285e-14,9.4927324524155034e-13,9.0527727707897768e-15,1.6367647301130513e-11,2.8487026280426955e-10,0.0074805273738754096,0.00063100450851294118,6.910618185181018e-05,4.506347277364019e-10,2.2951417606454594e-09,1.623223919857801e-09,9.278138684153312e-13,3.5249335823194328e-08,2.3418019972196059e-05,2.572050528053265e-08,2.4797085320011433e-06,4.4852789614492409e-10,6.7220625370613744e-11,2.4827836094712854e-13,1.6500329426565538e-15,2.2706680644151153e-14
4.73303974530587e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44409726987592224,0.11073057785670275,0.022494656297728715,7.3204938614052639e-13,1.7066313436805561e-10,0.00013406912256067283,2.1757313429714283e-05,2.2624955776886463e-07,4.0947451349457033e-17,0.00041086632364043305,3.1012891121700034e-15,0.00025010062449954226,8.4132438341822953e-12,2.3664974841326445e-14,9.5538578560599593e-13,9.1200002421481044e-15,1.6447551521159284e-11,2.8691724997042197e-10,0.007482788303732826,0.00063203435683460739,6.9174534195743926e-05,4.5181986488965143e-10,2.2990453338075255e-09,1.6259352166619357e-09,9.2973056956578834e-13,3.5343313028327963e-08,2.3457087322012074e-05,2.5813058406100629e-08,2.4893390822923773e-06,4.5175510795723543e-10,6.7579380919018112e-11,2.494201418448064e-13,1.6586858491848536e-15,2.2800003532062694e-14
4.7414874583497205e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44409387429111791,0.11072746350019609,0.022494083519757523,7.37481975252153e-13,1.7161637961624995e-10,0.00013456583724431623,2.1873299761682384e-05,2.2740895395494977e-07,4.1300101380475721e-17,0.00041157415039567215,3.128501519842399e-15,0.00025035037117767468,8.4580537876410089e-12,2.3868895166972704e-14,9.6152214055442757e-13,9.1875802615252169e-15,1.6527672319870947e-11,2.889751372636799e-10,0.0074850373343862877,0.00063306382339877528,6.9242795932683652e-05,4.5300559564073471e-10,2.3029479472625574e-09,1.6286459753490017e-09,9.3164750211267618e-13,3.5437243574722889e-08,2.3496077039016402e-05,2.5905702002612205e-08,2.4989843816222123e-06,4.5499952782576823e-10,6.7939173551781188e-11,2.5056424788445617e-13,1.6673630422909094e-15,2.289353561627956e-14
4.749090400089186e-08,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44409082884551349,0.11072467059298366,0.022493568039529798,7.4239555879765379e-13,1.7247707002855379e-10,0.00013501349407358279,2.1977973714502542e-05,2.2845560278625137e-07,4.1619409936089479e-17,0.00041221107812630106,3.1531524884022651e-15,0.00025057473802430708,8.4985135397581513e-12,2.4053566700664092e-14,9.6706523291981201e-13,9.2487045129067613e-15,1.6599966278756231e-11,2.9083658617165738e-10,0.00748705133825283,0.00063399001707995786,6.9304154387920809e-05,4.5407326014799953e-10,2.3064594779180138e-09,1.6310851975745492e-09,9.333729341007277e-13,3.5521740997953614e-08,2.3531101487741556e-05,2.5989158300630525e-08,2.5076777460783879e-06,4.5793426718938419e-10,6.8263873250008734e-11,2.5159592914319888e-13,1.6751932777469238e-15,2.2977892401758934e-14
