Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),COX(58)
8.270952510486267e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559663884,0.099999999997397809,0.099999999999620504,8.7796378044213906e-73,2.5009330450860017e-48,1.7935478217277837e-30,9.4862096495569132e-55,2.7651569767378099e-42,2.8336979504349165e-37,4.2803961324177197e-23,6.7445388731811755e-88,4.280392828514512e-23,1.6236724066130978e-56,2.1607592339944767e-53,1.425688700604623e-57,8.3327525764286002e-79,2.8337869372151267e-37,1.7219302828283843e-68,2.6021844683182469e-12,7.5901909159966576e-13,1.7201483212127372e-17,1.1334252848545221e-25,1.7201567549269201e-17,3.7513634631562163e-23,3.1394008315085012e-24,1.2457809541039259e-27,1.4740262818561694e-45,7.0389425346598859e-41,9.4417691230834813e-67,9.296938502551385e-51,6.6257711507548163e-67
1.6541912032351793e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559327759,0.099999999994795599,0.099999999999240988,3.2822751376616217e-70,2.0402577196426074e-47,1.3376752618461316e-29,1.1275101881238472e-52,2.2121180408219206e-41,1.133480652264264e-36,8.5608025147040693e-23,2.1582619989516344e-86,8.5607892991096149e-23,1.2989423717156501e-55,3.0853684489915004e-52,1.1405525260583329e-56,2.871319955915637e-77,1.1335444457933223e-36,2.7550978618321671e-67,5.2043711404135497e-12,1.5180388266008043e-12,3.4402899955081647e-17,4.0306447721696878e-25,3.4403248228934633e-17,1.391924917399207e-22,2.3405803414386144e-23,1.8604825081661649e-26,8.8100227996069077e-44,1.0523459971917286e-39,1.7643415734692431e-64,7.4372079669308767e-50,1.5746670080144853e-64
3.3083831076082844e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558655513,0.099999999989591193,0.09999999999848197,1.0339450624568757e-67,1.6783377559494209e-46,9.4185125643255251e-29,1.2753517394132514e-50,1.7696797425328496e-40,4.5339300618657e-36,1.7121635143111195e-22,6.906484452969388e-85,1.7121582280931253e-22,1.0391594700415933e-54,4.0523328989386175e-51,9.1244351055713211e-56,1.3788838482647049e-75,4.5343519853845942e-36,4.4081796820060507e-66,1.0408744478232397e-11,3.0360782965206913e-12,6.8805490289666977e-17,1.3147818191229647e-24,6.8806955100782154e-17,4.8553271090160038e-22,1.6466968968909675e-22,2.6277903145798277e-25,4.9822085063465934e-42,1.4880171807841684e-38,2.7775220768987429e-62,5.9492112936637357e-49,3.5630272840585808e-62
6.616766916354495e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557311016,0.09999999997918238,0.099999999996963934,2.6698712012147315e-65,1.3865178426125177e-45,6.066350758394183e-28,1.3242750385625449e-48,1.4157192401241274e-39,1.8135771221625477e-35,3.4243379854139147e-22,2.2101020807655902e-83,3.4243168407101823e-22,8.3133587554420227e-54,4.7472896556219652e-50,7.2995678587292124e-55,1.3831198899788947e-73,1.8138269959578659e-35,7.0531558147517772e-65,2.081749112838304e-11,6.0721572360315346e-12,1.3760969836733276e-16,3.8122455411026873e-24,1.3761596395624001e-16,1.5395227043681014e-21,1.0589148157254683e-21,3.4025955872652202e-24,2.5846672499352003e-40,1.9300689837963962e-37,3.5835717765179888e-60,4.7584785044419096e-48,7.4022946826430283e-60
1.3233534533846915e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362554622023,0.099999999958364755,0.099999999993927849,5.6347103909027938e-63,1.1414551917750157e-44,3.4790690080544221e-27,1.2278357398910077e-46,1.1325356874034055e-38,7.2543475375574128e-35,6.8487187084065642e-22,7.0725168040830515e-82,6.8486341309599023e-22,6.6508173253560844e-53,4.9043721788306417e-49,5.8396843005568546e-54,2.1521502999100134e-71,7.2556567854433635e-35,1.128526344723091e-63,4.1634984326736146e-11,1.2144315113739329e-11,2.7521422426698637e-16,9.7230578362478709e-24,2.7524116066838602e-16,4.3147528308358808e-21,6.0531440450084022e-21,3.9296286979984781e-23,1.1968254383270094e-38,2.2361302980191486e-36,3.7782426117792595e-58,3.8053576806065536e-47,1.3734227918439726e-57
2.6467069768831756e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549244036,0.09999999991672949,0.099999999987855692,9.9378402220316641e-61,9.3152432669673844e-44,1.7680360201451551e-26,1.0083921270018097e-44,9.0596485906264179e-38,2.9017699068459701e-34,1.3697607270352323e-21,2.2633199779904444e-80,1.3697268971551027e-21,5.3208613748515946e-52,4.5530237759918037e-48,4.6717948094243078e-53,3.4232744072591349e-69,2.9023866443515404e-34,1.805710314752356e-62,8.3269970315649649e-11,2.4288630863902254e-11,5.5040771592618445e-16,2.2294262805948175e-23,5.5052231155613019e-16,1.0666066688191238e-20,3.0559658298652886e-20,4.0170436340553582e-22,4.9077118940531857e-37,2.3002120178087329e-35,3.3286912104394926e-56,3.0420080332571359e-46,2.2574347635893415e-55
5.293414023880145e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362538488068,0.099999999833458961,0.099999999975711379,1.5244976774499248e-58,7.5385796206684272e-43,8.1411588207996444e-26,7.4518488212705339e-43,7.2466992983483092e-37,1.1607326047873716e-33,2.7395892800589638e-21,7.2433556690501341e-79,2.739453969335363e-21,4.2570206861705586e-51,3.9376175637161565e-47,3.7375113683896577e-52,5.0309533272032146e-67,1.1610025048573445e-33,2.8893543114740924e-61,1.6653994066230583e-10,4.8577262343220124e-11,1.1007324657442055e-15,4.7778367608973683e-23,1.1012116770997187e-15,2.3933103700269827e-20,1.3887047939301109e-19,3.6953789501447307e-21,1.8108693528236608e-35,2.1424166885911928e-34,2.5509819000343621e-54,2.4299692886780871e-45,3.3385128767209687e-53
7.940121070877114e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362527732099,0.099999999750188459,0.099999999963567066,1.0343998985743034e-57,2.1757283928308286e-42,1.8073353240777107e-25,4.2742561429199183e-42,2.1511917962878217e-36,2.4665929560017627e-33,4.1094686679681139e-21,3.4654612758050719e-78,4.1091811456040771e-21,1.2638581645713138e-50,1.194963674183172e-46,1.068707052713495e-51,3.3674732929089148e-66,2.4671823153308648e-33,1.0931405588327235e-60,2.4980990937779123e-10,7.2865893801530314e-11,1.650994989121763e-15,7.3301415688692005e-23,1.6520299430985091e-15,3.7298557072715997e-20,3.0555360234735037e-19,1.0942336394989411e-20,8.6936180794749525e-35,6.3879298460615411e-34,1.4854737100422568e-53,6.9422292090462538e-45,2.2357845542156199e-52
1.0586828117874083e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362516976131,0.099999999666917944,0.099999999951422752,4.7588098212404733e-57,4.6228243562652264e-42,3.156891500024208e-25,1.587073262865275e-41,4.6869359757040165e-36,4.2077741961280891e-33,5.4793988850145936e-21,1.1470030409050097e-77,5.4789084259865734e-21,2.7540003791673182e-50,2.6354003770788783e-46,2.2542364008328245e-51,1.4000326186892975e-65,4.2087942664532628e-33,2.8455375355337333e-60,3.330798764621059e-10,9.7154525238832844e-11,2.2011952931166841e-15,9.8828905105839507e-23,2.2029785317597199e-15,5.0680142346053318e-20,5.2933016000568262e-19,2.3496669823490865e-20,2.8567101741399144e-34,1.3803611596017535e-33,6.2730451894750434e-53,1.4631775784719322e-44,9.2977447192960009e-52
1.588024221186802e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362495464189,0.099999999500376913,0.099999999927134126,5.665505676112136e-56,1.2786339342993028e-41,6.6923809387805567e-25,1.0566084246085095e-40,1.3602341135445245e-35,8.7118582466589373e-33,8.2193785941522886e-21,6.6932392128144928e-77,8.2183632311809128e-21,7.9946777290108497e-50,7.7448724063552187e-46,6.1571265752893176e-51,1.0921196690628142e-64,8.7140008435628346e-33,1.0443419193229052e-59,4.9961980680247726e-10,1.4573178806413426e-10,3.3014498979164445e-15,1.4988495678825123e-22,3.305185638370833e-15,7.7445868758465362e-20,1.1068129129339948e-18,6.5139993433300599e-20,1.6065671186680872e-33,3.8671993977201179e-33,6.8057014701976002e-52,3.9912167840859383e-44,7.2547431592618503e-51
