Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57)
1.7933761486490012e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32857606980189502,0.11291603124133613,0.021213259450479759,1.8993819209030021e-13,1.3459470481536471e-12,2.2980015209140069e-05,3.5766607888208571e-06,2.0276991224214364e-17,7.9924449032726383e-14,2.3629400979864134e-09,4.494632603187733e-27,3.0316859862599134e-08,5.2977642397584145e-19,1.1814378653627995e-20,4.2404178438189849e-17,4.2678204554086913e-20,6.8033782562125976e-14,1.7910829324510763e-20,0.0057352881888613049,0.0032129448848076114,3.2967478905377832e-10,6.1280211669996579e-11,2.785100732337677e-05,6.8775147024003101e-14,5.35420923135184e-08,1.4918827534569255e-05,9.4873434256260677e-08,3.416800633939403e-07,3.9438181353527326e-17,6.862917857455017e-14,2.8956667459588043e-12
1.8030399905663256e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3285596696745407,0.11291612214779552,0.021205010564220774,1.946625920596273e-13,1.3727558840545491e-12,2.3300939582397052e-05,3.6366713561844746e-06,2.0650553512740828e-17,8.1322433405858382e-14,2.3916214841548505e-09,4.7156801352255981e-27,3.0531727525384912e-08,5.4593268483068271e-19,1.2054886426540332e-20,4.3434318503687941e-17,4.3654155528785462e-20,6.9146798458760049e-14,1.8559392753343608e-20,0.0057350067140867472,0.0032293813329923879,3.3130305728945907e-10,6.1839508940801214e-11,2.7960814788404833e-05,6.9654572805357232e-14,5.4219005993753442e-08,1.5047364884281583e-05,9.618655235050172e-08,3.4649692291397655e-07,4.0190586945438437e-17,6.9856871961800313e-14,2.9441053939492839e-12
1.81270383248365e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32854327819573509,0.11291621211891874,0.021196765708335608,1.9947675059408811e-13,1.399915422601717e-12,2.3623844523049326e-05,3.6972993161748041e-06,2.1029640952814218e-17,8.2736771547154924e-14,2.4204492716803824e-09,4.9462025907806085e-27,3.0746135123518443e-08,5.6247811641860283e-19,1.2298810419075676e-20,4.4482873320022555e-17,4.4646429106236323e-20,7.0270941658768579e-14,1.9227673117220946e-20,0.0057347252453887661,0.0032458090928618073,3.3293046211647874e-10,6.2400480417954878e-11,2.8070314442248664e-05,7.0541688078515674e-14,5.4900097294779314e-08,1.5176199604822044e-05,9.7509842802650022e-08,3.5134356151053563e-07,4.095281461573464e-17,7.1098814487768305e-14,2.9930390846170274e-12
1.8223676744009746e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32852689535268947,0.11291630114939502,0.021188524880142747,2.0438183302723673e-13,1.4274280279832919e-12,2.394872607528433e-05,3.7585464272749313e-06,2.1414317322242926e-17,8.4167536169848276e-14,2.4494224829723216e-09,5.1865421270751943e-27,3.0960082360812762e-08,5.7941927042979022e-19,1.2546179297089036e-20,4.5550052694301925e-17,4.5655192590696758e-20,7.1406225930389229e-14,1.9916143664735977e-20,0.0057344437886633392,0.0032622281680115125,3.3455700382541788e-10,6.2963126784601662e-11,2.8179511991323201e-05,7.1436527120319549e-14,5.5585366760785123e-08,1.5305329344013521e-05,9.8843314488643998e-08,3.5621991263079925e-07,4.1724929977320153e-17,7.2355084401332931e-14,3.0424691704999008e-12
1.832031516318299e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32851052113312601,0.11291638923430203,0.021180288076963451,2.0937901239394816e-13,1.4552960707328006e-12,2.4275580363256223e-05,3.8204144264956882e-06,2.1804646840578011e-17,8.56147993219873e-14,2.4785401434691192e-09,5.4370507536269289e-27,3.1173569071017873e-08,5.9676275141273217e-19,1.2797021827418828e-20,4.6636067392854253e-17,4.6680613759035989e-20,7.2552664289370138e-14,2.0625285577113189e-20,0.0057341623494178351,0.0032786385620532927,3.3618268270945477e-10,6.3527448630408717e-11,2.8288412980700687e-05,7.2339124133022905e-14,5.6274814872737604e-08,1.5434751771715126e-05,1.0018697609355596e-07,3.6112591101451062e-07,4.2506998583188715e-17,7.3625759813743356e-14,3.092396986546022e-12
1.8416953582356235e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32849415552524752,0.1129164763690801,0.021172055296121709,2.1446946942250669e-13,1.4835219276826362e-12,2.4604403588874404e-05,3.8829050295509365e-06,2.2200694167229464e-17,8.7078632389245731e-14,2.5078012817661554e-09,5.6980905356326788e-27,3.1386595212445566e-08,6.1451521645672186e-19,1.305136687754697e-20,4.7741129135111214e-17,4.7722860854941949e-20,7.371026900628094e-14,2.1355588031759238e-20,0.0057338809327964271,0.0032950402786149674,3.378074990643036e-10,6.409344645230477e-11,2.8397022798615066e-05,7.3249513240728702e-14,5.6968442047881674e-08,1.5564464579646043e-05,1.0154083611442598e-07,3.6606149265922091e-07,4.3299085925536623e-17,7.4910918695883353e-14,3.1428238502602621e-12
1.851359200152948e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32847779851771081,0.11291656254950888,0.021163826534944197,2.1965439252659093e-13,1.5121079819160415e-12,2.4935192029626634e-05,3.9460199310330881e-06,2.260252439955367e-17,8.8559106097798217e-14,2.5372049297373492e-09,5.9700337995723668e-27,3.1599160862769399e-08,6.3268337487094299e-19,1.3309243415251309e-20,4.8865450587464715e-17,4.8782102583175499e-20,7.4879051613843738e-14,2.2107548265429178e-20,0.0057335995436038449,0.0033114333213402529,3.3943145318815657e-10,6.4661120655375858e-11,2.850534668089569e-05,7.4167728486105613e-14,5.7666248639398108e-08,1.5694465481208987e-05,1.0290490286305391e-07,3.7102659478601332e-07,4.4101257434895685e-17,7.6210638875725052e-14,3.193751061850893e-12
1.8610230420702724e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32846145009959909,0.11291664777168485,0.02115560179076028,2.2493497779715784e-13,1.5410566227177832e-12,2.5267942036438603e-05,4.0097608045888114e-06,2.3010203070913044e-17,9.0056290517261367e-14,2.5667501226508316e-09,6.2532633410248422e-27,3.1811266213995282e-08,6.5127398786027513e-19,1.3570680508251039e-20,5.0009245357100283e-17,4.985850810387193e-20,7.6059022914280581e-14,2.2881671637003833e-20,0.0057333181863275908,0.0033278176938886391,3.4105454538162707e-10,6.5230471553905068e-11,2.8613389715326584e-05,7.5093803827377198e-14,5.8368234936208542e-08,1.5824752211313382e-05,1.0427918446875036e-07,3.7602115580573978e-07,4.4913578479288811e-17,7.7524998035969978e-14,3.2451799043763207e-12
1.8706868839875968e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3284451102603983,0.11291673203200062,0.021147381060901981,2.3031242899422803e-13,1.5703702455236815e-12,2.5602650031571379e-05,4.0741293030948734e-06,2.3423796148708855e-17,9.157025506369574e-14,2.5964358992788384e-09,6.548172634688393e-27,3.2022911567599507e-08,6.7029386819794305e-19,1.3835707323845843e-20,5.1172727985809724e-17,5.095224702689008e-20,7.7250192986674053e-14,2.3678471689874154e-20,0.0057330368651586855,0.0033441933999352556,3.426767759476952e-10,6.5801499372541857e-11,2.8721156845928496e-05,7.6027773135570337e-14,5.9074401162918438e-08,1.5955322526198171e-05,1.0566368888104555e-07,3.8104511528579448e-07,4.5736114363404301e-17,7.8854073711867758e-14,3.2971116438918972e-12
1.8803507259049213e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32842877898997336,0.11291681532712562,0.021139164342703947,2.3578795753857547e-13,1.6000512518691587e-12,2.59393125065581e-05,4.1391270588340272e-06,2.3843370032388145e-17,9.3101068502665879e-14,2.626261302002048e-09,6.855166046596366e-27,3.2234097329829452e-08,6.897498798951499e-19,1.4104353128549277e-20,5.2356113943786392e-17,5.2063489406209044e-20,7.8452571194337973e-14,2.4498470213929015e-20,0.0057327555840110773,0.0033605604431707408,3.4429814519165661e-10,6.6374204247588763e-11,2.8828652877160767e-05,7.696967019201572e-14,5.9784747479889108e-08,1.6086174203254491e-05,1.0705842387235815e-07,3.8609841391745591e-07,4.6568930327790225e-17,8.0197943289209105e-14,3.3495475295967143e-12
