Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),C2H4(47),COX(50),CHOX(53)
1.1738430235117454e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,0.0,3.2031957417547827e-41,6.8629648793682587e-24,5.2614743015812868e-51,6.7936010336078459e-36,1.5597336815623581e-82,1.0360098538584737e-13,6.1779911837165946e-70,1.0360098532120924e-13,9.7373835641970073e-48,6.7426307498863039e-46,1.1032089752814674e-68,1.2791674270011651e-69,4.9279242718749717e-34,4.3923356076743535e-55,5.6579325933314769e-12,1.6752132814827651e-13,6.7064436669280379e-16,2.0816865782828955e-25,7.7082103275465448e-25,6.7064370935035984e-16,3.0255051195986015e-22,2.5536355492058287e-25,1.3539467578056754e-28,3.008912969110796e-47,5.2746536832288905e-34,8.1551591662468889e-36,6.895416329863784e-62,1.9428512610366305e-62,3.2783739815392541e-66
2.347686544563232e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,0.0,5.1250436609880235e-40,2.745187231290947e-23,6.6991084792023609e-49,5.4348833895756237e-35,7.9435052339837628e-80,2.0720201476622317e-13,3.9539170746973186e-68,2.0720201450767061e-13,1.5579820909421261e-46,1.0788093223856686e-44,2.8092613599619486e-66,3.2573287169320837e-67,3.9422994550999258e-33,1.4055478502854555e-53,1.1315867579434906e-11,3.3504272729438673e-13,1.3412896508728044e-15,8.3266552170329051e-25,3.083281648906098e-24,1.3412870204837483e-15,1.2091815174263793e-21,2.040227574564652e-24,2.1554086895190231e-27,1.9155782031743104e-45,4.2197250804883024e-33,6.5240355972516262e-35,4.4130674946988921e-60,4.9473569309908078e-60,8.3479131404656441e-64
4.695373586666205e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,0.0,8.1998424940895304e-39,1.0980753917922994e-22,8.533823629662751e-47,4.3479075869184664e-34,4.0476035024791527e-77,4.1440407377503882e-13,2.5305075448149838e-66,4.144040727408289e-13,2.4927716705768834e-45,1.7260563349285436e-43,7.1572839400231553e-64,8.2988394514821344e-65,3.1537738717162826e-32,4.4977523445811986e-52,2.2631737535521231e-11,6.7008552556563429e-13,2.6825821250405466e-15,3.330587624083423e-24,1.2333100857904432e-23,2.68257159533485e-15,4.8285787698741403e-21,1.6279041699769468e-23,3.433399159038468e-26,1.2201079638165599e-43,3.3757815985572888e-32,5.2190788020838591e-34,2.824362175565672e-58,1.2604569211836641e-57,2.1265924516650986e-61
9.390747670872151e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,0.0,1.3119016567374169e-37,4.3923045018296423e-22,1.0850600379410771e-44,3.4783261799304298e-33,2.0586084609989809e-74,8.288081927849213e-13,1.6195247045295277e-64,8.2880818864808715e-13,3.9884341282853028e-44,2.7615640271030242e-42,1.8200872395714348e-61,2.1103800315327184e-62,2.5229132942582633e-31,1.4392796624324841e-50,4.526347738321176e-11,1.3401711220242385e-12,5.365174739476169e-15,1.3321751655980653e-23,4.9332185769444029e-23,5.3651325553995999e-15,1.9249438485259112e-20,1.2955178059030028e-22,5.460477670205373e-25,7.7566091049974478e-42,2.700626975471492e-31,4.1750224153089189e-33,1.8075897312460962e-56,3.2053044793393309e-55,5.4065399297474658e-59
1.8781495839284045e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,0.0,2.0988083132565432e-36,1.7569239196446875e-21,1.3725031742761521e-42,2.7826606045740293e-32,1.0416178949554342e-71,1.6576164347736708e-12,1.0364953580428536e-62,1.6576164182263708e-12,6.3814915945369101e-43,4.4181002278741062e-41,4.6046007274785826e-59,5.3389903789077386e-60,2.0181610904388173e-30,4.605687012106043e-49,9.0526956820664352e-11,2.6803423146058851e-12,1.0730390973350418e-14,5.3282210154554724e-23,1.9732697827904186e-22,1.0730221717181431e-14,7.6483582998993522e-20,1.0256500196222671e-21,8.6448465079789907e-24,4.9055037514841284e-40,2.1605039729692727e-30,3.3396325173990512e-32,1.156854548440117e-54,8.1089330337765444e-53,1.3670863798413533e-56
3.756299217610783e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,0.0,3.3573433696646766e-35,7.0277119072666953e-21,1.7171423929216736e-40,2.2261277342770565e-31,5.2130679286473822e-69,3.3152329346269205e-12,6.633563557401235e-61,3.3152328684380059e-12,1.0210375902714541e-41,7.0676730665491011e-40,1.1522229197211075e-56,1.3359834130826857e-57,1.6142575544751862e-29,1.4738146317066049e-47,1.8105391466385567e-10,5.3606846984269553e-12,2.1460950165298981e-14,2.1309046585660289e-22,7.8929374803577644e-22,2.1460269008971383e-14,3.0189694358661391e-19,8.0368711177257054e-21,1.355391803516325e-22,3.0683745753937773e-38,1.7284068188156023e-29,2.6710893303676209e-31,7.4038314796737275e-53,2.0290724297494961e-50,3.4173692689027879e-54
7.51259848497554e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642708485,0.11866996566118411,0.022821567687693601,0.0,5.3693506821514665e-34,2.8110971959065117e-20,2.1018590643612933e-38,1.7809009058916789e-30,2.552791670193134e-66,6.6304659978349176e-12,4.2454717572483818e-59,6.6304657330815526e-12,1.6336566557999248e-40,1.1304159030936565e-38,2.8210281732490181e-54,3.2708963595982027e-55,1.2909721023011359e-28,4.7161732220134047e-46,3.6210782622338279e-10,1.072136946070041e-11,4.2922596724492917e-14,8.5205499501403031e-22,3.1570615831132373e-21,4.2919839478391562e-14,1.176455004232131e-18,6.1720769581393022e-20,2.0843444963092911e-21,1.8775793682039194e-36,1.382731024287582e-28,2.1358852272740075e-30,4.7384037337347488e-51,4.9676053098168443e-48,8.349606573640257e-52
1.1268897752340297e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727624062733,0.11866996547679352,0.022821567685013259,0.0,1.9758767995080283e-33,5.9735992380179865e-20,1.3555122877538366e-37,5.2870473787713602e-30,2.1462967243919241e-65,9.9456991245432976e-12,2.4104514464885965e-58,9.9456985619453769e-12,6.1804487256136898e-40,4.3090071440214438e-38,2.0939912243164189e-53,2.4279111698844438e-54,3.6906609392714801e-28,2.2000781902457931e-45,5.4316173365605463e-10,1.6082054217605177e-11,6.4384792313692238e-14,1.8101664164454749e-21,6.7085892749470371e-21,6.4378885846586078e-14,2.4556007298502533e-18,1.7239899635916233e-19,7.5276076756335509e-21,1.0315411985272734e-35,3.9537554040728055e-28,6.1056776838437532e-30,2.6497476605949529e-50,3.6873027550935873e-47,6.2251095873183311e-51
1.5025197019705054e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727605416982,0.11866996529240292,0.022821567682332917,0.0,5.0103835740150577e-33,1.0190284593226889e-19,5.6114408848378637e-37,1.1520192895784176e-29,1.0811042577186337e-64,1.3260932314750176e-11,9.270100427867114e-58,1.326093135502948e-11,1.6087657670617695e-39,1.1591614841032541e-37,9.5947499562578159e-53,1.1124723392171533e-53,7.7833102393770866e-28,6.6992381275749238e-45,7.242156369618712e-10,2.1442738969141656e-11,8.5847557564112704e-14,3.0872237320308309e-21,1.1443802389478783e-20,8.5837408126490454e-14,4.1210548486020292e-18,3.5603601573693172e-19,1.8768779688670504e-20,3.8331132185383731e-35,8.3396318358766981e-28,1.2875545822057009e-29,9.2753778454341771e-50,1.6895131860188005e-46,3.1483825606302194e-50
2.2537795554434568e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727568125478,0.11866996492362174,0.022821567676972233,0.0,1.7516816746872525e-32,2.1097780292724444e-19,4.5867680355894219e-36,3.3439535568867819e-29,1.1648975966038837e-63,1.9891398844185802e-11,7.0552627694339107e-57,1.9891396857224898e-11,5.9039332052577563e-39,4.6865801718832535e-37,9.0326724381351492e-52,1.047276007906461e-52,2.1252439157593306e-27,3.0521797740009356e-44,1.0863234338880279e-09,3.2164108459616498e-11,1.2877448746120698e-13,6.3892621190839949e-21,2.3692034955650914e-20,1.2875322272329338e-13,8.3051058536556856e-18,9.3907441116154786e-19,6.3788071171817041e-20,2.698656870665493e-34,2.2778194380387364e-27,3.5153029341997972e-29,5.1621709663302315e-49,1.5904781035710834e-45,4.6694629273890619e-49
