Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CHOX(50),H2OX(23),COX(47),H2X(46),CO2X(24),C2H6X(49),CH3OO(75),CH4OX(57)
1.0509281659825348e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039611914,0.099999999997300346,0.099999999999409422,1.4153287114218805e-80,6.7002597498867778e-46,2.4436353990457916e-41,7.0004031028167992e-61,2.4508378446630182e-41,8.4109187357537377e-107,5.2541777204237923e-31,9.4114156044767332e-109,3.4725345154882772e-31,8.8036642002063029e-70,2.4643245777659852e-52,4.8351085975441336e-93,1.3325538045194216e-94,4.484804675296861e-46,1.0171742750943995e-83,2.6996654921108475e-12,1.1811793175657941e-12,1.7528090164169025e-18,3.5164280486423463e-26,1.7528089887520243e-18,3.7333023799682882e-27,1.0865927568103671e-29,5.4580867526837975e-33,1.9143739991765219e-50,1.1475387584765815e-72,6.2536624827609394e-37,7.1793302343266078e-72,9.9288012630174662e-52,1.3916561816568018e-73,2.5775035268643562e-52,8.2329086773645208e-42,2.4296501299159051e-63
2.1018572228486697e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503922383,0.099999999994600672,0.099999999998818825,7.2242677635310327e-78,1.0719522925870796e-44,1.9463597591702738e-40,8.9330704599229643e-59,1.9606722802546648e-40,8.5858814151497939e-104,1.40716504387521e-30,7.5929721267687489e-107,6.9450729790326477e-31,1.4085878101151471e-68,3.9425687359026025e-51,1.3541351409695307e-90,3.4009095439695443e-92,3.587534747448279e-45,3.2549613477993159e-82,5.3993332699579505e-12,2.3623596363578088e-12,3.5056195813990029e-18,1.4064412066528898e-25,3.5056194707958275e-18,1.488996877713801e-26,8.664897790934946e-29,8.7058681158943997e-32,1.2214318695138638e-48,2.9285188496081584e-70,5.0024991176697276e-36,1.8322901440872958e-69,1.5815896102276602e-50,3.5517072949010711e-71,4.12401013710262e-51,4.2990488113187694e-41,7.7742005110109164e-62
4.203715336580939e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038447659,0.099999999989201338,0.099999999997637645,3.676246395121237e-75,1.7148360390714469e-43,1.5477140272690123e-39,1.1364600765414656e-56,1.5685387045274963e-39,8.7372616706022504e-101,4.2396472692134128e-30,6.8686686211198797e-105,1.3890152919171532e-30,2.2537418358241254e-67,6.3069776409382137e-50,4.0566949867241317e-88,8.6533394972720605e-90,2.8695303414240538e-44,1.0415882677503776e-80,1.0798668817250717e-11,4.7247202737236105e-12,7.0112408994312526e-18,5.6247196308984756e-25,7.0112404574673575e-18,5.9216684018352795e-26,6.8877177172290168e-28,1.384343133462421e-30,7.7693055235504727e-47,7.4503572130967649e-68,4.0013056263214371e-35,4.6621137481178062e-67,2.5155638006108189e-49,9.036813976757113e-69,6.5984201126500744e-50,2.5243269587462598e-40,2.4873047580901012e-60
8.407431564045479e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036895318,0.099999999978402657,0.099999999995275285,1.8594753505537817e-72,2.7428160712506448e-42,1.2250666045480196e-38,1.4370947194143134e-54,1.2548314413734945e-38,8.836706924674792e-98,1.4180562904469235e-29,6.9676795534073841e-103,2.7780324851650035e-30,3.6059883583860498e-66,1.0087534016540118e-48,1.3350354069174211e-85,2.1885448229025531e-87,2.2948274672733019e-43,3.3330837929189304e-79,2.1597339878230497e-11,9.449441547582304e-12,1.4022484287767949e-17,2.249051058887337e-24,1.4022482523467466e-17,2.34164958961631e-25,5.4405756142873231e-27,2.1878720056825975e-29,4.9120477072630172e-45,1.8837772117350063e-65,3.1999334118788111e-34,1.179110248990632e-64,3.9834833999964499e-48,2.2854197522405245e-66,1.0557476248431942e-48,1.6534966114863696e-39,7.9565574604837992e-59
1.6814864018974558e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575033790637,0.099999999956805294,0.099999999990550564,9.294537457406531e-70,4.3855582392685383e-41,9.6037271626328427e-38,1.7958642010722291e-52,1.0038655451945003e-37,8.8299142248566675e-95,5.1166202576412421e-29,1.0653308068969996e-100,5.5560716925411257e-30,5.7695836282088809e-65,1.6128443401586485e-47,4.8804538047682025e-83,5.4700915899507221e-85,1.8345878586931069e-42,1.0665872308986241e-77,4.3194681865767046e-11,1.8898884091808071e-11,2.8044974073530038e-17,8.989514714354696e-24,2.8044967044209722e-17,9.1572241872501447e-25,4.2445767142940787e-26,3.4166089457099826e-28,3.0688766918546839e-43,4.7057659943573473e-63,2.5581700664776344e-33,2.9470871513883024e-62,6.2495253573639922e-47,5.7116696060231331e-64,1.6891968303444635e-47,1.1764113602735562e-38,2.5442958242703249e-57
3.362972892883271e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575027581274,0.099999999913610582,0.099999999981101123,4.5410134013899442e-67,7.0074789006998519e-40,7.3889660653559833e-37,2.1936108533517973e-50,8.0309291458608932e-37,8.6200396550380986e-92,1.9355274483093444e-28,1.2918065532860136e-98,1.1112169390816194e-29,9.2313391863672188e-64,2.576842380857747e-46,1.9454873752189588e-80,1.336451114727236e-82,1.4656356017072944e-41,3.4130811080078855e-76,8.6389365303148085e-11,3.779776916629312e-11,5.6089965681408371e-17,3.5904649701637513e-23,5.6089937778791297e-17,3.5054849390934369e-24,3.2334182849311633e-25,5.2137110395189948e-27,1.8739359121279449e-41,1.1484519757574115e-60,2.0436988291597766e-32,7.2002763645927162e-60,9.628570625164973e-46,1.3952048716002147e-61,2.7027164094754874e-46,8.8257485077620328e-38,8.130231600963958e-56
6.725945874854902e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575015162549,0.099999999827221159,0.099999999962202241,2.1264019657272199e-64,1.1181958731676241e-38,5.4927025134786082e-36,2.5682232531876022e-48,6.4247503758879135e-36,8.0580354970429136e-89,7.5198711542177185e-28,1.6057229814206859e-96,2.2224441921468061e-29,1.4770158450862247e-62,4.1111284092146024e-45,8.0727969337883876e-78,3.1299855618507182e-80,1.1692659734259361e-40,1.0921871026924219e-74,1.7277873002714205e-10,7.5595539259397655e-11,1.1217999704257657e-16,1.4319308954009363e-22,1.1217988703116872e-16,1.2903775438046504e-23,2.3561758101619963e-24,7.6218484796853691e-26,1.0965858681083907e-39,2.6838175047754058e-58,1.6304376163749648e-31,1.6862788261708663e-57,1.4348813706056563e-44,3.2663442133885527e-59,4.3243505645349114e-45,6.826384100139308e-37,2.5943340453997356e-54
1.0088918856826534e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575002743825,0.099999999740831735,0.099999999943303358,1.7785847907496888e-63,4.1104134968575193e-38,1.5109246554845734e-35,1.6358844789648033e-47,1.9073489423405248e-35,7.5466765329841632e-88,1.5840830065336266e-27,8.9576679020014702e-96,3.333679158623338e-29,5.5878537844669423e-62,1.5653271080452216e-44,6.6450649904568474e-77,2.2982138720870679e-79,3.3380602690907926e-40,5.0950309942689172e-74,2.591680926003679e-10,1.1339330929663658e-10,1.6827007654915103e-16,3.0366248468657501e-22,1.6826984499573004e-16,2.5929429022563892e-23,6.3911240368603278e-24,2.6881884769145978e-25,5.9390790773816253e-39,1.9797188454767118e-57,4.6546286657375219e-31,1.238152628334213e-56,5.1170706798503047e-44,2.4105792880010587e-58,1.6359904301993378e-44,1.9347193341209936e-36,1.2162793826010925e-53
1.3451891838798166e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574990325101,0.099999999654442312,0.099999999924404476,9.6119341757950265e-63,1.041280577578458e-37,3.0806370139221899e-35,6.6857098729824831e-47,4.1560156551235613e-35,4.8309317739355104e-87,2.6898406526056999e-27,4.5991661868424395e-95,4.4449218385125053e-29,1.4545159106336606e-61,4.2057355098093329e-44,3.524382574977223e-76,1.0411747561704684e-78,7.0308016463226198e-40,1.5514416240649672e-73,3.4555745302282573e-10,1.5119107927801045e-10,2.2436020420112685e-16,5.1703705814435969e-22,2.2435981253019562e-16,4.2073948919460476e-23,1.2863242618076464e-23,6.5646039249812665e-25,2.1747614701869545e-38,9.8999292511314551e-57,9.8038284626584111e-31,5.6092019170458957e-56,1.2624716997465639e-43,1.2058478859040088e-57,4.2584758513924024e-44,4.0608062596897286e-36,3.7871420992694737e-53
2.017783780274143e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574965487652,0.099999999481663479,0.099999999886606711,1.4993932558431153e-61,3.6343005826904818e-37,7.9779753462823518e-35,5.3099112300554801e-46,1.2063647498435716e-34,1.3263511756247846e-85,5.5436240560800213e-27,6.0566992885848811e-94,6.6674253012024688e-29,5.3378738027288688e-61,1.6959184836576113e-43,5.2768809467058626e-75,9.5533047370865833e-78,1.915734775366391e-39,7.06842209141615e-73,5.1833616882002064e-10,2.2678661910964764e-10,3.3654057249937176e-16,1.067101549587236e-21,3.365397724830271e-16,8.0376556743078404e-23,3.2565792991092923e-23,2.1573051302051044e-24,1.4823514935303538e-37,1.4253125231764718e-55,2.6713219158254235e-30,5.1462191421572972e-55,4.2238534302331906e-43,1.7367191335356717e-56,1.5628021250934329e-43,1.1035209458548595e-35,1.8612398900443961e-52
