Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24)
8.016400458666333e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559674226,0.099999999997477898,0.099999999999632189,1.3814272810927395e-70,4.3476694318573353e-42,4.0924080159992462e-27,3.7098806096724889e-55,8.0783531631188919e-45,2.6619559201699468e-37,4.1486552254024789e-23,5.7685926395510553e-88,4.1486550557184829e-23,1.4783207171672461e-56,1.1907706733900102e-49,1.2980633664235768e-57,3.7853159609700165e-81,1.1553689433612364e-36,1.519532081897657e-68,2.5220979976823005e-12,7.3565904124404378e-13,1.6671444760041412e-17,1.213860047185382e-25,1.6673199072433539e-17,2.6818157197298278e-22,4.0580787366651269e-22,1.6379770187475065e-25,2.219209976095403e-36,1.8320438437902411e-43,1.5321126613177746e-64
1.6032807712925297e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559348448,0.099999999994955777,0.099999999999264358,4.4553030436501653e-68,6.9562530200005153e-41,2.0572626069443258e-26,2.952240478285869e-53,6.4622012224604089e-44,1.0647830837615869e-36,8.2973143197320595e-23,1.8459525472423748e-86,8.2973136410252594e-23,1.1826578406907353e-55,1.9051686327211273e-48,1.0384514986569303e-56,6.0233980027081024e-79,8.1781659882796815e-36,2.4312541008853699e-67,5.0441981313801802e-12,1.4713187060885739e-12,3.3341555680172161e-17,4.8554365603346893e-25,3.3348990669782548e-17,6.5569261736800706e-22,2.0391835007915971e-21,1.6451259054589658e-24,1.7753635282271832e-35,7.3788782780932847e-42,2.4698767920750038e-62
3.2065622221443226e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558696891,0.099999999989911548,0.099999999998528696,1.3123707156157377e-65,1.1129938005772998e-39,9.3997616926529137e-26,2.1718358178428007e-51,5.1689833325092155e-43,4.2591339987411151e-36,1.6594633564446453e-22,5.9070537916526763e-85,1.6594630849812708e-22,9.4612689609610355e-55,3.0480584169570333e-47,8.3076156342799149e-56,8.8668476491183376e-77,6.1166071419873369e-35,3.8900092418748368e-66,1.0088398392790349e-11,2.942638035699818e-12,6.667773416187618e-17,1.942169869235024e-24,6.6708642481439176e-17,1.460667097056694e-21,9.3095802004903897e-21,1.5093629498747567e-23,1.4202821181650959e-34,2.7145315587361782e-40,3.636607104267287e-60
6.413125123847907e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557393772,0.099999999979823076,0.099999999997057373,3.6294218039724781e-63,1.7807679952767432e-38,4.0376755592932577e-25,1.5017150658050753e-49,4.133939795344916e-42,1.7036541180387611e-35,3.3189276277059996e-22,1.8902589062204799e-83,3.3189265420232182e-22,7.5690195306122413e-54,4.8760050906197777e-46,6.6460946420061898e-55,1.2267327944969575e-74,4.7228977426434577e-34,6.2240184176254188e-65,2.0176798891668316e-11,5.8852766946110418e-12,1.3333392161417746e-16,7.7686377337083145e-24,1.3346036815873109e-16,3.0811768084371955e-21,3.9924093763205709e-20,1.3012133101344397e-22,1.1362111355818397e-33,9.3777321003125792e-39,5.0274869550578695e-58
1.2826250927255076e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436255478754,0.099999999959646146,0.099999999994114741,9.656274268062598e-61,2.8491575180653305e-37,1.6750916387269894e-24,9.9898948300005099e-48,3.3051568695019767e-41,6.8146189949933436e-35,6.6378578586836865e-22,6.0488355462380961e-82,6.6378535173000257e-22,6.05522035610598e-53,7.7990749587076983e-45,5.3168776494790939e-54,1.6325950452946881e-72,3.7101347816076059e-33,9.958437126544515e-64,4.0353599793654793e-11,1.1770554011188432e-11,2.665816498440408e-16,3.1074209585885156e-23,2.6709385415433698e-16,6.3227153266337716e-21,1.6509091776917049e-19,1.0801374766789001e-21,9.0894536199375679e-33,3.1174272034489133e-37,6.6869935656207792e-56
2.565250253406942e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549575071,0.099999999919292273,0.099999999988229463,2.5094557165525163e-58,4.5584235033618956e-36,6.8224315118832499e-24,6.4910852123840366e-46,2.6409371200089101e-40,2.7258492900916464e-34,1.3275725067907034e-21,1.9356313467068002e-80,1.3275707713130738e-21,4.8441829518390647e-52,1.247044892118139e-43,4.2535046236819055e-53,2.1219908168018262e-70,2.940789326110309e-32,1.5933520726738417e-62,8.0707201214549873e-11,2.3541108639362993e-11,5.3281877031924242e-16,1.2429409282543276e-22,5.34883374786729e-16,1.279971219177913e-20,6.6802985271957204e-19,8.7633554443830001e-21,7.2711851630582046e-32,1.0124315628859456e-35,8.688241918942978e-54
5.13050057476981e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539150132,0.099999999838584541,0.099999999976458906,6.4118550463157056e-56,7.2927460554264651e-35,2.7515706242501087e-23,4.1467141634161257e-44,2.1076610703172975e-39,1.0903410027579969e-33,2.6551486423111568e-21,6.1940448411600172e-79,2.6551417089980163e-21,3.8753566521936405e-51,1.9926934517367939e-42,3.4028074633378941e-52,2.7115528900811182e-68,2.3416318564941595e-31,2.5493698760807564e-61,1.6141440252402857e-10,4.7082217875791226e-11,1.0642616691614546e-15,4.9715437897996988e-22,1.0725712676260199e-15,2.5728625619085705e-20,2.6596679448929987e-18,6.9922389280016046e-20,5.816343423724799e-31,3.2330049831714488e-34,1.1098834424503366e-51
7.695750896132677e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362528725194,0.099999999757876809,0.099999999964688349,4.8594215655826128e-55,2.6840967255554177e-34,5.8587435157456668e-23,2.3186654513082552e-43,6.2485437477356806e-39,2.3169765000486648e-33,3.9827274662660283e-21,2.9633457287341645e-78,3.9827127456073836e-21,1.150498228307554e-50,7.5939651030907091e-42,9.7299086952239589e-52,1.7754745861816791e-67,6.6874383639654674e-31,9.6447959203054486e-61,2.4212160230119582e-10,7.0623327092298582e-11,1.5946752238503455e-15,1.0564207567177483e-21,1.6123861213780087e-15,3.8632497343833457e-20,5.6129624797835896e-18,1.9897979779267745e-19,1.663011375807058e-30,1.5080644125704895e-33,7.3303991411087546e-51
1.0261001217495545e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362518300255,0.099999999677169077,0.099999999952917792,2.3856163217236208e-54,6.807205369329563e-34,1.0001751637496953e-22,8.438531042326156e-43,1.3595471611636837e-38,3.9524922471938578e-33,5.3103089734642989e-21,9.8076717516389692e-78,5.3102838815618316e-21,2.5068790315684615e-50,2.0415709229341358e-41,2.0523207016789352e-51,7.2502812569710455e-67,1.4096095103227623e-30,2.5105380154735635e-60,3.2282880054605169e-10,9.4164436288885103e-11,2.124061428464686e-15,1.8020787992397277e-21,2.1543455126857117e-15,5.1511375754256647e-20,9.5043551041669737e-18,4.1749981665632812e-19,3.5075826106937887e-30,4.847258660798577e-33,3.3012305777904354e-50
1.539150186022128e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362497450378,0.099999999515753613,0.099999999929376679,3.0076722204224428e-53,2.380387412852962e-33,2.0712589314528894e-22,5.4528553726183196e-42,3.9345110531553747e-38,8.1831432113231482e-33,7.965478269172537e-21,5.7224947928977701e-77,7.9654263879360654e-21,7.2767199373078874e-50,8.241321471043274e-41,5.60552961551243e-51,5.4985447811679681e-66,3.8473308846225822e-30,9.213343782099951e-60,4.8424319343952257e-10,1.4124665463530518e-10,3.1804288805557569e-15,3.7307999926274137e-21,3.2433498822266307e-15,7.7210624910709302e-20,1.9417799423855982e-17,1.1293321083177442e-18,9.5794316930467802e-30,2.6432160964687385e-32,3.7855362177522416e-49
