Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20)
8.736360678319246e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289549877522955,0.099999776279942151,0.099999986047643707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2372005785357153e-07,2.7904712587004488e-08
1e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289546249599249,0.099999744036875116,0.099999984029558703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5596312488787261e-07,3.19408825644815e-08
1.0199445695029757e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289545677255751,0.099999738950486264,0.099999983711035648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6104951374004517e-07,3.2577928696184472e-08
1.1662530711740269e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928954148091151,0.099999701660257789,0.099999981374428656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9833974219873937e-07,3.7251142661950365e-08
1.4588700745161293e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289533099975412,0.099999627197318322,0.099999976701217921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7280268167328191e-07,4.6597564170839436e-08
1.7514870778582317e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289524734681732,0.099999552890794458,0.099999972028011461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4710920552548099e-07,5.5943977128850894e-08
2.044104081200334e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289516384997613,0.099999478740357681,0.099999967354809233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.212596423120729e-07,6.5290381551132009e-08
2.3367210845424363e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289508050890261,0.099999404745680087,0.099999962681611279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9525431989938047e-07,7.4636777452798277e-08
2.6293380878845387e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289499732326967,0.099999330906434522,0.099999958008417572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6909356546492636e-07,8.3983164848933336e-08
2.921955091226641e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289491429275071,0.099999257222294496,0.099999953335228126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4277770549903383e-07,9.33295437545892e-08
3.507189097910846e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289474869575232,0.099999110318028481,0.099999943988861945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8968197150640602e-07,1.1202227615451312e-07
4.092423104595051e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289458371530901,0.099998964030283841,0.099999934642512639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0359697161547632e-06,1.3071497477235469e-07
4.6776571112792555e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289441934883345,0.099998818356473188,0.099999925296180167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181643526773678e-06,1.494076397273955e-07
5.26289111796346e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289425559374898,0.099998673294020124,0.099999915949864474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.326705979834191e-06,1.6810027113841644e-07
5.848125124647665e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289409244748984,0.09999852884035898,0.099999906603565475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4711596409944918e-06,1.8679286912369979e-07
7.018593138016075e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289376797123822,0.09999824174920352,0.099999887911017382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7582507964565467e-06,2.2417796528770137e-07
8.189061151384484e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928934458997669,0.099997957062696083,0.099999869218535459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042937303894354e-06,2.6156292915576402e-07
9.359529164752894e-12,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289312621293442,0.099997674760696043,0.099999850526119177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3252393039272433e-06,2.9894776165640531e-07
1e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289295228507494,0.099997521289465846,0.099999840297804565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4787105341349582e-06,3.1940439090508261e-07
1.0529997178121304e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289280889076779,0.0999973948232315,0.099999831833768163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.605176768482764e-06,3.3633246371036363e-07
1.1700465191489713e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289249391346155,0.099997117230497798,0.099999813141481902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882769502208674e-06,3.7371703623066225e-07
1.2870933204858123e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289218126137597,0.099996841962856103,0.099999794449259952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1580371438743864e-06,4.1110148012267455e-07
1.4041401218226532e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289187091503596,0.099996569000832231,0.099999775757101853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4309991677609557e-06,4.4848579628418804e-07
1.521186923159494e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289156285512937,0.099996298325114946,0.099999757065007203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7016748850388897e-06,4.8586998560546788e-07
1.638233724496335e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289125706250587,0.099996029916554832,0.099999738372975516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97008344513405e-06,5.2325404896932015e-07
1.7552805258331756e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289095351817562,0.099995763756162884,0.099999719681006363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236243837082207e-06,5.6063798725115355e-07
1.8723273271700164e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289065220330776,0.099995499825109094,0.099999700989099341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5001748908724997e-06,5.9802180131904356e-07
1.9893741285068572e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289035309922917,0.09999523810472119,0.099999682297253978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7618952787796618e-06,6.3540549203379048e-07
2.106420929843698e-11,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289005618742305,0.099994978576483304,0.099999663605469857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0214235166850143e-06,6.7278906024898339e-07
