Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),CH3X(22),HX(19),COX(32),CH2X(58),CHX(26),H2X(31),C2H6X(34),HOX(23),CXHO(27),CX(24),C2H4OX(44),C2H5X(33),C3H8X(38),H2OX(30),CH2OX(35),CH4OX(41),HO2X(60)
2.407512690626874e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948890104708,0.099964874134480283,1.8862953073408361e-50,0.099964926772014712,8.9370400070335107e-34,1.1810043490525733e-21,3.5486051456127961e-10,1.0832636166679444e-17,5.8436546355746927e-37,1.7398785147289275e-11,3.2073534028981098e-34,2.3383678445796697e-20,1.5816714113745098e-25,9.5330722406246934e-35,9.8275575844092412e-30,2.4485415406195675e-33,1.0398032834416719e-35,0.0,3.5125843332644779e-05,3.5072873004409579e-05,3.5498085017288965e-10,1.2819906659759932e-16,4.5165441744688511e-12,2.2726918516703136e-11,1.2020741244829356e-13,3.443725245130101e-15,2.6822669867071659e-13,4.0366150938959717e-25,3.7653445709486365e-21,1.8943648079016526e-24,9.4892528046049987e-29,3.4619908207513506e-22,8.2800890085423378e-37,5.2491554200449242e-28,1.1081265930104981e-37,2.966472381983737e-37,1.9105151088163836e-40,3.2598696821806273e-38,5.7515453085486971e-40
2.4704204817291916e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948889116359,0.09996487413390219,2.0380491688346639e-50,0.099964926762744044,9.6984910193623639e-34,1.2764487775841127e-21,3.6413264407494237e-10,1.1235049814314806e-17,6.5166302282913801e-37,1.7964792166490534e-11,3.4414594738369277e-34,2.4620490325816521e-20,1.6922346420431565e-25,1.0117457419761817e-34,1.0678102348996581e-29,2.6682250004083061e-33,1.0990845540530788e-35,0.0,3.5125843331001413e-05,3.5072872999717498e-05,3.6425622952336798e-10,1.2828442386294869e-16,4.5214073955400489e-12,2.3324373372525633e-11,1.2345716390677786e-13,3.4475963637270669e-15,2.7708538851805905e-13,4.3658357860157337e-25,3.9068663071556326e-21,1.9540760515569067e-24,1.0038755804718401e-28,3.6820607591176995e-22,9.0330481140961859e-37,5.4447803739663253e-28,1.1898980475938403e-37,3.2236171925260943e-37,2.1344518455948937e-40,3.4622838220790457e-38,6.0895818817250352e-40
2.533328272831509e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948888128055,0.099964874133324097,2.1977311006980204e-50,0.099964926753473363,1.0503994593200151e-33,1.3769047743756831e-21,3.734047735869851e-10,1.163828588943147e-17,7.2467847449862166e-37,1.8531275007102721e-11,3.6843878572072156e-34,2.5888933772520252e-20,1.806840399311775e-25,1.0720669575127845e-34,1.1577165179114494e-29,2.9006870051342226e-33,1.1602068753696629e-35,0.0,3.5125843329358088e-05,3.5072872995027246e-05,3.7353160887222546e-10,1.2836978112827668e-16,4.5257857415560731e-12,2.3921846721399362e-11,1.2670691536442592e-13,3.451078211027485e-15,2.859535195758662e-13,4.7124996029118883e-25,4.0486879735348574e-21,2.0142952695323966e-24,1.0603941224885845e-28,3.9092847074638584e-22,9.8304043011929384e-37,5.6408316746536339e-28,1.2747879173622867e-37,3.4958873872543494e-37,2.3777587699066498e-40,3.671295793031355e-38,6.4388232530402762e-40
2.659143855036144e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410494888615157,0.099964874132167911,2.5416865088633996e-50,0.099964926734931958,1.2252927071154003e-33,1.5933638581820171e-21,3.9194903260621098e-10,1.2446913794214243e-17,8.8914573205936326e-37,1.9665445723445785e-11,4.1967506004608596e-34,2.8520626552043406e-20,2.048210204350967e-25,1.1984094438917065e-34,1.3526290049678145e-29,3.4053643931142186e-33,1.2880357748148304e-35,0.0,3.5125843326071607e-05,3.5072872985652936e-05,3.9208236756507818e-10,1.2854049565886799e-16,4.533313695758597e-12,2.511684180175346e-11,1.3320641827721011e-13,3.457055440937382e-15,3.0371446637516348e-13,5.4599559786716483e-25,4.3331166340418718e-21,2.1362575969954026e-24,1.1781324090918919e-28,4.385222829741655e-22,1.1563297811199739e-36,6.0340617918849219e-28,1.4539372362577391e-37,4.0878142187145283e-37,2.9269090673863932e-40,4.1092941437650571e-38,7.1714096766247979e-40
2.784959437240779e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948884175206,0.099964874131011724,2.9197761758581413e-50,0.099964926716390567,1.4195526602448103e-33,1.8314061223178043e-21,4.104932916189574e-10,1.3257984932906529e-17,1.0804192635910056e-36,2.0800915964272519e-11,4.7445109993860017e-34,3.1278578457708101e-20,2.3058352286872066e-25,1.3324411426832508e-34,1.5685813302516386e-29,3.9654097634057049e-33,1.4234121525924422e-35,0.0,3.5125843322785357e-05,3.5072872976272778e-05,4.1063312625144814e-10,1.2871121018937307e-16,4.5395152978984299e-12,2.631189159144768e-11,1.3970592118666432e-13,3.4619678395834066e-15,3.2150330045823421e-13,6.2825820770247642e-25,4.6184339838162526e-21,2.2602517350915012e-24,1.3021339196248689e-28,4.8898550326651619e-22,1.3488750128482494e-36,6.4285855856880422e-28,1.6455998925090232e-37,4.7463274861312421e-37,3.5671223994727607e-40,4.5742357038270294e-38,7.9502831545246412e-40
2.9107750194454138e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410494888219894,0.099964874129855538,3.333614709481574e-50,0.099964926697849205,1.6343728503756984e-33,2.0920556991284436e-21,4.2903755062522441e-10,1.4071083764809041e-17,1.3012897186333455e-36,2.1937390245509787e-11,5.3277281391511506e-34,3.4162610260005823e-20,2.5797603754536958e-25,1.4742722457209314e-34,1.8066603418036136e-29,4.5836614460206575e-33,1.5664581183459656e-35,0.0,3.5125843319499275e-05,3.5072872966885186e-05,4.2918388493133543e-10,1.2888192471979154e-16,4.5446906261103604e-12,2.7506986663108103e-11,1.4620542409279628e-13,3.4660563187859238e-15,3.393151876830891e-13,7.1839743786046629e-25,4.9044873116057746e-21,2.3862776403260396e-24,1.432393721002039e-28,5.4232223150176048e-22,1.5616748184138246e-36,6.8242009610517824e-28,1.8497972805740924e-37,5.4755882356738367e-37,4.3080423471773777e-40,5.0665049182139685e-38,8.7764222685899685e-40
3.0365906016500487e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948880222749,0.099964874128699352,3.7848166813120052e-50,0.099964926679307842,1.8709714195861661e-33,2.3763363438308515e-21,4.4758180962501232e-10,1.4885887925882042e-17,1.554686316338904e-36,2.3074639799413119e-11,5.9464548761830942e-34,3.7172542087204958e-20,2.8700231511510052e-25,1.624016210838274e-34,2.0679518516436247e-29,5.2629614697551014e-33,1.7172957213016373e-35,0.0,3.5125843316213262e-05,3.5072872957501186e-05,4.4773464360474005e-10,1.2905263925012316e-16,4.549072004933031e-12,2.8702119717917531e-11,1.5270492699559068e-13,3.4695073957252889e-15,3.5714638538341766e-13,8.1677280322827499e-25,5.1911581372827884e-21,2.5143352809769657e-24,1.5689082029565051e-28,5.9853588008638573e-22,1.7957290943978256e-36,7.2207511544241537e-28,2.066548388336926e-37,6.2798439315326123e-37,5.1597994437733573e-40,5.5864980938580918e-38,9.6508056175748544e-40
3.1624061838546836e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410494887824661,0.099964874127543166,4.2749966267075292e-50,0.099964926660766437,2.1305911150807046e-33,2.6852714455322793e-21,4.6612606861832123e-10,1.5702147822548667e-17,1.8436768201181064e-36,2.4212487805578423e-11,6.6007406255498403e-34,4.0308193626457537e-20,3.1766552943227197e-25,1.781789339053235e-34,2.3535408367375284e-29,6.0061566734743645e-33,1.8760469509568123e-35,0.0,3.512584331292735e-05,3.5072872948123278e-05,4.6628540227166237e-10,1.2922335378036764e-16,4.5528390039165908e-12,2.9897285114416997e-11,1.5920442989503873e-13,3.4724652342784986e-15,3.7499400074870648e-13,9.2374368950119015e-25,5.4783547201038979e-21,2.6444246349692696e-24,1.7116747301595922e-28,6.5762932615134118e-22,2.05203934058106e-36,7.6181148064050488e-28,2.2958708367006711e-37,7.1634284376496522e-37,6.133011056850381e-40,6.1346218591544216e-38,1.0574411821737859e-39
3.2882217660593185e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2410494887627051,0.099964874126386979,4.8057690448068428e-50,0.099964926642225102,2.4144992836738763e-33,3.0198840372139229e-21,4.84670327605151e-10,1.6519670308367536e-17,2.1714675211372452e-36,2.5350797618229019e-11,7.2906332720504041e-34,4.3569384284027117e-20,3.4996840753285682e-25,1.9477103788654515e-34,2.6645116203645993e-29,6.8160994268630784e-33,2.0428337376943872e-35,0.0,3.5125843309641499e-05,3.5072872938744631e-05,4.8483616093210238e-10,1.2939406831052505e-16,4.556130393370879e-12,3.109247849290233e-11,1.6570393279114864e-13,3.475041243456211e-15,3.9285579822326421e-13,1.0396693567381124e-24,5.7660060635213745e-21,2.7765456893140817e-24,1.8606917424919485e-28,7.196050328688011e-22,2.3316089498619312e-36,8.0161980208140917e-28,2.5377816123503596e-37,8.1307619986854417e-37,7.2387813258886759e-40,6.711291756115846e-38,1.1548219516879071e-39
3.4140373482639534e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948874294455,0.099964874125230793,5.3787483985300605e-50,0.099964926623683698,2.7239878661061133e-33,3.3811968044050283e-21,5.0321458658550197e-10,1.7338305757518979e-17,2.541403264332046e-36,2.6489463473060069e-11,8.0161804793752533e-34,4.695593331168782e-20,3.8391333244272601e-25,2.1219001767034363e-34,3.0019480292136008e-29,7.695648122787557e-33,2.2177779533248683e-35,0.0,3.5125843306355696e-05,3.5072872929362596e-05,5.0338691958605989e-10,1.2956478284059516e-16,4.5590535820055724e-12,3.2287696478929833e-11,1.7220343568392762e-13,3.4773216542262923e-15,4.1073004747067852e-13,1.1649089424864953e-24,6.0540571652659568e-21,2.9106984387527298e-24,2.0159584474193843e-28,7.8446514521565296e-22,2.6354434039953046e-36,8.4149280755928542e-28,2.7922975653959559e-37,9.1863512201506408e-37,8.4887011885423958e-40,7.3169309771112666e-38,1.2573207374009062e-39
3.5398529304685883e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948872318413,0.099964874124074607,5.9955491145795133e-50,0.099964926605142321,3.0603733909237797e-33,3.7702320925726869e-21,5.2175884555937405e-10,1.8157938173729908e-17,2.9569674572325252e-36,2.7628403415261099e-11,8.7774304955169425e-34,5.0467659902819688e-20,4.1950242172441777e-25,2.3044813742895981e-34,3.3669335266524858e-29,8.6476674742762903e-33,2.4010014115520387e-35,0.0,3.512584330306994e-05,3.5072872919980839e-05,5.2193767823353529e-10,1.2973549737057786e-16,4.5616917988587613e-12,3.3482936457687859e-11,1.787029385733723e-13,3.47937328538368e-15,4.2861540767663162e-13,1.2998214644616086e-24,6.3424653827957425e-21,3.0468828843952109e-24,2.1774747734878618e-28,8.5221156284671868e-22,2.9645503888504816e-36,8.814248610635082e-28,3.0594357144813941e-37,1.0334789047518163e-36,9.8948484486776343e-40,7.9519692581372524e-38,1.3650354083578423e-39
3.665668512673223e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948870342399,0.099964874122918421,6.6577855834405844e-50,0.099964926586600958,3.4249969680895763e-33,4.1880119134568287e-21,5.4030310452676724e-10,1.8978477710933113e-17,3.4217821139917086e-36,2.8767553983062502e-11,9.5744325643615785e-34,5.4104383264553187e-20,4.5673758674133433e-25,2.4955781434054025e-34,3.7605513264828513e-29,9.6750286309155635e-33,2.5926258683714708e-35,0.0,3.5125843299784204e-05,3.5072872910601263e-05,5.4048843687452819e-10,1.299062119004732e-16,4.5641094924077734e-12,3.4678196404377475e-11,1.8520244145947774e-13,3.481247878120168e-15,4.4651084057199548e-13,1.4447658228245461e-24,6.6311976853899023e-21,3.1850990329694234e-24,2.3452412570804604e-28,9.2284599487655956e-22,3.3199398481658975e-36,9.214115988982713e-28,3.33921341084954e-37,1.1580754744142914e-36,1.1469787883578921e-39,8.6168419196044589e-38,1.4780638361923115e-39
3.791484094877858e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948868366399,0.099964874121762234,7.3670721593824985e-50,0.099964926568059581,3.8192242823755945e-33,4.6355579504755051e-21,5.5884736348768154e-10,1.9799854876773392e-17,3.9396078966972885e-36,2.9906866097821142e-11,1.040723711254172e-33,5.7865922673453214e-20,4.9562057850507206e-25,2.6953159561031056e-34,4.1838844895830001e-29,1.0780609185454072e-32,2.7927730224149123e-35,0.0,3.5125843296498509e-05,3.5072872901221783e-05,5.5903919550903919e-10,1.3007692643028102e-16,4.5663565043822546e-12,3.5873474753087476e-11,1.9170194434224536e-13,3.4829854468880233e-15,4.644155431948466e-13,1.6001008021333158e-24,6.920228524010538e-21,3.3253468959447634e-24,2.5192589343115521e-28,9.9637000222780225e-22,3.7026239945130728e-36,9.6144964766470207e-28,3.6316484156278085e-37,1.2929013868240241e-36,1.3226571390327383e-39,9.3119890319065456e-38,1.5965038957931545e-39
3.917299677082493e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948866390405,0.099964874120606048,8.1250231604591479e-50,0.09996492654951819,4.2444455864284233e-33,5.1138915632690751e-21,5.7739162244211726e-10,2.0622015937124419e-17,4.5143441636030449e-36,3.1046301804171119e-11,1.127589582969344e-33,6.1752097519605785e-20,5.3615302400329109e-25,2.903821390281028e-34,4.6380160047792425e-29,1.196729313570192e-32,3.0015645152440982e-35,0.0,3.5125843293212821e-05,3.5072872891840995e-05,5.7758995413706789e-10,1.302476409600013e-16,4.568471380295783e-12,3.7068770292790112e-11,1.982014472216784e-13,3.4846169371950666e-15,4.8232889455950023e-13,1.7661850729951287e-24,7.2095381420977649e-21,3.4676264886291688e-24,2.6995292613780864e-28,1.0727850312199178e-21,4.1136172980277205e-36,1.0015364006742859e-27,3.9367589332797895e-37,1.4384418248977671e-36,1.5178738153448632e-39,1.0037854700798222e-37,1.7204534643004697e-39
4.043115259287128e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948864414422,0.099964874119449862,8.9332528685099026e-50,0.099964926530976814,4.7020756935874335e-33,5.6240337915070338e-21,5.9593588139007408e-10,2.1444919312361001e-17,5.150029025105122e-36,3.2185831714547802e-11,1.218046166911612e-33,6.5762727341095388e-20,5.7833645469096032e-25,3.1212219651790577e-34,5.1240288562212163e-29,1.3237970800194127e-32,3.2191219315987293e-35,0.0,3.5125843289927139e-05,3.5072872882460057e-05,5.9614071275861439e-10,1.3041835548963414e-16,4.5704839646529916e-12,3.82640820858098e-11,2.0470095009777644e-13,3.4861663091155846e-15,5.0025041384905731e-13,1.943377193443102e-24,7.4991112510058792e-21,3.6119378295953544e-24,2.8860540498326451e-28,1.1520924398998026e-21,4.5539364613914978e-36,1.0416698426133831e-27,4.2545636172053022e-37,1.5951905961581782e-36,1.7340314829274305e-39,1.0794886466970653e-37,1.8500104214500011e-39
4.168930841491763e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948862438444,0.099964874118293676,9.7933755291604169e-50,0.099964926512435437,5.1935539705486548e-33,6.1670053580896125e-21,6.1448014033155212e-10,2.2268532823015699e-17,5.8508394032453976e-36,3.3325433061358193e-11,1.3120988773785545e-33,6.9897631850192514e-20,6.221723282618059e-25,3.3476460006737358e-34,5.6430060796727435e-29,1.4595538678652385e-32,3.4455667996081643e-35,0.0,3.5125843286641465e-05,3.5072872873079906e-05,6.146914713736789e-10,1.3058907001917937e-16,4.5724173790630527e-12,3.945940940567844e-11,2.1120045297053748e-13,3.4876521253797701e-15,5.181797285490105e-13,2.1320356100910469e-24,7.7889360176541305e-21,3.7582809401907629e-24,3.0788354059704269e-28,1.2342935181108113e-21,5.0246003761301003e-36,1.0818484155324565e-27,4.5850815476083274e-37,1.7636501301690254e-36,1.9725815750048275e-39,1.1583534795874712e-37,1.9852726500252301e-39
4.294746423696398e-09,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24104948860462469,0.099964874117137489,1.0707005351823447e-49,0.09996492649389406,5.7203443298264854e-33,6.7438266718169921e-21,6.3302439926655137e-10,2.3092831593396179e-17,6.6210910928062105e-36,3.44650882188527e-11,1.4097532362182231e-33,7.4156630953133426e-20,6.6766204520591474e-25,3.5832224987098992e-34,6.1960308090716876e-29,1.604289929078329e-32,3.6810205909722231e-35,0.0,3.512584328335581e-05,3.5072872863699951e-05,6.332422299822611e-10,1.3075978454863701e-16,4.574289523349002e-12,4.0654751689976215e-11,2.1769995583996131e-13,3.4890887565097578e-15,5.3611655026514569e-13,2.3325186591047286e-24,8.0790032938891752e-21,3.906655843984659e-24,3.2778756748402446e-28,1.3193895027218641e-21,5.5266300652162487e-36,1.1220709168481346e-27,4.9283321912706231e-37,1.944331475913926e-36,2.2350243139703985e-39,1.240425264166829e-37,2.1263380352055423e-39
