Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
6.814803465219854e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,0.0,1.1281577586534132e-49,4.8053959778719188e-30,1.138716184539936e-54,1.9023603989485596e-39,1.2325619440600326e-92,6.9296903729297165e-19,1.3354290177644719e-83,6.9296774073005712e-19,3.1119012199647247e-56,1.0418649244546844e-49,1.1671077257267344e-76,7.0522047407745827e-78,1.4738769507937606e-40,9.8069239325995917e-66,2.7482111771924732e-12,1.3213643565785372e-13,5.0932520336673982e-17,3.7399090440529143e-26,5.0932521824468891e-17,1.7939231315825253e-40,1.716235242897084e-50,2.3533724159959265e-30,1.1431441001885689e-25,3.1752073767796073e-30,1.0341641911745433e-33,1.492154387909728e-52,1.033096578326222e-66
1.3629612707425081e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,0.0,1.7640033326147291e-48,1.9221596186476591e-29,1.4461523843284156e-52,1.5218897476572831e-38,6.261484520374989e-90,1.3859412550459855e-18,8.5467691658162694e-82,1.3859360687911519e-18,4.9790469837479508e-55,1.6290384412279604e-48,2.9644639888124179e-74,1.7912662534911408e-75,1.1532084326892275e-39,3.1382189431916865e-64,5.4964246823308054e-12,2.6427298332565869e-13,1.0186508110164908e-16,1.4607857265672954e-25,1.018650870563629e-16,1.4351395703456616e-39,2.7459791556893751e-49,9.4135105902251332e-30,4.5724521589881506e-25,2.5392750765470245e-29,1.654094390124913e-32,9.4747750353744969e-51,2.6240716073037098e-64
2.7259231191835536e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,0.0,2.6992216673245592e-47,7.6886409621226653e-29,1.8225342553282273e-50,1.2175122775526886e-37,3.1565941914885497e-87,2.7718934696218297e-18,5.4699499166418013e-80,2.7718727245968632e-18,7.9664786134013866e-54,2.4925947722388915e-47,7.472243873987671e-72,4.5150752821503799e-73,8.8367447373597323e-39,1.0042305146812457e-62,1.0992851687376673e-11,5.285460786505239e-13,2.037301943882928e-16,5.5795231417023514e-25,2.0373021823361843e-16,1.1481120829919237e-38,4.3935685202908151e-48,3.7654173861242075e-29,1.8288797337460985e-24,2.0299938365061902e-28,2.644747455802482e-31,5.9699949903097421e-49,6.6142345030148867e-62
5.451846816065645e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,0.0,3.9700276089259654e-46,3.0754569083794601e-28,2.2629259403981979e-48,9.7400986665650586e-37,1.567877801909327e-84,5.5438290150478401e-18,3.5007865814821753e-78,5.5437460349423726e-18,1.2746366657635443e-52,3.6658183815626816e-46,1.8556735982340984e-69,1.1212837636535266e-70,6.5177381582278108e-38,3.2135379062634413e-61,2.1985705676545238e-11,1.0570922692573945e-12,4.0746038798835923e-16,2.0456328612934438e-24,4.0746048355665954e-16,9.184898381723168e-38,7.0297100335548449e-47,1.5061767562828984e-28,7.3147065340747099e-24,1.6217165374591788e-27,4.2258459486645604e-30,3.7058385690327317e-47,1.6425864462645044e-59
1.0903694209829827e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,0.0,5.4604207196679669e-45,1.230182888872172e-27,2.7321191276309111e-46,7.7920767572076659e-36,7.5731423284520273e-82,1.1087824570956394e-17,2.240546307514398e-76,1.1087492650569736e-17,2.0394181352114194e-51,5.0412571909048271e-45,4.481368793869214e-67,2.7078500007037668e-68,4.5061524985016733e-37,1.0283318737025296e-59,4.3971413571189667e-11,2.1141846503003454e-12,8.1492064329565381e-16,6.997297275793271e-24,8.1492102676060831e-16,7.3479194099490122e-37,1.1247532867805495e-45,6.0247840033799148e-28,2.925232197623413e-23,1.2937410214747168e-26,6.743030643455398e-29,2.2365860444274204e-45,3.9667380499867759e-57
2.1807388997358194e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,0.0,6.795420137001988e-44,4.9207319729672887e-27,3.137997234784392e-44,6.233656768149124e-35,3.4803851516596618e-79,2.2176313542677578e-17,1.4339913426535298e-74,2.2174985861569852e-17,3.263066671993594e-50,6.2722252585186665e-44,1.0296411797082729e-64,6.221566779969624e-66,2.8285824055268481e-36,3.2906596799294188e-58,8.7942829025707707e-11,4.228369411706345e-12,1.6298406263392383e-15,2.1584987458222563e-23,1.62984216665553e-15,5.8783358376332055e-36,1.7996038818181397e-44,2.4099748966191749e-27,1.1695727304067205e-22,1.0292249321201593e-25,1.0730657417848787e-27,1.2838753740328121e-43,9.1138341169469115e-55
4.3614778572414927e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,0.0,7.4742167432291049e-43,1.9682930057103691e-26,3.3233022678388511e-42,4.9869175319658242e-34,1.4751787860597056e-76,4.435528292315591e-17,9.1780758495428381e-73,4.4349972202551621e-17,5.2208986546494859e-49,6.8962986753251744e-43,2.1816920621296131e-62,1.3182786142143167e-63,1.5751096779678078e-35,1.0530095072978889e-56,1.7588565859566063e-10,8.4567389318095862e-12,3.2596784821451968e-15,5.8649319480519604e-23,3.2596846715244888e-15,4.7026688382650229e-35,2.87936151837923e-43,9.6403893731871334e-27,4.6741346254907036e-22,8.1428902152656448e-25,1.6985579509808568e-26,6.7934074771497977e-42,1.9310495748728978e-52
6.542216814747166e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,0.0,2.4479601545296575e-42,4.1826229378479628e-26,2.0588823257448829e-41,1.4804897991267642e-33,1.2021447004324941e-75,6.6536243738087205e-17,5.2110258407824006e-72,6.6524958462514904e-17,1.9751705354071765e-48,2.2597696140728289e-42,1.5634120175320168e-61,9.4468532877571744e-63,3.7572025452383794e-35,4.912263143844872e-56,2.6382848682653032e-10,1.2685108449208668e-11,4.8895142276727508e-15,9.9035108851519267e-23,4.8895274063254915e-15,1.3446693919086517e-34,1.0893200883739041e-42,2.0486546629432884e-26,9.9264376955923701e-22,2.3135967086438338e-24,6.2196969260897342e-26,3.5630160423498458e-41,1.3837869643834091e-51
1.0903694729758513e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,0.0,1.3062443266234716e-41,1.1563724225331342e-25,7.1602974410381584e-40,6.9349042767325959e-33,1.2954816951836045e-73,1.1090613108513479e-16,1.4010840231699964e-70,1.108749306583677e-16,1.5588199389086636e-47,1.2058929455176413e-41,9.5132094999500725e-60,5.7483139800809086e-61,1.1836866904082295e-34,6.5827322477848652e-55,4.3971413793193717e-10,2.1141847473199756e-11,8.149177277636707e-15,1.8334930931518298e-22,8.149213807776029e-15,6.1796010761657221e-34,8.5969974207071542e-42,5.6644402615916187e-26,2.7400302495342308e-21,1.0432638702218458e-23,4.699379342191212e-25,7.1757671523931617e-40,8.4196882378044213e-50
1.4829024853268724e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,0.0,3.1457413883099275e-41,2.0591569126842611e-25,3.2211087798186726e-39,1.6002964746294439e-32,6.9485452176270718e-73,1.5084546404035717e-16,6.0841780117204961e-70,1.5078990537286255e-16,4.3745508730305197e-47,2.9048816078834366e-41,4.718161472039913e-59,2.8509265987104916e-60,2.2142394784678407e-34,2.18476022645843e-54,5.9801121960019253e-10,2.8752912586064335e-11,1.1082867204276407e-14,2.6005731108618904e-22,1.1082932325564706e-14,1.391022019073871e-33,2.412594227855581e-41,1.0087294980945337e-25,4.8740700199777128e-21,2.3238477378775709e-23,1.2835431543098653e-24,2.8675293593671227e-39,4.1757702805039162e-49
1.8754354976778936e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756240729974,0.11866996527364282,0.022821567674872298,0.0,6.2251466291610816e-41,3.2143733765038113e-25,1.0351427691157589e-38,3.0812686873183883e-32,2.986483199840534e-72,1.9079160759785067e-16,1.8423212727505283e-69,1.9070487981027644e-16,1.0015781496197918e-46,5.7495099911793091e-41,1.7653025428306227e-58,1.0666755787368706e-59,3.5669439140829853e-34,5.8704694254075033e-54,7.5630829668881878e-10,3.6363977689691762e-11,1.401654991387513e-14,3.3699792765145572e-22,1.401665164687137e-14,2.6291221765130731e-33,5.5237704125024652e-41,1.5747362889608379e-25,7.6004551039710596e-21,4.3444919794850863e-23,2.8645449853532223e-24,7.7573969783891276e-39,1.5623312193765917e-48
2.267968510028915e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756224138573,0.11866996511534277,0.022821567671066766,0.0,1.0781657596552056e-40,4.608038672453372e-25,2.7439778268907997e-38,5.238905055938195e-32,9.6139117133830751e-72,2.3074418447635035e-16,4.783172055332001e-69,2.3061985398595798e-16,1.9531357760583328e-46,9.9595945488452029e-41,5.162742837390454e-58,3.1195616891706302e-59,5.2241847362725607e-34,1.2986864426376149e-53,9.1460536945150032e-10,4.3975042784593911e-11,1.6950225806229745e-14,4.1401479656199454e-22,1.6950371729161691e-14,4.3944779763478174e-33,1.0771673507688473e-40,2.2576292971340638e-25,1.0884840043514317e-20,7.1884356263158037e-23,5.4598738393003053e-24,1.868514120608421e-38,4.5690584158471223e-48
3.0530345347309572e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756190955772,0.1186699647987427,0.022821567663455701,0.0,2.4360636957923407e-40,7.939147702192241e-25,1.2166380199008385e-37,1.1583234848704101e-31,5.3460590196103116e-71,3.1066400926134878e-16,2.1160667206342722e-68,3.1044980174044536e-16,5.1854848385797854e-46,2.2512335552431771e-40,2.560522963540227e-57,1.5471814664757689e-58,9.2333784084365214e-34,4.086067873157777e-53,1.2311995051116258e-09,5.9197172954500429e-11,2.2817562044385153e-14,5.6808390826108272e-22,2.2817813634677969e-14,9.3817091276079502e-33,2.8598289947022796e-40,3.8900250988117308e-25,1.8721703910111416e-20,1.5097843517570635e-22,1.3934366999421373e-23,7.4520050143951124e-38,2.266022854699053e-47
3.8381005594329996e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756157772971,0.11866996448214263,0.022821567655844636,0.0,4.6276306018967305e-40,1.2151661374744734e-24,3.752565130839538e-37,2.1700968530055253e-31,2.0086417826316697e-70,3.9060761409554862e-16,6.3681061505624754e-68,3.9027974852746357e-16,1.1247994393796475e-45,4.2779716726523088e-40,8.7865977856130801e-57,5.3092489631641769e-58,1.4368684923493059e-33,1.0106934241717964e-52,1.5477936247812997e-09,7.441930309215493e-11,2.8684873083366174e-14,7.2217198487742381e-22,2.8685258369203335e-14,1.7059619250978762e-32,6.2033422476019303e-40,5.9546343785486128e-25,2.8608295544203255e-20,2.7035910821102226e-22,2.9160037918763323e-23,1.9988519812996348e-37,7.7758388960651835e-47
