Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),C2H4X(205),C2H4X(65),H2OX(23),acetyl(43)
1.9089717667160392e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990512,0.11866996602987162,0.022821567693052925,0.0,2.2385104132205384e-48,1.8150824186659025e-27,1.6751454735062468e-63,2.9219715456220378e-41,1.3138095705887818e-98,1.6848189685721148e-15,1.1429106436232525e-80,1.6848189684844864e-15,6.8111036436760593e-55,1.5045493880731892e-54,5.7133879332016173e-83,6.6246602650652116e-84,9.201724493990996e-42,4.9965591552105297e-64,9.201258913977522e-14,2.7243292276652277e-15,1.0906403446866267e-17,5.5053718640993583e-29,2.0386309843964428e-28,1.0906403340923682e-17,2.268698114179842e-39,1.2756643743544644e-72,8.8260556801584722e-54,1.0897768055684368e-26,2.0365077074951634e-32,1.8534603460958082e-37,1.0903145123409278e-59,1.0061813662870428e-76,3.769426142418114e-85,1.488134995321707e-76,3.5075551750912443e-41,9.2286960569676313e-91
3.8179953190102114e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981036,0.1186699660297779,0.022821567693051562,0.0,3.5815709499592233e-47,7.2604773898333418e-27,2.0784081242813513e-61,2.337651217527594e-40,6.5192127324199431e-96,3.369683642186549e-15,7.3149809652480384e-79,3.3696836418360281e-15,1.0898135356628196e-53,2.4072681117278263e-53,1.4175932370523371e-80,1.6436961195699557e-81,7.3612642852215653e-41,1.598954949100505e-62,1.8402767434706391e-13,5.4487323594934236e-15,2.1813102785582793e-17,2.2021005801681199e-28,8.1546896969690229e-28,2.1813102361803744e-17,1.8150015717980887e-38,8.1645426419091657e-71,1.4122167942230586e-52,4.3591877328886983e-26,1.6292280431168575e-31,2.8769717051437451e-36,6.7655158254492003e-58,2.4965150058341089e-74,4.8250385901904867e-83,9.5243932760494059e-75,2.8059999975507883e-40,4.5799358037753039e-88
7.636042423598555e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962085,0.11866996602959048,0.022821567693048838,0.0,5.7301486771986927e-46,2.9042204992323102e-26,2.6176331516099728e-59,1.8701505660344258e-39,3.2839292776657687e-93,6.7394129899042432e-15,4.6817007247554599e-77,6.7394129885021463e-15,1.7437312170433276e-52,3.8513841941000598e-52,3.5705356935689955e-78,4.1400279665941234e-79,5.8886172989120694e-40,5.1167454425780386e-61,3.6805784475737771e-13,1.089753862314427e-14,4.3626501549106246e-17,8.8077482511215339e-28,3.261908941780829e-27,4.3626499853972104e-17,1.4520184897265757e-37,5.2254002591329718e-69,2.2595851784094066e-51,1.7436862887637025e-25,1.3033710325436927e-30,4.532233569243527e-35,4.260899436235399e-56,6.288048884855166e-72,6.176160152084292e-81,6.0957076703030492e-73,2.2446494610556329e-39,2.307209977725793e-85
1.5272136632775244e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679924182,0.11866996602921565,0.022821567693043388,0.0,9.1668958059343171e-45,1.1616941083806645e-25,3.3216148916756799e-57,1.4961322883608766e-38,1.6667665412487123e-90,1.3478871687294934e-14,2.9963245857315777e-75,1.3478871681686521e-14,2.7899935868798524e-51,6.1612637004105247e-51,9.0613074408767456e-76,1.0506565180405508e-76,4.7101795262653137e-39,1.6373728611330849e-59,7.3611818556095078e-13,2.1795151150423773e-14,8.7253299420518542e-17,3.5225224181341374e-27,1.3047701179974914e-26,8.7253292639941878e-17,1.1616216845446572e-36,3.3442858644712092e-67,3.615366927537404e-50,6.9747282935271948e-25,1.0426600224227367e-29,7.1946221643995855e-34,2.7035711207679023e-54,1.5957812602904794e-69,7.905555758202174e-79,3.9012715807611463e-71,1.7954468023278132e-38,1.1710687182331645e-82
3.054432505112862e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984837,0.11866996602846595,0.02282156769303249,0.0,1.4662600739961438e-43,4.6467882509376232e-25,4.229027496195228e-55,1.1969105627410343e-37,8.4882343555654315e-88,2.6957789089897525e-14,1.9176592826135596e-73,2.6957789067463817e-14,4.4640086233044275e-50,9.8548458384170504e-50,2.3073120732369124e-73,2.6753230210417971e-74,3.7669677129755503e-38,5.2396159549374211e-58,1.4722388670998782e-12,4.3590376204894032e-14,1.7450689654083506e-16,1.4085369327633049e-26,5.2190929838458024e-26,1.7450686941841459e-16,9.2930010443371043e-36,2.1403523909145754e-65,5.7846115840350118e-49,2.7898565435663254e-24,8.3406171409115147e-29,1.1465150351016108e-32,1.72111756596881e-52,4.0633923857038971e-67,1.0119156348537887e-76,2.4968043755522779e-69,1.4359084338562851e-37,5.9639091581299378e-80
6.108870188783538e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679696753,0.11866996602696658,0.022821567693010695,0.0,2.344587798518443e-42,1.8587176638712452e-24,5.3881947942316676e-53,9.5753033953087229e-37,4.3259178799657108e-85,5.3915623926387556e-14,1.2273056216487223e-71,5.3915623836652602e-14,7.1424288168350154e-49,1.5757491980155816e-48,5.8794659304269737e-71,6.8172270058444533e-72,3.0116810334932882e-37,1.676680681791634e-56,2.9444802299048605e-12,8.7180826313479582e-14,3.4901409629167934e-16,5.6303535422288256e-26,2.0876392393174472e-25,3.4901398780149968e-16,7.4344118576148832e-35,1.369828465820319e-63,9.2553980903203322e-48,1.1159105426422337e-23,6.671403376737992e-28,1.8305057718877094e-31,1.0964423103114162e-50,1.035428607895515e-64,1.2952548116370055e-74,1.5979320550845441e-67,1.1480038816320999e-36,3.0394334245546091e-77
1.2217745556124889e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679393518,0.11866996602396783,0.022821567692967105,0.0,3.7467691347123321e-41,7.4348753825638537e-24,6.8543366111672556e-51,7.6602502178223789e-36,2.2012249133941088e-82,1.0783129372450691e-13,7.854767571257734e-70,1.0783129336556695e-13,1.1427897841234005e-47,2.5179126018550441e-47,1.4958660425658253e-68,1.7344530969955077e-69,2.4063159840508899e-36,5.3653834448825718e-55,5.8889629544233306e-12,1.7436172652923104e-13,6.9802851783616025e-16,2.249107502852695e-25,8.3505573960745144e-25,6.9802808387228673e-16,5.9475338868488802e-34,8.7669104946993741e-62,1.4808652447911164e-46,4.4633770804928233e-23,5.335367007122919e-27,2.9249752220425113e-30,6.9738490426126073e-49,2.6343574385664449e-62,1.6579277465545047e-72,1.0226439892986802e-65,9.1724659137659042e-36,1.5465874195915684e-74
2.443549629080759e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678787047,0.11866996601797034,0.022821567692879925,0.0,5.9802476428295985e-40,2.973951098509438e-23,8.6794222773488054e-49,6.1282030856352179e-35,1.1149660529115868e-79,2.1566263382130211e-13,5.0270547174525012e-68,2.1566263238554277e-13,1.8284645033086306e-46,4.0181767129542371e-46,3.7884015669288678e-66,4.3926421290233081e-67,1.9202221594678126e-35,1.7169232508373968e-53,1.1777928399094294e-11,3.4872352695505649e-13,1.3960574491118695e-15,8.9722415210468405e-25,3.3402201239913797e-24,1.39605571323278e-15,4.7580288568161134e-33,5.6108239937529145e-60,2.3693855867191294e-45,1.7851370931716304e-22,4.2654820561786812e-26,4.6746572405926852e-29,4.4152172637591056e-47,6.671714249215715e-60,2.1221480101729005e-70,6.5444943177875804e-64,7.3195277851264423e-35,7.8335795015012445e-72
4.8870997760172994e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677574101,0.11866996600597535,0.022821567692705564,0.0,9.5220581356425951e-39,1.189580628552507e-22,1.0883823073465106e-46,4.9025634902529431e-34,5.5929070214609426e-77,4.313253160171175e-13,3.2173158257498915e-66,4.3132531027408278e-13,2.9255435961570555e-45,6.3957776806776166e-45,9.5015306900882649e-64,1.1016998918325765e-64,1.5285039305979915e-34,5.494153401013491e-52,2.3555859270972327e-11,6.9744712778401234e-13,2.7921156645380932e-15,3.5696891374244139e-24,1.3360851449581278e-23,2.7921087208331311e-15,3.8064237636333278e-32,3.5909259942453589e-58,3.7910177500922842e-44,7.1388356286993448e-22,3.4078926542516089e-25,7.4680676933632283e-28,2.7680814401069422e-45,1.6733002217006408e-57,2.7163484344664414e-68,4.1879261423236556e-62,5.8263211212485018e-34,3.9292720828101638e-69
9.77420006989038e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675148213,0.11866996598198537,0.022821567692356839,0.0,1.5089103795294004e-37,4.7583228929380974e-22,1.338982401171301e-44,3.9220509724113651e-33,2.7525885824411316e-74,8.6265068841761609e-13,2.0590820123763503e-64,8.626506654455167e-13,4.6808691446048774e-44,1.0128215592763033e-43,2.3380328097241126e-61,2.710941621892756e-62,1.2107011777019424e-33,1.7581277253554576e-50,4.7111720944872791e-11,1.3948943293512418e-12,5.5842335078677435e-15,1.4127375100872082e-23,5.3443160686923688e-23,5.5842057315806296e-15,3.0451392489833131e-31,2.2981899343926696e-56,6.0656285861790518e-43,2.8541642927004552e-21,2.7191481374425486e-24,1.1917034698172911e-26,1.7024521643401865e-43,4.1174527256281458e-55,3.4769219264236151e-66,2.6795676061559195e-60,4.6148475703726793e-33,1.9336048436229956e-66
1.954840065763654e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670296433,0.11866996593400542,0.022821567691659394,0.0,2.3687747901216584e-36,1.9033292332524889e-21,1.5896967757667523e-42,3.1376404844342808e-32,1.3074860377950788e-71,1.7253014652538854e-12,1.3178119571167149e-62,1.7253013733657994e-12,7.4893871937827893e-43,1.5878701421896214e-42,5.5524470523937535e-59,6.4380397773024652e-60,9.497440100130935e-33,5.6259988431264377e-49,9.4223444013251327e-11,2.7897887321237279e-12,1.1168474852462846e-14,5.5333748210189884e-23,2.1377065639865164e-22,1.1168363735497506e-14,2.4361114412881573e-30,1.4708377927206421e-54,9.7050044049886978e-42,1.1405710797099127e-20,2.1639274688659834e-23,1.8969449834002372e-25,1.010311745466379e-41,9.7781771214681375e-53,4.4504487116422242e-64,1.714021057572957e-58,3.6200287692908826e-32,9.1826946199575353e-64
3.9096801833128864e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727660592879,0.1186699658380455,0.022821567690264499,0.0,3.6522960904622717e-35,7.613317087709007e-21,1.774080429599149e-40,2.5101116852369107e-31,5.8389142087035763e-69,3.4506031470658648e-12,8.4339885384326911e-61,3.4506027795160235e-12,1.1983007319453908e-41,2.441912780778596e-41,1.2396273143624895e-56,1.4373406173239044e-57,7.3132708725728266e-32,1.80031312311536e-47,1.8844688903231879e-10,5.5795775362264599e-12,2.2336980237684555e-14,2.1245797797932461e-22,8.5506668425195415e-22,2.2336535674896529e-14,1.9488890848392407e-29,9.4133126961750447e-53,1.5528001240227069e-40,4.5535503307792518e-20,1.7131522128618924e-22,3.004493409655095e-24,5.6344146831340627e-40,2.1830089544778104e-50,5.6965446855112959e-62,1.0958203409181583e-56,2.787322307760144e-31,4.0991100526746286e-61
7.819360418411351e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727641185764,0.11866996564612567,0.02282156768747471,0.0,5.4470201420527156e-34,3.0453268678825075e-20,1.7970754816131422e-38,2.0080881314463589e-30,2.3674654801390527e-66,6.9012070232344191e-12,5.3977420598037456e-59,6.9012055530551129e-12,1.9172771749402256e-40,3.6239371000946034e-40,2.5125450660439845e-54,2.9132723366263303e-55,5.4414487767460052e-31,5.7609600561298693e-46,3.768937745996956e-10,1.1159155138702235e-11,4.4674082311518487e-14,7.8627546413302438e-22,3.4201391110112314e-21,4.4672303294977505e-14,1.5591111044622729e-28,6.024456865451787e-51,2.4844782166053038e-39,1.8144700759167447e-19,1.3424718759844497e-21,4.7118888165098398e-23,2.8510987909024856e-38,4.4244577079669044e-48,7.2915008719143473e-60,6.9985357889476761e-55,2.0736240436172519e-30,1.6608316308366003e-58
1.1729040653509814e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727621778649,0.11866996545420584,0.022821567684684921,0.0,1.9398015841170998e-33,6.47131961751455e-20,1.1002013231114238e-37,5.9615095611058164e-30,1.9116067441872139e-65,1.0351811411934028e-11,3.0646759864215431e-58,1.0351808287832842e-11,7.2534418617893991e-40,1.3362354204544293e-39,1.7818912567477375e-53,2.0660843142688716e-54,1.4939586303161776e-30,2.6874674045394351e-45,5.6534065569631429e-10,1.6738732735491367e-11,6.7011276214103925e-14,1.5855472943095473e-21,7.2676081395754887e-21,6.7007494671361695e-14,4.4580830295906535e-28,3.3689170135831089e-50,9.3992821387713183e-39,3.8455857877164493e-19,3.7934610995390916e-21,1.7177372573206432e-22,1.4749438243837469e-37,3.1377788735654498e-47,4.7747512013274001e-59,3.9108343630380264e-54,5.692701795920737e-30,1.3451323986185937e-57
1.563872088860828e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727602371534,0.11866996526228601,0.022821567681895132,0.0,4.7783160224504609e-33,1.1039309956243667e-19,4.3839112166563558e-37,1.298981073689017e-29,9.3191766168154437e-65,1.3802416313151896e-11,1.1786114359833296e-57,1.3802410983849214e-11,1.8880650615218084e-39,3.4705557542817915e-39,7.8809466827226315e-53,9.1378604501780852e-54,3.0398850992940807e-30,8.1833378832602105e-45,7.5378753232217525e-10,2.231831032661338e-11,8.9348562474416025e-14,2.580642459803217e-21,1.239739000614032e-20,8.934210981907123e-14,9.4033876916686049e-28,1.1792811846997066e-49,2.4466268695415773e-38,6.544213707652435e-19,7.9164188598006162e-21,4.3191026972662572e-22,5.2616191085229695e-37,1.3877616821391245e-46,1.8936279199510047e-58,1.3680885894198493e-53,1.1582552748623061e-29,7.2488597571863397e-57
