Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CH3OO(77),C2H6X(52)
6.814803465219854e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,0.0,1.1281577652220169e-49,4.8053965868768571e-30,1.1468083894963072e-54,1.9023604424370222e-39,1.2412955703122231e-92,6.9296805269574247e-19,1.335427743672558e-83,6.9296774073005712e-19,3.1119012888088134e-56,2.5066245329697538e-50,1.1753855882413015e-76,7.1022234151277155e-78,1.4738769507937614e-40,9.806924146112833e-66,2.7482111771924732e-12,1.3213643565785372e-13,5.0932520960433911e-17,3.7399090440529166e-26,5.0932522185357871e-17,1.7939233437768736e-40,4.7510000331772649e-25,5.4850529356451106e-29,1.7865318890886017e-32,2.5962432006713182e-51,1.0404239494506625e-66,2.353369549912293e-30,1.7162352808650794e-50
1.3629612707425081e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,0.0,1.7640033532089547e-48,1.9221601057988839e-29,1.466637381665779e-52,1.5218898172389037e-38,6.3499182625763438e-90,1.3859373166546704e-18,8.5467528574066949e-82,1.3859360687911519e-18,4.9790472040492946e-55,3.9193063016017859e-49,3.0063735870637145e-74,1.8165899711435661e-75,1.1532084326892287e-39,3.1382190798403249e-64,5.4964246823308054e-12,2.6427298332565869e-13,1.0186508359669032e-16,1.4607857265672986e-25,1.0186508850012658e-16,1.4351399098210877e-39,1.9001817710506053e-24,4.3861445366175019e-28,2.8572054774089565e-31,1.6601443838856633e-49,2.6611689670600516e-64,9.4134876615401158e-30,2.7459792771871031e-49
2.7259231191835536e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,0.0,2.6992217306613308e-47,7.6886448584851535e-29,1.8740779901007791e-50,1.2175123888833236e-37,3.2456015203051395e-87,2.7718777160523986e-18,5.4699290418586148e-80,2.7718727245968632e-18,7.9664793183659674e-54,5.9969380419906569e-48,7.6831497467330219e-72,4.6425143632235638e-73,8.8367447373598054e-39,1.0042306021364101e-62,1.0992851687376673e-11,5.285460786505239e-13,2.0373020436846024e-16,5.5795231417023946e-25,2.037302240103308e-16,1.1481126260383404e-38,7.5989744636165091e-24,3.5058783318695801e-27,4.5676600160057399e-30,1.0606641293553755e-47,6.8009228565926457e-62,3.7653990431707245e-29,4.3935689090837e-48
5.451846816065645e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,0.0,3.9700277969497444e-46,3.0754600241126162e-28,2.3906412610386527e-48,9.7401004478555083e-37,1.6560989966175107e-84,5.5437660007666689e-18,3.5007598617533191e-78,5.5437460349423726e-18,1.2746368913522491e-52,8.8195991071076903e-47,1.9601935424055222e-69,1.1844395451873241e-70,6.5177381582279716e-38,3.2135384659765915e-61,2.1985705676545238e-11,1.0570922692573945e-12,4.0746042790902994e-16,2.045632861293503e-24,4.0746050667679488e-16,9.1849070668058151e-38,3.0381871462066171e-23,2.7998513536138377e-26,7.2959911781925806e-29,6.7650157110635634e-46,1.7351043574496076e-59,1.5061620819198468e-28,7.0297112776922721e-47
1.0903694209829827e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,0.0,5.460421305280275e-45,1.2301853792898401e-27,3.0392523996422584e-46,7.7920796072715554e-36,8.42184727214413e-82,1.1087572513865235e-17,2.2404966829607837e-76,1.1087492650569736e-17,2.0394188570950736e-51,1.2128771108827529e-45,4.9841044415399788e-67,3.0116260982077576e-68,4.5061524985021176e-37,1.0283322319188485e-59,4.3971413571189667e-11,2.1141846503003454e-12,8.1492080297830263e-16,6.997297275794041e-24,8.1492111934753081e-16,7.347933294379695e-37,1.2141539066233717e-22,2.2321499843097471e-25,1.163456774974067e-27,4.3001093745374566e-44,4.4117406261974065e-57,6.0246666085019906e-28,1.1247536849044061e-45
2.1807388997358194e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,0.0,6.7954215975741386e-44,4.9207518616908156e-27,3.8378435347121825e-44,6.2336613282476288e-35,4.2540762967859509e-79,2.2175305314699971e-17,1.4339276690690539e-74,2.2174985861569852e-17,3.2630689820194305e-50,1.509036256353282e-44,1.2587783744945443e-64,7.6061193665865522e-66,2.8285824055277428e-36,3.2906619725120364e-58,8.7942829025707707e-11,4.228369411706345e-12,1.6298412650694871e-15,2.1584987458230224e-23,1.6298425378586341e-15,5.8783580153660772e-36,4.8476705567835159e-22,1.773450289231323e-24,1.8491504095488883e-26,2.7148552561398522e-42,1.1142034331102074e-54,2.4098809807726594e-27,1.799605155813398e-44
4.3614778572414927e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,0.0,7.4742199510298558e-43,1.9683088615758007e-26,4.7820624020114309e-42,4.9869248281107516e-34,2.1204498966741793e-76,4.4351250014580725e-17,9.177260814350557e-73,4.4349972202551627e-17,5.220906046719459e-49,1.6591828528902282e-43,3.1371153358463757e-62,1.8955892668971709e-63,1.5751096779692388e-35,1.0530109745482641e-56,1.7588565859566063e-10,8.4567389318095862e-12,3.2596810370632688e-15,5.864931948058006e-23,3.2596861632451137e-15,4.7027042036817474e-35,1.9319488364987661e-21,1.3994439977651516e-23,2.9196541801712672e-25,1.691212223752744e-40,2.7767096414703225e-52,9.6396380473606002e-27,2.8793655951566782e-43
6.542216814747166e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,0.0,2.4479614619769929e-42,4.1826681855387872e-26,3.0996252330651906e-41,1.4804925807800325e-33,1.7898313086846225e-75,6.652767381233307e-17,5.2105727780429002e-72,6.6524958462514941e-17,1.9751740047691555e-48,5.4367884111833578e-43,2.3389601337441849e-61,1.4133071153150057e-62,3.7572025452436394e-35,4.9122713898252836e-56,2.6382848682653032e-10,1.2685108449208668e-11,4.8895196568693226e-15,9.9035108851689138e-23,4.8895305864600737e-15,1.344682387752728e-34,4.0949789565827343e-21,3.9701994809303771e-23,1.0678062887091514e-24,9.3458499325631464e-40,2.0702308470300659e-51,2.0484398308719347e-26,1.089322001750835e-42
1.0903694729758513e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,0.0,1.3062455951553443e-41,1.1563930925342405e-25,1.3313431629867228e-39,6.9349271511889428e-33,2.3966255595910658e-73,1.108824377966141e-16,1.4007954913371842e-70,1.1087493065836781e-16,1.5588247760385607e-47,2.9012646351675103e-42,1.7631500992208913e-59,1.0653755010523234e-60,1.1836866904116669e-34,6.5827519747620285e-55,4.3971413793193717e-10,2.1141847473199756e-11,8.1491922877373298e-15,1.8334930931583813e-22,8.1492226738866165e-15,6.1797004957645766e-34,1.1247864652605536e-20,1.7822276755321559e-22,8.0333246265173902e-24,2.3179902126466164e-38,1.5604804998237697e-49,5.6634529754087906e-26,8.5970240978061523e-42
1.4829024853268724e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,0.0,3.1457452623484505e-41,2.0592032864583106e-25,6.2534590941523898e-39,1.600303146050982e-32,1.3199881932758627e-72,1.5080327335549723e-16,6.0825563194743509e-70,1.5078990537286282e-16,4.374567453865778e-47,6.9888740941634881e-42,9.0505604777041546e-59,5.4687579546782591e-60,2.2142394784767797e-34,2.1847679786147289e-54,5.9801121960019253e-10,2.8752912586064335e-11,1.1082893932781686e-14,2.6005731108756526e-22,1.1082948201724677e-14,1.3910493279863021e-33,1.9942885602299735e-20,3.95988089774352e-22,2.1897958248178749e-23,9.7668054462131245e-38,8.0101362547327411e-49,1.0085072612407688e-25,2.4126033722980182e-41
