Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),C2H4X(210),acetyl(43),C2H4X(65)
6.0300427548118834e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679700666,0.11866996602700527,0.02282156769301126,0.0,2.2259290708197337e-42,1.8110582431963197e-24,4.9578670682084244e-53,9.2093934833495682e-37,3.87840013127223e-85,5.32199092566832e-14,1.1352975307563052e-71,5.32199092206608e-14,6.7808463133462891e-49,5.518574794615272e-49,5.3401255505166396e-71,6.1918630996393012e-72,2.8966399497562268e-37,1.571259209783985e-56,2.9064853448157633e-12,8.6055865294932444e-14,3.4451051833786564e-16,5.486081032087132e-26,2.0341100416771862e-25,3.4451042683077673e-16,2.9472052489746263e-23,4.7148472198250803e-27,1.2813960788193681e-30,7.5107603145090188e-50,7.1503138156804561e-35,1.2671357899835546e-63,9.4044576103554218e-65,1.1041521200626689e-36,1.1826920564055497e-74,2.724987286401961e-77,1.4781396381108666e-67
1.2060090621358681e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679401345,0.11866996602404523,0.022821567692968232,0.0,3.5572024317341653e-41,7.2442376050627068e-24,6.3217568707990493e-51,7.3675220222379481e-36,1.9781070155672618e-82,1.0643986368823148e-13,7.2659149372816496e-70,1.0643986354414178e-13,1.0849365274312803e-47,8.818360047859855e-48,1.3618226741749172e-68,1.5790301340502373e-69,2.3144363375299603e-36,5.0280344237544329e-55,5.8129731520737614e-12,1.7211180353854324e-13,6.8902139458788521e-16,2.1915143123519297e-25,8.1364406487591785e-25,6.8902102854021094e-16,1.1786940883196812e-22,3.7702980078486628e-26,2.043843903077855e-29,4.7885549637034814e-48,5.7202553047271079e-34,8.1096767838177197e-62,2.398294800615853e-62,8.8222368682950891e-36,1.5138472888992665e-72,1.389836997814363e-74,9.4597968500590753e-66
2.4120186354452273e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678802696,0.11866996601812513,0.022821567692882176,0.0,5.6778565872934782e-40,2.8976959843849308e-23,8.0635130727043671e-49,5.8940204509485277e-35,1.0092423153429301e-79,2.1287977273058041e-13,4.6501887929513928e-68,2.1287977215422144e-13,1.7358992601010942e-46,1.4073134267373189e-46,3.4740536808272976e-66,4.0281565523472277e-67,1.846962567976605e-35,1.6089715425300975e-53,1.1625948762335729e-11,3.4422368002023317e-13,1.3780433448029412e-15,8.7427908692690587e-25,3.2545735413407557e-24,1.3780418804590443e-15,4.7132684415354537e-22,3.0137097942986445e-25,3.2630537442497615e-28,3.0539513969963339e-46,4.5762059556921551e-33,5.1901943713161937e-60,6.1181196921005755e-60,7.0402767020214303e-35,1.9377249993510257e-70,7.0909853997513056e-72,6.0538799699689422e-64
4.8240377820639456e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677605403,0.11866996600628492,0.022821567692710064,0.0,9.04113796882527e-39,1.1590785949307317e-22,1.027063276982437e-46,4.7152173963160729e-34,5.1419995415080895e-77,4.2575959153228714e-13,2.9761216011466343e-66,4.2575958922685152e-13,2.7774392207271927e-45,2.240186639531194e-45,8.8499723624046243e-64,1.026151886542819e-64,1.4702833775307334e-34,5.1487080802200832e-52,2.3251899965843559e-11,6.8844743296150261e-13,2.7560880368971112e-15,3.478639296477465e-24,1.3018266212535818e-23,2.7560821782980369e-15,1.8841012285164552e-21,2.4069282997550074e-24,5.2088716173069203e-27,1.9449130047615038e-44,3.6609654669240425e-32,3.3217231997613102e-58,1.5585553739769533e-57,5.604398408001474e-34,2.480287115103334e-68,3.6127139559093946e-69,3.8739808266590722e-62
9.648076075301384e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675210819,0.1186699659826045,0.022821567692365839,0.0,1.432877302836728e-37,4.6363148835047682e-22,1.3031601907996185e-44,3.7721741749462779e-33,2.6097725744098423e-74,8.5151923200372668e-13,1.904717743492261e-64,8.515192227819948e-13,4.4439022819252905e-44,3.547980015966192e-44,2.2458423398293035e-61,2.6040470903850353e-62,1.1647331169221806e-33,1.6475853613963784e-50,4.6503802304794793e-11,1.3768949387556745e-12,5.5121805942088824e-15,1.376890461260913e-23,5.207282881383561e-23,5.5121571499929592e-15,7.5267711889019474e-21,1.9191030285177514e-23,8.3043912542497853e-26,1.2338362607177717e-42,2.9287726825364514e-31,2.1259004275673927e-56,3.9550988672450187e-55,4.439632402908982e-33,3.1747639089997829e-66,1.8335094986546963e-66,2.4787039303556024e-60
1.9296152661776257e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670421644,0.11866996593524366,0.022821567691677393,0.0,2.2499507825491662e-36,1.8545261349456268e-21,1.6400542913568105e-42,3.0177391929887781e-32,1.3138459095393033e-71,1.7030385244186705e-12,1.2190189040377223e-62,1.7030384875318141e-12,7.1102407304451171e-43,5.5638422920184277e-43,5.6530658483640843e-59,6.5547069907989762e-60,9.1390905786952671e-33,5.2722642387202756e-49,9.3007606710439525e-11,2.7537899499913074e-12,1.1024378453058066e-14,5.394393885222814e-23,2.0828940215921886e-22,1.102428459754388e-14,3.003028638370272e-20,1.5250556125832266e-22,1.3199122374647278e-24,7.7635385844306597e-41,2.3430183141015085e-30,1.3605728918580176e-54,9.9553752910985154e-53,3.4834439442794678e-32,4.0636877373408512e-64,9.2295803391511057e-64,1.5855467596074049e-58
3.859230583472601e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727660843301,0.11866996584052199,0.022821567690300498,0.0,3.4706573619721429e-35,7.4181055435434289e-21,2.0307060924820309e-40,2.4141908954080695e-31,6.5078338657332372e-69,3.406077155136449e-12,7.8017140999891543e-61,3.4060770075895823e-12,1.1376374692574902e-41,8.5605481975440898e-42,1.4000125403899432e-56,1.6233064115401208e-57,7.04061796388503e-32,1.6871186758834558e-47,1.8601521443269814e-10,5.5075799710571784e-12,2.2048825563994859e-14,2.0722538100480604e-22,8.3314225460415572e-22,2.2048449510036402e-14,1.1951111650543073e-19,1.2039234108534006e-21,2.0846758181596026e-23,4.8057531700551578e-39,1.8744147883834591e-29,8.7076223130676097e-53,2.4654519558350385e-50,2.6834103088498474e-31,5.2014939876934376e-62,4.5707523631231861e-61,1.0136970421599422e-56
7.71846121806255e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727641686613,0.11866996565107865,0.022821567687546708,0.0,5.1803519592392049e-34,2.9672429218618694e-20,2.4361395724003046e-38,1.9313518924372771e-30,3.1234708618261557e-66,6.81215460012064e-12,4.9930878573493727e-59,6.8121540099376409e-12,1.8202165080616706e-40,1.2715518147517386e-40,3.3595011244975881e-54,3.89531020637748e-55,5.2429926854839792e-31,5.3987418509910148e-46,3.7203042552109208e-10,1.1015160007605248e-11,4.4097928722861713e-14,7.6760313184591838e-22,3.3324460931885441e-21,4.4096419410554824e-14,4.7323295102149472e-19,9.3809548173449534e-21,3.2514049123324057e-22,2.8818604040968265e-37,1.499531993304686e-28,5.5728214211332506e-51,5.9159086556266634e-48,1.9980036603098364e-30,6.6578445859734069e-60,2.1928879168238938e-58,6.4742253790150602e-55
1.15776918526525e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727622529926,0.11866996546163532,0.022821567684792918,0.0,1.8455249886772651e-33,6.3053922038002054e-20,1.5616101376101329e-37,5.7336995153825985e-30,2.613749290541554e-65,1.0218232228650386e-11,2.8349256600987471e-58,1.0218230974518221e-11,6.8862426419370814e-40,4.6903150244920695e-40,2.4804796329597925e-53,2.8760905972419211e-54,1.4401344324122299e-30,2.5184941610645821e-45,5.5804563225336275e-10,1.6522740038611256e-11,6.6147244198688546e-14,1.5488118349795612e-21,7.081267381301626e-21,6.6144029392576715e-14,9.98635132281513e-19,2.6421549517116869e-20,1.1821778866633548e-21,1.5722451758376968e-36,4.287724537521731e-28,3.1163597417830014e-50,4.3679487934681669e-47,5.4876313075175437e-30,4.3598094334772752e-59,1.8398460882636719e-57,3.6178793572847963e-54
1.543692248724245e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727603373239,0.11866996527219198,0.022821567682039128,0.0,4.5475526980721087e-33,1.0756258824777565e-19,6.4389359190111554e-37,1.2493426172136756e-29,1.3119256346387383e-64,1.3624310040722899e-11,1.0902542081267688e-57,1.3624307901331327e-11,1.7924835679208508e-39,1.2186819474263484e-39,1.1322964789536759e-52,1.3128840220916442e-53,2.9315269789784789e-30,7.668815153804131e-45,7.4406083462951026e-10,2.2030320064094149e-11,8.8196775427317331e-14,2.5221539646573557e-21,1.2079525439953337e-20,8.8191279462073121e-14,1.6926920576283798e-18,5.4974920005440205e-20,2.9653925051281863e-21,5.8181898063134073e-36,9.0440532986300602e-28,1.0908742357525901e-49,1.9938734325848392e-46,1.1169750759453638e-29,1.7290655015869161e-58,1.0209476104311247e-56,1.2656177240309949e-53
