Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25)
6.5072085240292155e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319724956,0.11866996602734112,0.0228215676929912,0.0,9.3883930004477368e-50,4.3813909800637406e-30,8.3003814764388168e-55,1.6562159868285431e-39,8.1915319318179773e-93,6.6169003270565667e-19,1.0122055618997074e-83,6.6168974826420952e-19,2.5869698461970855e-56,2.085984848154909e-50,8.1232330098689941e-77,4.9084331377458258e-78,1.2844743599938973e-40,7.7846619616426007e-66,2.6241671222925511e-12,1.2617228726205261e-13,4.8633615988463382e-17,3.4136214961110737e-26,4.8633617105266504e-17,1.5618094422075329e-40,4.3318167284039372e-25,4.7754410014174766e-29,1.4852010824661284e-32,1.9679371993659886e-51
1.301442256429212e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631944991,0.1186699660247169,0.022821567692928115,0.0,1.4694621785712404e-48,1.7525577230323269e-29,1.0615643180649748e-52,1.324974065074709e-38,4.1905823321810202e-90,1.3233811951205578e-18,6.47812710887946e-82,1.3233800573540597e-18,4.1391560335629565e-55,3.264893928448513e-49,2.0778195750369294e-74,1.2555146907740007e-75,1.005991591314803e-39,2.4910944923776168e-64,5.2483364675312697e-12,2.5234468147849732e-13,9.7267271836316454e-17,1.3347303038776602e-25,9.7267276306794729e-17,1.2494486221064758e-39,1.7325367342185476e-24,3.8187751768532143e-28,2.3753292738191763e-31,1.2584273933876828e-49
2.602885064481793e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318899822,0.11866996601946846,0.022821567692801942,0.0,2.2527967404088068e-47,7.0102348541773831e-29,1.3565770808867074e-50,1.0599797205666709e-37,2.1420746134919205e-87,2.6467652263125362e-18,4.1460067113237345e-80,2.646760675245206e-18,6.6226528221569171e-54,5.0051221350736305e-48,5.3105239341022661e-72,3.2088641361553479e-73,7.7227932293669601e-39,7.9715063366770565e-63,1.0496675153239452e-11,5.0468946990158893e-13,1.9453457942840403e-16,5.1080727034782866e-25,1.9453459733493757e-16,9.9955949483274697e-39,6.92862114093016e-24,3.0524950089611141e-27,3.7974526106825491e-30,8.0406946685123633e-48
5.205770680586955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317799647,0.11866996600897158,0.022821567692549598,0.0,3.3246650557026954e-46,2.8040957733645848e-28,1.7307640625374161e-48,8.479838970752091e-37,1.093181152722403e-84,5.2935401141446248e-18,2.6534481582583679e-78,5.2935219098732822e-18,1.059624623337263e-52,7.3859492625295338e-47,1.3550756386693029e-69,8.1879933942999826e-71,5.7147608981636242e-38,2.5508824679865596e-61,2.0993352505578806e-11,1.0093790467086776e-12,3.8906917819810609e-16,1.8793584047834356e-24,3.8906925000039154e-16,7.9964810623181847e-38,2.7702272517958852e-23,2.4379623159261705e-26,6.0661842966111054e-29,5.129220929436599e-46
1.041154191279728e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315599296,0.11866996598797783,0.022821567692044908,0.0,4.5979446217109725e-45,1.121639505925342e-27,2.2010155335745284e-46,6.7838705905947453e-36,5.5609077480154515e-82,1.0587117191596693e-17,1.6982143422465175e-76,1.0587044374512575e-17,1.6953992733833646e-51,1.0213154001702724e-45,3.4465480379938942e-67,2.0825635177020653e-68,3.9719746171414505e-37,8.1628233634212763e-60,4.1986707133949455e-11,2.0187582001671021e-12,7.7813831007963084e-16,6.4651282876220647e-24,7.7813859843937775e-16,6.3971912293099064e-37,1.1071148778212884e-22,1.943940516687881e-25,9.6749094571192217e-28,3.2613357142826503e-44
2.082308437721793e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311198594,0.11866996594599033,0.022821567691035528,0.0,5.7657996258858112e-44,4.4865670398536606e-27,2.7810403825559034e-44,5.4270945284824922e-35,2.810648328701056e-79,2.1174380553615521e-17,1.0868642708199971e-74,2.117408928532372e-17,2.7126379018006862e-50,1.2804171898125944e-44,8.7098292507323515e-65,5.2628805063436866e-66,2.5116807739933664e-36,2.6121025981705615e-58,8.3973416085458578e-11,4.0375165064638486e-12,1.5562763112112541e-15,2.0100590795286232e-23,1.556277471200355e-15,5.1177624565100096e-36,4.4206700286343124e-22,1.5449449465271827e-24,1.538150771687925e-26,2.0602855940743123e-42
4.164616930605923e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302397189,0.11866996586201534,0.022821567689016772,0.0,6.3956958069297848e-43,1.7946338874558142e-26,3.4693994155798843e-42,4.3416721098467571e-34,1.4026416122403143e-76,4.2349344105816754e-17,6.9560209021046109e-73,4.2348179033076236e-17,4.3402172177611476e-49,1.4198018454520526e-43,2.1732457593098695e-62,1.313174999126981e-63,1.4102276071793796e-35,8.3587218361120869e-57,1.67946832767548e-10,8.0750331165870666e-12,3.1125512629495417e-15,5.5090955773775312e-23,3.112555934597532e-15,4.0942247664215949e-35,1.7620669160013412e-21,1.2198746696216321e-23,2.430049541131347e-25,1.2849906840029194e-40
6.246925423490053e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756293595785,0.11866996577804034,0.022821567686998015,0.0,2.1010141203708495e-42,3.8136073393528351e-26,2.2495747663670662e-41,1.2889333034807748e-33,1.1842665875753199e-75,6.3524744485886089e-17,3.9494196802213733e-72,6.3522268706958978e-17,1.6419916980382974e-48,4.6663625975071698e-43,1.6208198737557001e-61,9.7937381906185842e-63,3.3756635284926351e-35,3.8993241068548262e-56,2.5192024822870865e-10,1.2112549724244419e-11,4.6688251641636211e-15,9.341862146238998e-23,4.6688351245087973e-15,1.1706948105385745e-34,3.7353211716003018e-21,3.4619768124783363e-23,8.8899507554914333e-25,7.1038930520338957e-40
1.0411542409258312e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275992977,0.11866996561009036,0.022821567682960498,0.0,1.1272219447985025e-41,1.0543575497164524e-25,9.6822850995442634e-40,6.0376251605062897e-33,1.589101967550614e-73,1.0587729255513708e-16,1.0617489518716109e-70,1.0587044775924548e-16,1.2958744520820487e-47,2.5037213781085282e-42,1.224352148337514e-59,7.3980930998549724e-61,1.0686945917748399e-34,5.2253394194490918e-55,4.1986707426731481e-10,2.0187582929705158e-11,7.7813687645008639e-15,1.7375532706090954e-22,7.7813964547500459e-15,5.3801115459688203e-34,1.0262964502673561e-20,1.5556937540562986e-22,6.6947106765328546e-24,1.7655475285282749e-38
1.4159697696449746e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675626015045,0.11866996545893538,0.022821567679326735,0.0,2.71979290000288e-41,1.8775069588858299e-25,4.5503632859863182e-39,1.3932418881235392e-32,8.7554147578688187e-73,1.4399599721559314e-16,4.6103391896452991e-70,1.4398380866762828e-16,3.636643774241547e-47,6.0427397531536036e-42,6.2876187772702599e-59,3.7992639178792641e-60,2.0031097466102108e-34,1.7342525787848507e-54,5.7101921375720929e-10,2.7455112806662353e-11,1.0582654610543543e-14,2.4694442614527561e-22,1.0582704062615512e-14,1.2110618282010774e-33,1.8200124188549268e-20,3.4585339910231784e-22,1.8257302951427191e-23,7.4440568288933031e-38
