Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),COX(50),CO2X(24)
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,3.2946928017376528e-75,1.1281583820264319e-49,5.0323345924385742e-30,1.1418538992717743e-54,4.0784155910460744e-40,1.2364389028570304e-92,6.9296774510989616e-19,2.8629842240850525e-84,6.9296774073005693e-19,6.6715155294216143e-57,3.4907813056857376e-52,1.1703404220448496e-76,7.0717045386412503e-78,1.4738769508160653e-40,2.1024782566160452e-66,2.7482111771924732e-12,1.321364356578537e-13,5.0932487623779818e-17,5.0932556110408374e-17,3.3838625943851677e-23,2.8067962324863494e-25,9.1666134253892953e-29,3.7399090440529246e-26,1.3328387075774093e-47,1.8730142905134517e-40,2.625523170095122e-69,1.0359531565392423e-66,7.8283062580640251e-69
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,1.6685259625001429e-72,1.7640053005716725e-48,2.102325757219647e-29,1.4486202068851611e-52,3.2627316236227846e-39,6.2769070499275332e-90,1.3859360863105098e-18,1.8323104750091554e-82,1.3859360687911518e-18,1.0674423249742379e-55,5.4581104932047248e-51,2.9695633845780652e-74,1.7943304695465636e-75,1.1532084327246564e-39,6.727929781177793e-65,5.4964246823308054e-12,2.6427298332565859e-13,1.0186495025006727e-16,1.0186522530714037e-16,1.3424855943456646e-22,2.2275844065902737e-24,1.4535710897339023e-27,1.4607857265673094e-25,8.4544014251868411e-46,1.5607512600658465e-39,6.6614703407073534e-67,2.6285604555209155e-64,1.9822243281736236e-66
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,8.3752069061691548e-70,2.6992278017950525e-47,9.1082962112690855e-29,1.8252633821407945e-50,2.6101800679701944e-38,3.166060473956326e-87,2.7718727946742389e-18,1.1726767840688401e-80,2.7718727245968624e-18,1.7079044941705049e-54,8.3514560444062939e-50,7.4835818026554929e-72,4.5218401335852738e-73,8.8367447379185385e-39,2.1529335843173758e-63,1.0992851687376673e-11,5.285460786505238e-13,2.0372967098242419e-16,2.0373077990116319e-16,5.2834578472690195e-22,1.7541262147633325e-23,2.2889988476020887e-26,5.5795231417026021e-25,5.3259878262754629e-44,1.3461654619291817e-38,1.6785263994278433e-64,6.6241444847802688e-62,4.9748239949751981e-64
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,4.1280650308645395e-67,3.970046293943506e-46,4.1779749992589996e-28,2.2674247037014225e-48,2.0881341360619106e-37,1.5756953891088289e-84,5.5437463152512894e-18,7.5050983579411038e-79,5.5437460349423718e-18,2.7326346964922839e-53,1.2282322908845436e-48,1.8594298223636353e-69,1.1235106974920919e-70,6.5177381590970482e-38,6.8893565600290941e-62,2.1985705676545238e-11,1.0570922692573943e-12,4.0745829436955176e-16,4.074627966328275e-16,2.0472301679122896e-21,1.3604960160838344e-22,3.5531443614416545e-25,2.045632861293802e-24,3.3077131738825022e-42,1.226405286590305e-37,4.1694463260160205e-62,1.6458487171316568e-59,1.2259782683332254e-61
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,1.9645061273298792e-64,5.4604822241258016e-45,2.063344313650441e-27,2.7411237658956132e-46,1.6704908201847419e-36,7.6435303651110473e-82,1.1087493771800359e-17,4.8032180627511441e-77,1.1087492650569746e-17,4.3721737961057835e-52,1.6890637266986304e-47,4.4964563888535249e-67,2.716759965288209e-68,4.506152499819084e-37,2.2045734119430622e-60,4.3971413571189661e-11,2.114184650300345e-12,8.1491226885979036e-16,8.1493076814393796e-16,7.7037032157519968e-21,1.0254320461601742e-21,5.3656835244033705e-24,6.9972972757981508e-24,1.9989247180961283e-40,1.2010270905156819e-36,1.0077070310253897e-59,3.9797902855392976e-57,2.9169439991883375e-59
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,8.7683358501338748e-62,6.7955861192720869e-44,1.0918316499516619e-26,3.1557729675988289e-44,1.3363660270188129e-35,3.5419135973561411e-79,2.2174990346451655e-17,3.0740011464289624e-75,2.2174985861569966e-17,6.9953431881399631e-51,2.1014765669048641e-46,1.0356205138109751e-64,6.2567456392093473e-66,2.8285824074331013e-36,7.0545010740707667e-59,8.7942829025707707e-11,4.2283694117063434e-12,1.6298071289146411e-15,1.6298844845667928e-15,2.7517397909066215e-20,7.343167117283743e-21,7.7119471799996912e-23,2.1584987458284526e-23,1.1501702630976626e-38,1.2613727607917049e-35,2.3184878375667125e-57,9.1653668432008227e-55,6.508806027837439e-57
4.3614778572414917e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,3.5113477591411356e-59,7.4746226694779637e-43,5.9599058739981087e-26,3.3538238560876294e-42,1.0690501176837587e-34,1.5242370859045365e-76,4.434999014175254e-17,1.9672856882740493e-73,4.4349972202552693e-17,1.1192116373072687e-49,2.3105241550211311e-45,2.2023608275131219e-62,1.330363875108804e-63,1.5751096805273419e-35,2.2573544552494381e-57,1.7588565859566058e-10,8.456738931809583e-12,3.2595444950055142e-15,3.2598743574944415e-15,9.036344128011829e-20,4.8362500071938682e-20,1.0222341082017402e-21,5.8649319481245354e-23,6.1073047872462211e-37,1.3720915557083494e-34,4.9206150829903138e-55,1.9487523875686909e-52,1.3029155226619176e-54
6.542216814747164e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,2.8404205809737464e-58,2.448130929570227e-42,1.4520161916727953e-25,2.0827291587273104e-41,3.1736704477887185e-34,1.2480799961344009e-75,6.6524996582839701e-17,1.1169521198157509e-72,6.6524958462517727e-17,4.2341261630054289e-49,7.5710219459970486e-45,1.5815412474476149e-61,9.5530870874910264e-63,3.7572025539456353e-35,1.0530344811906849e-56,2.6382848682653032e-10,1.2685108449208665e-11,4.8892295087609978e-15,4.8899547213034661e-15,1.6906377944170024e-19,1.2444321021514586e-19,3.4541172264126077e-21,9.9035108853969256e-23,3.2121386173409995e-36,4.4076188629312846e-34,3.5518494162622152e-54,1.3993482532080537e-51,9.2598303244664335e-54
1.0903694729758509e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,3.3361281967168185e-56,1.3064283038515213e-41,4.8877165535401417e-25,7.1548168055794669e-40,1.4864987485866191e-33,1.3884208700410432e-73,1.1087503604643074e-16,3.0024433147115061e-71,1.1087493065838383e-16,3.3413693101444635e-48,4.0400074387378702e-44,9.5148773978024251e-60,5.7450487512158839e-61,1.1836866957436131e-34,1.4110328957855399e-55,4.3971413793193717e-10,2.114184747319975e-11,8.1483901403996573e-15,8.1505143631035642e-15,3.5933668525912696e-19,4.4095813621961586e-19,2.0688443577296264e-20,1.8334930933008322e-22,6.3848980410808012e-35,2.4843747883651868e-33,2.5897209571422612e-52,8.4149054549574027e-50,6.1521587545936914e-52
1.4829024853268719e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,2.0160316574801633e-55,3.1463235628812141e-41,9.469493718535165e-25,3.1412575838721325e-39,3.4300835744115128e-33,7.5371887255802333e-73,1.5079009303374025e-16,1.3036605536281622e-70,1.507899053729014e-16,9.3766206699524326e-48,9.7317709390666183e-44,4.6151904866559796e-59,2.7860932742860986e-60,2.2142394917960951e-34,4.6829785479064383e-55,5.9801121960019253e-10,2.8752912586064329e-11,1.1081465577722948e-14,1.1085357165243829e-14,5.4508007018604292e-19,8.6576330779355227e-19,5.105287492339981e-20,2.6005731112512583e-22,2.4832217692332524e-34,6.0373326143012141e-33,1.4770074183750533e-51,4.0808076345255071e-49,3.4550171291177456e-51
