Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24),H2OX(23)
2.7657197223565033e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,9.5367588807550594e-70,3.5620972779362507e-40,9.3968717707403359e-29,2.0192644973691733e-50,2.7261774945361653e-38,3.6056703436286556e-87,2.8123402325394911e-18,1.2792212906296129e-80,2.8123401604010197e-18,1.8098467626400558e-54,8.8386423193983859e-50,8.3998633398465645e-72,5.0754878614688638e-73,9.2180914348721102e-39,2.3147464174049376e-63,1.1153339763030628e-11,5.3626248796577175e-13,2.0670397601405529e-16,2.0670511780573288e-16,5.4362943667217912e-22,1.8312410690254536e-23,2.4245289774934492e-26,5.7360473268706825e-25,5.8072771770408047e-44,1.4089204442191702e-38,7.4351949194522506e-62,1.8840357467737649e-64,5.5832642568301519e-64,4.6163260798368703e-35
5.531440030845545e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,4.6981062850039394e-67,5.2630395190002241e-39,4.3164428717294102e-28,2.5073924001632281e-48,2.1809314774337554e-37,1.7937867961052368e-84,5.6246812036304949e-18,8.1869796246805959e-79,5.6246809150772129e-18,2.8957413757923723e-53,1.2984667689365699e-48,2.086242303111358e-69,1.2605553666816793e-70,6.7918755731259168e-38,7.4071547879760059e-62,2.2306681861044497e-11,1.0725250895215229e-12,4.134068729817662e-16,4.1341150960851986e-16,2.1055143184844993e-21,1.4196898009819525e-22,3.7619604291912391e-25,2.1006533560117971e-24,3.6051327717389791e-42,1.2853328520899678e-37,1.8466074012145768e-59,4.6779959232982204e-62,1.3751942570818241e-61,3.4012754895950177e-34
1.106288064782363e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,2.2335638465415761e-64,7.2995744599116219e-38,2.1351446813171451e-27,3.0289056268731539e-46,1.74472770595378e-36,8.6952080468179259e-82,1.1249363573424854e-17,5.2396172660299293e-77,1.1249362419217021e-17,4.633141338523404e-52,1.7825185962109023e-47,5.0410836804088839e-67,3.0458205130975426e-68,4.6877447466561477e-37,2.3702669605966995e-60,4.4613365970917977e-11,2.1450502924572468e-12,8.2680929839029989e-16,8.2682835570279339e-16,7.9165314227718781e-21,1.0691887810524969e-21,5.6766233931051695e-24,7.1724819583893409e-24,2.1769888198206263e-40,1.2607371532011658e-36,4.4618309904315174e-57,1.129746416336262e-59,3.2687191143675194e-59,2.3475196796445815e-33
2.2125761881779797e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,9.9517119569625398e-62,9.2132606166926597e-37,1.1311252602910743e-26,3.4824690799720848e-44,1.3957539449369632e-35,4.0242703963082375e-79,2.249873002343514e-17,3.3532903944400705e-75,2.2498725406646389e-17,7.4128811110186043e-51,2.2124019416006336e-46,1.1595252114885471e-64,7.0053056295161869e-66,2.9357176147631206e-36,7.5847082617430275e-59,8.9226733846047949e-11,4.290100697628863e-12,1.6536006753196663e-15,1.6536803972030584e-15,2.8237880334775465e-20,7.6458943056709983e-21,8.1479175033099957e-23,2.2070416269844832e-23,1.2509617828456196e-38,1.3256779934650595e-35,1.026191042143557e-54,2.5957998438400615e-57,7.2809101014913975e-57,1.4700964012717416e-32
4.425152434969213e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,3.9739264751130241e-59,1.0344243473411908e-35,6.1747255685295407e-26,3.6934454397022571e-42,1.1165579026331865e-34,1.7285688265509097e-76,4.4997469764918104e-17,2.1460227921498463e-73,4.499745129810456e-17,1.1860144520976878e-49,2.4260282807448087e-45,2.460824253399145e-62,1.486485398703693e-63,1.6305441431784152e-35,2.42701295073285e-57,1.7845346821783985e-10,8.5802015051838514e-12,3.3071295353860924e-15,3.3074696146624493e-15,9.2532062860297482e-20,5.0248489963402682e-20,1.077785986079383e-21,5.9805871709449147e-23,6.6288471553684197e-37,1.4422771507530396e-34,2.1774411315425252e-52,5.4977732457458072e-55,1.4533311544292812e-54,8.1646245361071734e-32
6.637728681760446e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,3.2127228692597213e-58,3.2795891723151621e-35,1.5038914730804381e-25,2.2924297838712244e-41,3.3147048811572248e-34,1.4148750327584644e-75,6.7496216347638476e-17,1.2184322127898155e-72,6.7496177106162165e-17,4.4868488576670253e-49,7.9420618059903293e-45,1.7663343079453031e-61,1.0669250609559413e-62,3.8852023636950861e-35,1.1321783053138366e-56,2.6768020121116376e-10,1.2870302309955067e-11,4.9606045034183806e-15,4.9613522646168751e-15,1.7290163259131691e-19,1.2915481316833309e-19,3.6385908474713838e-21,1.008560850321557e-22,3.4843289338288942e-36,4.6321527327107355e-34,1.5628434796857441e-51,3.9666511102257627e-54,1.0321980753551691e-53,1.9453558790386703e-31
1.1062881175342914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627323993,0.11866996558382328,0.022821567682329034,3.7595677143896349e-56,1.7403154854028959e-34,5.0570617399085131e-25,7.8565029186665931e-40,1.5525553641849759e-33,1.5710542254247092e-73,1.1249373687624489e-16,3.2752250579861334e-71,1.1249362838868235e-16,3.5408021364066012e-48,4.2308974102381049e-44,1.0601099875673788e-59,6.4008370022694738e-61,1.222166031123243e-34,1.5170815210867598e-55,4.4613366168393997e-10,2.1450503908373082e-11,8.2673388854146925e-15,8.2695292019467149e-15,3.6673851813333953e-19,4.5664377327137153e-19,2.1746527130301972e-20,1.8645453724446845e-22,6.9096995952031674e-35,2.6085024692753895e-33,9.3754343940420777e-50,2.884919397118272e-52,6.8330472668753618e-52,6.1187849982048654e-31
1.5024863362236542e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756256493609,0.11866996542404512,0.022821567678487968,2.2380394558877048e-55,4.0899578498235953e-34,9.7585732657013335e-25,3.4082974310640116e-39,3.5661884082695091e-33,8.3828090945814111e-73,1.5278149460001998e-16,1.4079371303640357e-70,1.5278130198089403e-16,9.8715509351442059e-48,1.013679122608158e-43,5.0668918916484421e-59,3.0587366909288081e-60,2.2776076628566499e-34,4.9911018770291454e-55,6.0590881363822178e-10,2.9132635971133694e-11,1.1227792899169089e-14,1.1231793053460893e-14,5.5467185877095024e-19,8.9251715627855983e-19,5.3332773218765778e-20,2.6389461566904329e-22,2.6617428955766992e-34,6.3030638478046069e-33,4.4801423267918113e-49,1.6244590606812934e-51,3.7901356694350454e-51,1.1402013770619778e-30
1.898684554913017e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756239747288,0.11866996526426699,0.022821567674646902,9.0028834637564825e-55,7.9789400900810506e-34,1.6134322093979667e-24,1.1134114597296671e-38,6.8527566590212822e-33,3.6368468783388491e-72,1.9306927553767845e-16,4.2538859163381697e-70,1.9306897529008426e-16,2.2556403815286515e-47,2.0015633194100755e-43,1.9181622324069987e-58,1.157831268194688e-59,3.662166804985126e-34,1.3387703265724658e-54,7.6568396091415881e-10,3.681476802445805e-11,1.4188064044828053e-14,1.4194437871990421e-14,7.5041399810893629e-19,1.4811313960307654e-18,1.0741251431968323e-19,3.4155877170873367e-22,7.3860175132975905e-34,1.2604719879491344e-32,1.695841410009049e-48,5.7715615507882057e-51,1.2970522061200656e-50,1.8331898637724124e-30
2.2948827736023797e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756223000967,0.11866996510448884,0.022821567670805835,2.8979961944891107e-54,1.3631289176291986e-33,2.4112078262259823e-24,2.9244674152633456e-38,1.1634699189500945e-32,1.1865326070962071e-71,2.3335707833543002e-16,1.1020019135715853e-69,2.3335664833272919e-16,4.39127425798984e-47,3.4613874964703687e-43,5.5841905646659614e-58,3.3702452924388343e-59,5.3568880296631889e-34,2.9562997503177078e-54,9.2545910378433119e-10,4.4496900068896127e-11,1.7148162986919974e-14,1.7157449510753923e-14,9.5036770962262537e-19,2.2117944122376274e-18,1.8760033247743624e-19,4.1929648871379066e-22,1.7462036165790368e-33,2.1958107534122587e-32,4.936209365373806e-48,1.7498180951811153e-50,3.8529561145066234e-50,2.6813287375993868e-30
