Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23),C2H6X(52),CH3OO(77)
6.9142949098972176e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,0.0,1.5143188122503336e-42,4.9467317899638249e-30,1.2692499922175304e-54,1.9869022312207395e-39,1.414231985976748e-92,7.0308491439476991e-19,1.4567592292411495e-83,7.0308459325362343e-19,3.2976462606337703e-56,3.6194632647820033e-49,1.3198702589178837e-76,7.9752666278449022e-78,2.0959741219017651e-39,1.0544005754375649e-65,2.7883331706739879e-12,1.3406553676033224e-13,5.1676100733725274e-17,3.937241243917923e-26,5.1676101993803982e-17,1.8736461411221269e-40,4.8907270822619506e-25,5.7287750118670083e-29,1.8931549097635072e-32,2.8320903028008287e-51,1.1683183963665232e-66,7.872171915693816e-37,1.8186749291901553e-50,2.4225863144438367e-30
1.3828595681119822e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,0.0,2.4188317258110113e-41,1.9786942340402975e-29,1.6232064366513187e-52,1.5895233126569584e-38,7.2344963123249156e-90,1.4061710669767368e-18,9.3232757934007621e-82,1.406169782411351e-18,5.2762394638116524e-55,5.7807105560277794e-48,3.3758919485819154e-74,2.0398700555549787e-75,1.6738659283677611e-38,3.3740854451949274e-64,5.5766687032544157e-12,2.6813118716582582e-13,1.0335224372948902e-16,1.5719645737029458e-25,1.0335224877032959e-16,1.4989182051681243e-39,1.9560628748193764e-24,4.5810089003282047e-28,3.0277101978938556e-31,1.8109324929762653e-49,2.9882575607989492e-64,6.2867832472838329e-36,2.9098828820270827e-49,9.6903550502114093e-30
2.7657197223565033e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,0.0,3.8571399732953019e-40,7.914781531805224e-29,2.074091481363532e-50,1.2716192079764353e-37,3.6976400869526841e-87,2.8123452986640692e-18,5.9669044254657742e-80,2.8123401604010197e-18,8.4419871536826843e-54,9.2159137923297125e-47,8.6272851262067238e-72,5.2130046160875553e-73,1.3344533146436757e-37,1.0797078755378734e-62,1.1153339763030628e-11,5.3626248796571894e-13,2.0670452508789881e-16,6.264518842175619e-25,2.0670454525544024e-16,1.1991352974940563e-38,7.8224209723917567e-24,3.6615886071294829e-27,4.8401781036124089e-30,1.1569736839265154e-47,7.6366462691506227e-62,5.011982327145041e-35,4.6558147960628857e-48,3.8761461574589173e-29
5.531440030845545e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,0.0,6.1302587007085014e-39,3.1659147785314812e-28,2.645654350785219e-48,1.017295504367044e-36,1.8866626053708885e-84,5.624701468131624e-18,3.8188246495206894e-78,5.6246809150772113e-18,1.3507181548419744e-52,1.4640216281642045e-45,2.2009607400451583e-69,1.3299222138759852e-70,1.0602131719448803e-36,3.455065776037445e-61,2.2306681861044497e-11,1.072525089521147e-12,4.1340906927224931e-16,2.4873276270806972e-24,4.1340914997563076e-16,9.5930887740196381e-38,3.1275034361626967e-23,2.9241303046414088e-26,7.7311000221067893e-29,7.37891943406335e-46,1.9482239886101903e-59,3.9819517869655228e-34,7.4493047449486442e-47,1.5504610335675528e-28
1.106288064782363e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,0.0,9.6792406913624081e-38,1.2663673404059297e-27,3.3631209832123357e-46,8.1383632244081924e-36,9.5933980719510561e-82,1.124944463143274e-17,2.4440592478876229e-76,1.1249362419217006e-17,2.1611488617924313e-51,2.3094307636709473e-44,5.5957408154743952e-67,3.3812050380717332e-68,8.3664320019053173e-36,1.1056209619155575e-59,4.4613365970917977e-11,2.1450502924546255e-12,8.268180835110877e-16,9.8044834720839811e-24,8.2681840658733318e-16,7.6744791055664018e-37,1.2498306496883459e-22,2.3311126592145488e-25,1.2327814996046086e-27,4.689864769765231e-44,4.9531367283123402e-57,3.1422185947934266e-33,1.1918886283770899e-45,6.2018632203052934e-28
2.2125761881779797e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,0.0,1.5089085192055496e-36,5.0654801621400617e-27,4.2459779874744379e-44,6.51068807536164e-35,4.8449063169285645e-79,2.2499054255454767e-17,1.5642087540734974e-74,2.2498725406646266e-17,3.4578368968025075e-50,3.5936092396445364e-43,1.41297556014458e-64,8.5378498321571235e-66,6.5158052890597218e-35,3.5379857986990879e-58,8.9226733846047949e-11,4.290100697612838e-12,1.653635815469426e-15,3.810538128810119e-23,1.6536371098354138e-15,6.1395953385403618e-36,4.9899807068696508e-22,1.8518911519352558e-24,1.9591426324939815e-26,2.9603421518073141e-42,1.250689911385015e-54,2.4470948508929384e-32,1.9070210079054384e-44,2.4807602612140837e-27
4.425152434969213e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,0.0,2.2961727652036083e-35,2.0262005406288758e-26,5.2885668079323008e-42,5.2085459707014004e-34,2.4140202685921179e-76,4.4998766692823752e-17,1.0011072963824708e-72,4.4997451298103426e-17,5.5325343826705802e-49,5.4492443894804458e-42,3.5200471682750265e-62,2.1269742640083539e-63,4.9497007148567384e-34,1.1321545205303666e-56,1.7845346821783985e-10,8.5802015050994693e-12,3.3072700933096397e-15,1.4419513484318172e-22,3.3072752866625978e-15,4.9116951197472616e-35,1.9885576244435802e-21,1.4610533701240459e-23,3.0927310154727061e-25,1.8434227552632291e-40,3.1156453784969863e-52,1.8588090289645228e-31,3.0512307575452647e-43,9.9231602379794482e-27
6.637728681760446e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,0.0,8.2534807249079195e-35,4.3056885273783336e-26,3.4275419133205693e-41,1.5462863138609799e-33,2.0374485787451344e-75,6.7498972319160712e-17,5.6839861815985718e-72,6.7496177106159231e-17,2.093069273658199e-48,2.0282673557002569e-41,2.6242043976231979e-61,1.5856647845373173e-62,1.3745495275541023e-33,5.2814741406431855e-56,2.6768020121116376e-10,1.2870302309758729e-11,4.9609031850742871e-15,2.9508499729861292e-22,4.9609142436348979e-15,1.4044409004328288e-34,4.2148122073667445e-21,4.1445149974476436e-23,1.1310020800240395e-24,1.018565251131125e-39,2.3226999507212423e-51,5.1617911834104791e-31,1.154342046728417e-42,2.108689040389128e-26
1.1062881175342914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627323993,0.11866996558382328,0.022821567682329034,0.0,5.866295605676332e-34,1.1904049672003123e-25,1.4712083053244048e-39,7.2431181441731653e-33,2.7263375705228702e-73,1.1250135632488923e-16,1.5280674104812335e-70,1.1249362838866551e-16,1.6518687244318275e-47,1.5177900053417401e-40,1.976841923681596e-59,1.1944978007307944e-60,5.816205178227924e-33,7.0775066678612923e-55,4.4613366168393997e-10,2.145050390781237e-11,8.2681646243084504e-15,7.4505261495952403e-22,8.2681953508600136e-15,6.4543307820556571e-34,1.1575926373046705e-20,1.8598568849906702e-22,8.5060414924819898e-24,2.5246099434764661e-38,1.7496053830281765e-49,2.1838989582432956e-30,9.1101677157160228e-42,5.8300296217573223e-26
1.5032854438207126e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675625645983,0.11866996542372286,0.022821567678480221,0.0,1.5530910332134679e-33,2.1159938886396936e-25,6.8574257384307986e-39,1.6667499672837011e-32,1.4843871149049815e-72,1.5287629640862877e-16,6.594624711840759e-70,1.5286255975610949e-16,4.6171479348293934e-47,4.204985861053172e-40,1.0051758688810249e-58,6.073727039740491e-60,1.2484330951358842e-32,2.3364204648490309e-54,6.0623107034712003e-10,2.9148130361075805e-11,1.1235231331828337e-14,1.2490262067499632e-21,1.1235286121947569e-14,1.4487560007638679e-33,2.0487175550842679e-20,4.1202494671620186e-22,2.3092183906136266e-23,1.057219845320007e-37,8.8962228523104005e-49,4.6873875226070868e-30,2.5463881234219871e-41,1.036321421847195e-25
