Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH3OO(84),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56)
1.0578137161545159e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.118669965987306,0.022821567692028758,2.9266237316652886e-88,1.9628677231468549e-42,1.8694695154107434e-29,2.4616625266444114e-46,7.1147543770755824e-36,1.034115095893069e-32,2.2380160930859362e-19,2.0383003739687932e-74,2.237264530392622e-19,9.3245186218610844e-48,1.9328837542388492e-44,6.9633105522028439e-50,3.8472833508642281e-69,1.034847381882758e-32,6.5643089575934441e-58,4.2658537103345684e-11,2.0510603824222385e-12,7.9058931078164817e-16,8.9755589942684629e-24,7.9058960613721662e-16,1.1797090099037726e-29,1.1427960431353015e-22,2.0385414707406263e-25,1.0308111236250955e-27,3.5864909840891315e-44,1.0832907153525973e-38
2.115627488354022e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464667,0.022821567691003228,2.9587857723811476e-85,1.6366222824697142e-41,7.4788062047132167e-29,3.1068080585484883e-44,5.6918014245495488e-35,4.1376512707199875e-32,4.4775354501149201e-19,6.5288221145002003e-73,4.4745291998121177e-19,7.4643744505344464e-47,3.0112203963963863e-43,5.5721453944028834e-49,9.7108174298380893e-67,4.1433608107244575e-32,1.0509379609907844e-56,8.5317076046717585e-11,4.1021208726492646e-12,1.5811783019737794e-15,3.4926183127512287e-23,1.5811794852010166e-15,4.7201933876785233e-29,4.563015397221247e-22,1.6199592422058611e-24,1.6386533010867522e-26,2.2652285424966361e-42,8.667329612952153e-38
4.2312550327530345e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302115526,0.11866996585932801,0.022821567688952167,2.9569448295157932e-82,1.4074782761934573e-40,2.9922611489782619e-28,3.8740012087250012e-42,4.553437394077938e-34,1.6560131188902425e-31,8.9610835968592351e-19,2.0932285832077251e-71,8.9490586001281316e-19,5.9791179309431549e-46,4.5761345824553861e-42,4.460111128658671e-48,2.4218762239996171e-64,1.6603595067837847e-31,1.6835768349613786e-55,1.7063415267314775e-10,8.2042418505156866e-12,3.1623551999295611e-15,1.3246410499086827e-22,3.1623599467724935e-15,1.8891631196754036e-28,1.818703625898281e-21,1.2788403214343089e-23,2.5883097970127619e-25,1.4122386423686914e-40,6.9354617494700837e-37
6.346882577152047e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675629317329,0.11866996577400936,0.022821567686901106,2.1562287919874753e-81,4.2036029777426543e-40,6.3596368609227203e-28,2.5116166170787174e-41,1.3518010824296498e-33,3.5204269960731375e-31,1.3449141173202957e-18,1.0019898376941732e-70,1.34235880619212e-18,1.7763356319153729e-45,1.7049283613455074e-41,1.2757063831555356e-47,1.8060577376650889e-63,3.53251121202476e-31,6.3730907376631899e-55,2.5595122803926439e-10,1.2306362825798761e-11,4.743531013457645e-15,2.7148786608026328e-22,4.7435411203966144e-15,4.0160663127496607e-28,3.8552338493165055e-21,3.6288894900702233e-23,9.4680114431340448e-25,7.8062958277566719e-40,1.9833704046388622e-36
1.0578137665950072e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275288818,0.11866996560337205,0.022821567682798985,9.7394588257555218e-79,2.1563795324737917e-39,1.7590165974556284e-27,1.0802549740765404e-39,6.3321104296789236e-33,9.7429193133434332e-31,2.2443294019454553e-18,1.5173200460646051e-69,2.237264723141588e-18,8.3412824532736254e-45,1.2803740919069026e-40,5.8681345706645895e-47,1.3633124410800515e-61,9.7942107884436468e-31,5.0414947837395015e-54,4.2658537373024358e-10,2.0510604766058394e-11,7.9058783028092568e-15,6.8780901130751776e-22,7.9059063799916315e-15,1.1114610384235768e-27,1.0591385603274044e-20,1.6301274529759673e-22,7.1276390129406311e-24,1.938770336571084e-38,9.1184379454884135e-36
1.4386267245868294e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756259192794,0.11866996544979846,0.022821567679107077,8.6758507698827019e-78,5.1623898811871134e-39,3.1331842304363001e-27,5.0759091255376899e-39,1.4611972613494615e-32,1.7361026248385709e-30,3.0552601622708904e-18,5.5467454644937292e-69,3.0426800682595434e-18,1.9277402923625631e-44,3.5662096938322354e-40,1.3215934983865409e-46,7.0001833287853501e-61,1.7471587584368071e-30,1.4164942505241687e-53,5.8015610078002055e-10,2.789442250398397e-11,1.0751987359422305e-14,1.1572900540316134e-21,1.0752037509570354e-14,1.9805247290640573e-27,1.8781314820329591e-20,3.6233071431864511e-22,1.943497284375719e-23,8.1725693029567338e-38,2.0529992747109964e-35
1.8194396825786517e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756243096769,0.11866996529622491,0.022821567675415169,3.3790476780004029e-77,1.0262270704636376e-38,4.8923475528243165e-27,1.753214891504563e-38,2.8134443230834177e-32,2.7119350090894214e-30,3.8677331295259346e-18,1.4892778440603583e-68,3.848095434402569e-18,3.7168070592329624e-44,7.8578774978924483e-40,2.4992507880638425e-46,2.7941884889801937e-60,2.73193956144072e-30,3.2469835673389149e-53,7.3372682351955849e-10,3.5278240233133216e-11,1.3598092707336625e-14,1.7101562693476462e-21,1.35981712250383e-14,3.0937405468630804e-27,2.9194664928037875e-20,6.7586745552557354e-22,4.3292777388324719e-23,2.4032428318130342e-37,3.8811855094012416e-35
2.200252640570474e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756227000745,0.11866996514265134,0.022821567671723261,1.4202316514621284e-76,1.7966279603505628e-38,7.0154422907077703e-27,4.8774151719746096e-38,4.7835426009668508e-32,3.8902899793217303e-30,4.6816628729194253e-18,3.4277326806977354e-68,4.6535108204060188e-18,6.3283324021794261e-44,1.4936182658063276e-39,4.1795104073435142e-46,8.5613090886235762e-60,3.9224274245936049e-30,6.3389879256812755e-53,8.8729754218761906e-10,4.2662057954003165e-11,1.644419455199634e-14,2.3301896326742352e-21,1.6444307421939851e-14,4.4379901569629359e-27,4.1685299514683967e-20,1.1159513043737022e-21,8.2375378958881463e-23,6.071000431618833e-37,6.4886236396301096e-35
2.9618785565541185e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756194808701,0.11866996483550422,0.022821567664339442,1.7891571109989178e-75,4.1463736306519775e-38,1.2092321326199285e-26,2.2869117427715968e-37,1.0576443831476339e-31,6.7098784590640564e-30,6.3128445058532792e-18,1.2412794598319273e-67,6.2643416377043134e-18,1.4028951025805369e-43,3.8789432359445635e-39,8.9300716248740784e-46,4.4937350711662521e-59,6.7743416945160452e-30,1.6863883961571723e-52,1.1944389702388108e-09,5.7429693376890079e-11,2.2136390252220775e-14,3.6954208816554247e-21,2.2136585582452237e-14,7.6545310886617424e-27,7.1338249671710066e-20,2.3358281469903328e-21,2.0966004169277058e-22,2.5531492994647487e-36,1.3857183800796939e-34
3.723504472537763e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756162616658,0.1186699645283571,0.022821567656955623,8.5396882285677939e-75,8.0453026815006439e-38,1.8516614077470842e-26,7.4647716391992144e-37,1.9814794065639256e-31,1.0281077732755086e-29,7.9494109615166667e-18,3.3226014699326082e-67,7.8751725284150146e-18,2.6347595716197866e-43,8.1762606763157085e-39,1.6250882890286226e-45,1.6163641264177446e-58,1.0391792659063695e-29,3.6649298310072742e-52,1.5015803832401652e-09,7.2197328769249331e-11,2.7828573003027675e-14,5.2332861503625716e-21,2.7828873225627769e-14,1.1728491817164364e-26,1.0847948966416676e-19,4.1692177505525399e-21,4.3765514365625226e-22,7.3942284384893083e-36,2.5205820959237203e-34
