Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),OCX(25),COX(50),CHOX(53),HOCOX(217),C2H4X(209)
2.799684114452773e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44321455114010577,0.10788184427380461,0.022602531696766171,0.0,0.00015147610971464858,0.0027243875568525606,8.2775278531290025e-05,1.9764265541751781e-05,3.2838166206179384e-15,0.0017805073929791904,7.3408690239792258e-12,0.0003860270299757898,9.1781656511314863e-10,1.1040513756960664e-05,5.7859925153569905e-12,1.9627289735273705e-13,0.00018950177042554388,2.2021762462794216e-07,0.0077593574571428016,3.2151654126005096e-06,0.00016227848305591915,1.7348164584190269e-08,3.6017964967296606e-10,1.0584483029800818e-05,0.0011031173303778954,1.0011877275232503e-08,5.4092542212450492e-05,3.0790527598289922e-08,3.4824710980354041e-07,6.8093952608263097e-09,5.2680596099898011e-09,2.5666261490588058e-10,3.2436190010441992e-13,1.2842748018515586e-14,1.9365335912975626e-08
2.8060569598565674e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44321053914486996,0.10787517032661732,0.022601695823447645,0.0,0.0001521994388392644,0.002733757031042271,8.3279047155478239e-05,1.9847463061495861e-05,3.3182257453303555e-15,0.0017827990376297978,7.3966297471357268e-12,0.00038607832321481525,9.2193061211661278e-10,1.1105462686409422e-05,5.8220500574390031e-12,1.9783914305529771e-13,0.00018988210453078414,2.2183604188868118e-07,0.0077588109926024574,3.2144074185867602e-06,0.0001624656079069304,1.7369117057469163e-08,3.6233094069348117e-10,1.0636485322747957e-05,0.0011072502399864113,1.0024393042138038e-08,5.427944550121937e-05,3.0826982834177008e-08,3.5080717253953253e-07,6.8418437808189265e-09,5.2963722045204191e-09,2.582223526305276e-10,3.2648413721142721e-13,1.2927174157521827e-14,1.9521182798545236e-08
2.8124298052603616e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44320652312291142,0.10786849608115348,0.022600858543568039,0.0,0.00015292424980680176,0.0027431342993860341,8.3784581366207734e-05,1.9930705511554567e-05,3.3529166921390605e-15,0.001785084827670832,7.4526182731660962e-12,0.00038612953118109426,9.2604847384507601e-10,1.1170591358844559e-05,5.8582396474641038e-12,1.9941366925069201e-13,0.00019026182465196198,2.2346163180950047e-07,0.0077582644330989802,3.2136493403142787e-06,0.00016265252603201794,1.7390009187108276e-08,3.6448971494078165e-10,1.0688605533399783e-05,0.0011113872057200228,1.0036874311685933e-08,5.4466502428968171e-05,3.0863369696910974e-08,3.533785852563144e-07,6.8743582384417525e-09,5.3247686702347242e-09,2.5978753443831724e-10,3.2861519449841788e-13,1.3011941508463028e-14,1.9677809983484626e-08
2.818802650664156e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44320250308995573,0.1078618215383525,0.022600019857674146,0.0,0.00015365054050119192,0.0027525193395090118,8.4291882105713448e-05,2.0013992043051219e-05,3.3878911149340707e-15,0.0017873647791567641,7.5088343320687867e-12,0.00038618065553437133,9.3017010919337129e-10,1.1235899452268518e-05,5.8945614032589622e-12,2.009964943314357e-13,0.00019064093119033706,2.2509440056022699e-07,0.0077577177790510215,3.2128911785145468e-06,0.00016283923811422592,1.7410841145508569e-08,3.6665597763774074e-10,1.0740843537424033e-05,0.0011155282113339111,1.0049321175858401e-08,5.4653712535342991e-05,3.0899688327976476e-08,3.55961357729528e-07,6.9069385360729086e-09,5.3532490227996545e-09,2.6135816306944457e-10,3.3075508602925473e-13,1.309705050729094e-14,1.9835218487234665e-08
2.82517549606795e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44319847906168275,0.10785514669915103,0.022599179766314051,0.0,0.00015437830880763223,0.0027619121291119352,8.4800950307504903e-05,2.0097321810190601e-05,3.4231506732357208e-15,0.0017896389081001893,7.5652776488906027e-12,0.00038623169790826266,9.3429547716176268e-10,1.13013866434319e-05,5.9310154421186309e-12,2.0258763663850588e-13,0.00019101942455332127,2.2673435423824735e-07,0.0077571710308750206,3.2121329339195344e-06,0.00016302574483253185,1.7431613103099956e-08,3.6882973240555961e-10,1.0793199210371943e-05,0.0011196732406343888,1.0061733725951649e-08,5.4841075361557237e-05,3.0935938868599101e-08,3.5855549962016712e-07,6.9395845763215384e-09,5.3818132778271051e-09,2.6293424123538309e-10,3.3290382516656841e-13,1.318250142501647e-14,1.9993409320311968e-08
2.831548341471744e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44319445105372551,0.10784847156448313,0.022598338270037099,0.0,0.00015510755261260794,0.0027713126459707098,8.5311786896398407e-05,2.0180693970263409e-05,3.4586970321954462e-15,0.0017919072304718299,7.6219479437552519e-12,0.00038628265991064729,9.3842453685647473e-10,1.136705260784701e-05,5.9676018808074832e-12,2.0418711446125638e-13,0.00019139730515440939,2.2838149886871005e-07,0.0077566241889852564,3.2113746072621099e-06,0.00016321204686188352,1.7452325230740279e-08,3.7101098395123056e-10,1.0845672427665953e-05,0.0011238222774787663,1.0074112053237371e-08,5.5028590450383142e-05,3.0972121459774291e-08,3.6116102047487196e-07,6.9722962617516487e-09,5.4104614504558046e-09,2.6451577162141236e-10,3.3506142575147849e-13,1.3268294651612808e-14,2.0152383484324053e-08
2.8379211868755383e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44319041908167134,0.10784179613528014,0.022597495369393934,0.0,0.00015583826980391279,0.0027807208679360099,8.5824392788548618e-05,2.0264107683650477e-05,3.4945318625977589e-15,0.0017941697622005448,7.6788449318919647e-12,0.00038633354312405321,9.4255724749021724e-10,1.1432897019801389e-05,6.0043208355600826e-12,2.0579494603733446e-13,0.00019177457341311099,2.3003584040472424e-07,0.0077560772537938853,3.210616199276432e-06,0.00016339814487323229,1.7472977699898877e-08,3.7319973775313876e-10,1.0898263064603734e-05,0.0011279753057752068,1.0086456249087225e-08,5.521625734614363e-05,3.1008236241830849e-08,3.6377792972622683e-07,7.005073494888755e-09,5.4391935553539906e-09,2.6610275688656216e-10,3.372279019002168e-13,1.3354430653261661e-14,2.0312141971984659e-08
2.8442940322793325e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44318638316106129,0.10783512041247081,0.022596651064936482,0.0,0.00015657045827067046,0.0027901367729328834,8.633876889147993e-05,2.0347562113826897e-05,3.5306568408611212e-15,0.0017964265191733385,7.7359683236641862e-12,0.00038638434910603822,9.4669356838267242e-10,1.1498919552371272e-05,6.0411724220821874e-12,2.0741114955259844e-13,0.00019215122975488216,2.3169738472753735e-07,0.007755530225710976,3.2098577106972835e-06,0.00016358403953356578,1.7493570679592265e-08,3.7539599710928441e-10,1.095097099637644e-05,0.0011321323094825712,1.0098766404073186e-08,5.5404075594703938e-05,3.1044283354812663e-08,3.6640623669308372e-07,7.0379161785489589e-09,5.4680096072236892e-09,2.6769519966097619e-10,3.3940326677555332e-13,1.3440909669917683e-14,2.0472685767129275e-08
2.8506668776831267e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4431823433073902,0.10782844439698135,0.02259580535721795,0.0,0.00015730411590335471,0.0027995603389603615,8.6854916104118338e-05,2.0431056427365891e-05,3.5670736490395918e-15,0.0017986775172353765,7.7933178245983631e-12,0.00038643507938956515,9.5083345896097845e-10,1.1565119877434924e-05,6.0781567555517598e-12,2.0903574314103768e-13,0.00019252727461105789,2.3336613764673604e-07,0.0077549831051445476,3.2090991422599353e-06,0.00016376973150594471,1.7514104339139648e-08,3.7759976642819046e-10,1.1003796098053222e-05,0.0011362932726102892,1.0111042608673011e-08,5.5592044743463565e-05,3.108026293864205e-08,3.6904595058086212e-07,7.0708242155130539e-09,5.4969096203102326e-09,2.6929310254881025e-10,3.415875340451122e-13,1.352773206542108e-14,2.063401584473084e-08
2.857039723086921e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44317829953610755,0.1078217680897354,0.022594958246792821,0.0,0.00015803924059381048,0.0028089915440910659,8.7372835316822944e-05,2.0514589793942557e-05,3.6037839748265867e-15,0.0018009227721899953,7.850893135412758e-12,0.00038648573548337076,9.5497687876022801e-10,1.1631497665685969e-05,6.1152739506199665e-12,2.1066874488469329e-13,0.00019290270841878552,2.3504210490045397e-07,0.0077544358925005982,3.2083404947007762e-06,0.00016395522144953457,1.7534578849204203e-08,3.7981105159874701e-10,1.10567382445815e-05,0.0011404581792182128,1.012328495367293e-08,5.5780164341348165e-05,3.1116175132515855e-08,3.7169708048184594e-07,7.1037975084479843e-09,5.525893608272454e-09,2.7089646812893354e-10,3.4378071794227427e-13,1.361489835230259e-14,2.0796133170915617e-08
