Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),CHOX(50),COX(47),CH4OX(57)
0.001683207303408106,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18166613644576279,0.04911805778690205,0.001419767016110193,0.048689842606798345,0.090258484969271857,8.1936809516421846e-12,1.0094200854439691e-08,9.550267639189132e-13,1.2044669052389005e-26,3.906140921275924e-11,2.0973474338086256e-22,8.3104502803190806e-18,7.2101431208599977e-18,1.175519722551457e-06,1.2205428555670862e-26,4.8129715043332882e-26,2.9541862861728111e-10,1.4288474200900904e-17,0.0017086440937059003,0.00095298494819565506,2.6663458978726886e-10,1.9644284457645769e-08,1.9662157691675903e-16,1.1811129172465639e-11,2.4794271231202081e-08,4.621486799562216e-07,0.0080852332616722662,0.00048191731645302378,1.8473204040552769e-07,4.1374834299243301e-14,1.2109783670268379e-11,1.427243371303403e-07
0.0016833595659329595,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18166688504015552,0.049116117166172889,0.0014163981323391448,0.048691734222238929,0.090262127647891058,8.2093368410222114e-12,1.0096449050911305e-08,9.550412302972877e-13,1.205026390398259e-26,3.903717162066222e-11,2.0975302349971799e-22,8.3184106010288605e-18,7.2096538980258586e-18,1.1755371144683243e-06,1.2219799693393365e-26,4.8134513514582367e-26,2.9524724136296012e-10,1.4290812977307586e-17,0.0017085836251186169,0.00095182803374706151,2.6661913816233085e-10,1.9663215537874423e-08,1.9657494198430213e-16,1.1833732211756418e-11,2.4818617671622783e-08,4.6187862722303547e-07,0.0080855928471771383,0.00048202673599146518,1.8473970351889258e-07,4.1423940244423136e-14,1.2112530667140057e-11,1.4272703913358076e-07
0.001683511828457813,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18166763428928573,0.049114176991238823,0.0014130307577887825,0.048693625109456899,0.09026576944053688,8.2250560362126645e-12,1.0098702658288501e-08,9.5505568865366927e-13,1.2055872711299706e-26,3.9012902856739994e-11,2.0977129102420565e-22,8.3263955458605895e-18,7.2091637801822347e-18,1.1755544626154143e-06,1.2234218523317699e-26,4.8139319292518655e-26,2.9507559914510762e-10,1.4293151594665591e-17,0.0017085231776380635,0.00095067022999887501,2.6660367817102916e-10,1.968220523048993e-08,1.9652827817266803e-16,1.185642905080274e-11,2.4843042988550798e-08,4.6160817452279441e-07,0.0080859523851195807,0.0004821364168173245,1.8474736421224205e-07,4.1473209723650604e-14,1.2115284221212214e-11,1.4272973635679572e-07
0.001683648864730181,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18166830917457885,0.049112431215174612,0.0014100014129206021,0.048695326284374757,0.09026904629591527,8.2392577540201156e-12,1.0100735545881396e-08,9.5506869431283556e-13,1.2060932620396989e-26,3.8991034230937681e-11,2.0978772101538178e-22,8.333603152304631e-18,7.2087219077581038e-18,1.1755700384798875e-06,1.2247236449620699e-26,4.8143650760441688e-26,2.9492090246742386e-10,1.4295256214060825e-17,0.0017084687929710737,0.00094962744425902234,2.665897569945362e-10,1.9699346312218049e-08,1.9648625597352353e-16,1.1876936882876786e-11,2.4865093551835389e-08,4.613644240310453e-07,0.008086275928616285,0.00048223535366812096,1.8475425676347319e-07,4.151769277451785e-14,1.2117768044009258e-11,1.427321597663074e-07
0.001683785901002549,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18166898459258898,0.049110685800617747,0.0014069732939605713,0.048697026867663487,0.090272322432730867,8.2535113394894247e-12,1.0102772843609253e-08,9.5508169346901262e-13,1.2066003927694849e-26,3.896914019475531e-11,2.0980414078147968e-22,8.340830895759134e-18,7.2082793082653698e-18,1.1755855788073819e-06,1.2260293384940401e-26,4.8147988185163329e-26,2.9476599798544833e-10,1.4297360704178752e-17,0.0017084144254364505,0.00094858393442598648,2.6657582898326641e-10,1.9716535329164442e-08,1.9644421023859532e-16,1.189752158857234e-11,2.4887208638022393e-08,4.611203475319445e-07,0.008086599433614285,0.00048233450348074652,1.8476114734764175e-07,4.1562309596528806e-14,1.2120257211219045e-11,1.4273457929568112e-07
0.001683922937274917,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18166966054445013,0.049108940747764902,0.0014039464025475477,0.048698726858479979,0.09027559785054369,8.2678170752552839e-12,1.0104814564491655e-08,9.5509468611973101e-13,1.2071086678145266e-26,3.8947220671274971e-11,2.0982055031125465e-22,8.348078867920919e-18,7.2078359806991086e-18,1.1756010835581717e-06,1.2273389510239277e-26,4.8152331584997037e-26,2.9461088508659717e-10,1.4299465064806742e-17,0.0017083600750512995,0.0009475396987072461,2.6656189410952308e-10,1.9733772498401091e-08,1.9640214089938659e-16,1.1918183593302541e-11,2.4909388548720122e-08,4.6087594405490604e-07,0.0080869229001264437,0.00048243386688422401,1.8476803596147959e-07,4.1607060809211388e-14,1.2122751738617117e-11,1.4273699494095894e-07
0.001684059973547285,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18167033703130059,0.049107196056813303,0.0014009207403266183,0.048700426255977876,0.090278872548912537,8.2821752459283438e-12,1.0106860721604503e-08,9.5510767226251142e-13,1.2076180916955386e-26,3.892527558321787e-11,2.0983694959343197e-22,8.3553471610075792e-18,7.2073919240511606e-18,1.1756165526924072e-06,1.2286525007612912e-26,4.8156680978341626e-26,2.9445556315541249e-10,1.4301569295731898e-17,0.0017083057418327842,0.00094649473530304879,2.6654795234547119e-10,1.9751058038091248e-08,1.963600478871091e-16,1.1938923325803382e-11,2.4931633587910421e-08,4.6063121262476241e-07,0.0080872463281656849,0.00048253344451029819,1.8477492260170351e-07,4.1651947035428552e-14,1.2125251642047148e-11,1.4273940669817123e-07
0.001684197009819653,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18167101405428326,0.049105451727960749,0.0013978963089491345,0.048702125059307363,0.090282146527394774,8.2965861383025272e-12,1.0108911328080306e-08,9.5512065189486181e-13,1.2081286689589797e-26,3.8903304852942148e-11,2.0985333861670692e-22,8.3626358678760781e-18,7.2069471373101182e-18,1.1756319861701158e-06,1.2299700060375211e-26,4.8161036383681892e-26,2.9430003157354458e-10,1.4303673396741e-17,0.0017082514257981299,0.00094544904240637139,2.6653400366313645e-10,1.9768392172312317e-08,1.9631793113268431e-16,1.1959741223945531e-11,2.4953944063017436e-08,4.6038615226174136e-07,0.0080875697177450225,0.00048263323699344912,1.8478180726501544e-07,4.1696968913298972e-14,1.2127756937421388e-11,1.4274181456333674e-07
0.001684334046092021,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18167169161454524,0.049103707761405622,0.0013948731100727454,0.048703823267615284,0.090285419785546495,8.3110500413776295e-12,1.0110966397108524e-08,9.5513362501428004e-13,1.2086404041772626e-26,3.8881308402440323e-11,2.098697173697444e-22,8.3699450820525397e-18,7.2065016194613139e-18,1.1756473839511984e-06,1.2312914853059382e-26,4.8165397819589258e-26,2.9414428971973282e-10,1.4305777367620565e-17,0.0017081971269646214,0.00094440261820287344,2.6652004803440632e-10,1.9785775124742546e-08,1.9627579056673947e-16,1.1980637725719041e-11,2.4976320282215285e-08,4.6014076198143971e-07,0.0080878930688775726,0.00048273324497091183,1.8478868994810199e-07,4.1742127080385869e-14,1.2130267640721252e-11,1.4274421853246256e-07
0.001684471082364389,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18167236971323811,0.049101964157346863,0.0013918511453614322,0.048705520880045074,0.090288692322922387,8.3255672460586448e-12,1.0113025941935894e-08,9.5514659161825164e-13,1.2091533019488699e-26,3.885928615333713e-11,2.0988608584117892e-22,8.377274897488127e-18,7.2060553694868057e-18,1.1756627459954322e-06,1.2326169571310573e-26,4.8169765304722085e-26,2.939883369697878e-10,1.4307881208156773e-17,0.0017081428453496039,0.00094335546087085601,2.6650608543102833e-10,1.9803207115142594e-08,1.9623362611960255e-16,1.200161326562416e-11,2.4998762554250174e-08,4.598950407947845e-07,0.0080882163815764983,0.00048283346908269213,1.8479557064763396e-07,4.1787422165095361e-14,1.2132783767997481e-11,1.4274661860154379e-07
