Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23),C2H4X(205),C2H4X(65),acetyl(43)
3.820833819302508e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835543312557894,0.085427672729913279,0.0076500472558753852,0.0,0.00021168402520228374,0.033155611482425622,0.013205306922897363,0.0011269261845310789,5.2255397751504134e-11,0.0099577423916662085,5.7068622786411264e-09,0.00038676876307825825,6.1473638179234761e-08,8.3979167650751416e-07,9.2886974106151912e-10,1.51881921188945e-10,4.9348668575126031e-07,0.00034975785152185034,0.0059318880787375752,0.01692417424469941,0.0004086122863023876,4.5395914067395042e-07,1.8951582305928871e-08,6.2003865905893893e-07,0.00064209696138573121,0.00055349025237925108,3.0068432871694864e-06,7.0915028056879514e-09,1.461575753304885e-06,1.0826288234640263e-06,2.0484633471412995e-10,3.9575004350626043e-08,9.2989782576210465e-09,3.8390791830245283e-05,9.5470547544978712e-11,3.2905525928916899e-10
3.827687144535755e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835527451611866,0.085398465210945476,0.0076353587908513272,0.0,0.00021249580945841636,0.03321358014923239,0.013233240895956851,0.0011266793822436473,5.2543957502962192e-11,0.0099563083548682031,5.7086838154016987e-09,0.00038690597253950249,6.1497523528007043e-08,8.4145428556653459e-07,9.3116412706662348e-10,1.5222376159258577e-10,4.942450579565482e-07,0.00035073011934961358,0.0059298514165479011,0.016924802561008846,0.00040894855420156465,4.5434972789754809e-07,1.8912470350444214e-08,6.199501658245878e-07,0.00064322003818178847,0.00055502890427319403,3.0061852726723858e-06,7.0995256022133956e-09,1.4621087983643526e-06,1.0821327509888091e-06,2.0527310520591776e-10,3.9658705185729358e-08,9.3343557701184134e-09,3.8498593630142475e-05,9.573590412442974e-11,3.2970384154869247e-10
3.834540469769001e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835515952421749,0.085369293485560577,0.0076206985375732459,0.0,0.00021330854104040597,0.033271511242015529,0.013261163081390453,0.0011264281771312154,5.2833442312932032e-11,0.009954856854740398,5.7104738375560967e-09,0.00038704314488817047,6.1521211034578078e-08,8.4311264818618097e-07,9.3345898626089884e-10,1.5256530686974576e-10,4.9500209997796615e-07,0.00035170223271923778,0.0059278178670464565,0.016925385301358273,0.00040928435681323444,4.5473855546484846e-07,1.8873405635858561e-08,6.1986068825638692e-07,0.00064434245186015986,0.00055656731179117242,3.0055158069245096e-06,7.1075378041727827e-09,1.4626406079143668e-06,1.0816379195030073e-06,2.0569971146116856e-10,3.9742374679344067e-08,9.3697746352007469e-09,3.8606383738540492e-05,9.6001228121601847e-11,3.3035135015894541e-10
3.841393795002248e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835508799545546,0.085340157458123442,0.0076060664388661464,0.0,0.00021412221491604912,0.033329404741559036,0.013289073435266627,0.0011261725982569999,5.3123852400308184e-11,0.0099533880036379013,5.7122325234072797e-09,0.00038718027968843999,6.1544701896943967e-08,8.4476675774679915e-07,9.3575431305903795e-10,1.5290655600916027e-10,4.9575781067434107e-07,0.0003526741876161993,0.0059257874207642516,0.016925922629066392,0.00040961969531515957,4.5512562605267893e-07,1.8834388393713219e-08,6.1977023299476216e-07,0.00064546420215748465,0.00055810546857968258,3.0048349662330336e-06,7.1155394502629908e-09,1.4631711901852863e-06,1.0811443269681065e-06,2.0612615289385692e-10,3.9826012711044811e-08,9.4052346417850014e-09,3.8714161719628908e-05,9.6266518487072147e-11,3.3099778422984512e-10
3.84756178771217e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835506065337947,0.085313965476341139,0.0075929215750436254,0.0,0.00021485532290663518,0.033381476733369053,0.013314182601723887,0.0011259388616335338,5.3386012766891568e-11,0.0099520512950040246,5.7137886951681704e-09,0.00038730366854700278,6.1565676528912267e-08,8.4625181460762752e-07,9.3782050237695491e-10,1.5321342620886996e-10,4.9643681108605637e-07,0.00035354880823177331,0.0059239626645610092,0.01692636753069629,0.00040992110412302503,4.5547248957984267e-07,1.8799313653724245e-08,6.1968799279403572e-07,0.00064647321002190411,0.00055948959009680089,3.004212546856925e-06,7.1227319382383653e-09,1.4636476716633217e-06,1.0807011513161016e-06,2.0650980877912391e-10,3.9901259940813749e-08,9.4371836492603072e-09,3.8811151175762506e-05,9.650525019889644e-11,3.3157865544764374e-10
3.853729780422092e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835506828004205,0.085287802263287554,0.0075797994287360665,0.0,0.00021558918641208181,0.033433518245968227,0.013339282117722846,0.0011257016267405397,5.3648922930875155e-11,0.0099507007038408951,5.7153197580109038e-09,0.00038742702632724841,6.1586493713266203e-08,8.4773341655834256e-07,9.3988706189698124e-10,1.5352005500216868e-10,4.9711473139867114e-07,0.0003544232943623319,0.0059221404074597615,0.016926775898108926,0.00041022213880505411,4.5581793407956036e-07,1.8764277716280181e-08,6.1960497080976063e-07,0.00064748168015689195,0.00056087349883392971,3.0035810305391711e-06,7.1299159352010677e-09,1.4641231716320189e-06,1.0802589760968782e-06,2.0689333026577589e-10,3.9976481503038022e-08,9.469165656564599e-09,3.8908130144116459e-05,9.6743953068696478e-11,3.3215865497584273e-10
3.859280973861022e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835510495022444,0.085264279911620916,0.0075680088863191277,0.0,0.00021625030650146776,0.033480329536682042,0.01336186340505679,0.0011254851416350304,5.3886183276258435e-11,0.0099494733690435305,5.7166763531635756e-09,0.00038753802149997621,6.1605095276007342e-08,8.4906390057283977e-07,9.4174727865163776e-10,1.5379581392081263e-10,4.9772393553105209e-07,0.00035521021451937108,0.0059205025071471318,0.016927112289412162,0.00041049275084362017,4.5612762247867859e-07,1.8732778683312895e-08,6.1952958654484433e-07,0.00064838884337213966,0.00056211883101048169,3.0030049334272467e-06,7.1363742959217262e-09,1.4645502873211535e-06,1.0798618725591451e-06,2.072383843471775e-10,4.0044158892215592e-08,9.4979775508624338e-09,3.8995401990637252e-05,9.695876037056151e-11,3.3267990876398754e-10
3.8648321672999515e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835516977387805,0.085240780756270604,0.0075562366814420252,0.0,0.00021691203291489109,0.033527116119123221,0.013384436827398203,0.0011252658551265027,5.4124051179895209e-11,0.0099482349135632687,5.7180128086105666e-09,0.00038764899102110588,6.1623570634615995e-08,8.5039157910088299e-07,9.4360778906630385e-10,1.5407137620086286e-10,4.9833226355271631e-07,0.00035599702133152659,0.0059188666205937154,0.016927419269063399,0.00041076306114605276,4.5643616448041849e-07,1.8701311329602387e-08,6.1945357636789479e-07,0.00064929557075477551,0.0005633639838526248,3.0024215522978169e-06,7.1428258221189293e-09,1.4649766170971466e-06,1.0794655771274786e-06,2.0758332892387384e-10,4.0111815358744909e-08,9.5268159383149951e-09,3.908266486301698e-05,9.7173543157096858e-11,3.332004555781809e-10
3.870383360738881e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835526267027874,0.085217304747032693,0.0075444827840476731,0.0,0.00021757436297996979,0.033573877984028527,0.013407002362166012,0.0011250437823893502,5.4362526742846258e-11,0.0099469853958693306,5.719329218098417e-09,0.00038775993466610693,6.1641920415508788e-08,8.5171644889865123e-07,9.4546859021397546e-10,1.5434674132798798e-10,4.9893971488997981e-07,0.00035678371272575906,0.0059172327428397616,0.016927696922432598,0.00041103307032802785,4.5674356151268225e-07,1.8669875771285055e-08,6.1937694373057011e-07,0.0006502018621803758,0.00056460895407951729,3.0018309269755507e-06,7.1492705341552994e-09,1.4654021652686061e-06,1.0790700887320125e-06,2.0792816369465302e-10,4.0179450840707944e-08,9.5556807068271538e-09,3.9169918536159775e-05,9.7388300886420548e-11,3.3372029500655182e-10
3.875934554177811e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42835538355893993,0.085193851833814629,0.0075327471641373272,0.0,0.00021823729402475,0.033620615122301724,0.013429559986914563,0.0011248189385494245,5.4601610063454094e-11,0.0099457248742107537,5.7206256751874224e-09,0.00038787085221169689,6.1660145243242115e-08,8.5303850677084249e-07,9.4732967917454147e-10,1.5462190879194985e-10,4.9954628897499117e-07,0.00035757028663977461,0.0059156008689384507,0.016927945334637137,0.00041130277900341261,4.5704981500657922e-07,1.8638472123260244e-08,6.1929969207074799e-07,0.00065110771752724774,0.00056585373842730938,3.0012330971547968e-06,7.155708452580817e-09,1.4658269361214005e-06,1.0786754063203134e-06,2.0827288836016251e-10,4.024706527655545e-08,9.584571744314218e-09,3.925716278612643e-05,9.7603033019464378e-11,3.3423942664798945e-10
