Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23)
1.3828595681119822e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,0.0,2.4188317258109802e-41,1.9786937252414573e-29,1.6002092390031099e-52,1.5895232389221152e-38,7.1322974205056442e-90,1.4061751212030891e-18,9.32329384324897e-82,1.406169782411351e-18,5.2762392269526296e-55,2.4027210395920761e-47,3.3281558303130429e-74,2.0110256850282137e-75,1.6738659283677603e-38,3.3740852961309655e-64,5.5766687032544157e-12,2.6813118716582582e-13,1.0335224116106424e-16,1.5719645737029449e-25,1.0335224728409561e-16,1.4989178454309953e-39,2.9098827513976793e-49,9.6903789978578863e-30,4.7069322243522487e-25,2.6520944355743239e-29,1.7528074260130327e-32,1.0333243615145207e-50,2.9460027082103225e-64,6.2867832472838302e-36
2.7657197223565033e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,0.0,3.8571399732951828e-40,7.9147774623124877e-29,2.0162391364720352e-50,1.2716190900006321e-37,3.5948005155177957e-87,2.8123615155737587e-18,5.9669275292923891e-80,2.8123401604010197e-18,8.4419863957334487e-54,3.8305445835939576e-46,8.3871097351076161e-72,5.0678795386030046e-73,1.3344533146436694e-37,1.0797077801368914e-62,1.1153339763030628e-11,5.3626248796571894e-13,2.0670451481419706e-16,6.2645188421755942e-25,2.0670453930876946e-16,1.1991347220375171e-38,4.6558143780485977e-48,3.8761653155817215e-29,1.8826672571367309e-24,2.1201642248531067e-28,2.8025529639192924e-31,6.5094601509038845e-49,7.4240493182806993e-62,5.0119823271450154e-35
5.531440030845545e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,0.0,6.1302587007081073e-39,3.1659115243747136e-28,2.5023720030554598e-48,1.017295315605744e-36,1.7847771137904318e-84,5.62476633577369e-18,3.8188542224257418e-78,5.6246809150772113e-18,1.3507179122981979e-52,6.0851262414704891e-45,2.0819889985524775e-69,1.2580339884552312e-70,1.0602131719448636e-36,3.4550651654711026e-61,2.2306681861044497e-11,1.072525089521147e-12,4.1340902817744138e-16,2.4873276270806406e-24,4.1340912617506803e-16,9.5930795706490647e-38,7.4493034073028164e-47,1.5504763600660936e-28,7.5298205105431225e-24,1.6937169750665941e-27,4.4779030563888865e-30,4.0389824311631862e-47,1.8429137945405805e-59,3.9819517869654672e-34
1.106288064782363e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,0.0,9.6792406913610696e-38,1.2663647393789906e-27,3.0188418116915764e-46,8.1383602042280824e-36,8.6140639540676749e-82,1.1249704101966035e-17,2.4441141714312872e-76,1.1249362419217006e-17,2.1611480856525176e-51,9.5990222723154921e-44,5.023974073851234e-67,3.0357171659842077e-68,8.3664320019051342e-36,1.1056205711531831e-59,4.4613365970917977e-11,2.1450502924546255e-12,8.2681791913189168e-16,9.8044834720837578e-24,8.2681831127403778e-16,7.6744643927552719e-37,1.1918882003305289e-45,6.2019858322654023e-28,3.0112488860960256e-23,1.3511249942034306e-26,7.1449471236472479e-29,2.4357287605250296e-45,4.4470305687642867e-57,3.1422185947933582e-33
2.2125761881779797e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,0.0,1.508908519205104e-36,5.0654593906062338e-27,3.4626389480837372e-44,6.5106832430774432e-35,3.953437915274848e-79,2.2500092137183472e-17,1.5642792268248468e-74,2.2498725406646263e-17,3.4578344131567939e-50,1.4936636775333046e-42,1.1527567676653548e-64,6.9654879062093432e-66,6.5158052890593145e-35,3.5379832978218909e-58,8.9226733846047949e-11,4.290100697612838e-12,1.653635157953004e-15,3.8105381288098587e-23,1.6536367276887501e-15,6.1395718382039494e-36,1.9070196381576158e-44,2.4808583507229792e-27,1.2039562993144375e-22,1.0747891797132566e-25,1.1369363791349392e-27,1.3962970075592424e-43,1.020358235632275e-54,2.4470948508927862e-32
4.425152434969213e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,0.0,2.2961727652020284e-35,2.026183981796359e-26,3.6595287252715293e-42,5.2085382390603316e-34,1.6722279928915296e-76,4.5002918216254273e-17,1.0011975029742149e-72,4.4997451298103414e-17,5.5325264350181638e-49,2.2649472294109137e-41,2.4375166769112406e-62,1.4728595934153037e-63,4.9497007148556128e-34,1.1321529199717306e-56,1.7845346821783985e-10,8.5802015050994693e-12,3.3072674632470085e-15,1.4419513484314535e-22,3.307273750858871e-15,4.911657647087269e-35,3.0512263743602886e-43,9.9239449530484102e-27,4.8114843495530047e-22,8.5020200721088613e-25,1.799380498792543e-26,7.3729253376582464e-42,2.1574817086005342e-52,1.8588090289641009e-31
6.637728681760446e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,0.0,8.2534807249000979e-35,4.3056412750183608e-26,2.2659471833195732e-41,1.5462833661748234e-33,1.362145698788125e-75,6.7507794301269832e-17,5.6844876230785664e-72,6.7496177106159206e-17,2.0930655435414718e-48,8.430376014747003e-41,1.7459023678526968e-61,1.0549543691238818e-62,1.374549527553807e-33,5.2814651454671252e-56,2.6768020121116376e-10,1.2870302309758729e-11,4.960897596195728e-15,2.950849972985517e-22,4.9609109693556602e-15,1.4044271305585788e-34,1.1543399895434604e-42,2.1089134196880077e-26,1.0218035169758851e-21,2.4154137821456264e-24,6.5883966565924118e-26,3.8645223816215703e-41,1.5453086478328484e-51,5.1617911834080584e-31
1.1062881175342914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627323993,0.11866996558382328,0.022821567682329034,0.0,5.8662956056640278e-34,1.1903833832904737e-25,7.862801851482682e-40,7.2430939043756303e-33,1.4645110694233528e-73,1.1252574647349675e-16,1.5283867521615075e-70,1.1249362838866539e-16,1.6518635237471466e-47,6.3086011248589735e-40,1.0599477238533987e-59,6.4046862487109003e-61,5.8162051782224153e-33,7.0774851485741876e-55,4.4613366168393997e-10,2.145050390781237e-11,8.2681491727354661e-15,7.450526149586503e-22,8.2681862211550666e-15,6.4542254497512422e-34,9.1101390335879265e-42,5.8310607833183203e-26,2.8204559792560827e-21,1.0888831592047027e-23,4.9766744763387869e-25,7.7658899642202678e-40,9.3810726078615979e-50,2.1838989582410945e-30
1.5032851209561114e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756256459847,0.11866996542372299,0.022821567678480224,0.0,1.5530895531705519e-33,2.1159446409818911e-25,3.5116353163859695e-39,1.6667417351946076e-32,7.7713066931298263e-73,1.5291961779427455e-16,6.5963975335770002e-70,1.5286252692541245e-16,4.6171254830823595e-47,1.747774190432789e-39,5.2105368783866952e-59,3.1484420159262248e-60,1.2484322788309477e-32,2.3364088705926261e-54,6.0623094014527466e-10,2.9148124100854572e-11,1.1235201453190594e-14,1.2490257263252303e-21,1.1235267388973253e-14,1.4487261367978213e-33,2.5463757411326839e-41,1.0365524066914088e-25,5.0081480217623773e-21,2.4184015487086959e-23,1.3537648499331683e-24,3.0853070285430371e-39,4.6115340952558783e-49,4.6873844581595159e-30
1.9002821243779313e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756239679764,0.11866996526362272,0.022821567674631414,0.0,3.3630886233279123e-33,3.3001453395756762e-25,1.1264896069297314e-38,3.2053594136376755e-32,3.3389416338038312e-72,1.9332046719319239e-16,1.9947676542526175e-69,1.9323142517826494e-16,1.0558487928554645e-46,3.8406901101827691e-39,1.9472688985079102e-58,1.1766278459343006e-59,2.2529489694433347e-32,6.2713516236271602e-54,7.6632821391436442e-10,3.6845744284335154e-11,1.4202246339134416e-14,1.8406909221073379e-21,1.4202349292786123e-14,2.7351882486231606e-33,5.8230765934812242e-41,1.6167638313799634e-25,7.8026349674366676e-21,4.5156965146798109e-23,3.0174111414828884e-24,8.327672729694119e-39,1.7233712982236768e-48,8.4583989542180753e-30
