Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),H2X(46),CHOX(50),COX(47),CH4OX(57),C2H6X(49),CH3OX(56),CH2OX(182),CHOX(183),CHO3(116)
0.00017578466626176558,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18934280049042845,0.096180434120174504,0.099341630255274968,0.00032630127167558484,0.00060600330896323827,8.9852322932267616e-08,1.5877413317859424e-09,3.6956728530721374e-11,1.3580879985207768e-23,6.1569641032827638e-11,4.9002516544024746e-23,8.6733529301369515e-16,3.0997468450175662e-17,1.9444695049770328e-08,2.00856971402985e-25,3.0089340097811686e-24,2.4736314909708468e-10,3.9955314195940519e-18,0.003487149810028632,9.7516844769954841e-07,5.2000779405265977e-10,2.1397023468786077e-06,3.5738682123239364e-13,2.068309244822728e-06,3.4796391026689623e-06,4.8109641636529975e-09,5.6585833232239954e-05,5.3961400525340607e-07,1.3835441562015836e-09,9.545222032843442e-10,5.8581186646653962e-14,1.9852693004427546e-12,2.4597125750275773e-09,1.7035269743158799e-13,1.0508038938991638e-11,2.4281671877678439e-12,1.6889060540861323e-09,1.6233613211900945e-19
0.00018753096146053357,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18933984569891804,0.096159092770170304,0.0992972920069288,0.00034847071395996041,0.00064655520212976133,8.9792248588004502e-08,1.5851426920755026e-09,3.9340706470639425e-11,1.443676800145414e-23,6.1647335115025068e-11,5.9177999921440877e-23,8.6704678100203444e-16,3.4984005400055429e-17,2.0654755313384906e-08,2.0046136004703972e-25,3.2055432535854607e-24,2.4772778638431414e-10,4.8206597323274289e-18,0.0034863216442224607,9.7493558174020513e-07,5.1988953267837301e-10,2.1389535814518119e-06,3.5714639182705048e-13,2.0676082405846532e-06,3.4796231346286881e-06,4.8177728434130517e-09,6.0370904816936836e-05,5.3872242952190673e-07,1.4708600565572179e-09,9.5386913353919605e-10,5.8464842618307824e-14,1.9819890999360413e-12,2.612807787037272e-09,1.8133901789004945e-13,1.1164732521260367e-11,2.5800055542928322e-12,1.9175530415359517e-09,1.7362107214254094e-19
0.00019927725665930157,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18933689169007534,0.096137756586608891,0.099252964539540744,0.00037063475699026832,0.00068709735368637989,8.9732296692778918e-08,1.5825549941171982e-09,4.1714213400745412e-11,1.5283695156325363e-23,6.1724866667751242e-11,7.0629839692105738e-23,8.667588059678655e-16,3.9175226861083457e-17,2.1854215217997856e-08,2.0006747067421001e-25,3.4010580104728439e-24,2.4809190771448032e-10,5.7481201639405307e-18,0.0034854937042846277,9.7470273094380129e-07,5.1977129450663519e-10,2.1382060666548567e-06,3.5690646475530912e-13,2.0669085001812312e-06,3.4796072990572162e-06,4.8245707286020806e-09,6.4154949055667776e-05,5.3783460205664629e-07,1.5581519661905367e-09,9.532173884173391e-10,5.8349003231702516e-14,1.9787226898729649e-12,2.7645567635370366e-09,1.9227673065493934e-13,1.1815741818160326e-11,2.7305266265936476e-12,2.1599862244992937e-09,1.8493545024682698e-19
0.00021102355185806957,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18933393846382557,0.096116425568322325,0.099208647850718271,0.0003927934020287284,0.00072762976564550873,8.9672466826531607e-08,1.5799781653664453e-09,4.4077291345413781e-11,1.61217423696206e-23,6.1802236108537219e-11,8.3423641728662823e-23,8.6647136520812764e-16,4.3565576394577977e-17,2.3043179040468399e-08,1.9967529164873054e-25,3.5954838429853529e-24,2.4845551440748723e-10,6.7829649763153459e-18,0.0034846659901530538,9.744698952982059e-07,5.1965307955517611e-10,2.1374597986374841e-06,3.5666703833920537e-13,2.066210020004553e-06,3.4795915961977001e-06,4.8313578469411211e-09,6.7937966225699612e-05,5.3695049801937663e-07,1.6454198921554557e-09,9.525669633874335e-10,5.8233665117766922e-14,1.975469978868686e-12,2.9149727651722286e-09,2.0316603182681809e-13,1.2461122386479335e-11,2.8797433353683781e-12,2.4160839744058939e-09,1.9627918724379132e-19
0.00022276984705683756,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18933098602009238,0.096095099714141999,0.099164341938066627,0.0004149466503379929,0.00076815244002245611,8.9612758571372737e-08,1.5774121339305602e-09,4.6429982160598742e-11,1.6950989850412532e-23,6.1879443853090629e-11,9.7623536608900087e-23,8.6618445605607787e-16,4.8149634034026314e-17,2.4221750000529101e-08,1.9928481144286897e-25,3.7888262821744152e-24,2.4881860777711205e-10,7.9301091061110263e-18,0.0034838385017656151,9.7423707479126085e-07,5.1953488784160364e-10,2.1367147735684158e-06,3.5642811090931835e-13,2.0655127964641196e-06,3.4795760262919093e-06,4.8381342260251475e-09,7.1719956604528916e-05,5.3607009279501504e-07,1.7326638415065571e-09,9.5191785394148925e-10,5.811882493778774e-14,1.9722308763594108e-12,3.0640689179568472e-09,2.1400711671664861e-13,1.3100929223621828e-11,3.0276684804533385e-12,2.6857258621693727e-09,2.0765220421303437e-19
0.00023451614225560556,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18932803435879791,0.096073779022898792,0.09912004679918901,0.0004370945031811426,0.00080866537883539629,8.9553171511570385e-08,1.5748568285618762e-09,4.877232753451411e-11,1.7771517103330586e-23,6.195649031530812e-11,1.1329221196137064e-22,8.6589807588054901e-16,5.2922112911368529e-17,2.5390030271590484e-08,1.9889601863571454e-25,3.9810908278230713e-24,2.4918118913105223e-10,9.1943335341050457e-18,0.0034830112390601491,9.7400426941078413e-07,5.1941671938340501e-10,2.135970987635294e-06,3.5618968080477189e-13,2.0648168259869125e-06,3.4795605895803584e-06,4.844899893323966e-09,7.5500920469879183e-05,5.3519336198928539e-07,1.8198838212990873e-09,9.5127005559474131e-10,5.8004479383089524e-14,1.9690052925937342e-12,3.2118582146517645e-09,2.2480017984899829e-13,1.3735216773341716e-11,3.1743147321744355e-12,2.9687926459962217e-09,2.1905442250028121e-19
0.00024626243745437353,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18932508347986274,0.096052463493422766,0.099075762431686518,0.00045923696182168194,0.00084916858410534176,8.9493705233563402e-08,1.572312178650858e-09,5.1104368988310689e-11,1.858340293478825e-23,6.2033375907285553e-11,1.3049094410599253e-22,8.6561222208533662e-16,5.7877855964762473e-17,2.654812099143781e-08,1.985089019119746e-25,4.1722829486661429e-24,2.4954325977095704e-10,1.0580288573663328e-17,0.0034821842019744451,9.7377147914456701e-07,5.1929857419794605e-10,2.13522843704485e-06,3.5595174637337818e-13,2.0641221050182958e-06,3.4795452863036677e-06,4.8516548761828416e-09,7.9280858099698191e-05,5.3432028142634577e-07,1.907079838588976e-09,9.506235638857832e-10,5.78906251747102e-14,1.9657931386239495e-12,3.3583535161291658e-09,2.3554541496522887e-13,1.4364038931313629e-11,3.3196946326567919e-12,3.2651662593165218e-09,2.304857637159748e-19
0.0002580087326531415,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18932213338320625,0.096031153124543564,0.099031488833158279,0.0004813740275235362,0.00088966205785611871,8.9434359325938937e-08,1.5697781142189406e-09,5.3426147876750783e-11,1.9386725459155238e-23,6.211010103932995e-11,1.4927962900289351e-22,8.6532689210843022e-16,6.3011832726056723e-17,2.7696122272820658e-08,1.9812345006070778e-25,4.3624080826084508e-24,2.4990482099247017e-10,1.2092497080094913e-17,0.0034813573904462613,9.7353870398037962e-07,5.1918045230247605e-10,2.1344871180226837e-06,3.5571430597154595e-13,2.0634286300216878e-06,3.4795301167022728e-06,4.8583992018234438e-09,8.3059769772155678e-05,5.3345082714635193e-07,1.994251900432809e-09,9.4997837437632894e-10,5.7777259063071703e-14,1.9625943262970447e-12,3.5035675527233091e-09,2.4624301502667371e-13,1.4987449050702048e-11,3.4638205971346314e-12,3.5747297988352077e-09,2.4194614973373644e-19
0.00026975502785190947,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18931918406874601,0.09600984791509011,0.098987226001201245,0.00050350570155105023,0.00093014580211434115,8.937513337940502e-08,1.5672545659110068e-09,5.5737705388880114e-11,2.0181562104873375e-23,6.2186666119970808e-11,1.6971681250244342e-22,8.6504208342125008e-16,6.8319136188583901e-17,2.8834133213933525e-08,1.9773965197401091e-25,4.551471636941033e-24,2.5026587408526809e-10,1.3735357580280062e-17,0.003480530804413308,9.7330594390596434e-07,5.1906235371412293e-10,2.1337470268130103e-06,3.554773579640905e-13,2.0627363974778468e-06,3.4795150810156577e-06,4.8651328973445495e-09,8.683765576564038e-05,5.3258497540287493e-07,2.081400013887799e-09,9.4933448265091696e-10,5.766437782762614e-14,1.9594087682452222e-12,3.6475129255673297e-09,2.5689317221780133e-13,1.5605499947672973e-11,3.6067049152485136e-12,3.8973675127062955e-09,2.5343550268900798e-19
0.00029324761824944546,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18931328778607834,0.095967252969773029,0.098898732627379124,0.00054775287964251398,0.0010110841102733562,8.9257039742989454e-08,1.5622387433229358e-09,6.0330320215810327e-11,2.1746084080644278e-23,6.2339317752337816e-11,2.1576428310835301e-22,8.6447401996496096e-16,7.943469445783706e-17,3.1080575457189599e-08,1.9697697317071613e-25,4.9264354841499312e-24,2.5098646101381523e-10,1.7430025057562098e-17,0.0034788783085837409,9.7284046897730436e-07,5.1882622652669561e-10,2.1322705129006714e-06,3.5500493263356829e-13,2.0613556457590294e-06,3.4794854123421275e-06,4.8785685058137951e-09,9.4390351830327224e-05,5.3086398559284385e-07,2.255624423863194e-09,9.4805057500389853e-10,5.7440057246368634e-14,1.9530770693701816e-12,3.9316474464196854e-09,2.7805192286151336e-13,1.6825732686385813e-11,3.8887971505842909e-12,4.5814081435898168e-09,2.7650079925390487e-19
0.00031439094960722787,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18930798380593455,0.095928935152463091,0.098819125388465462,0.00058755691309096843,0.0010838953331390796,8.915116167415972e-08,1.5577597848901394e-09,6.4429126292218098e-11,2.3125895085028751e-23,6.247616090803092e-11,2.6340559147017689e-22,8.6396452095939017e-16,8.9984668681474816e-17,3.3069180257392078e-08,1.962961087553327e-25,5.2603259710454361e-24,2.5163326426650106e-10,2.1243742264944794e-17,0.0034773918329051405,9.7242159302508242e-07,5.18613791937791e-10,2.1309458121983014e-06,3.5458141759197572e-13,2.060117183452237e-06,3.4794591709156877e-06,4.890624467794464e-09,0.00010118427326365305,5.2932718150140696e-07,2.4123445601616559e-09,9.4689945271021358e-10,5.723979527440164e-14,1.9474230093020865e-12,4.1831535008820916e-09,2.9693445602423808e-13,1.7906132658499657e-11,4.1385544949227086e-12,5.2406203292917428e-09,2.9735785725987892e-19
0.0003355342809650103,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18930268235876294,0.095890634033452465,0.098739552995780883,0.00062734349719648541,0.0011566750640915114,8.9045666009669061e-08,1.5533138478630294e-09,6.8495448177688534e-11,2.4479385293719924e-23,6.2612491770545302e-11,3.1723988761215669e-22,8.6345667306601947e-16,1.010252357945789e-16,3.5026912244563815e-08,1.9562043437025372e-25,5.5908596574069718e-24,2.5227844097045859e-10,2.5543809899708871e-17,0.0034759060868605955,9.7200276577201266e-07,5.1840143312499814e-10,2.1296250320394871e-06,3.5415947285893111e-13,2.0588826927557772e-06,3.4794333670739647e-06,4.9026464040947077e-09,0.00010797487583636076,5.278016898316892e-07,2.5689872134615788e-09,9.4575246759766733e-10,5.7041055508636012e-14,1.9418105693229513e-12,4.4307392908143261e-09,3.1566622796468534e-13,1.8969966172069552e-11,4.3844744269707658e-12,5.9404440703563059e-09,3.183075690064723e-19
0.0003566776123227927,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18929738344403346,0.095852349605889869,0.098660015435240181,0.00066711263934748184,0.0012294233150473063,8.89405504375823e-08,1.5489005494137402e-09,7.2529520182237054e-11,2.5806982253193841e-23,6.274831265959281e-11,3.775635374985888e-22,8.6295046266069507e-16,1.1253185719792572e-16,3.6954314017016424e-08,1.9494988880387086e-25,5.9180669993825157e-24,2.5292199843626867e-10,3.0351769620595707e-17,0.0034744210700854462,9.7158398714575339e-07,5.1818915018403102e-10,2.1283081511802351e-06,3.5373908919701514e-13,2.0576521537692323e-06,3.4794080021958833e-06,4.9146344684135655e-09,0.00011476216117960846,5.2628737950615513e-07,2.7255524249417515e-09,9.446095947230571e-10,5.6843820174976613e-14,1.9362392671729648e-12,4.6744738055283556e-09,3.3424833182477553e-13,2.0017522538076782e-11,4.6266242442104166e-12,6.6802444218813436e-09,3.3934948966513661e-19
0.0003778209436805751,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18929208706120182,0.095814081862917899,0.098580512692738279,0.00070686434693654273,0.0013021400979503846,8.8835812667143169e-08,1.5445195127272319e-09,7.6531574928905614e-11,2.7109106778214093e-23,6.2883625877090803e-11,4.4466092146282669e-22,8.6244587641939239e-16,1.2448106622603794e-16,3.8851918322073819e-08,1.942844118334137e-25,6.2419781483180309e-24,2.5356394391484202e-10,3.5688082031380477e-17,0.0034729367822146535,9.7116525707371938e-07,5.179769432094153e-10,2.1269951485627855e-06,3.5332025745303484e-13,2.056425546767295e-06,3.4793830776534957e-06,4.9265888132210309e-09,0.00012154613092665869,5.2478412150559665e-07,2.8820402357864548e-09,9.4347080937112698e-10,5.6648071779288763e-14,1.9307086281653799e-12,4.9144247799933638e-09,3.5268185283916369e-13,2.1049085849911361e-11,4.8650700243580998e-12,7.459397624339707e-09,3.604831770433407e-19
0.0003989642750383575,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18928679320971001,0.095775830797673225,0.09850104475415046,0.00074659862736036224,0.0013748254247714822,8.8731450428557557e-08,1.5401703668836827e-09,8.0501843366001291e-11,2.8386173058310102e-23,6.3018433707357348e-11,5.1880490043807302e-22,8.6194290130759545e-16,1.3685042091907028e-16,4.0720248236600479e-08,1.9362394420454986e-25,6.5626229545200334e-24,2.5420428459808909e-10,4.1572173944859663e-17,0.0034714532228827884,9.7074657548308189e-07,5.177648122945009e-10,2.1256860033138803e-06,3.5290296855736031e-13,2.0552028521994178e-06,3.479358594814318e-06,4.9385095897717409e-09,0.00012832678671283252,5.2329178882885964e-07,3.0384506871852541e-09,9.4233608705222818e-10,5.645379310191159e-14,1.9252181850383843e-12,5.1506587178592998e-09,3.7096786839286736e-13,2.2064935078139256e-11,5.0998766476412811e-12,8.2772908998495445e-09,3.8170819155877675e-19
0.0004201076063961399,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.18928150188898649,0.095737596403286565,0.098421611605332804,0.00078631548801968868,0.0014474793075077053,8.8627461472742331e-08,1.5358527467430335e-09,8.4440554779244273e-11,2.9638588762498582e-23,6.3152738417303611e-11,6.0025726322043725e-22,8.6144152456996596e-16,1.496184589189061e-16,4.2559817344157272e-08,1.9296842761138903e-25,6.8800309709564772e-24,2.5484302761958267e-10,4.8022483536859137e-17,0.0034699703917240596,9.7032794230077376e-07,5.175527575314898e-10,2.1243806947426611e-06,3.524872135229305e-13,2.0539840506879429e-06,3.4793345550418654e-06,4.950396948118651e-09,0.00013510413017546553,5.2181025645333549e-07,3.1947838203327599e-09,9.4120540349962217e-10,5.6260967192273727e-14,1.9197674778096851e-12,5.3832409140486858e-09,3.8910744807846276e-13,2.3065344163505358e-11,5.3311078186536884e-12,9.1333222522454156e-09,4.0302409621383522e-19
