Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),COX(58)
8.016400458666333e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559674226,0.099999999997477898,0.099999999999632189,4.9997893672083393e-102,4.3476776162632471e-42,9.8907417100169358e-35,8.1760163249591378e-55,4.216442473008457e-40,2.6632755997046938e-37,4.151054730415032e-23,5.7781145834999484e-88,4.1486550557182737e-23,1.4801549273532982e-56,1.0110243426978065e-46,1.2986639871838439e-57,8.3242799996885199e-81,1.8936547155028663e-36,1.5213566050065615e-68,2.5220979976823005e-12,7.3565904124404378e-13,1.6672118839790825e-17,1.2138608092733099e-25,1.6672118841402033e-17,2.2192112764812372e-36,4.9492505037114969e-26,5.175165429453128e-30,1.982744447020187e-33,2.2017081498599978e-51,5.5342190305542884e-67
1.6032807712925297e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559348448,0.099999999994955777,0.099999999999264358,8.9987859831874181e-99,6.9562700072816237e-41,3.956471606830291e-34,1.0390723487407476e-52,3.3731573323314479e-39,1.065838828177499e-36,8.3069123459336324e-23,1.8520491858908145e-86,8.2973136410206773e-23,1.1855931024449994e-55,1.6176396063464766e-45,1.0394124926415046e-56,2.1150002715958136e-78,1.4084456551630804e-35,2.4370935949090876e-67,5.0441981313801802e-12,1.4713187060885739e-12,3.3344251907446097e-17,4.8554426569366976e-25,3.3344251913912057e-17,1.7753656088058665e-35,1.9794944192720647e-25,4.1381464221505632e-29,3.1709156601799197e-32,1.4079244915789782e-49,1.4061103287497105e-64
3.2065622221443226e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558696891,0.099999999989911548,0.099999999998528696,1.7228165907586888e-95,1.112997763321524e-39,1.5827270359571291e-33,1.3272892632398238e-50,2.6985272288999247e-38,4.2675799572787698e-36,1.6633025681836574e-22,5.9461067844974217e-85,1.659463084979355e-22,9.5082520955790571e-55,2.5882210681351869e-44,8.3229915442805353e-56,5.403197610411075e-76,1.0841641353397711e-34,3.9087030277813915e-66,1.0088398392790349e-11,2.942638035699818e-12,6.6688518326923383e-17,1.9421747464485012e-24,6.6688518352955854e-17,1.4202854470313112e-34,7.9163243515815652e-25,3.3073396942089517e-28,5.068750330016395e-31,8.9957795847970485e-48,3.5921828589501579e-62
6.413125123847907e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557393772,0.099999999979823076,0.099999999997057373,3.3983809870798937e-92,1.7807782998945701e-38,6.3320116974622484e-33,1.6932873768045972e-48,2.1588223626767867e-37,1.71041088624703e-35,3.3342844774081047e-22,1.9152972809662829e-83,3.3189265420011552e-22,7.6442548805666642e-54,4.1411428164244306e-43,6.6706961033364177e-55,1.3786311030641883e-73,8.5029258259727848e-34,6.2838873272429798e-65,2.0176798891668316e-11,5.8852766946110418e-12,1.3337705230254491e-16,7.7686767508686309e-24,1.3337705240803112e-16,1.1362164616526486e-33,3.1652063450759736e-24,2.6407982367513484e-27,8.0949490847490995e-30,5.7382445478851815e-46,9.1654308513599579e-60
1.2826250927255076e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436255478754,0.099999999959646146,0.099999999994114741,1.8767163375348322e-88,2.8491867162938213e-37,2.533686001238967e-32,2.1531656011489353e-46,1.727058176912691e-36,6.8686731476730977e-35,6.6992852648129777e-22,6.2233943797626367e-82,6.63785351711366e-22,6.1758611546374139e-53,6.6257908690638353e-42,5.3562399929293731e-54,3.5061493067790628e-71,6.7341575495484249e-33,1.0150429924085378e-63,4.0353599793654793e-11,1.1770554011188432e-11,2.6675412480045546e-16,3.1074521716831914e-23,2.6675412523325852e-16,9.0895388340812779e-33,1.2650247584754326e-23,2.1045581448638233e-26,1.2903975301683795e-28,3.6482550669193072e-44,2.3309323809448811e-57
2.565250253406942e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549575071,0.099999999919292273,0.099999999988229463,3.7753341362278677e-85,4.5585108908198802e-36,1.0141778742445846e-31,2.7200993478501173e-44,1.381646744156255e-35,2.7690926174414403e-34,1.3521434721690568e-21,2.0484799711832002e-80,1.3275707711614309e-21,5.03796076988919e-52,1.0601142637163077e-40,4.3164843808454896e-53,8.8588828454867906e-69,5.3600076851062309e-32,1.6550259465118393e-62,8.0707201214549873e-11,2.3541108639362996e-11,5.3350828798294506e-16,1.2429658978199685e-22,5.3350828980162601e-16,7.271321496724641e-32,5.0516559649605714e-23,1.6708372128357697e-25,2.0494339999458941e-27,2.3043051439410764e-42,5.8893469359485195e-55
5.13050057476981e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539150132,0.099999999838584541,0.099999999976458906,7.5137333395895786e-82,7.293015978605799e-35,4.0623157554996597e-31,3.3921755030479172e-42,1.1053176170435742e-34,1.1249356705577125e-33,2.7534325213669101e-21,6.9291166923551646e-79,2.6551417077718312e-21,4.1877999601388413e-51,1.6961433610604882e-39,3.5035750917387674e-52,2.2096572201890153e-66,4.2770066375203148e-31,2.7482292928820462e-61,1.6141440252402857e-10,4.7082217875791213e-11,1.0670166870945816e-15,4.9717435321762e-22,1.0670166950778e-15,5.8165615293933689e-31,2.0139392783362763e-22,1.3165499084299328e-24,3.2313241609332915e-26,1.4366747512597885e-40,1.4688955385749685e-52
7.695750896132677e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362528725194,0.099999999757876809,0.099999999964688349,4.7354383699224247e-81,2.6842191603528916e-34,8.6407614733559499e-31,2.1993052333594789e-41,3.2814120209247702e-34,2.4158956372843892e-33,4.1915807333826149e-21,3.367667813823687e-78,3.9827127420925163e-21,1.2697923129120588e-50,6.4664781348764934e-39,1.0100800511354205e-51,1.6478456978159169e-65,1.2221400750068718e-30,1.0579373423409149e-60,2.4212160230119582e-10,7.0623327092298531e-11,1.6005251589528598e-15,1.0564778656826802e-21,1.600525176967107e-15,1.6630916455827122e-30,4.2697842921820974e-22,3.731927403139532e-24,1.1809983531833479e-25,7.9416382050314427e-40,1.095409967281042e-51
1.0261001217495545e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362518300255,0.099999999677169077,0.099999999952917792,5.1020668233432954e-80,6.8075678458182893e-34,1.4753284669769181e-30,9.1575849398931351e-41,7.1500248537302277e-34,4.1611413730914988e-33,5.66658811321105e-21,1.1453727837585534e-77,5.3102838741235005e-21,2.828068607486696e-50,1.7398338847282954e-38,2.1463869023354241e-51,7.5891649713233032e-65,2.5768824721490093e-30,2.8020818493632384e-60,3.2282880054605169e-10,9.4164436288884999e-11,2.1340337035577641e-15,1.8021992492346824e-21,2.1340337359516422e-15,3.5077861742698581e-30,7.2683500146841949e-22,7.8100666040734308e-24,2.9763146477011412e-25,2.9708352194804716e-39,5.0448607669365798e-51
1.539150186022128e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362497450378,0.099999999515753613,0.099999999929376679,3.0229833754016003e-78,2.3805440642941613e-33,3.0590785746872977e-30,7.5903327158403984e-40,2.0754320946375091e-33,8.7530287596360491e-33,8.703109098535483e-21,7.1983255773106024e-77,7.9654263675056034e-21,8.5763576842143718e-50,7.036882041026234e-38,5.9344837083277038e-51,7.233492731833417e-64,7.0355154573314597e-30,1.0650397926978682e-59,4.8424319343952247e-10,1.4124665463530485e-10,3.2010509634994016e-15,3.7311289316578814e-21,3.2010510363770601e-15,9.5801434522017886e-30,1.4995204836897959e-21,2.1055365036020119e-23,1.0297857555164802e-24,2.1248035966344418e-38,4.8083419958599885e-50
