Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CH3OO(84),COX(57)
4.670634788541451e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33737318848179543,0.11848464750298222,0.022817042670823635,1.5347665793858454e-30,4.3484627233485638e-15,3.6712452841993984e-15,3.9354901578137875e-13,1.3535223559864269e-16,8.036263912894523e-17,7.1019732644884734e-10,1.3980176855615016e-33,1.0163772854355226e-12,1.6663391022091313e-22,7.7291017724270477e-18,1.280144751294921e-27,1.14200701791718e-29,2.6867081295899137e-14,1.7877034715032552e-26,0.00018531490526647157,9.0500397846994536e-06,1.8307934753287593e-09,4.135330895908881e-12,4.004129478682263e-17,6.8579509315570307e-09,1.2675947255350838e-13,3.1930474670103411e-13,1.0798276257141406e-09,2.4215699925518308e-17,5.8162865637414717e-14,3.1920927937201204e-19
4.775419586559738e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33736889673851034,0.11848055883293772,0.022816941222553646,1.7920422627958459e-30,4.5817167787181054e-15,3.9669146576707718e-15,4.2706523416521328e-13,1.4203435467870491e-16,8.5326951824334957e-17,7.3618304961364635e-10,1.635291329377257e-33,1.0400599329094686e-12,1.8351173578413344e-22,8.2404651692206809e-18,1.3954361820400006e-27,1.2682936924016642e-29,2.8276205234716701e-14,2.016489598397545e-26,0.00018940349108144392,9.2529361508416594e-06,1.8494626053848097e-09,4.2679502840747484e-12,4.1333280870870718e-17,7.0607150058167627e-09,1.2805221656728512e-13,3.3838742713533036e-13,1.1193453863741427e-09,2.5666375022792033e-17,6.1185246926284539e-14,3.465879805830314e-19
4.880204384578025e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33736460799032647,0.11847647315298235,0.022816839777314871,2.0854382119096156e-30,4.822761073028348e-15,4.279632904989867e-15,4.6256187075276155e-13,1.4885081551196937e-16,9.0470518170806095e-17,7.6242773042191024e-10,1.905708989552055e-33,1.0637882758287936e-12,2.0163042397143872e-22,8.7733670092009105e-18,1.5182130503306576e-27,1.4051987461989257e-29,2.9730125455672627e-14,2.2681496167572043e-26,0.00019348908667681625,9.455826450406991e-06,1.8676078521540082e-09,4.4025542734820243e-12,4.2644837406755716e-17,7.2647926137793642e-09,1.2930868265864305e-13,3.5822266407427388e-13,1.1592557488720779e-09,2.7166169008079647e-17,6.427681640130654e-14,3.7559598933220396e-19
4.984989182596313e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33736032223507734,0.11847239046092736,0.02281673833510544,2.4190892345158254e-30,5.0717307961339977e-15,4.6099941368658247e-15,5.0010489681646673e-13,1.5579914384021142e-16,9.5795089089321599e-17,7.8892409080784498e-10,2.2129298207762429e-33,1.0875626272600664e-12,2.2104675991475752e-22,9.3282274263340307e-18,1.6487800534588507e-27,1.5533413384748402e-29,3.1229506585224601e-14,2.5443430514489939e-26,0.00019757169424140133,9.6587106870543277e-06,1.8852475583871808e-09,4.5391531020603044e-12,4.397607224342638e-17,7.4701504866077788e-09,1.3053014104455039e-13,3.7882119390660283e-13,1.199547558597775e-09,2.8715415386214449e-17,6.7436532303880941e-14,4.0628797613992003e-19
5.0897739806146e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33735603947059745,0.11846831075458553,0.022816636895923482,2.7975015246788233e-30,5.3287623432269765e-15,4.9585988516474026e-15,5.3976070951033069e-13,1.62876891064343e-16,1.0130236639644419e-16,8.1566510751136919e-10,2.5609111612486483e-33,1.1113832921700628e-12,2.4181846139581333e-22,9.9054665241381873e-18,1.7874471215850172e-27,1.7133609420963003e-29,3.2775016526417656e-14,2.8468042896767228e-26,0.00020165131596240512,9.8615888644396465e-06,1.9023994241450056e-09,4.6777566723333613e-12,4.5327090065217678e-17,7.6767565199069981e-09,1.3171781743620668e-13,4.0019346705759459e-13,1.2402100487547112e-09,3.0314434683408773e-17,7.0663343188165713e-14,4.3871896727170515e-19
5.194558778632887e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33735175969472164,0.11846423403177127,0.022816535459767143,3.2255773282760312e-30,5.593993301065887e-15,5.3260537812975073e-15,5.8159611484605814e-13,1.700816374241208e-16,1.0699400452350507e-16,8.4264400314832327e-10,2.9539241163822089e-33,1.1352505677088118e-12,2.6400415524776508e-22,1.050550444021877e-17,1.9345293856328579e-27,1.8859174693899393e-29,3.4367326350957008e-14,3.1773437849873037e-26,0.00020572795402542732,1.0064460986216019e-05,1.9190805293218071e-09,4.8183745681587684e-12,4.6697992560513425e-17,7.8845797329199562e-09,1.3287289459882703e-13,4.2234964320513285e-13,1.2812328267838739e-09,3.1963535626969654e-17,7.395619025866831e-14,4.7294433035050956e-19
5.299343576651174e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33734748290528577,0.11846016029030061,0.022816434026634552,3.708640700856838e-30,5.8675624350159277e-15,5.7129717427852445e-15,6.2567831150374269e-13,1.7741099479433001e-16,1.1287161217551661e-16,8.6985423759371362e-10,3.3965694690473735e-33,1.1591647434827193e-12,2.876633543323674e-22,1.112876140929864e-17,2.0903471462823843e-27,2.0716913927720217e-29,3.6007110196680188e-14,3.5378492307952165e-26,0.00020980161061446309,1.0267327056033616e-05,1.9353073553798053e-09,4.9610160705286638e-12,4.8088878594619184e-17,8.0935902290984401e-09,1.3399651385681821e-13,4.4529964256488906e-13,1.3226058612074533e-09,3.3663014973426438e-17,7.7314009539401963e-14,5.0901976067603465e-19
5.404128374669461e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33734320910012627,0.11845608952799115,0.022816332596523849,4.2524643835187745e-30,6.1496096769025884e-15,6.1199714948070269e-15,6.7207487543924015e-13,1.8486260912931325e-16,1.1893675393194136e-16,8.9728949966702574e-10,3.8937939090232447e-33,1.183126101818119e-12,3.1285643510548102e-22,1.1775657824856094e-17,2.255225844032049e-27,2.2713838605024461e-29,3.7695045170164519e-14,3.9302867041866763e-26,0.00021387228791190413,1.0470187077539706e-05,1.9510958063214924e-09,5.1056901726128706e-12,4.9499844344888976e-17,8.3037591581230323e-09,1.3508977654603513e-13,4.6905312885679685e-13,1.3643194690000733e-09,3.541315817454872e-17,8.0735733884255579e-14,5.4700126821875043e-19
5.508913172687749e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33733893827708072,0.11845202174266216,0.022816231169433182,4.8632978226500967e-30,6.4402761136109703e-15,6.5476775997618922e-15,7.2085374526074193e-13,1.9243416258533707e-16,1.2519095179135591e-16,9.2494369910900391e-10,4.4509065744789563e-33,1.2071349180155867e-12,3.3964461578055623e-22,1.2446614299545358e-17,2.4294960303016832e-27,2.485716807804357e-29,3.943181125422157e-14,4.3567017807794018e-26,0.00021793998809853951,1.0673041054378668e-05,1.9664612289268578e-09,5.2524055942828965e-12,5.093098343291581e-17,8.5150586792571005e-09,1.3615374541516046e-13,4.9361949039651294e-13,1.4063643034050108e-09,3.7214240799331338e-17,8.422029483772645e-14,5.8694516525823532e-19
5.613697970706036e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33733467043398713,0.1184479569321344,0.02281612974536068,5.5478963595067427e-30,6.7397039763787824e-15,6.9967202908375934e-15,7.720832083302291e-13,2.0012337534808622e-16,1.3163568666197663e-16,9.5281095883968302e-10,5.0735958984762542e-33,1.231191460595337e-12,3.6808993509682522e-22,1.3142051724491014e-17,2.6134933395487931e-27,2.7154330635797322e-29,4.1218091220064081e-14,4.8192206214245787e-26,0.00022200471335355723,1.0875888990191969e-05,1.9814184322812378e-09,5.4011707959244562e-12,5.2382387074220932e-17,8.7274619259012246e-09,1.3718944597815919e-13,5.1900790630388945e-13,1.448731342092897e-09,3.9066528089620127e-17,8.7766624354689019e-14,6.2890805463624064e-19
5.718482768724323e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33733040556868482,0.11844389509423035,0.022816028324304499,6.3135516156634919e-30,7.0480366307882431e-15,7.4677353440984316e-15,8.2583188755446357e-13,2.079280071905255e-16,1.3827239979994528e-16,9.8088560748780884e-10,5.7679467536661922e-33,1.2552959915340215e-12,3.9825523169634173e-22,1.3862391327461766e-17,2.8075584623715703e-27,2.9612964529407821e-29,4.3054570543940263e-14,5.3200510315446569e-26,0.00022606646585454534,1.1078730888618196e-05,1.9959817066186572e-09,5.5519939915180984e-12,5.3854144208304331e-17,8.9409429714697107e-09,1.3819786781910482e-13,5.4522733125319166e-13,1.4914118758144818e-09,4.097027533917481e-17,9.1373656387420273e-14,6.7294681859599098e-19
5.82326756674261e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33732614367901376,0.11843983622677401,0.02281592690626277,7.168123100550183e-30,7.3654185674289926e-15,7.9613639555055618e-15,8.8216872884774042e-13,2.1584585878446837e-16,1.4510249419720616e-16,1.009162172182132e-09,6.5404578885462633e-33,1.2794487664932248e-12,4.3020412411167729e-22,1.4608054730029803e-17,3.0120371195727613e-27,3.2240918957669302e-29,4.4941937328025164e-14,5.8614834939045244e-26,0.0002301252477774928,1.128156675329303e-05,2.0101648415046623e-09,5.7048831612406414e-12,5.5346341608999469e-17,9.1554767964885932e-09,1.391799658511796e-13,5.7228645552879327e-13,1.5343974974762306e-09,4.2925729691646093e-17,9.5040328347672126e-14,7.1911860818126185e-19
5.928052364760898e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33732188476281472,0.118435780327591,0.022815825491233652,8.1200710674135416e-30,7.6919953931722184e-15,8.4782526227041895e-15,9.4116298922404948e-13,2.2387477278742567e-16,1.5212733592074152e-16,1.0376353715953892e-09,7.3980596488471401e-33,1.3036500350399534e-12,4.640009913640028e-22,1.5379464003810682e-17,3.2272800371592434e-27,3.5046255014874454e-29,4.6880882225366501e-14,6.4458921756145854e-26,0.0002341810612967911,1.148439658784927e-05,2.0239811433818088e-09,5.8598460634470039e-12,5.6859064006121143e-17,9.3710392567252945e-09,1.4013666153194467e-13,6.0019378850854456e-13,1.5776800914766829e-09,4.4933129446114222e-17,9.8765582451172591e-14,7.6748083316936153e-19
6.032837162779185e-10,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33731762881792959,0.11843172739450855,0.022815724079215283,9.1784906440791651e-30,8.0279138230393154e-15,9.019053031448343e-15,1.0028842254831951e-12,2.3201263472467021e-16,1.5934825540487094e-16,1.0663001092321165e-09,8.3481319778285946e-33,1.327900040859392e-12,4.9971095416942689e-22,1.6177041725754051e-17,3.4536429222529019e-27,3.8037246602804894e-29,4.8872098368698982e-14,7.0757359101626431e-26,0.00023823390858523504,1.1687220395916818e-05,2.0374434525001429e-09,6.0168902460023512e-12,5.8392394205544935e-17,9.5876070525240283e-09,1.4106884403575797e-13,6.289576509523217e-13,1.6212518235047434e-09,4.699270399293395e-17,1.0254836695154796e-13,8.1809115251284815e-19
