Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53)
3.7036317023691467e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44409319987094026,0.079328494711382383,0.0075553042099196005,0.0,2.5924223937944777e-06,0.061721818910730447,0.03048868761332562,5.5046696669488497e-05,2.805310497520678e-10,0.0022404059631759505,7.4044634230498734e-11,0.00053585254817002746,3.6389723694065053e-09,3.2453358038514143e-09,2.9711386960783629e-09,1.6925340243844279e-10,6.792275529940894e-09,2.7808638519575991e-05,0.0057147876265950153,4.1103610575605174e-05,0.00057501036422928718,2.4413436206365707e-10,4.2111291090098864e-09,3.1971025172450551e-07,1.1104110955625458e-07,0.00012839125864756487,0.00051490280055966199,2.6308534621314881e-08,0.0012393290779080387,4.4007504264467186e-05,9.4728659633022339e-08,1.1575704690993253e-10,4.209617040099013e-11
3.7051025853446758e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44409075629971506,0.079318529716576699,0.0075519553022497894,0.0,2.5913669467886152e-06,0.061741267310403282,0.030495604245057917,5.5067792579864966e-05,2.8081202936497146e-10,0.0022411579633276131,7.4081708014185832e-11,0.00053587171882168018,3.6404545660872128e-09,3.2444574011246494e-09,2.9719188881476862e-09,1.6930530560097813e-10,6.7903975576544449e-09,2.7819330964686134e-05,0.0057140375741060508,4.0885826838340578e-05,0.00057508867354547869,2.4287525243315676e-10,4.2106753441107151e-09,3.2064533314158935e-07,1.1157804578921552e-07,0.00012899415883780885,0.00051724739567152276,2.631420036772165e-08,0.0012397131833810522,4.4024425175457596e-05,9.4749628400124109e-08,1.1570904422663413e-10,4.2111201974122145e-11
3.706573468320205e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44408831183204739,0.079308567182787379,0.0075486079158067028,0.0,2.5903116805716757e-06,0.061760704911180367,0.03050251556650346,5.5089091769610873e-05,2.8109309305773483e-10,0.0022419134828313286,7.4119099015201164e-11,0.00053589080582871855,3.6419461100118895e-09,3.243581916878466e-09,2.972698144594058e-09,1.6935728340143012e-10,6.7885228704999647e-09,2.7830027723311642e-05,0.005713287680738254,4.0670310743418581e-05,0.00057516693503736416,2.4162922939286531e-10,4.2102277839902964e-09,3.2158098853400195e-07,1.1211501113382806e-07,0.00012959693211097415,0.00051959085905399223,2.6319862277011775e-08,0.0012400970644084648,4.4041352910191197e-05,9.4770580240084389e-08,1.1566105260612144e-10,4.2126226622788503e-11
3.708044351295734e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44408586652182436,0.079298607112504818,0.0075452620498963627,0.0,2.5892565981465988e-06,0.061780131734966215,0.030509421613649366,5.5110594092776987e-05,2.8137424070609114e-10,0.0022426725033101121,7.4156807548541648e-11,0.00053590980953509444,3.6434469971562905e-09,3.2427093581218065e-09,2.973476470487162e-09,1.6940933612474237e-10,6.7866514213443414e-09,2.7840728834965681e-05,0.0057125379476427995,4.0457027688864089e-05,0.00057524514883433131,2.403960933894035e-10,4.2097863858328064e-09,3.225172099078543e-07,1.1265200160864902e-07,0.00013019957404729915,0.00052193317397491654,2.6325520367465332e-08,0.0012404807215883418,4.4058287531163413e-05,9.4791515276161123e-08,1.1561307215513195e-10,4.2141244375489711e-11
3.709515234271263e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44408342042164944,0.079288649508225284,0.0075419177038242935,0.0,2.588201702467636e-06,0.061799547803582953,0.030516322421815244,5.5132299396213889e-05,2.8165547218632415e-10,0.0022434350064400388,7.4194833918274778e-11,0.00053592873028496691,3.6449572231672413e-09,3.2418397317151502e-09,2.9742538708350713e-09,1.694614640477445e-10,6.7847831635734238e-09,2.7851434339095904e-05,0.0057117883759483842,4.0245943741245787e-05,0.0005753233150633042,2.3917564873538545e-10,4.2093511070010359e-09,3.2345398944209441e-07,1.1318901333952609e-07,0.00013080208035403876,0.00052427432422033366,2.6331174658183933e-08,0.0012408641555136069,4.4075229100866059e-05,9.4812433629745595e-08,1.1556510297912278e-10,4.2156255262478822e-11
3.710986117246792e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44408097358287268,0.079278694372450623,0.0075385748768955528,0.0,2.5871469964412842e-06,0.061818953138769298,0.030523218025668063,5.5154207519685044e-05,2.8193678737525906e-10,0.0022442009739517036,7.4233178417644148e-11,0.00053594756842265069,3.6464767833668692e-09,3.2409730443717713e-09,2.9750303505854002e-09,1.6951366743922664e-10,6.7829180510907061e-09,2.7862144275141088e-05,0.0057110389667617278,4.0037025620747307e-05,0.00057540143384911984,2.3796770348218998e-10,4.2089219049990021e-09,3.2439131948320453e-07,1.1372604255696672e-07,0.00013140444686204723,0.00052661429408138599,2.6336825166894114e-08,0.0012412473667721073,4.4092177681727124e-05,9.4833335419810463e-08,1.1551714518122317e-10,4.2171259312188404e-11
3.712457000222321e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44407852605562093,0.079268741707687523,0.0075352335684147499,0.0,2.5860924829271971e-06,0.0618383477621798,0.030530108459236684,5.5176318295979066e-05,2.8221818615025452e-10,0.0022449703876316215,7.4271841329175183e-11,0.00053596632429256646,3.6480056727579203e-09,3.2401093026590015e-09,2.9758059146264237e-09,1.6956594656001419e-10,6.7810560383158614e-09,2.7872858682560366e-05,0.0057102897211680484,3.9830240686585459e-05,0.00057547950531391674,2.367720693527177e-10,4.2084987375088445e-09,3.2532919254547947e-07,1.1426308559544381e-07,0.0001320066695232855,0.00052895306834070265,2.6342471909967029e-08,0.0012416303559466737,4.4109133336077972e-05,9.4854220762374017e-08,1.1546919886261684e-10,4.2186256549512943e-11
3.71392788319785e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44407607788882814,0.079258791516447061,0.0075318937776860679,0.0,2.5850381647390657e-06,0.061857731695384194,0.030536993755926105,5.5198631551021504e-05,2.824996683891939e-10,0.002245743229323565,7.4310822924781174e-11,0.00053598499823919257,3.6495438860295769e-09,3.2392485129994923e-09,2.9765805677882004e-09,1.6961830166304365e-10,6.779197080183109e-09,2.7883577600709422e-05,0.0057095406402315257,3.9625556922767622e-05,0.00057555752957738724,2.3558856171977276e-10,4.2080815624338753e-09,3.2626760130498316e-07,1.1480013888875181e-07,0.00013260874440738842,0.00053129063226012665,2.6348114906296625e-08,0.0012420131236151866,4.4126096126273713e-05,9.4875089772093427e-08,1.1542126412417953e-10,4.220124700379196e-11
3.715398766173379e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44407362913026227,0.079248843801244279,0.0075285555040132818,0.0,2.5839840446454966e-06,0.061877104959866418,0.03054387394853126,5.5221147103985784e-05,2.8278123397047814e-10,0.0022465194809298608,7.4350123465869575e-11,0.00053600359060701637,3.6510914175610672e-09,3.2383906816724717e-09,2.9773543148436523e-09,1.696707329934388e-10,6.7773411321394273e-09,2.7894301068885376e-05,0.0057087917249957695,3.9422942924208707e-05,0.00057563550675763663,2.3441699944572967e-10,4.2076703378066219e-09,3.2720653859086379e-07,1.1533719896622107e-07,0.00013321066769807983,0.00053362697156899978,2.635375417403438e-08,0.0012423956703506345,4.4143066114644867e-05,9.489594256205842e-08,1.1537334106454978e-10,4.2216230705321902e-11
3.7168696491489082e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44407117982655497,0.079238898564597579,0.0075252187466997647,0.0,2.5829301253708668e-06,0.061896467577024064,0.030550749069250628,5.524386476740381e-05,2.8306288277301651e-10,0.0022472991244126303,7.438974320344855e-11,0.00053602210174048738,3.6526482614259203e-09,3.2375358148150036e-09,2.9781271605095793e-09,1.6972324078858769e-10,6.7754881501426378e-09,2.7905029126507776e-05,0.0057080429764842702,3.922236788312236e-05,0.00057571343696997013,2.332572047701268e-10,4.207265021807966e-09,3.2814599739104618e-07,1.1587426245552666e-07,0.00013381243569152515,0.00053596207245081137,2.6359389726427542e-08,0.0012427779967211746,4.4160043363313019e-05,9.4916779241124784e-08,1.1532542977905362e-10,4.2231207672896065e-11
