Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57),H2OX(23)
6.914294909897655e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,1.0376693069072137e-72,1.5148425410800648e-42,1.0840165457575323e-27,7.0240949744974802e-53,1.4271753750595576e-42,4.4169393240370467e-35,1.4623658892774143e-20,2.4296660720468416e-80,1.4623658638695958e-20,2.6023500217059019e-51,2.9176235648933634e-52,1.9440866524452563e-53,2.2137500592700121e-76,4.4171489213405841e-35,1.197501953968385e-62,2.7883331706741652e-12,1.3406553676034077e-13,5.1675494764576456e-17,5.1676785934777033e-17,5.2915268542687858e-22,7.7599601183164439e-23,2.6832936455898086e-26,3.9372412439201001e-26,4.0226061269311327e-45,3.8480135185318258e-38,2.4295874508554191e-66,2.38204456703192e-48,6.8629163608383998e-65,7.8721719156984349e-37
1.3828595681120699e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438856,0.022821567692920222,4.6472307292091788e-70,2.4192507090363335e-41,7.7372601071715372e-27,6.8428063460612038e-52,1.1417164059933458e-41,1.7667768796612298e-34,2.9247330699089588e-20,7.7749431398390784e-79,2.9247329682786955e-20,2.0818821460851643e-50,4.6597441474175958e-51,1.5552705001002981e-52,6.1153380677069812e-75,1.7669442661678311e-34,1.9160052187416818e-61,5.5766687032547703e-12,2.6813118716584288e-13,1.0334981987576786e-16,1.0335522835159587e-16,1.8730103876652274e-21,5.5370665017295311e-22,3.7655731628941018e-25,1.5719645737050323e-25,2.2592687422787516e-43,5.5133508300065966e-37,5.4401027911684784e-64,1.9055614932480174e-47,1.3234368883561234e-63,6.2867832472919421e-36
2.7657197223566784e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881179,0.022821567692786156,1.9352212001639812e-67,3.8574751598597933e-40,5.0840762950729058e-26,1.8231483173075464e-50,9.133335410220323e-41,7.0671099792920888e-34,5.8494675862369553e-20,2.4879838502128249e-77,5.8494671797247878e-20,1.6655066520515931e-49,7.4286649347840877e-50,1.2442169007697163e-51,2.2434949946296932e-73,7.0684444319249785e-34,3.0656101729848847e-60,1.1153339763031342e-11,5.3626248796575297e-13,2.0669482986533299e-16,2.0671789131636864e-16,6.0672978623512813e-21,3.6359589297583588e-21,4.9252710257956078e-24,6.2645188421971296e-25,1.1835726687924135e-41,7.2911722729281672e-36,1.1325050085498786e-61,1.5243288556524662e-46,6.8187688453856266e-62,5.011982327161192e-35
5.531440030845896e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765824,0.022821567692518023,7.2195346697466377e-65,6.1305268501473884e-39,2.986680297836809e-25,1.3414781128047767e-48,7.3060296238395091e-40,2.826844612280543e-33,1.1698937239106788e-19,7.9615526940024924e-76,1.1698935613122765e-19,1.3324058296168895e-48,1.1800567114297713e-48,9.9537376797816068e-51,1.5751955422438056e-71,2.8279048249150158e-33,4.9049782122080138e-59,2.2306681861045915e-11,1.0725250895212149e-12,4.1337028993893127e-16,4.1346939607220372e-16,1.7442341349892648e-20,2.133079141708992e-20,5.803851666437733e-23,2.487327627104483e-24,5.5906691362013112e-40,8.647857068582353e-35,2.1118700513371581e-59,1.2192699082490278e-45,9.9079287575005667e-60,3.9819517870006459e-34
1.106288064782433e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535114,0.022821567691981761,2.3627907817931273e-62,9.6794552129496215e-38,1.5525728892488826e-24,1.100799058857444e-46,5.8437998092298264e-39,1.1307380717586497e-32,2.3397879025348495e-19,2.5476984377984959e-74,2.3397872521974286e-19,1.0659250810971543e-47,1.8612975419203711e-47,7.9629918865310778e-50,1.9552173448523018e-69,1.1315747145350323e-32,7.8479682141743478e-58,4.461336597092082e-11,2.1450502924547612e-12,8.2666297866910928e-16,8.2708538409037321e-16,4.4125708439920957e-20,1.1057908291596807e-19,6.0740239332271095e-22,9.8044834724065441e-24,2.3467260824802414e-38,9.0976190433269534e-34,3.4545377147032387e-57,9.7510671563678048e-45,1.6247656859589602e-57,3.1422185948874005e-33
2.21257618817812e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073694,0.022821567690909237,6.785282347660301e-60,1.5089256817390213e-36,7.2690072063846946e-24,8.3036013532199752e-45,4.6734013543454323e-38,4.5229535623810561e-32,4.6795772517050561e-19,8.1526423199195741e-73,4.6795746508007332e-19,8.527405744856758e-47,2.8957606138959043e-46,6.3703954111090897e-49,2.7702833116849534e-67,4.5294693643178849e-32,1.2556756485206807e-56,8.9226733846053636e-11,4.290100697613111e-12,1.6530154960838645e-15,1.6547840244889245e-15,1.0058262814147972e-19,5.1484911562717914e-19,5.717048635518279e-21,3.8105381292042082e-23,8.8594092799373397e-37,8.6188392639560724e-33,4.9581158508545119e-55,7.795909818540553e-44,2.4524592000407815e-55,2.4470948511230863e-32
4.425152434969494e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.11866996585150855,0.022821567688764186,1.7223322150286957e-57,2.2961864981609769e-35,3.1683564966990533e-23,5.797777980248622e-43,3.7361010863474801e-37,1.809182336998499e-31,9.3591599154947224e-19,2.6088498621221691e-71,9.3591495154379034e-19,6.8219321136164761e-46,4.3894576514056171e-45,5.0963190160182629e-48,3.81820245192825e-65,1.8141320350520242e-31,2.0090831866820579e-55,1.7845346821785125e-10,8.5802015051000154e-12,3.3047896154145195e-15,3.3120757465599744e-15,2.1479141757872697e-19,2.2192615729436546e-18,4.9742530766839116e-20,1.4419513489312734e-22,3.0902508992188288e-35,7.5822248889992044e-32,6.2897923249283456e-53,6.228831713608627e-43,3.4264488873203889e-53,1.8588090295468236e-31
6.637728681760867e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228016,0.022821567686619134,1.2897154866960219e-56,8.2535199991975778e-35,6.9089394371556002e-23,3.2925466487439952e-42,1.1087130561762554e-36,3.8445137748485307e-31,1.4038746542486291e-18,1.2481212416274604e-70,1.4038724447617215e-18,2.0252623459888891e-45,1.6335994225352584e-44,1.4572291492000303e-47,2.5316002049466821e-64,3.8582592625321255e-31,7.6007736395380972e-55,2.6768020121118092e-10,1.2870302309759547e-11,4.9556333436312812e-15,4.9712795191709426e-15,3.2908451211503439e-19,4.8028022842073497e-18,1.4500459610029907e-19,2.9508499747615559e-22,1.4669542048895963e-34,2.2236644710387406e-31,4.0970790370013219e-52,1.7797613881442947e-42,2.2745677796917127e-52,5.1617911859799692e-31
8.850304928552241e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756282591943,0.11866996567305177,0.022821567684474083,6.2876647261097633e-56,2.0495797594577886e-34,1.1948102628209218e-22,1.2129971859303551e-41,2.4148063910804578e-36,6.5582902439192981e-31,1.8718337130454477e-18,4.1308541855777841e-70,1.8718299447426959e-18,4.4129429213192476e-45,4.2837482158277144e-44,3.0737191320287668e-47,1.0446652393346515e-63,6.5865380815251755e-31,1.9784780739166882e-54,3.5690693282604264e-10,1.7160403111598431e-11,6.6055472048300335e-15,6.6324115021265431e-15,4.4332949080134001e-19,8.2479956865217416e-18,3.0858713744071017e-19,4.8653118738748761e-22,4.7789455852149914e-34,4.7579536333332765e-31,1.832422195381121e-51,3.7515568980206062e-42,9.3918352609723408e-52,1.0607450639696838e-30
1.3275457422134988e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756263887916,0.11866996549459499,0.022821567680183983,7.9203066547912644e-55,6.9222522078151308e-34,2.5071896736859598e-22,7.9838318562930113e-41,7.0033125990273073e-36,1.3578113912492749e-30,2.8077527595645434e-18,2.4102269939340706e-69,2.8077449606067104e-18,1.2809429027663234e-44,1.6408019943402661e-43,8.3952839358166066e-47,8.0572634580556763e-63,1.3652069564873461e-30,7.2607430212422518e-54,5.353603928205863e-10,2.5740604708670494e-11,9.9031942108723207e-15,9.9592492990770663e-15,6.716722173665475e-19,1.7107378384485034e-17,8.4775612049511396e-19,9.5298651548370282e-22,2.6563103359665537e-33,1.3188880476512126e-30,2.1014570211746778e-50,1.0235421808095961e-41,7.2482826249499672e-51,2.7769806370212446e-30
