Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),H2OX(35),CX(24),OCX(21),COX(37),CO2X(34)
6.562139611638073e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038099596,0.099999999983117469,0.099999999998952011,3.1544995121739628e-70,1.5335918758793365e-46,5.1980504302647564e-36,1.1069724598000861e-59,8.8565805640331831e-36,2.773178920751915e-68,2.8675041406730993e-29,0.0,3.2049795933716292e-34,3.368710956621513e-77,1.8715127404306573e-52,1.8293694295097671e-58,7.4528313418844469e-66,1.4039575871419815e-47,7.1915629677873831e-112,1.6857076617229018e-11,2.0960086058672014e-12,2.5463950758674753e-14,2.5470185661271469e-14,2.4379583079759456e-18,4.5298592512444299e-19,2.2370776743042492e-26,1.1199862801004103e-45,1.0247339158861e-41,1.033348034810219e-56,1.3111115833315894e-32,2.953010086270277e-45,5.4450616478484609e-70,1.2147349799643842e-80
1.0936899970818506e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036832662,0.099999999971862444,0.099999999998253347,2.5420370737369869e-68,1.2612732398807144e-45,2.4353497389195944e-35,4.1728899236020749e-58,4.1480073497844254e-35,1.2510846592611774e-66,7.9273210711008974e-29,0.0,8.8615480746021911e-34,1.1106797720331867e-75,1.5388792991861578e-51,3.9772153971297891e-57,3.3613851043376996e-64,6.4520665460993757e-47,1.0127571933179478e-110,2.8095123787388237e-11,3.4933478735677923e-12,4.2436746441742403e-14,4.2454629719626286e-14,6.0931165163631422e-18,1.8990055617340767e-18,6.1848607538105104e-26,8.8406605308811302e-45,1.3012673618179987e-40,1.4409008061845915e-55,9.236988856777689e-32,6.4201123037206603e-44,3.6034520750334289e-68,1.7369335376353805e-78
1.4874184294080896e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575035692422,0.099999999961732922,0.099999999997624545,1.4660905833992016e-67,3.6788092265496299e-45,5.6205253875175752e-35,1.8299456983434376e-57,9.5710966437047553e-35,6.3222050431099417e-66,1.4115637858941944e-28,0.0,1.5780687550534738e-33,5.1832327707092517e-75,4.4879929574675143e-51,1.5498438297227719e-56,1.6984217305256119e-63,1.4523535851948169e-46,5.4211647742622697e-110,3.8209363386737565e-11,4.750953214342159e-12,5.7710614710732415e-14,5.7743143247383193e-14,1.0164565258753699e-17,4.0664593196611066e-18,1.1013403403518724e-25,2.4812218000949799e-44,4.3997823389107302e-40,4.9394413163232545e-55,2.4450680816751682e-31,2.5017934524903231e-43,1.7398677670424123e-67,1.0701449586035496e-77
1.8811468617343285e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034552181,0.099999999951603399,0.099999999996995742,5.3714035048970835e-67,8.418226997439312e-45,1.0823251659232091e-34,6.2955320912763497e-57,1.842708819834964e-34,2.0853486572641617e-65,2.2033808399151929e-28,0.0,2.4635351290453563e-33,1.5195874917345988e-74,1.0269075233891947e-50,4.5871742493229421e-56,5.6020433666401435e-63,2.7450425480097224e-46,4.4876145519112028e-109,4.8323599965405347e-11,6.0085585549512273e-12,7.2982738981937383e-14,7.3034478120169221e-14,1.4902653301108802e-17,7.3112680230688898e-18,1.7192076346751982e-25,5.681475927261489e-44,1.1019289727818753e-39,1.3342472331089234e-54,5.2795597441474354e-31,7.4047218708148461e-43,6.8764011005929748e-67,4.5718572935604212e-77
2.2748752940605674e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503341194,0.099999999941473877,0.099999999996366939,1.6821014274333921e-66,1.6648728129810377e-44,1.8404496378941978e-34,1.6951794129620856e-56,3.1327993186670645e-34,5.8462891532185041e-65,3.1585835846040342e-28,0.0,3.5318650302780089e-33,4.0917540281581134e-74,2.030697743433337e-50,1.106474693877543e-55,1.5703637914413902e-62,4.5882340692330541e-46,1.488750338546264e-108,5.8437833690720036e-11,7.2661638954041539e-12,8.8253216037121918e-14,8.8328584527440091e-14,2.0163629049970362e-17,1.1680401710039456e-17,2.4646090478138424e-25,1.1080326191177631e-43,2.3691773695757501e-39,2.9821595786667221e-54,9.7735402494948527e-31,1.7860968255712062e-42,2.0541692484142444e-66,1.5469427830423111e-76
3.062332158713045e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575031131459,0.099999999921214874,0.099999999995109334,1.059895253694098e-65,4.6576277336814539e-44,4.0702611737721714e-34,7.1456781774818165e-56,6.9255705823047923e-34,3.123968530767076e-64,5.4415370885314348e-28,0.0,6.0856395791383244e-33,2.0093463228809936e-73,5.6796962189226457e-50,4.0609389791062105e-55,8.3884073122722856e-62,9.7953550966517184e-46,3.0995451687755344e-108,7.8666294634332375e-11,9.7813745759539317e-12,1.1879041420623018e-13,1.1892336732661807e-13,3.1627456203436189e-17,2.323272710513127e-17,4.2462512002815421e-25,2.942329044786824e-43,7.5570288363679081e-39,9.7285081105269298e-54,2.385830623999251e-30,6.5552608286484047e-42,9.9052636172117319e-66,1.0461796669359416e-75
3.849789023365523e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575028850978,0.099999999900955872,0.099999999993851729,3.8524946605768723e-65,1.0430528327033529e-43,7.6273892705864471e-34,2.1989467991495398e-55,1.297307747001427e-33,1.0413695593534968e-63,8.328284524931256e-28,0.0,9.31564121513252e-33,6.4077874983119365e-73,1.271679315038524e-49,1.119825690877751e-54,2.7957011095798924e-61,1.7811787876350263e-45,1.4595518037856145e-107,9.8894745030796864e-11,1.2296585255926547e-11,1.4932152506723007e-13,1.4952906035552271e-13,4.4355633072218591e-17,3.9607998576551946e-17,6.4993115447497706e-25,6.3834515511885776e-43,1.8316338877313284e-38,2.4776522139141915e-53,4.8018034043817339e-30,1.8076483108011322e-41,3.3636389797831261e-65,4.2678298494231652e-75
4.637245888018001e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575026570496,0.099999999880696855,0.099999999992594124,1.1953507401725726e-64,2.0611611565794538e-43,1.2911873582931104e-33,5.7882311776341916e-55,2.1952432285664615e-33,2.915698820342304e-63,1.1859659891194609e-27,0.0,1.3267982772720793e-32,1.7392646308676139e-72,2.5124011224877781e-49,2.653356893236192e-54,7.8257753945963362e-61,2.9464171213146346e-45,5.2856477069554297e-107,1.1912318416473e-10,1.4811795935282851e-11,1.7984613694138452e-13,1.8014679849065157e-13,5.8036638218266831e-17,6.1529415467418815e-17,9.2557653353497781e-25,1.233910037676897e-42,3.8496617389811434e-38,5.5147764976931206e-53,8.6439086079758196e-30,4.2831095453123692e-41,9.7231085142256773e-65,1.4386455065495799e-74
5.424702752670479e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575024290009,0.099999999860437866,0.099999999991336519,3.3125289463559468e-64,3.7167169150015588e-43,2.0301486186376026e-33,1.3615628311280239e-54,3.4501664896891141e-33,7.2702943768751909e-63,1.6045643011348567e-27,0.0,1.7954288218696747e-32,4.1733740052917638e-72,4.5293725402598995e-49,5.6367680406226565e-54,1.9508585122269342e-60,4.5535451155109892e-45,1.4271542263556266e-106,1.3935161185938523e-10,1.7327006614013174e-11,2.1036414921445811e-13,2.1077709470842904e-13,7.2358722888515304e-17,8.9409340560813238e-17,1.2523512782144318e-24,2.192413964439304e-42,7.2852408991740752e-38,1.1131420352094386e-52,1.4356468906068865e-29,9.0990002359524703e-41,2.5058493057437417e-64,4.3039710104156538e-74
6.999616481975435e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575019729044,0.099999999819919916,0.099999999988821309,2.5732573190864089e-63,1.0282376315251211e-42,4.3407628146327721e-33,7.1637906977431011e-54,7.369734547893637e-33,4.0289737692223903e-62,2.6383827236951365e-27,0.0,2.9534054824304243e-32,2.063543736225106e-71,1.2523656354555288e-48,2.2117731289816416e-53,1.0803861971427578e-59,9.5120739782413362e-45,7.8475938517233891e-106,1.7980843287533165e-10,2.2357427969592833e-11,2.7138035081430499e-13,2.7207640639006871e-13,1.0192941760102349e-16,1.6406557154157367e-16,2.0595372290444734e-24,6.0131431372621794e-42,2.1399424073548263e-37,4.0186414501185175e-52,3.3975604174390335e-29,3.5702949054071241e-40,1.7851563346080997e-63,4.7499616480909513e-73
