Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),H2OX(23)
6.567137013118301e-08,0.09977366400000001,0.80000000000000004,0.0,0.27946052918202413,0.09582134965489475,0.097156689030145058,5.4590033618832593e-13,3.8763669728088487e-11,1.8983781823079096e-06,4.9233496928607568e-08,9.1714647614118026e-21,5.1032678669983015e-17,2.5505945421095404e-12,3.9612243301471847e-37,2.803203994721503e-10,1.1352942148658704e-25,3.3857943756958995e-21,2.207169657553832e-20,1.6939153062905837e-24,1.8885884292936363e-15,2.3213737254219058e-28,0.0041730485170284291,0.0056859140633370451,7.5316012448718046e-11,3.189467300998672e-10,1.8558018013010535e-05,2.2045351377864115e-15,5.8091706835568504e-09,4.8884229282873202e-06,6.5828404294806814e-07,2.2909162055763291e-08,1.773595780868558e-16,2.3024597015629665e-14,5.5569769959990596e-15
6.587285397928088e-08,0.09977366400000001,0.80000000000000004,0.0,0.27944340370334958,0.095821057098885831,0.09714831088474539,5.5395269981264705e-13,3.9289510434240621e-11,1.922838036692637e-06,4.9776306051401566e-08,9.2531266660489001e-21,5.1634939358748016e-17,2.5752123575629992e-12,4.0959457687641557e-37,2.8243598860720965e-10,1.1600524622688969e-25,3.4332107507720723e-21,2.2439713076833999e-20,1.7181020467883924e-24,1.9092867782644327e-15,2.3769649597447079e-28,0.0041733079159690647,0.0057026641852519783,7.5535094285116572e-11,3.2133681556097732e-10,1.8641056630034246e-05,2.215318722175501e-15,5.8676584183745628e-09,4.9153553047774137e-06,6.6390718581786486e-07,2.3211747401323921e-08,1.7941254573077935e-16,2.3326610508356067e-14,5.617145576385034e-15
6.607433782737876e-08,0.09977366400000001,0.80000000000000004,0.0,0.27942628906849315,0.09582077179830692,0.097139934488196494,5.6209809022773884e-13,3.9820793006857137e-11,1.9475111439081132e-06,5.0323278842787164e-08,9.3352645784130951e-21,5.224295247005718e-17,2.6000000129360169e-12,4.2349284559457653e-37,2.8455887451433104e-10,1.1852901406254528e-25,3.4811204165973967e-21,2.2812537368198278e-20,1.7425550075800727e-24,1.9301354458681492e-15,2.4337670604317851e-28,0.0041735599652171522,0.0057194107754839013,7.5754134292161154e-11,3.2373443261396349e-10,1.8724039978768223e-05,2.2261568401199428e-15,5.9264938217038592e-09,4.9423476276052306e-06,6.6956013333033864e-07,2.351705225946817e-08,1.8148265171044759e-16,2.3631402598530396e-14,5.67778707262348e-15
6.627582167547663e-08,0.09977366400000001,0.80000000000000004,0.0,0.27940918516826413,0.095820493644393351,0.097131559839460965,5.7033728228703651e-13,4.0357553466420277e-11,1.9723982202449728e-06,5.0874432508092953e-08,9.4178798071587656e-21,5.2856756977339778e-17,2.6249580300745069e-12,4.3782961337420008e-37,2.8668903086783725e-10,1.211015194299967e-25,3.5295265250595167e-21,2.3190213448380859e-20,1.7672762290278556e-24,1.9511348511689528e-15,2.4918034430459121e-28,0.0041738047735662585,0.005736153836034188,7.597313245961414e-11,3.2613954438025226e-10,1.8806966491512909e-05,2.2370497408228849e-15,5.9856769998039146e-09,4.9693997943934232e-06,6.7524294165992806e-07,2.3825086350992683e-08,1.8356998246906785e-16,2.3938985986836527e-14,5.7389035199098052e-15
6.64773055235745e-08,0.09977366400000001,0.80000000000000004,0.0,0.27939209189507241,0.095820222529981458,0.097123186937508418,5.7867105473981004e-13,4.0899827876860194e-11,1.9974999750189023e-06,5.1429784250921092e-08,9.5009736604417265e-21,5.3476391966264648e-17,2.6500869282459762e-12,4.5261757872334703e-37,2.8882643117461968e-10,1.2372356735375878e-25,3.5784322316245301e-21,2.3572785515285969e-20,1.7922677599319944e-24,1.9722854104772955e-15,2.5510979105343141e-28,0.0041740424482088912,0.0057528933688904757,7.6192088777319239e-11,3.2855211390556191e-10,1.8889834614698349e-05,2.247997671646166e-15,6.0452080493242371e-09,4.9965117029284343e-06,6.8095566682571009e-07,2.413585930587932e-08,1.8567462457693897e-16,2.4249373338310383e-14,5.8004969495801044e-15
6.667878937167238e-08,0.09977366400000001,0.80000000000000004,0.0,0.27937500914290475,0.095819958349485188,0.097114815781315228,5.8710019023682561e-13,4.1447652344246752e-11,2.0228171105403799e-06,5.1989351272996455e-08,9.584547445922263e-21,5.4101896634094807e-17,2.675387224126839e-12,4.6786977194216663e-37,2.9097104877669304e-10,1.2639597354594522e-25,3.6278406952586838e-21,2.3960297965404267e-20,1.8175316575299646e-24,1.9935875373466243e-15,2.6116746583816067e-28,0.0041742730947600818,0.0057696293760268825,7.6411003235204944e-11,3.3097210416469106e-10,1.8972642808945999e-05,2.2590008780987281e-15,6.1050870573925151e-09,5.0236832511602902e-06,6.8669836469173456e-07,2.444938066279784e-08,1.877966647308767e-16,2.4562577282119068e-14,5.8625693890635364e-15
6.688027321977025e-08,0.09977366400000001,0.80000000000000004,0.0,0.27935793680730159,0.095819700998872617,0.097106446369864569,5.9562547533598424e-13,4.2001063015487519e-11,2.0483503220856356e-06,5.2553150774016784e-08,9.6686024707681608e-21,5.4733310289039301e-17,2.7008594317899427e-12,4.8359956275878183e-37,2.9312285685375478e-10,1.2911956450618916e-25,3.6777550783506442e-21,2.4352795393241567e-20,1.843069987495592e-24,2.0150416425703938e-15,2.6735582798110435e-28,0.0041744968172805937,0.0057863618594041887,7.6629875823286385e-11,3.3339947806627906e-10,1.9055389549127903e-05,2.2700596038254718e-15,6.1653141017032643e-09,5.0509143372024087e-06,6.9247109096735788e-07,2.4765659868624626e-08,1.8993618975364323e-16,2.4878610411350782e-14,5.9251228618362432e-15
6.708175706786813e-08,0.09977366400000001,0.80000000000000004,0.0,0.27934087478533332,0.095819450375643295,0.097098078702146248,6.0424770050793005e-13,4.2560096077032057e-11,2.0741002978688079e-06,5.3121199951503791e-08,9.7531400416577907e-21,5.5370672349602506e-17,2.7265040626923325e-12,4.9982066811432579e-37,2.952818284257456e-10,1.3189517762195354e-25,3.7281785466343834e-21,2.4750322590744372e-20,1.8688848239380981e-24,2.0366481341794214e-15,2.7367737710342546e-28,0.0041747137182997973,0.0058030908209700319,7.6848706531667987e-11,3.3583419845754412e-10,1.9138073324423578e-05,2.2811740905966238e-15,6.2258892506074269e-09,5.078204859331399e-06,6.9827390120757467e-07,2.5084706277977517e-08,1.9209328659337297e-16,2.519748528281341e-14,5.9881593873764111e-15
6.7283240915966e-08,0.09977366400000001,0.80000000000000004,0.0,0.27932382297557828,0.09581920637880556,0.097089712777156584,6.1296766014163651e-13,4.3124787753582934e-11,2.1000677190152978e-06,5.3693516000655123e-08,9.838161464783163e-21,5.6014022343930859e-17,2.7523216256632388e-12,5.1654716009943874e-37,2.9744793635541225e-10,1.3472366126922709e-25,3.7791142691126591e-21,2.515292454672258e-20,1.894978249401089e-24,2.0584074174395519e-15,2.8013465365496712e-28,0.004174923898838224,0.0058198162626591048,7.7067495350545773e-11,3.3827622812899288e-10,1.9220692638374392e-05,2.2923445782976437e-15,6.2868125632027382e-09,5.1055547159868713e-06,7.0410685081335251e-07,2.5406529152766765e-08,1.9426804232300644e-16,2.5519214416844358e-14,6.0516809811211997e-15
6.748472476406388e-08,0.09977366400000001,0.80000000000000004,0.0,0.27930678127809938,0.09581896890885451,0.097081348593898428,6.217861525499652e-13,4.3695174306813355e-11,2.1262532595363297e-06,5.4270116114197359e-08,9.9236680458530513e-21,5.6663399909156994e-17,2.7783126268922952e-12,5.3379347404456812e-37,2.9962115335087164e-10,1.3760587491360191e-25,3.830565417981127e-21,2.5560646446269323e-20,1.9213523548614508e-24,2.0803198948496398e-15,2.8673023944898204e-28,0.0041751274584297575,0.0058365381863933405,7.7286242270209689e-11,3.407255298191058e-10,1.9303246008935528e-05,2.3035713049195692e-15,6.3480840894249263e-09,5.1329638057712308e-06,7.0996999503196287e-07,2.5731137661761978e-08,1.9646054413972178e-16,2.5843810297129539e-14,6.115689654424768e-15
