Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),H2OX(23),C2H4X(65)
5.6193432740948164e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679721056,0.11866996602720688,0.022821567693014189,0.0,1.6804451932474875e-42,1.5727610999143194e-24,0.0,7.4529210841430595e-37,0.0,4.9595161138266111e-14,7.4353378367207799e-72,4.9595160613208503e-14,5.1138097613122333e-49,5.0879530025864865e-47,0.0,0.0,1.4384279785106105e-36,1.104265940397476e-56,2.7085278725235973e-12,8.0194696373579304e-14,3.2104626381755459e-16,4.7696154678696634e-26,1.7664640680007345e-25,3.2104574177657233e-16,5.7865620715563217e-35,8.2987784741039943e-64,6.6266456742703566e-48,7.2181826229557628e-75,8.9450459346899588e-37,9.6807149790760792e-68
1.1238691311769988e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679442118,0.11866996602444843,0.022821567692974092,0.0,2.6882173971564275e-41,6.2910483983560922e-24,0.0,5.9623424295655503e-36,0.0,9.9190365358343709e-14,4.7586230647941467e-70,9.9190363258114741e-14,8.1821036676249538e-48,8.1391265576433654e-46,0.0,0.0,1.1505255809893089e-35,3.5336543491439762e-55,5.4170580398652398e-12,1.6038946072750061e-13,6.4209280576828607e-16,1.9074607657571206e-25,7.0658570283812635e-25,6.4209071760587077e-16,4.6292530824651476e-34,5.3112230931703067e-62,1.0602643705744564e-46,9.2392823162171934e-73,7.1546750629098243e-36,6.1954766011257072e-66
2.2477387387120327e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678884242,0.11866996601893154,0.022821567692893896,0.0,4.2995598470143763e-40,2.516420158456849e-23,0.0,4.7698757671814404e-35,0.0,1.9838077691679097e-13,3.0455206422509591e-68,1.9838076851589784e-13,1.3091370818526761e-46,1.3017468787909706e-44,0.0,0.0,9.2007274858884142e-35,1.1307696720252174e-53,1.0834118370854234e-11,3.2077898943053786e-13,1.2841859076059561e-15,7.6267541671280249e-25,2.8263407210460566e-24,1.2841775549763785e-15,3.7034038258452535e-33,3.3991833399051813e-60,1.6964236971407846e-45,1.1826283381500337e-70,5.7215561845903498e-35,3.9648667671069104e-64
4.495477953782101e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677768495,0.11866996600789775,0.022821567692733507,0.0,6.8742155819147437e-39,1.0065682227055192e-22,0.0,3.8159007009710955e-34,0.0,3.9676161250674486e-13,1.9491334148249943e-66,3.9676157890334658e-13,2.0946192504208519e-45,2.0811522806301838e-43,0.0,0.0,7.355020541453887e-34,3.618461772853073e-52,2.1668239018055084e-11,6.4155804681738779e-13,2.5683721830277455e-15,3.0482318979677061e-24,1.1305340770973558e-23,2.5683387726860975e-15,2.9627235882812711e-32,2.1754762393393866e-58,2.7142780118279365e-44,1.5137635159138373e-68,4.5737520518673662e-34,2.5372076989860419e-62
8.990956383922238e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675537002,0.11866996598583018,0.022821567692412729,0.0,1.0982520161923073e-37,4.0262732054640689e-22,0.0,3.0527195682086972e-33,0.0,7.9352333357790247e-13,1.2474450045208059e-64,7.9352319916577418e-13,3.351389211256474e-44,3.3245859118002316e-42,0.0,0.0,5.8751359807365316e-33,1.1579065381996439e-50,4.3336480253348193e-11,1.2831161615142155e-12,5.1367450208700684e-15,1.2173211273662434e-23,4.522117539764897e-23,5.1366113809485999e-15,2.3701790555155886e-31,1.3923028065871689e-56,4.3428434017799412e-43,1.9376145478346275e-66,3.6534242385882386e-33,1.6234193908079683e-60
1.7981913244202512e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727671074017,0.11866996594169504,0.022821567691771169,0.0,1.752033369081538e-36,1.6105093419118547e-21,0.0,2.4421736137120569e-32,0.0,1.5870469752774822e-12,7.9836404973788478e-63,1.5870464376407495e-12,5.3622165867592042e-43,5.3026033185162854e-41,0.0,0.0,4.6859614993852119e-32,3.7052922953936008e-49,8.6672962487500096e-11,2.5662323906004739e-12,1.0273491844652461e-14,4.8535820989121016e-23,1.8088317855494251e-22,1.0272957296591336e-14,1.8961432765265564e-30,8.9107106753777481e-55,6.948543527766515e-42,2.4801390533708558e-64,2.9138541408803419e-32,1.0384848297999917e-58
3.596382696476306e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072766214804,0.11866996585342476,0.022821567690488053,0.0,2.786851147945105e-35,6.4420374614821993e-21,0.0,1.9537354448565461e-31,0.0,3.1740950568437494e-12,5.1095195527424249e-61,3.1740929063911826e-12,8.5795260042116756e-42,8.4310903869350284e-40,0.0,0.0,3.7263300000824966e-31,1.1856878918872499e-47,1.7334592601006657e-10,5.1324648475442119e-12,2.0546990085421488e-14,1.9289836013452828e-22,7.2352048708988796e-22,2.0544851986307527e-14,1.5169145671195034e-29,5.7028193116082075e-53,1.1117649613906379e-40,3.1745582815562595e-62,2.3169903118989623e-31,6.6398656739623111e-57
5.394574068532361e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727653222064,0.11866996576515448,0.022821567689204937,0.0,1.0228616861341022e-34,1.3689329634634958e-20,0.0,5.8001462361290331e-31,0.0,4.7611439365149546e-12,2.9010315447117502e-60,4.7611393669420961e-12,3.2458052296726207e-41,3.2052432107949662e-39,0.0,0.0,1.0618363410925727e-30,5.5311973523972579e-47,2.6001888858689563e-10,7.6986973032591732e-12,3.0820492920202486e-14,4.0809407373416673e-22,1.5374630646736156e-21,3.0815949596408012e-14,4.3374274692830305e-29,3.1890597342074379e-52,4.2060290034083966e-40,2.0788237255435281e-61,6.6021502766232363e-31,3.7118410899643186e-56
7.192765440588416e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727644296087,0.1186699656768842,0.022821567687921821,0.0,2.5876140694958787e-34,2.3352385838017862e-20,0.0,1.2638199762815346e-30,0.0,6.3481936142293785e-12,1.1156771628020197e-59,6.3481858192934916e-12,8.4488029909451129e-41,8.5975750222293316e-39,0.0,0.0,2.2327523592158672e-30,1.6842509385587407e-46,3.4669185021798752e-10,1.0264929757746964e-11,4.1094000349786868e-14,6.9332784365358628e-22,2.6227028783654936e-21,4.1086250188844337e-14,9.148890476290672e-29,1.1163240164825166e-51,1.0948259892781517e-39,8.244457006269166e-61,1.3882084299513581e-30,1.2989333220654184e-55
1.0789148184700525e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727626444145,0.11866996550034364,0.022821567685355589,0.0,9.010385914733426e-34,4.8348148444548337e-20,0.0,3.6684713246276866e-30,0.0,9.5222948424249948e-12,8.4911668462540577e-59,9.5222787047525163e-12,3.1005845365703909e-40,3.4544009265463227e-38,0.0,0.0,6.0668620619584885e-30,7.6734737459997368e-46,5.2003777126058364e-10,1.5397394663846041e-11,6.1641025995104261e-14,1.4257388473134238e-21,5.429875591232275e-21,6.162498101421131e-14,2.4988456134374763e-28,6.2128647211181375e-51,4.0178495455693926e-39,5.5250395830920176e-60,3.7718585188053828e-30,7.2254056115599349e-55
