Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),OX(20),OCX(21),COX(32),H2X(31),CH2X(58),CHX(26),C2H6X(34),HOX(23),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),H2OX(30),CH4OX(41)
3.907825792576616e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799235539,0.099999999994388272,1.6290514727702665e-83,0.099999999997967132,3.0897200450962593e-75,3.4447114824513314e-51,1.2966208025883582e-25,3.1175622820854904e-46,0.0,1.8806407312688248e-28,4.1455369743832941e-89,1.5059055224983149e-39,7.285560300365776e-69,2.3926478115358497e-72,0.0,0.0,3.2664826481393922e-65,0.0,5.6117340825614913e-12,2.0328748353048981e-12,6.6748690218118953e-22,6.674867141151081e-22,1.40044351648166e-25,1.0382271387907921e-26,1.4222605066301687e-36,1.1633541815043671e-61,1.0041573616940171e-33,1.6974296315694225e-42,1.0904526172760958e-56,7.9452661322361718e-47,2.0308761736600589e-64,5.3872151695431117e-70,1.4142367769090559e-99,1.4557925419919849e-42,5.0623679569510616e-86,5.8790133992047869e-83
7.815653241506419e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968798471078,0.099999999988776539,1.3032418225301782e-82,0.099999999995934258,5.2211195329561477e-74,2.7557704889539255e-50,2.6967882531249588e-25,2.4940497468041312e-45,0.0,7.5225634991651051e-28,2.6530491639510498e-87,6.0236240042916674e-39,2.3312971067390149e-67,4.0434781034753459e-71,0.0,0.0,2.7551719153012275e-64,0.0,1.1223469348416507e-11,4.0657503751100113e-12,1.3349740871759599e-21,1.3349733349115766e-21,2.8008876263925504e-25,1.0409937320755663e-26,6.003492524975819e-36,1.8613674601545105e-60,4.0166297464357746e-33,1.3579439004955173e-41,1.7447240558990625e-55,3.362405546999407e-46,3.2492853909396264e-63,1.157029398042178e-68,1.8101586930343654e-97,5.8231470103067643e-42,1.7095501869378672e-84,1.985472956555913e-81
1.5631308139366026e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968796942157,0.099999999977553072,1.0425937155862284e-81,0.09999999999186851,9.2419899558783102e-73,2.2046169117521445e-49,5.4976566405109591e-25,1.9952381912987151e-44,0.0,3.0090244241230672e-27,1.6978285933276196e-85,2.4094499842403003e-38,7.4596186350969167e-66,7.1583241672618898e-70,0.0,0.0,2.4313109701219056e-63,0.0,2.2446936294315747e-11,8.1315009832857212e-12,2.669948456852395e-21,2.6699454477958373e-21,5.6017758457452502e-25,1.0411920498747022e-26,2.4682036508241733e-35,2.9781881354494126e-59,1.6066513721909091e-32,1.0863548284302627e-40,2.791555849331895e-54,1.4923990874022416e-45,5.1984797594448396e-62,3.6458038391551156e-67,2.3168356806398796e-95,2.3292391675476642e-41,6.0439409158653849e-83,7.0203071454274697e-80
2.344696303722563e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968795413236,0.099999999966329606,3.0952003102786632e-81,0.099999999987802762,3.6747233366575485e-72,6.5030397209440176e-49,8.2985441483195448e-25,5.9233602538152706e-44,0.0,6.3941750648919602e-27,9.6422008573496496e-85,5.1200814552098088e-38,3.4809467625287348e-65,2.8483649784535178e-69,0.0,0.0,7.3251761298672362e-63,0.0,3.367039965440532e-11,1.219725112002697e-11,4.0049228262157257e-21,4.0049164319723777e-21,8.402664064628869e-25,1.0411991578055347e-26,5.2876724477199303e-35,1.1214004099668568e-58,3.4141331772926564e-32,3.106295174980032e-40,1.0561017374474577e-53,3.3878935781715356e-45,1.9674511078185867e-61,2.2667065730625346e-66,1.5371660235333799e-94,4.9496040776843983e-41,2.9395619004219812e-82,3.4164733947281351e-79
3.1262617935085236e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968793884314,0.099999999955106139,6.74427882910483e-81,0.099999999983737015,1.0318514993617492e-71,1.4093448427110645e-48,1.109943234088935e-24,1.2906682542954662e-43,0.0,1.0907707318159031e-26,3.7116043844976272e-84,8.7342568130436046e-38,1.0612985340122516e-64,8.0088228362895306e-69,0.0,0.0,1.6164854353524747e-62,0.0,4.4893859428686395e-11,1.6263000785333817e-11,5.3398971952659513e-21,5.3398862874421506e-21,1.1203552283043407e-24,1.0411994124818059e-26,9.0587557834940929e-35,2.9062739669672713e-58,5.8241078769046886e-32,6.5520747833266917e-40,2.7490253356861449e-53,6.119475733345378e-45,5.1305355307720377e-61,6.8164050419805623e-66,6.5624027292678953e-94,8.4433963024039398e-41,9.4966441657714765e-82,1.1048742986120255e-78
4.689392773080445e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968790826471,0.099999999932659234,1.9576561680337598e-80,0.099999999975605519,4.5501023795635497e-71,4.0512798157143338e-48,1.6701208803474823e-24,3.7464070160181674e-43,0.0,2.2583011425095085e-26,2.8404046738656229e-83,1.8083169711255916e-37,4.857092528171167e-64,3.5427855529836659e-68,0.0,0.0,4.7398874653012559e-62,0.0,6.7340770561579111e-11,2.4394499009519988e-11,8.0098459326315669e-21,8.0098233493789788e-21,1.6805328718771575e-24,1.0411991341331702e-26,1.8834303247854301e-34,1.0582097307461699e-57,1.2058069620679808e-31,1.7895741725514214e-39,1.0088523701727782e-52,1.3845008445370951e-44,1.8935933752988056e-60,3.5508629176515916e-65,5.7716402269925617e-93,1.7480820457843575e-40,5.0375843814431241e-81,5.8766237377321499e-78
6.252523752652366e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968787768634,0.099999999910212342,4.2811733349789799e-80,0.099999999967474024,1.3041678622184726e-70,8.7999988155575975e-48,2.2302985187139445e-24,8.1929606882766159e-43,0.0,3.8407769240840399e-26,1.0751625927951334e-82,3.0754735734230696e-37,1.4627749839576537e-63,1.0169214079422825e-67,0.0,0.0,1.0520173157416132e-61,0.0,8.978766850818458e-11,3.252599550007417e-11,1.0679794668845783e-20,1.0679756260666391e-20,2.2407105152774762e-24,1.0411996242438381e-26,3.2109276035529248e-34,2.7280714101164757e-57,2.0507608358822368e-31,3.7443865219874039e-39,2.6160272650304332e-52,2.5448837414843903e-44,4.9235720050158926e-60,1.1561777806608917e-64,2.4825850972813942e-92,2.9730039301342006e-40,1.660344485252962e-80,1.9396860082036572e-77
7.815654732224287e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968784710797,0.099999999887765464,8.0320639234253184e-80,0.099999999959342528,3.0992583629595246e-70,1.6436453143187086e-47,2.7904761656128437e-24,1.537109199317786e-42,0.0,5.867836393892539e-26,3.2941086670400417e-82,4.6986287246056691e-37,3.6566561749194435e-63,2.4190754876474365e-67,0.0,0.0,2.0267612130491745e-61,0.0,1.1223455232663276e-10,4.0657490133165859e-11,1.3349743403826359e-20,1.3349684724835803e-20,2.8008881584929764e-24,1.0411992388795958e-26,4.9133632477510646e-34,5.9374702569205968e-57,3.1330976161657812e-31,6.8165102203757994e-39,5.7198773658881467e-52,4.1854653881793399e-44,1.0783847703576952e-59,3.0938584983408503e-64,8.4245280245324957e-92,4.542037898700516e-40,4.4729596084076231e-80,5.2309802142605032e-77
1.0941916691368129e-16,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968778595128,0.099999999842871737,2.1977190552871938e-79,0.099999999943079537,1.4112358699924846e-69,4.4742548653594604e-47,3.910831449220603e-24,4.2057987717981675e-42,0.0,1.1283628239999632e-25,2.9200129614626863e-81,9.0352964322122685e-37,2.0096010115934417e-62,1.1027593950646987e-66,0.0,0.0,6.1558782929818577e-61,0.0,1.5712827669166063e-10,5.6920473710289262e-11,1.8689640870009115e-20,1.868952803252175e-20,3.9212434443579096e-24,1.0411994190646524e-26,9.4666006628560172e-34,2.2674405362247615e-56,6.02482858673863e-31,1.7997579994385025e-38,2.2001130095208653e-51,9.3756158612175583e-44,4.1495746635750921e-59,1.7244160351240694e-63,1.1646640187701739e-90,8.7339977428370876e-40,2.9710544268596827e-79,3.4803021934906274e-76
1.406817865051197e-16,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968772479458,0.099999999797978065,4.6330591676570927e-79,0.099999999926816588,4.196058360925108e-69,9.4101332560568205e-47,5.0311867337024448e-24,8.8663128163029793e-42,0.0,1.8505100459380337e-25,1.2070579575246125e-80,1.4817862933418716e-36,6.6435164473532518e-62,3.2804012288790366e-66,0.0,0.0,1.4270339220947972e-60,0.0,2.0202194367486911e-10,7.3183449743278526e-11,2.4029538331181415e-20,2.4029353278200683e-20,5.0415987294721975e-24,1.0411994215486374e-26,1.5542660574892786e-33,6.0033403017650807e-56,9.8806921834841984e-31,3.7313457182119583e-38,5.8440513299590784e-51,1.7492252733493857e-43,1.1022292879224238e-58,5.7577364684405071e-63,5.8828446642098012e-90,1.4323446688637989e-39,1.0922861864588922e-78,1.2802472561329904e-75
