Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),H2OX(35),COX(37),CX(24),CO2X(34),HO2X(136),HOCXO(25)
1.123661306502958e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039675386,0.099999999997113148,0.099999999999820552,5.3675090151783223e-79,1.1957886746756394e-51,2.026233709494876e-40,1.2424232210055402e-65,5.0561316367830974e-38,2.1092344857076755e-76,8.9032224165665595e-31,0.0,8.2228055719191343e-37,1.9031014307698041e-81,1.7659685808866512e-56,7.7671540108443821e-65,6.8595837118425314e-73,6.8764346012964631e-51,3.9645745431251787e-117,2.8865050823177627e-12,3.5890790323712097e-13,3.604131038671103e-16,3.6041433189542892e-16,6.1137364087847125e-22,1.7603716472314893e-24,5.7401221314777691e-29,8.7996209380221327e-51,1.687465918391358e-48,1.0362431960532697e-52,1.6811264000755458e-62,1.3623621260309612e-76,8.3191615577738505e-40,4.6862775337071429e-90,8.8421165837339627e-56,9.9372194468795802e-82
2.2473235655462155e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039350773,0.099999999994226277,0.099999999999641098,1.3702923587307032e-76,1.9132669325316381e-50,1.6209937608232495e-39,1.5859233647469934e-63,4.044896464663324e-37,2.6923338491713125e-74,3.5612860376933557e-30,0.0,3.2891291541040127e-36,1.2226093574915135e-79,2.8255478107664045e-55,4.9572387629693593e-63,8.7558906338105983e-71,5.5011509060102721e-50,5.0019220626335066e-115,5.7730123007848575e-12,7.1781611070753409e-13,7.208252869650311e-16,7.2083020607816724e-16,2.4384887155662678e-21,1.4045317488219466e-23,2.2960499298666752e-28,1.4079450384863505e-49,5.3848471341373294e-47,6.6136257014289553e-51,5.3796185712334364e-61,3.4780636747198225e-74,1.3276215682567894e-38,2.3927626369060416e-87,1.4147400313432452e-54,2.5402201731584665e-79
4.49464808363273e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038701545,0.099999999988452548,0.099999999999282191,3.4886838196581042e-74,3.0612380926049894e-49,1.296804021611725e-38,2.0188553138639678e-61,3.235898219755712e-36,3.4271612318734552e-72,1.4245107134209348e-29,0.0,1.3156559775672817e-35,7.8250972299016395e-78,4.5208627184311363e-54,3.1551748606135915e-61,1.1145587987280723e-68,4.4009209886189129e-49,6.4195609115629662e-113,1.1546025805398563e-11,1.4356325255974646e-12,1.4416459742945055e-15,1.4416657062794375e-15,9.6983460629840137e-21,1.1176457726280485e-22,9.1841995798721601e-28,2.25272679568998e-48,1.7135940353924369e-45,4.2094291899523441e-49,1.7214839453817383e-59,8.8551346814193015e-72,2.113254056796584e-37,1.2183731182084566e-84,2.263584604936179e-53,6.4669672736041358e-77
8.98929711980576e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037403092,0.099999999976905077,0.099999999998564376,8.8338803644347221e-72,4.8980125052025674e-48,1.0374570807853459e-37,2.556079839827324e-59,2.5886863328877671e-35,4.3387953968565659e-70,5.6980105236494765e-29,0.0,5.2626564052983783e-35,5.0079768640889422e-76,7.2333301072757181e-53,1.9973030697220085e-59,1.4110150077283641e-66,3.5207352556456612e-48,8.308687821278954e-111,2.3092049085345246e-11,2.8712653551737436e-12,2.8832726336381882e-15,2.8833519987694104e-15,3.8355524887050417e-20,8.8469502862736282e-22,3.6736779699976262e-27,3.6044078603832694e-47,5.4232629069222009e-44,2.6646719164822344e-47,5.5087827690757031e-58,2.2423511393192609e-69,3.3467219345895458e-36,6.1702791576029569e-82,3.6217340607086566e-52,1.637374777851658e-74
1.3483946155978788e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036104639,0.099999999965357605,0.099999999997846561,6.6704459594906898e-71,1.8673709344780964e-47,3.0799741337066673e-37,1.6718659629512826e-58,7.6851076011922283e-35,2.8627663381764783e-69,1.2108224114174487e-28,0.0,1.1183192450738482e-34,2.5188968096412108e-75,2.757700686147847e-52,1.1154643828950428e-58,9.309989940998511e-66,1.0067099273413269e-47,1.1114309689658162e-109,3.4638068636012393e-11,4.3068981845464401e-12,4.3248845778167534e-15,4.3250538623840225e-15,8.0870753850180808e-20,2.5143811938878464e-21,7.8065624783746451e-27,1.3636289053421309e-46,2.5263961892311167e-43,1.4881800663941541e-46,2.5854739795549105e-57,1.6851072486262907e-68,1.2257795030079598e-35,5.2669937307229743e-81,1.3807857993849305e-51,1.0054102879988278e-73
1.797859519215182e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575034806186,0.099999999953810162,0.099999999997128747,3.3490792392992731e-70,5.0243197056217546e-47,6.7111559674455995e-37,6.8226277630512895e-58,1.6745317348160117e-34,1.2883678747167689e-68,2.0655129674589268e-28,0.0,1.9077285802806762e-34,1.0964779545643637e-74,7.4197645310317397e-52,4.0568112721605077e-58,4.1898592317873935e-65,2.1234421707912161e-47,5.4653164002733107e-109,4.6184084457401224e-11,5.7425310137155544e-12,5.7664818069804576e-15,5.7667715707952855e-15,1.3697013842554442e-19,5.2745674046957522e-21,1.3317071899602577e-26,3.5495402210964246e-46,8.1148094929864601e-43,5.4123338770631132e-46,8.0597257550887901e-57,7.6467014735146368e-68,3.0951084576544369e-35,2.8613414324528412e-80,3.7151050545992544e-51,6.0968346399611441e-73
2.696789326449788e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503220928,0.099999999930715261,0.099999999995693117,4.5577603998080796e-69,2.0321927219696005e-46,1.9480746920821782e-36,5.171771176793732e-57,4.8605722086444077e-34,1.4765879544507337e-67,4.276355837497554e-28,0.0,3.9497359388234222e-34,1.0576695783443325e-73,3.0010185071222629e-51,2.620573271119246e-57,4.8018226288411398e-64,5.799776198532523e-47,2.0041486581186033e-108,6.9276107347794745e-11,8.6137966715759893e-12,8.6496417305349041e-15,8.6502450020798584e-15,2.8022156988066316e-19,1.4276207536336974e-20,2.7571287228161196e-26,1.3026481830496782e-45,4.4245088807833827e-42,3.4961985015351044e-45,3.9711493473566174e-56,6.7485300716907579e-67,1.0743534860679251e-34,4.2654933613123587e-79,1.5026368394352336e-50,1.3031131107917517e-71
3.595719133684394e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575029612374,0.099999999907620374,0.099999999994257488,2.2312738455717942e-68,5.5046910182047231e-46,4.2602815057320504e-36,2.1194988911430542e-56,1.06293810645819e-33,6.6148858148529781e-67,7.272918433680939e-28,0.0,6.7175092509706921e-34,4.3216695244715854e-73,8.1288731029358515e-51,9.5850878108024792e-57,2.1511141159553018e-63,1.2135066273504701e-46,1.2486170936658346e-107,9.2368116524311816e-11,1.1485062328687777e-11,1.1532747542979207e-14,1.1533778895521154e-14,4.7122910557874312e-19,2.9631532648858064e-20,4.689150770221814e-26,3.3779008900356177e-45,1.4117080405213142e-41,1.2787801054240876e-44,1.2460501665169042e-55,3.0527606853050198e-66,2.6681233113638065e-34,2.3558082070736196e-78,4.0702282787409694e-50,7.0096133645726098e-71
4.494648940919e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575027015474,0.099999999884525501,0.099999999992821859,8.8462105370448907e-68,1.2366213192961309e-45,7.9929885047040648e-36,6.9228395118671866e-56,1.9941892042107504e-33,2.3452447553633594e-66,1.1111309015666516e-27,0.0,1.0262904241962883e-33,1.4077861003879518e-72,1.8261117815406719e-50,2.8082681467829599e-56,7.6264409562687076e-63,2.209141407540452e-46,5.2193278615057657e-107,1.1546011100739788e-10,1.4356327984997449e-11,1.4415795380238002e-14,1.4417379280279296e-14,7.1169145369127357e-19,5.3505815582476103e-20,7.1639580314182104e-26,7.3857837468498293e-45,3.6656056339562353e-41,3.7466088025776152e-44,3.2032693873167841e-55,1.0983800870413144e-65,5.6257873119084842e-34,1.0101861453125182e-77,9.143637571078031e-50,3.0150903147420574e-70
6.2925085553882115e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575021821673,0.099999999838335782,0.0999999999899506,2.0077831517201232e-66,4.7955580920662521e-45,2.187113901102386e-35,8.6928406867237142e-55,5.4562755185945136e-33,3.2728331715374613e-65,2.1366354087093927e-27,0.0,1.9735513501363934e-33,1.2231792831108751e-71,7.0812760659878703e-50,2.2999410988963104e-55,1.0642289760280755e-61,5.8327772833120223e-46,3.9779003426976312e-106,1.6164405497037566e-10,2.0098859295160057e-11,2.0181713494338326e-14,2.0184794573019146e-14,1.3332007657529017e-18,1.3822584819694312e-19,1.3776015688522874e-25,2.8410031128829103e-44,2.0011232731942076e-40,3.0684318995857105e-43,1.8071990740600895e-54,2.1697420857684419e-64,2.0206351676348632e-33,3.8656018374906134e-76,3.5457791731795128e-49,6.4151877760307831e-69
