Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),COX(58),H2OX(23)
8.395334715735027e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559658827,0.099999999997358674,0.0999999999996148,1.3902662075435049e-72,5.1970271961936257e-42,1.8736439211303416e-30,1.0515946916666125e-54,2.8917930256577725e-42,2.9195664160717275e-37,4.3447648708404864e-23,7.2671510908308497e-88,4.3447614668192711e-23,1.6980306897088611e-56,5.3111084649761283e-52,1.4909805969332216e-57,8.9831829968211281e-79,2.9217120446328641e-37,1.8278700801472718e-68,2.6413172576903377e-12,7.7043355303170935e-13,1.7460166029658742e-17,1.322252737701299e-25,1.746025295212873e-17,3.8605315839276608e-23,3.2795824285627767e-24,1.3209976827127027e-27,1.6104027057856718e-45,7.4641312966566109e-41,1.473445890924769e-66,9.7227012143902318e-51,7.4553093949253871e-67,2.5328004584306152e-36
1.6790676548289505e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255931765,0.099999999994717342,0.09999999999922958,6.6366279269596513e-70,8.2642992281130815e-41,1.3960875799399816e-29,1.249198768240983e-52,2.3134263816255463e-41,1.1678280947703482e-36,8.6895402467610272e-23,2.3254987531827473e-86,8.6895266306955662e-23,1.3584292515497389e-55,8.4420072673636154e-51,1.1927861261364455e-56,3.1049629799961194e-77,1.1695337354789984e-36,2.9246022200453498e-67,5.2826367522666756e-12,1.5408677591401432e-12,3.4920263353364488e-17,5.2531560689033627e-25,3.4920622384423053e-17,1.4309735161327912e-22,2.4427578433453588e-23,1.9710112617140744e-26,9.6164131024282069e-44,1.1148889489310283e-39,3.5166151971280938e-64,7.7777969578495899e-50,1.7708560515613736e-64,2.0134140546625007e-35
3.358136021339846e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255863529,0.099999999989434665,0.099999999998459141,2.9934552491789615e-67,1.3062759876340837e-39,9.8143353343691025e-29,1.410895859429859e-50,1.8507254976209127e-40,4.6713201508740835e-36,1.7379111464365858e-22,7.4416462998717561e-85,1.7379057000310859e-22,1.0867493086794597e-54,1.333203222860726e-49,9.5423047695046785e-56,1.5100778168509013e-75,4.684794623423335e-36,4.6793884080720961e-66,1.0565275734854509e-11,3.0817361712716849e-12,6.984020748133452e-17,2.0731147716808252e-24,6.9841717902443434e-17,4.98312093579524e-22,1.715859679174606e-22,2.7796479973516036e-25,5.4299973910141656e-42,1.5740531661955754e-38,7.9298863643500372e-62,6.2216483034662945e-49,4.0010081454624743e-62,1.5905800575402353e-34
6.716272754361637e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557270576,0.099999999978869311,0.099999999996918276,1.2357799726993529e-64,2.0405921479297677e-38,6.3069985824549162e-28,1.4618168862684527e-48,1.4805543280477123e-39,1.8685333867447754e-35,3.475833576145338e-22,2.3813563935803028e-83,3.4758117906996159e-22,8.6940825383792459e-54,2.0790886712118757e-48,7.6338647851751017e-55,1.5381543982533755e-73,1.8790496028661443e-35,7.4870950408620532e-65,2.1130553673770806e-11,6.1634729951936633e-12,1.3967909367393712e-16,8.0755296917312756e-24,1.3968555501443275e-16,1.5762238390620917e-21,1.1008674567016238e-21,3.5912566833614163e-24,2.8107880109630894e-40,2.0371843056432885e-37,1.6364999409975102e-59,4.9763733173347127e-48,8.294078595327045e-60,1.2413655522723782e-33
1.343254622040522e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362554541143,0.099999999957738617,0.099999999993836533,4.5362108292609066e-62,3.1172759331815334e-37,3.6074800518568527e-27,1.3518264968370187e-46,1.1844013127941562e-38,7.4741743752539544e-35,6.9517111793747526e-22,7.6205483989887222e-82,6.9516240390221374e-22,6.9554043565414489e-53,3.1655379199372408e-47,6.10712367973086e-54,2.4016893340043058e-71,7.5543761850292431e-35,1.1979582778543895e-63,4.2261109446565912e-11,1.232694664167433e-11,2.7935285792117749e-16,3.068831213389323e-23,2.7938063101968678e-16,4.4052461187706759e-21,6.2759434148765663e-21,4.1365701730453021e-23,1.2981264296263815e-38,2.3541121410036889e-36,3.0026631177188249e-57,3.979585871310907e-47,1.534876354493628e-57,9.4671050084348632e-33
2.6865093152492386e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549082282,0.099999999915477228,0.099999999987673061,1.4643953742184706e-59,4.5731097411302231e-36,1.8288295000801879e-26,1.1074599296502058e-44,9.4745344012557467e-38,2.9897020548510431e-34,1.3903597353563962e-21,2.4387008218978722e-80,1.3903248803641392e-21,5.5645437613626893e-52,4.6149960143382827e-46,4.885749223602527e-53,3.8151530591581893e-69,3.0483626211339191e-34,1.9168066875570418e-62,8.452222057200621e-11,2.4653893929189012e-11,5.5868435478681236e-16,1.1150568398637075e-22,5.5880246866513452e-16,1.0862859264531404e-20,3.1604160167848106e-20,4.2179666552965936e-22,5.3098487963427516e-37,2.415716139492617e-35,4.8448360704727858e-55,3.1812505053701382e-46,2.5165325773674634e-55,6.924124925826368e-32
5.373018701666671e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436253816456,0.09999999983095445,0.099999999975346116,4.1968681954505863e-57,6.2708857884977595e-35,8.406326222219493e-26,8.1679089059285442e-43,7.5785452198311623e-37,1.1959065920971382e-33,2.7807893512734949e-21,7.8046429194189215e-79,2.7806499405041888e-21,4.4519869925205671e-51,6.2585349053806522e-45,3.9086795444269666e-52,5.5970747533608372e-67,1.2359229924624304e-33,3.067125383081109e-61,1.6904444114228715e-10,4.9307788482471295e-11,1.1172832293860594e-15,3.7598030149299277e-22,1.1177770233146379e-15,2.4334638446691538e-20,1.433368513556341e-19,3.8725266507707125e-21,1.9554204271265004e-35,2.2459523022023737e-34,6.9397758939476556e-53,2.5411397498845254e-45,3.7143901091452163e-53,4.723105958681576e-31
8.059528088084104e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362527246837,0.099999999746431673,0.09999999996301917,3.2178923508067294e-56,2.1515417922741325e-34,1.8651046855080332e-25,4.6831835334583423e-42,2.2496979692720133e-36,2.5413393351867011e-33,4.1712713422579908e-21,3.7340014653894869e-78,4.1709751078876558e-21,1.3217421792354509e-50,2.2215610606736709e-44,1.1176512155226479e-51,3.7452090191139091e-66,2.6462758486822325e-33,1.1603979981642611e-60,2.5356666003196846e-10,7.3961683014025989e-11,1.6758179922357384e-15,7.1474196690839938e-22,1.6768843783991067e-15,3.7902203533962463e-20,3.151527525735723e-19,1.1459556767856924e-20,9.3834805755871654e-35,6.6930549533867353e-34,4.6432037523413284e-52,7.259740883081415e-45,2.486668956913652e-52,1.2385071509168525e-30
1.0746037474501537e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362516329115,0.099999999661908895,0.099999999950692225,1.5979393435675853e-55,5.1368132088730093e-34,3.2567159139044774e-25,1.7383472929738635e-41,4.9015512752163671e-36,4.3352853261453004e-33,5.5618057022980263e-21,1.2358857237101586e-77,5.5613003825414391e-21,2.8801339798417502e-50,5.5526487001607186e-44,2.3574752737687317e-51,1.5566366422751021e-65,4.5407858247655283e-33,3.0206159284498453e-60,3.3808887724105021e-10,9.8615577523885293e-11,2.234288650717593e-15,1.1071653679203637e-21,2.2361260341999647e-15,5.1485188032371228e-20,5.4571070367155514e-19,2.4597032037752734e-20,3.0822766855179218e-34,1.4458275418673708e-33,2.1175803228510465e-51,1.5300800071673326e-44,1.0338056464933913e-51,2.4253154511209272e-30
1.6119056247336403e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362494493671,0.09999999949286334,0.099999999926038335,2.0672976094219869e-54,1.6330384460417928e-33,6.9016551290036572e-25,1.1566948465322225e-40,1.4225156242358078e-35,8.9758628309150863e-33,8.3429973106994252e-21,7.2119202385864953e-77,8.3419511836908958e-21,8.3608455192154992e-50,1.9393601720503124e-43,6.4391105890312363e-51,1.2136810951381952e-64,9.4762690875331458e-33,1.1085986267364611e-59,5.0713330771494948e-10,1.4792336649273281e-10,3.3510795415498416e-15,1.9751130248276052e-21,3.3549288298194318e-15,7.8653310152992323e-20,1.1404442417313575e-18,6.8156036685741838e-20,1.7324210295305029e-33,4.0491874214274623e-33,2.4956901337730534e-50,4.1736304396804913e-44,8.0624035382987233e-51,5.9054089608729689e-30
