Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),CO2X(24),COX(50),H2OX(23)
3.966670729359441e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32263050472303922,0.078227536886403118,1.2661861966793445e-08,0.00015798877624634955,0.00055735762883318005,0.071099572467810221,0.035693353862647034,6.633355732644923e-10,2.6515230507433308e-10,3.8070401335706808e-07,6.2481013160198434e-19,1.2142354787327556e-06,6.0213502945341718e-16,2.3482918526267138e-12,5.5950040761240858e-11,1.1122783023430275e-12,1.7540270247651539e-10,8.369572372437368e-13,0.003898631776926619,0.0085656687870599123,7.1205894695101474e-10,0.00071797823250312274,3.5195393329198434e-10,1.5619937837424369e-05,0.0001657814637374122,5.7162898281992708e-08,0.00051063172779516972,0.0010626255860140554,9.6978140766795374e-09,1.0251576098445189e-10,2.837599440275569e-08,2.4561852941124574e-08
3.972565525213843e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32264939607929494,0.078207668408173017,1.2375498870635922e-08,0.00015782040795431801,0.00055734767817795707,0.071140029597267757,0.035713289666814772,6.6439987458510064e-10,2.6594940642137266e-10,3.8069031473714782e-07,6.2717625557309734e-19,1.2146023045434628e-06,6.0328281811021832e-16,2.3498656423127431e-12,5.5998200625772301e-11,1.114562661813451e-12,1.7518484091234779e-10,8.4011656120187937e-13,0.0038978694099835306,0.0085457659581776573,7.1098145801380891e-10,0.00071822179991471152,3.5320854035060906e-10,1.5671230863222531e-05,0.00016627919047533185,5.7046083278109818e-08,0.00051094610183971567,0.001063292554001497,9.7065081665244465e-09,1.0233474395365336e-10,2.8393505706375209e-08,2.4562828767227618e-08
3.9778708414828044e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32266635207790473,0.078189829039629566,1.2123285911989408e-08,0.00015766853987834978,0.00055733729926181366,0.071176356596402465,0.035731188241580329,6.6535725870905351e-10,2.6666732303655369e-10,3.8067796169685073e-07,6.2930945834644638e-19,1.2149316114201646e-06,6.0431549921834529e-16,2.3512780803749737e-12,5.604145360145399e-11,1.1166185952208212e-12,1.7498901702463104e-10,8.4296505172250796e-13,0.0038971847297262358,0.0085278998140004766,7.1001672064462316e-10,0.00071844046068298784,3.5434009213475373e-10,1.5717486899539573e-05,0.00016672799343735831,5.6941158831179559e-08,0.00051122837108279445,0.0010638914713932785,9.7143167143980995e-09,1.021720319922185e-10,2.8409228692372311e-08,2.4563640839319877e-08
3.983176157751766e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32268326440814937,0.078172029594478526,1.1876187390490818e-08,0.00015751635612707226,0.00055732557734361617,0.071212603846960057,0.035749045576461649,6.6631418142771648e-10,2.6738573532888646e-10,3.8066558601675146e-07,6.3144615621089324e-19,1.2152601285130564e-06,6.053478681647904e-16,2.3526867643075923e-12,5.6084620640558055e-11,1.1186745356086892e-12,1.7479343126895676e-10,8.4581837114310873e-13,0.0038965014196139292,0.0085100775044352796,7.0905671008500693e-10,0.00071865860207365011,3.5547392537743525e-10,1.5763830495060097e-05,0.0001671776016185851,5.6836432177176011e-08,0.00051151000963593242,0.0010644891095901096,9.7221100085192982e-09,1.0200951310499188e-10,2.8424916536484203e-08,2.4564390460419141e-08
3.988481474020728e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32270013318623997,0.078154269962997291,1.1634100183616143e-08,0.00015736385979249574,0.00055731251762564267,0.071248771565942323,0.035766861778899525,6.6727064276698602e-10,2.6810464130279326e-10,3.8065318804562388e-07,6.3358634739621864e-19,1.2155878582717797e-06,6.0637992420547805e-16,2.3540917031836868e-12,5.6127701917758688e-11,1.1207304806880454e-12,1.7459808349933839e-10,8.4867651782840375e-13,0.0038958194762507997,0.0084922989093411515,7.0810141427228234e-10,0.0007188762256067849,3.566100426141074e-10,1.5810261750738711e-05,0.00016762801598325879,5.6731903064051904e-08,0.00051179101901913126,0.0010650854718123976,9.7298880778971079e-09,1.0184718768312959e-10,2.8440569323465731e-08,2.4565077859064339e-08
3.99378679028969e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32271695852801136,0.078136550035814697,1.1396923234638712e-08,0.00015721105395276045,0.00055729812529377949,0.071284859969658457,0.035784636955992634,6.6822664275511259e-10,2.6882403896591222e-10,3.8064076812958231e-07,6.3573003013111274e-19,1.2159148031364751e-06,6.0741166660207872e-16,2.3554929060489058e-12,5.6170697607412385e-11,1.1227864281787487e-12,1.7440297356858533e-10,8.5153949013963242e-13,0.0038951388962500159,0.0084745639089635859,7.0715082119662989e-10,0.00071909333279694232,3.577484463806353e-10,1.5856780767530254e-05,0.00016807923749541937,5.6627571239094413e-08,0.00051207140074808707,0.0010656805612713749,9.7376509514975026e-09,1.0168505611241497e-10,2.8456187137831425e-08,2.456570326314051e-08
3.9990921065586514e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32273374054892334,0.07811886970390991,1.1164557511536235e-08,0.00015705794167217158,0.0005572824055175607,0.071320869273727647,0.035802371214498807,6.6918218142268288e-10,2.6954392632909896e-10,3.8062832661210206e-07,6.3787720264319586e-19,1.2162409655378275e-06,6.0844309462197619e-16,2.3568903819215597e-12,5.6213607883557889e-11,1.1248423758094914e-12,1.7420810132831741e-10,8.5440728643457839e-13,0.0038944596762336852,0.0084568723839331481,7.0620491890084343e-10,0.00071930992515315711,3.58889139213305e-10,1.5903387646390126e-05,0.00016853126711890358,5.6523436448936689e-08,0.00051235115633421204,0.0010662743811691289,9.7453986582433522e-09,1.0152311877330426e-10,2.8471770063856032e-08,2.4566266899879586e-08
4.004397422827613e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32275047936406237,0.078101228858610774,1.0936905966720518e-08,0.00015690452600123351,0.00055726536345021018,0.071356799693081743,0.035820064660836426,6.7013725880259942e-10,2.7026430140643005e-10,3.8061586383403809e-07,6.4002786315903818e-19,1.2165663478971139e-06,6.0947420753823663e-16,2.3582841397927095e-12,5.62564329199163e-11,1.1268983213177581e-12,1.7401346662897932e-10,8.5727990506759722e-13,0.0038937818128328065,0.0084392242152641107,7.0526369548009896e-10,0.00071952600417897082,3.6003212364887673e-10,1.5950082488276295e-05,0.00016898410581736272,5.6419498439569532e-08,0.000512630287284627,0.0010668669346986263,9.7531312270137817e-09,1.0136137604096439e-10,2.8487318185575414e-08,2.4566768995861175e-08
4.009702739096575e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32276717508814268,0.078083627391592844,1.0713873497555705e-08,0.00015675080997668467,0.00055724700422868075,0.07139265144196788,0.035837717401085774,6.7109187493006465e-10,2.7098516221520432e-10,3.8060338013364537e-07,6.4218200990417887e-19,1.2168909526262478e-06,6.105050046295771e-16,2.3596741886262603e-12,5.6299172889891264e-11,1.1289542624497916e-12,1.7381906931985407e-10,8.6015734438964439e-13,0.0038931053026872641,0.0084216192843530636,7.0432713908167056e-10,0.00071974157137246462,3.611774022244407e-10,1.5996865394143645e-05,0.0001694377545542103,5.6315756956352271e-08,0.00051290879510218945,0.0010674582250437446,9.7608486866446482e-09,1.0119982828531124e-10,2.8502831586787609e-08,2.4567209777014687e-08
4.015008055365537e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32278382783550791,0.078066065194877687,1.0495366907669457e-08,0.00015659679662153263,0.00055722733297369602,0.07142842473395114,0.03585532954099023,6.7204602984256103e-10,2.7170650677594569e-10,3.8059087584659709e-07,6.4433964110314527e-19,1.2172147821278281e-06,6.1153548518033429e-16,2.3610605373590569e-12,5.6341827966568906e-11,1.1310101969605555e-12,1.7362490924907719e-10,8.6303960274830102e-13,0.0038924301424458122,0.0084040574729775403,7.0339523790468137e-10,0.00071995662822628296,3.6232497747739237e-10,1.6043736464942909e-05,0.00016989221429261313,5.6212211744023754e-08,0.00051318668128552051,0.0010680482553793113,9.7685510659286875e-09,1.0103847587105403e-10,2.8518310351053206e-08,2.4567589468620091e-08
4.0203133716344984e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32280043772013162,0.078048542160831916,1.0281294869027308e-08,0.00015644248894508894,0.00055720635478979062,0.071464119781917121,0.035872901185957665,6.7299972357983415e-10,2.7242833311240516e-10,3.8057835130600525e-07,6.4650075497947368e-19,1.2175378387951819e-06,6.125656484804345e-16,2.3624431949009744e-12,5.6384398322717901e-11,1.1330661226136969e-12,1.7343098626365017e-10,8.6592667848780082e-13,0.0038917563287660267,0.0083865386632947306,7.0246798019989425e-10,0.00072017117622764893,3.634748519455566e-10,1.6090695801625579e-05,0.00017034748599553467,5.6108862546714232e-08,0.00051346394732898709,0.0010686370288711172,9.7762383936145454e-09,1.0087731915773366e-10,2.8533754561696142e-08,2.4567908295308454e-08
4.02561868790346e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32281700485561959,0.078031058182165561,1.007156788475415e-08,0.00015628788994300405,0.00055718407476535142,0.07149973679807449,0.035890432441061763,6.739529561838744e-10,2.731506392515632e-10,3.8056580684243769e-07,6.4866534975572603e-19,1.2178601250124113e-06,6.1359549382536114e-16,2.3638221701350115e-12,5.6426884130789776e-11,1.1351220371815113e-12,1.7323730020945413e-10,8.6881856994905728e-13,0.0038910838583142812,0.0083690627378400616,7.0154535426942799e-10,0.00072038521685840106,3.6462702816702124e-10,1.6137743505137264e-05,0.00017080357062567548,5.600570910795543e-08,0.00051374059472273368,0.0010692245486759516,9.7839106984074141e-09,1.0071635849975951e-10,2.8549164301805012e-08,2.4568166481064327e-08
4.030924004172422e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32283352935521087,0.078013613151930963,9.8660982526859939e-09,0.00015613300259730302,0.00055716049797265759,0.071535275993957675,0.035907923411043256,6.7490572769889852e-10,2.7387342322363161e-10,3.8055324278393874e-07,6.5083342365351115e-19,1.21818164315444e-06,6.1462502051612556e-16,2.365197471917382e-12,5.6469285562918819e-11,1.1371779384449046e-12,1.7304385093126324e-10,8.717152754696902e-13,0.003890412727765732,0.0083516295795258173,7.0062734846648094e-10,0.0007205987515950177,3.6578150868003208e-10,1.6184879676413516e-05,0.00017126046914543326,5.5902751170690954e-08,0.00051401662495271789,0.001069810817941642,9.791568008969421e-09,1.0055559424645101e-10,2.8564539654233286e-08,2.4568364249226646e-08
4.036229320441384e-05,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32285001133177854,0.077996206963521442,9.6648000296411586e-09,0.00015597782987642023,0.00055713562946792228,0.071570737580429339,0.035925374200311215,6.7585803817133304e-10,2.745966830620557e-10,3.8054065945604672e-07,6.5300497489350269e-19,1.2185023955870544e-06,6.156542278592358e-16,2.366569109077606e-12,5.6511602790922102e-11,1.1392338241933583e-12,1.7285063827275784e-10,8.7461679338405187e-13,0.0038897429338042916,0.0083342390716399112,6.9971395119516532e-10,0.00072081178190862663,3.6693829602322757e-10,1.6232104416389072e-05,0.000171718182516988,5.579998847728856e-08,0.000514292039500677,0.001070395839807069,9.7992103539182146e-09,1.0039502674207768e-10,2.8579880701599978e-08,2.456850182248883e-08
